sp027-000001_001	पायस प्रहसनम्
sp027-000042_001	अये सः अन्तः आगतवान् एव
sp027-000043_001	पायसम् पायसम्
sp027-000044_001	पायसपानसमये उपस्थितः
sp027-000045_001	पतिः स्वगतम्
sp027-000046_001	एतस्य निवारणार्थम् किमपि करणीयम् इदानीम्
sp027-000047_001	हाँ एवम् करोमि
sp027-000048_001	किम् एतत् कृतम् भवत्या
sp027-000049_001	डाकिनि
sp027-000050_001	राक्षसि माम् एव निन्दति वा भवती
sp027-000051_001	कियत् धार्ष्ट्यम् भवत्याः
sp027-000052_001	यदि भवती इतोऽपि एकम् वचनम् वदेत् तर्हि
sp027-000053_001	पत्नी
sp027-000054_001	किम् माम् ताडयति भवान्
sp027-000055_001	पतिः पुनरपि मा निन्दति वा भवती
sp027-000056_001	पश्यतु इदानीम्
sp027-000057_001	ताडयति
sp027-000058_001	भोः देव भगवन्
sp027-000059_001	एषः राक्षस माम् अद्य मारयति
sp027-000060_001	कोऽपि माम् रक्षतु
sp027-000061_001	अतिथिः हा हन्त
sp027-000062_001	असमये अस्थाने आगतम् मया
sp027-000063_001	ततः पलायनम् करोति
sp027-000064_001	पतिः अतिथेः निर्गमनम् दृष्ट्वा दीर्घम् निश्श्वस्य हन्त
sp027-000065_001	कथमपि वराकः निवारितः मया
sp027-000066_001	पायसम् रक्षितम् जातम्
sp027-000067_001	कथमस्ति मम उपायः समयस्फूर्तिः च
sp027-000068_001	पत्नीम् उद्दिश्य पश्यतु भोः मम बुद्धिचातुर्यम्
sp027-000069_001	अहम् तु भवतीम् ताडितवान् इव अभिनयम् कृतवान्
sp027-000070_001	भवान् ताडितवान् इव अभिनयम् यदा कृतवान् तदा अहमपि रुदितवती इव अभिनयम् कृतवती
sp027-000071_001	मम बुद्धिमत्ता किम् न्यूना
sp027-000072_001	हस्तम् उन्नीय ताडनम् अभिनयति
sp027-000073_001	अतिथिः प्रविश्य तयो समीपम् आगत्य भवन्तौ यथा ताडनस्य रोदनस्य च अभिनयम् कृतवन्तौ तथा अहमपि धावनस्य अभिनय कृतवान्
sp027-000074_001	किन्तु अहम् न गतवान्
sp027-000075_001	अहम् अत्रैवस्मि
sp027-000076_001	दम्पती हा हन्त हा दुर्विधे
sp027-000077_001	उभौ अपि शिरसिहस्तम् स्थापयतः
sp027-000078_002	एकम् नगरम्
sp027-000079_002	तत्र कश्चन बालकः
sp027-000080_002	योग्ये समये तस्य विद्याभ्यासः आरब्धः
sp027-000081_002	गुरुकुले सः सर्वेषु अपि विषयेषु अग्रगण्यः आसीत्
sp027-000082_002	एकदा क्रीडार्थम् गतः सः उत्साहेन गृहम् आगतवान्
sp027-000083_002	मातुः समीपम् गत्वा उक्तवान् च
sp027-000084_002	अम्ब अद्य अहम् मम मित्रम् मल्लयुद्धे जितवान् इति
sp027-000085_002	हसन्मुखस्य पुत्रस्य मुखम् निर्निमेषम् दृष्टवती माता
sp027-000086_002	तस्याः मुखात् एकमपि वचनम् न निर्गतम्
sp027-000087_002	क्षणकालानन्तरम् तस्याः नेत्राभ्याम् अश्रुबिन्दवः पतिताः
sp027-000088_002	मातुः अश्रुपूर्णम् मुखम् दृष्ट्वा सः तरुणः आश्चर्यचकितः खिन्नः च अभवत्
sp027-000089_002	केनापि कारणेन माता अद्य खिन्ना अस्ति
sp027-000090_002	अतः वार्तालापार्थम् एषः न समयः
sp027-000091_002	इति चिन्तयित्वा किमपि अनुक्त्वा ततः निर्गतवान् सः
sp027-000092_002	रात्रौ भोजनसमयः आगतः
sp027-000093_002	गृहे मौनम् विराजते स्म
sp027-000094_002	माता मौनम् परिवेषयन्ती आसीत्
sp027-000095_002	मौनम् अशक्नुवन् पुत्रः
sp027-000096_002	अम्ब अद्य प्रातःकाले भवती माम् दृष्ट्वा किमर्थम् रोदनम् कृतवती
sp027-000097_002	मया किमपि अनुचितम् कार्यम् कृतम् वा
sp027-000098_002	येन भवत्याः खेदः जातः स्यात् इति
sp027-000099_002	तदा माता उक्तवती
sp027-000100_002	वत्स भवता अनुचितम् किमपि न कृतम्
sp027-000101_002	प्रातः भवान् यदा हसति स्म तदा अहम् भवतः दन्तपङ्क्तिम् परिशीलितवती
sp027-000102_002	तत्र राजलक्षणम् दृष्टवती च
sp027-000103_002	तदा मम मनसि एषाः चिन्ता आगता
sp027-000104_002	यत् यदि भवान् राजा भवेत् तर्हि माम् विस्मरेत् कदाचित् इति
sp027-000105_002	अतः मम मनसि दुःखम् उद्गतम्
sp027-000106_002	तत्कारणतः नेत्राभ्याम् अश्रुबिन्दवः आगताः
sp027-000107_002	इति
sp027-000108_002	एतत् श्रुत्वा बालकः वेगेन भोजनम् समाप्य गृहात् बहिः गतवान्
sp027-000109_002	एकेन शिलाखण्डेन सर्वानपि दन्तान् भञ्जितवान्
sp027-000110_002	तथापि सः आत्मबलेन सर्वम् सोढवान्
sp027-000111_002	रक्तपूर्णमुखः सः मातुः समीपम् आगतवान्
sp027-000112_002	हस्तेन रक्तम् मार्जयन् मातरम् उक्तवान् च
sp027-000113_002	अम्ब राजलक्षणद्योतकान् दन्तान् सर्वान् इदानीम् निवारितवानस्मि
sp027-000114_002	इदानीम् मम मुखे राजलक्षणम् सर्वथा नास्ति
sp027-000115_002	अहम् कदापि राजा न भविष्यामि
sp027-000116_002	एषा मम प्रतिज्ञा
sp027-000117_002	इदानीम् भवत्याः चिन्ता अपगता स्यात् खलु
sp027-000118_002	अहम् भवतीम् कदापि न विस्मरिष्यामि इति
sp027-000119_002	पुत्रेण यत् साहसम् कृतम् तत् पश्यन्त्याः दुःखितायाः तस्याः नेत्राभ्याम् अश्रुधारा आगता
sp027-000120_002	पुत्रः यत् प्रेम प्रदर्शितवान् ततः मनसि आनन्दतरङ्गाः अपि सञ्चरन्ति स्म
sp027-000121_002	अतः तस्याः मुखतः निर्गता अश्रुधारा दुःख सुख मिश्रिता आसीत्
sp027-000122_002	वत्स इति वदन्ती सा द्वित्राणि पदानि अग्रे गत्वा पुत्रम् दृढम् आलिङ्गितवती
sp027-000123_002	एवम् मातुः निमित्तम् राजपदवीम् एव निर्व्यामोहम् परित्यक्तवान् सः साहसी तरुणः एव चाणक्य नामा इतिहासे प्रसिद्धः अस्ति
sp027-000124_003	गङ्गायाः तीरे भक्तश्रेष्ठः तुलसीदासः रामायणकाव्यम् गायति स्म प्रतिदिनम्
sp027-000125_003	तत् श्रोतुम् बहवः तत्र आगच्छन्ति स्म
sp027-000126_003	कश्चित् वृद्धः अपि प्रतिदिनम् तत्र आगच्छति स्म
sp027-000127_003	रामायणश्रवणसमये तस्य नेत्राभ्याम् अश्रूणि आगच्छन्ति स्म
sp027-000128_003	एकदा तम् वृद्धम् पृष्टवान् तुलसीदासः
sp027-000129_003	कः भवान्
sp027-000130_003	रामायणपठनसमये भवतः रोदनम् किमर्थम्
sp027-000131_003	किम् केनचित् गृहक्लेशेन पीड्यमानः अस्ति भवान् इति
sp027-000132_003	तथा न
sp027-000133_003	यत्र रघुनाथकीर्तनम् भवति तत्र अहम् भवामि
sp027-000134_003	रामनाम श्रवणात् मम नेत्राभ्याम् आनन्दाश्रूणि आगच्छन्ति इति उक्तवान् सः वृद्धः
sp027-000135_003	एतत् श्रुत्वा आश्चर्यम् अनुभवन् तुलसीदासः तम् सन्देहेन पृष्टवान्
sp027-000136_003	भवान् रामभक्तः मारुतिः तु न खलु इति
sp027-000137_003	आम्
sp027-000138_003	अहमेव मारुतिः इति उक्तवान् वृद्धः
sp027-000139_003	एतत् श्रुत्वा सन्तुष्टः तुलसीदासः तम् भक्त्या नमस्कृत्य पृष्टवान्
sp027-000140_003	भवतः किञ्चित् साहाय्यम् आवश्यकम्
sp027-000141_003	अहम् रामम् द्रष्टुमिच्छामि
sp027-000142_003	किम् भवान् दर्शयितुम् शक्नुयात् इति
sp027-000143_003	अवश्यम् दर्शयिष्यामि
sp027-000144_003	भवान् तम् कदा द्रष्टुम् इच्छति इति पृष्टवान् मारुतिः
sp027-000145_003	श्वः गृहे अहम् रामदर्शनार्थम् सन्नद्धः सन् स्थास्यामि
sp027-000146_003	अस्तु इति उक्त्वा ततः निर्गतवान् मारुतिः
sp027-000147_003	अनन्तरदिने तुलसीदासः पूजार्थम् प्रसादादिकम् सज्जीकृत्य गृहे रामस्य प्रतीक्षाम् कुर्वन् स्थितवान्
sp027-000148_003	मध्याह्नः अतीतः चेदपि रामः न दृष्टः
sp027-000149_003	अत्रान्तरे द्वौ भिक्षुको तत्र आगतौ
sp027-000150_003	भोजनादिकम् दृष्ट्वा तौ प्रार्थितवन्तौ आर्य भोजनम् दीयताम् इति
sp027-000151_003	तदा तुलसीदासः क्रोधेन एतत्सर्वम् रामस्य कृते मया सज्जीकृतम्
sp027-000152_003	एतत् भवतोः कृते कथम् वा दातुम् शक्येत
sp027-000153_003	किमपि न दीयते अत्र
sp027-000154_003	निर्गम्यताम् इति तर्जयित्वा तौ प्रेषितवान्
sp027-000155_003	किञ्चित्कालानन्तरम् तत्र प्रत्यक्षीभूतः मारुतिः पृष्टवान्
sp027-000156_003	किम् रामम् दृष्टवान् भवान् इति
sp027-000157_003	हुँ रामः नैव आगतः
sp027-000158_003	मया वृथा प्रतीक्षा कृता इति उक्तवान् तुलसीदासः
sp027-000159_003	तदा मारुतिः हसन् उक्तवान् यौ भिक्षुको आगतौ तौ एव
sp027-000160_003	मानवसेवा एव माधवसेवा
sp027-000161_003	रामलक्ष्मणौ आस्ताम् इति
sp027-000162_003	एतत् श्रुत्वा नितराम् दुःखितः तुलसीदासः पश्चात्तापमिश्रितेन स्वरेण
sp027-000163_003	पुनः एकवारम् रामम् मत्समीपम् आनयतु कृपया इति प्रार्थितवान्
sp027-000164_003	मारुतिः तत् अङ्गीकृतवान्
sp027-000165_003	अनन्तरदिने तुलसीदासः राममन्दिरे स्थितः आसीत्
sp027-000166_003	तदा तत्र द्वौ अन्धौ आगतौ
sp027-000167_003	तौ तुलसीदासम् स्पृष्ट्वा आवाम् रामम् द्रष्टुम् इच्छावः
sp027-000168_003	राममूर्तिः अत्र कुत्र अस्ति इति पृष्टवन्तौ
sp027-000169_003	धिक् भवन्तौ
sp027-000170_003	रामदर्शनार्थम् अहम् शुचिर्भूय स्थितवान् आसम्
sp027-000171_003	भवतोः स्पर्शात् मम शुचिता नष्टा
sp027-000172_003	अन्धौ भवन्तौ राममूर्तिम् कथम् द्रष्टुम् शक्नुतः
sp027-000173_003	निर्गच्छताम् इतः इति उक्त्वा तौ ततः प्रेषितवान् तुलसीदासः
sp027-000174_003	किञ्चित्कालानन्तरम् मारुतिः तत्र प्रत्यक्षः जातः
sp027-000175_003	किम् रामः इदानीम् दृष्टः इति तुलसीदासम् पृष्टवान् सः
sp027-000176_003	किम् मम उपहासम् करोति भवान् इति पृष्टवान् तुलसीदासः
sp027-000177_003	तौ अन्धौ एव रामलक्ष्मणौ आस्ताम् इति उक्तवान्
sp027-000178_003	तदा तुलसीदासः हा हन्त
sp027-000179_003	तस्मिन् क्षणे करुणाशालिनौ रामलक्ष्मणौ तुलसीदासस्य पुरतः प्रत्यक्षौ जातौ
sp027-000180_003	तदा रामः तम् उक्तवान्
sp027-000181_003	भक्तवर देवः दीनदरिद्रेषु एव वसति
sp027-000182_003	अतः दीनसेवा एव देवसेवा
sp027-000183_003	एतत् सम्यक् अवगच्छतु भवान् इति
sp027-000184_003	तदा पार्श्वे स्थितः लक्ष्मणः पृष्टवान्
sp027-000185_003	एवम् तर्हि मन्दिराणि किमर्थम्
sp027-000186_003	मूर्तयः किमर्थम्
sp027-000187_003	पूजादयः वा किमर्थम् इति
sp027-000188_003	एतत् श्रुत्वा रामः शान्तस्वरेण उक्तवान्
sp027-000189_003	सामान्यजनाः अपि देवम् स्मरन्तु इति उद्देशेन मूर्तयः भवन्ति
sp027-000190_003	भगवतः प्रार्थनार्थम् पूजामन्त्रादयः
sp027-000191_003	सेवा अन्यरीत्या न भवति
sp027-000192_003	मानवसेवा एव माधवसेवा इति
sp027-000193_003	एतत् अङ्गीकुर्वन् तुलसीदासः रामलक्ष्मणमारुतीन् भक्त्या नमस्कृतवान्
sp027-000194_003	ततः ते अदृश्याः जाताः
sp027-000195_004	क्षमा एव भूषणम्
sp027-000196_004	पर्वम् कश्चन ग्रामः आसीत्
sp027-000197_004	तस्मिन् कश्चन सज्जनः आसीत्
sp027-000198_004	कस्मिंश्चित् दिने यावत् सः देवपूजाम् समापितवान् तावता तस्य पुत्रः क्रोधान्वितः सन् वेगेन तत्र आगतः
sp027-000199_004	तम् दृष्ट्वा आश्चर्येण सः सज्जनः पृष्टवान्
sp027-000200_004	वत्स केन कारणेन भवान् क्रोधपिशाचेन ग्रस्तः इति
sp027-000201_004	अतः भवान् तम् सम्यक् दण्डयतु येन सः इतःपरम् मयि दृष्टिपातम् अपि न कुर्यात् इति
sp027-000202_004	तदा सज्जनः पिता उक्तवान्
sp027-000203_004	पुत्रः कर्मकरम् निन्दितुम् इच्छन् ततः यदा निर्गन्तुम् उद्युक्तः तदा पिता उक्तवान्
sp027-000204_004	इदानीम् यदि भवानपि तम् निन्दति तर्हि भवानपि तत्तुल्यः एव भवति
sp027-000205_004	अतः गमनात् पूर्वम् पुनः चिन्तयतु इति
sp027-000206_004	एतत् श्रुत्वा लज्जितः पुत्रः शिरः अवनमय्य तिष्ठन्
sp027-000207_004	तात तस्मिन् अहम् क्षमाम् एव प्रदर्शयामि इति उक्तवान्
sp027-000208_004	एषः तु योग्यः निर्णयः
sp027-000209_004	तन्त्राम
sp027-000210_004	एकम् उदाहरणम् वदामि शृणोतु
sp027-000211_004	एकस्मिन् मार्गे द्वौ अभिमुखम् आगतौ
sp027-000212_004	मार्गः लघुः आसीत्
sp027-000213_004	एकः पार्श्वे अपसरति चेदेव अन्यः अग्रे गन्तुम् शक्नोति स्म
sp027-000214_004	अन्यस्मै मार्गस्य दानम् अपमानकरम् इति चिन्तयन् तयोः एकः कोपमिश्रितस्वरेण अपरम् उक्तवान्
sp027-000215_004	भवान् अपसरतु इति
sp027-000216_004	तदा द्वितीयः शान्तस्वरेण उक्तवान्
sp027-000217_004	भवान् एव अपसरतु इति
sp027-000218_004	अहम् मूर्खाय मार्गम् न ददामि इति उक्तवान् प्रथमः
sp027-000219_004	अहम् तु मूर्खाय मार्गम् दातुम् सिद्धः इति वदन् द्वितीयः पार्श्वे गत्वा स्थितवान्
sp027-000220_004	प्रथमः स्ववचनात् स्वयम् मूर्खः जातः आसीत्
sp027-000221_004	ततः अपमाननम् च प्राप्तवान्
sp027-000222_004	औदार्यप्रदर्शनम् एव श्रेष्ठताम् कल्पयति इति पुत्रम् बोधितवान् सज्जनः
sp027-000223_005	सार्थकम् गीताध्ययनम्
sp027-000224_005	महात्मा वखन्नाथः बीकानेर्प्रदेशस्य रत्नदुर्गनगरे वासम् करोति स्म
sp027-000225_005	सः सुविख्यातः महापुरुषः आसीत्
sp027-000226_005	बालकस्य माता श्योबाई अतीव धर्मपरायणा
sp027-000227_005	सा वखन्नाथस्य दर्शनार्थम् पुत्रेण सह गतवती
sp027-000228_005	महात्मा आशीर्वादम् कृतवान्
sp027-000229_005	महात्मा वखनाथः स्वसमीपम् दर्शनार्थम् आगतान् सर्वानपि गीताध्ययने प्रेरयति स्म
sp027-000230_005	मात्रा सह गतः एषः बालकः अपि तस्य मुखात् गीताध्ययने प्रेरकाणि वचनानि श्रुतवान्
sp027-000231_005	तेन अत्यन्तम् प्रभावितः च अभवत्
sp027-000232_005	गृहम् प्रति प्रत्यागमनानन्तरम् सः बालकः गीताध्ययनम् आरब्धवान् एव
sp027-000233_005	गीतायाः तात्पर्यम् सम्यक् ज्ञातुम् बहुप्रयत्नम् कृतवान्
sp027-000234_005	अनेकानि पुस्तकानि पठितवान्
sp027-000235_005	कदाचित् सः गीतायाः मधुसूदनकृतटीकाभाष्य ग्रन्थम् प्राप्तवान्
sp027-000236_005	तस्य अर्थम् सम्पूर्णतया ज्ञातुम् इच्छन् सः तदर्थम् महात्मनः वखन्नाथस्य समीपमेव गतवान्
sp027-000237_005	वखन्नाथम् तद्विषये प्रार्थितवान् च
sp027-000238_005	सः चिन्तितवान् यत् अहो यत् टीकाभाष्यम् ज्ञातुम् विद्वांसः अपि कष्टम् अनुभवन्ति तत् कथम् एषः बालः ज्ञातुम् शक्नोति
sp027-000239_005	तस्य जिज्ञासा तु नितराम् श्लाघ्या एव
sp027-000240_005	अनन्तरम् सः कथमपि तम् बालक प्रतिनिवर्तितवान्
sp027-000241_005	सः बालकः न सन्तृप्तः
sp027-000242_005	सः अन्यम् कञ्चित् विज्ञम् पण्डितम् प्राप्तवान्
sp027-000243_005	तस्य सकाशात् च गीताभाष्यार्थबोधशिक्षाम् प्राप्तवान्
sp027-000244_005	गच्छता कालेन तस्य ज्ञानवृद्धिः अभवत्
sp027-000245_005	गीताशास्त्रपारङ्गतः सः महान् पण्डितः सञ्जातः
sp027-000246_005	अथ पुनः कदाचित् सः रत्नदुर्गम् गतवान्
sp027-000247_005	तत्र महात्मनः वखन्नाथस्य आश्रमम् गत्वा तत्र स्वकीयम् गीताव्याख्यानकौशलम् प्रदर्शितवान्
sp027-000248_005	महात्मा वखन्नाथः आश्चर्यचकितः भूत्वा तम् बहु प्रशंसितवान्
sp027-000249_005	प्रीत्या तम् आलिङ्गय आशीर्भिः अनुगृहीतवान्
sp027-000250_005	तेन तस्य युवकस्य उत्साहः परिवर्धितः अभवत्
sp027-000251_005	सः गीतायाः समग्रम् अपि भाष्यम् आत्मसात्कृतवान्
sp027-000252_005	परिणतवयसि गीता तत्त्वविवेचनी नामकम् बृहत् ग्रन्थम् रचितवान्
sp027-000253_005	गोरक्षपुरे अथवा गोरखपुरे विश्वविख्यातम् गीता प्रेस् नामकम् धार्मिकमुद्रणालयम् च संस्थापितवान्
sp027-000254_005	सः एव गीताराधनतत्परः श्री जयदयाल गोयन्दका
sp027-000255_006	भवद्वस्तु भवद्गृहे
sp027-000256_006	कश्चन ब्राह्मणः आसीत्
sp027-000257_006	तस्य एकः अनुजः आसीत्
sp027-000258_006	एतेन सः ब्राह्मणः अतीव उद्विग्नः अभवत्
sp027-000259_006	बुद्धस्य उपरि कोपम् कृतवानपि
sp027-000260_006	ब्राह्मणस्य तु धाराप्रवाहरूपेण निन्दनम् आसीतेव
sp027-000261_006	यदा ब्राह्मणः अपशब्दप्रयोगानन्तरम् निन्दनेन श्रान्तः जातः तदा तूष्णीम् स्थितः
sp027-000262_006	यदि इतोऽपि अस्ति कथयतु इति
sp027-000263_006	तस्य ईदृशीम् दशाम् दृष्ट्वा बुद्धः एव पृष्टवान्
sp027-000264_006	बन्धुवर कदाचित् भवतः गृहम् प्रति अतिथयः आगच्छन्ति किम् इति
sp027-000265_006	तदा ब्राह्मणः आम् अवश्यम् मम गृहम् प्रति अतथयः आगच्छन्ति
sp027-000266_006	अस्मिन् विषये कोऽपि सन्देहः नास्ति इति उक्तवान्
sp027-000267_006	बुद्धः पुनरपि पृष्टवान्
sp027-000268_006	यदि ते भवता दत्तम् न स्वीकुर्युः तर्हि किम् भवति
sp027-000269_006	ब्राह्मणः उक्तवान् मूर्खप्रश्नः एषः
sp027-000270_006	यद् वस्तु अतिथिभिः न स्वीकृतम् तद्वस्तु अस्माकम् गृहे एव स्थास्यति इति
sp027-000271_006	भगवान् बुद्धः उक्तवान्
sp027-000272_006	आम् अत्रकः सन्देहः
sp027-000273_006	बुद्धः उक्तवान् भोः ब्राह्मण शृणोतु
sp027-000274_006	किम् अस्मिन् विषये कोऽपि सन्देहः अस्ति इति
sp027-000275_006	एतत् श्रुत्वा ब्राह्मणः निरुत्तरः जातः
sp027-000276_006	अनन्तरम् सः अपि बुद्धस्य शिष्यः अभवत्
sp027-000277_007	परीक्षा
sp027-000278_007	विश्वश्रुतिनामकः कश्चित् पण्डितः आसीत्
sp027-000279_007	तस्य आश्रमः जगत्प्रसिद्धः आसीत्
sp027-000280_007	ततः शास्त्रशिक्षणम् प्राप्तुम् सुदूर् प्रदेशतः अपि छात्राः आगच्छन्ति स्म
sp027-000281_007	गुरुः विश्वश्रुतिः तान् पाठयति स्म
sp027-000282_007	यदा छात्राणाम् शिक्षणम् पूर्णम् भवति तदा सः एव तेषाम् परीक्षाम् करोति स्म
sp027-000283_007	एकदा तस्य सान्निध्ये अध्ययनम् कुर्वताम् त्रयाणाम् छात्राणाम् शिक्षणम् पूर्णम् जातम्
sp027-000284_007	गुरुः तेषाम् परीक्षाम् अकृत्वा एव तान् भवन्तः गृहम् गच्छन्तु इति आदिष्टवान्
sp027-000285_007	यदा ते आश्रमतः बहिः आगताः तदा मार्गे किञ्चित् दूरपर्यन्तम् पतितान् कण्टकान् दृष्टवन्तः
sp027-000286_007	प्रथमः छात्रः तान् कण्टकान् लङ्घयित्वा अग्रे गतवान्
sp027-000287_007	द्वितीयः तु तान् कण्टकान् दृष्टवान् क्षणम् यावत् तत्रैव स्थितवान्
sp027-000288_007	अनन्तरम् सोऽपि लङ्घनम् कृत्वा अग्रे गतवान्
sp027-000289_007	तृतीयः मार्गे स्थितान् तान् कण्टकान् दृष्टवान्
sp027-000290_007	अनन्तरम् सः तान् स्वीकृत्य अन्यत्र क्षिप्तवान्
sp027-000291_007	अग्रे गतवान्
sp027-000292_007	गुरुः एतत् सर्वम् रहसि स्थित्वा दृष्टवान्
sp027-000293_007	मार्गमध्ये गुरुः छात्रैः मिलितवान्
sp027-000294_007	तृतीयम् छात्रम् सः भवान् गृहम् गच्छतु
sp027-000295_007	भवतः शिक्षणम् पूर्णम् जातम् इति उक्तवान्
sp027-000296_007	प्रथमम् द्वितीयम् च आहूय
sp027-000297_007	गुरोः एतादृशेन व्यवहारेण आश्चर्यचकितौ तौ परस्परम् मुखम् दृष्टवन्तौ
sp027-000298_007	तदा पुनरपि गुरुः उक्तवान्
sp027-000299_007	केवलम् शास्त्राणाम् अध्ययनेन ज्ञानम् न भवति
sp027-000300_007	तेन ज्ञानम् सिध्यति
sp027-000301_007	भवतोः मित्रेण ज्ञातम् यत् मार्गे कण्टकाः सन्ति चेत् जनानाम् कष्टम् भवति
sp027-000302_007	अतः एव सः तान् मार्गात् दूरीकृतवान्
sp027-000303_007	तेन अहम् निर्णयम् कृतवान् यत् तस्य शिक्षणम् समाप्तम्
sp027-000304_007	गुरोः वचनेन तौ शिष्यौ लज्जितौ जातौ
sp027-000305_007	ततः गुरुणा सह आश्रमम् प्रति गतवन्तौ
sp027-000306_008	स्वर्गप्रवेशः कस्य
sp027-000307_008	एकदा त्रयः पुरुषाः स्वर्गम् प्रति प्रस्थिताः आसन्
sp027-000308_008	तेषु प्रथमः महान् पण्डितः
sp027-000309_008	द्वितीयः कश्चन पुरोहितः
sp027-000310_008	अन्तिमः कश्चन सामान्यः कृषिकश्च
sp027-000311_008	ते त्रयः अपि स्वर्गद्वारम् गत्वा अन्तः प्रवेष्टुम् उद्युक्ताः आसन्
sp027-000312_008	तदा द्वारपालकः तान् पृष्टवान्
sp027-000313_008	भवन्तः कीदृशानि सत्कार्याणि कृतवन्तः येन स्वर्गप्रवेशम् इच्छन्ति इति
sp027-000314_008	तदा पण्डितः उक्तवान्
sp027-000315_008	सर्वाणि शास्त्राणि अपि मम मुखे एव सन्ति
sp027-000316_008	अतः अहमेव स्वर्गम् गन्तुम् अर्हः इति
sp027-000317_008	परन्तु भवान् अधीतम् एकम् अपि अंशम् स्वजीवने व्यवहारम् न आनीतवान्
sp027-000318_008	तदा पुरोहितः उक्तवान् अहम् बहून् यज्ञयागादीन् कृत्वा पुण्यम् सम्पादितवान् अस्मि
sp027-000319_008	अतः अहमेव स्वर्गम् गन्तुम् अर्हः इति
sp027-000320_008	भवान् स्वसुखाय स्वक्षेमाय केवलम् यज्ञयागदीन् कृतवान्
sp027-000321_008	स्वार्थी पुरुषः स्वर्गम् प्रवेष्टुम् न अर्हति इति उक्त्वा द्वारपालकः तमपि निराकृतवान्
sp027-000322_008	ततः कृषिकः उक्तवान् अहम् तु साधारणः कश्चन कृषिकः
sp027-000323_008	एतदेव मया कृतम् उत्तमम् कार्यम्
sp027-000324_008	अहम् न जानामि यत् अहम् स्वर्गम् प्रवेष्टुम् अर्हः उत न इति
sp027-000325_008	भवान् एव स्वर्गम् प्रवेष्टुम् अर्हति
sp027-000326_008	अपि तु अन्येषाम् दुःखनिवारणेन लभ्यते
sp027-000327_008	इति वदन् द्वारपालकः तम् कृषिकम् स्वर्गस्य अन्तः प्रवेशितवान्
sp027-000328_009	रसहीनानि फलानि
sp027-000329_009	कस्मिंश्चित् राज्ये उत्तमः सत्य परिपालकः च महाराजः आसीत्
sp027-000330_009	एकदा सः मृगयार्थम् स्वसेनापरिवारैः सह वनम् गतवान्
sp027-000331_009	मृगयाम् कुर्वन्तः ते सर्वे बहुदूरम् गतवन्तः
sp027-000332_009	राजभटाः जलम् अन्विष्यन्तः समीपे विद्यमानम् उपवनम् प्रविष्टवन्तः
sp027-000333_009	तैः सह महाराजः अपि उपवनम् प्रविष्टवान्
sp027-000334_009	मन्त्रिसेनापतीत्यादयः अपि तम् अनुसृतवन्तः
sp027-000335_009	तत् सुन्दरम् उपवनमासीत्
sp027-000336_009	सर्वत्र दाडिमवृक्षाः दृश्यन्ते स्म
sp027-000337_009	वृक्ष बहूनि दाडिमफलानि आसन्
sp027-000338_009	एतेषाम् आगमनम् ज्ञात्वा तत्रत्यः रक्षकः राजपरिवारस्य स्वागतम् कृतवान्
