sp003-000001_RV_03	राज्ञी सुदक्षिणा गर्भमाधत्त इत्युक्तम्
sp003-000085_RV_03	अत्र वाग्भटः पादशोफो विदाहोऽन्ते श्रद्धा च विविधात्मिका इति
sp003-000086_RV_03	एतच्च पत्नीमनोरथपूरण अकरणे दृष्टदोषसम्भवात्
sp003-000087_RV_03	न तु राज्ञः प्रीतिलौल्यात्
sp003-000088_RV_03	तदुक्तम् देयमप्यहितम् तस्यै हितोपहितमल्पकम्
sp003-000089_RV_03	श्रद्धाविघाते गर्भस्य विकृतिः च्युतिरेव वा
sp003-000090_RV_03	अन्यत्र च दोहदस्याप्रदानेन गर्भो दोषम् अवाप्नुयात् इति
sp003-000091_RV_03	क्रमेणेति
sp003-000092_RV_03	सा सुदक्षिणा क्रमेण दोहदव्यथाम् च निस्तीर्य प्रचीयमानावयवा पुष्यमाणावयवा सती
sp003-000093_RV_03	पुराणपत्राणाम् अपगमात् नाशात् अनन्तरम् सन्नद्धाः सञ्जाताः प्रत्यग्रत्वात् मनोज्ञाः पल्लवाः यस्याम् सा लता इव
sp003-000094_RV_03	रराज
sp003-000095_RV_03	लक्षणान्तरम् वर्णयति दिनेष्वति
sp003-000096_RV_03	दिनेषु दोहददिवसेषु गच्छत्सु सत्सु नितान्तपीवरम् अतिस्थूलम्
sp003-000097_RV_03	आ समन्तात् नीले मुखे चूचुके यस्य तत्
sp003-000098_RV_03	तदीयम् स्तनद्वयम्
sp003-000099_RV_03	भ्रमरैः अभिलीनयोः अभिव्याप्तयोः सुजातयोः सुन्दरयोः पङ्कजकोशयोः पद्ममुकुलयोः श्रियम् तिरश्चकार
sp003-000100_RV_03	अत्र वाग्भटः अम्लेष्टता स्तनौ पीनौ श्वेतान्तौ कृष्णचूचुकाविति
sp003-000101_RV_03	विधानेति
sp003-000102_RV_03	नृपः ससत्त्वाम् आपन्नसत्त्वाम्
sp003-000103_RV_03	गर्भिणीमित्यर्थः
sp003-000104_RV_03	आपन्नसत्त्वा स्याद्गुर्विण्यन्तर्वत्नी च गर्भिणी इत्यमरः
sp003-000105_RV_03	महिषीम्
sp003-000106_RV_03	निधानम् निधिः गर्भे यस्याः ताम् सागराम्बराम् समुद्रवसनाम्
sp003-000107_RV_03	भूमिमिवेत्यर्थः भूतधात्री रत्नगर्भा जगती सागराम्बरा इति कोशः
sp003-000108_RV_03	अभ्यन्तरे लीनः पावकः यस्याः ताम् शमीम् इव
sp003-000109_RV_03	शमीतरौ वह्निरसीत्यत्र लिङ्गम् शमीगर्भादग्निम् जनयतीति
sp003-000110_RV_03	अन्तःसलिलाम् अन्तर्गतजलाम् सरस्वतीम् नदीम् इव
sp003-000111_RV_03	अमन्यत
sp003-000112_RV_03	एतेन गर्भस्य भाग्यवत्त्वतेजस्वितपावनत्वानि विवक्षितानि
sp003-000113_RV_03	प्रियेति
sp003-000114_RV_03	धीरः सः राजा प्रियायाम् अनुरागस्य मनसः समुन्नतेः औदार्यस्य
sp003-000115_RV_03	भुजेन भुजबलेन करेण वा अर्जितानाम्
sp003-000116_RV_03	न तु वाणिज्यादिना
sp003-000117_RV_03	दिगन्तेषु सम्पदाम्
sp003-000118_RV_03	धृतेः पुत्रो मे भाविष्यतीति सन्तोषस्य च धृतिर्योगान्तरे धैर्ये धारणाध्वरतुष्टिषु इति विश्वः
sp003-000119_RV_03	सदृशीः अनुरूपाः
sp003-000120_RV_03	पुमान्सूयते अनेनेति पुंसवनम्
sp003-000121_RV_03	तदादिः यासाम् ताः क्रियाः यथाक्रमम् क्रमम् अनतिक्रम्य व्यधत्त कृतवान्
sp003-000122_RV_03	आदिशब्देन अनवलोभनसीमन्तोन्नयने गृह्येते
sp003-000123_RV_03	अत्र मासि द्वितीये तृतीये वा पुंसवनम्
sp003-000124_RV_03	यदा पुंसा नक्षत्रेण चन्द्रमा युक्तः स्यात् इति पारस्करः
sp003-000125_RV_03	चतुर्थेऽनवलोभनम् इत्याश्वलायनः
sp003-000126_RV_03	षष्ठे अष्टमे वा सीमन्तोन्नयम् इति याज्ञवल्क्यः
sp003-000127_RV_03	सुरेन्द्रेति
sp003-000128_RV_03	गृहागतः नृपः सुरेन्द्राणाम् लोकपालानाम् मात्राभिः अंशैः आश्रितस्य अनुप्रविष्टस्य गर्भस्य गौरवात् भारात् प्रयत्नेन मुक्तासनया
sp003-000129_RV_03	आसनादुत्थितया इत्यर्थः
sp003-000130_RV_03	उपचारस्य अञ्जलौ अञ्जलिकरणे खिन्नहस्तया पारिप्लवनेत्रया तरलाक्ष्या
sp003-000131_RV_03	चञ्चलम् तरलम् चैव पारिप्लवपरिप्लवे इत्यमरः
sp003-000132_RV_03	तया सुदक्षिणया ननन्द
sp003-000133_RV_03	सुरेन्द्रमात्राश्रित इत्यत्र मनुः अष्टाभिश्च सुरेन्द्राणाम् मात्राभिर्निर्मितो नृपः इति
sp003-000134_RV_03	कुमारेति
sp003-000135_RV_03	अथ
sp003-000136_RV_03	कुमारभृत्या बालचिकित्सा
sp003-000137_RV_03	सञ्ज्ञायाम् समजनिषद इत्यादिना क्यप्
sp003-000138_RV_03	तस्याम् कुशलैः कृतिभिः
sp003-000139_RV_03	कृती कृशलः इत्यमरः
sp003-000140_RV_03	आप्तैः हितैः भिषग्भिः वैद्यैः
sp003-000141_RV_03	भिषग्वैद्यौ चिकित्सके इत्यमरः
sp003-000142_RV_03	गर्भस्य भर्मणि
sp003-000143_RV_03	भरणे पोषणे भर्म इति हैमः
sp003-000144_RV_03	मृतिर्भर्म इति शाश्वतः
sp003-000145_RV_03	भृञो मनिच्प्रत्ययः
sp003-000146_RV_03	गर्भकर्मणि इति पाठे गर्भाधानप्रतीतौ औचित्यभङ्गः
sp003-000147_RV_03	अनुष्ठिते कृते सति
sp003-000148_RV_03	काले दशमे मासि
sp003-000149_RV_03	अन्यत्र ग्रीष्मावसाने
sp003-000150_RV_03	प्रसवस्य गर्भमोचनस्य उन्मुखीम्
sp003-000151_RV_03	आसन्नप्रसवाम् इत्यर्थः
sp003-000152_RV_03	स्यादुत्पादे फले पुष्पे प्रसवो गर्भमोचने इत्यमरः
sp003-000153_RV_03	प्रियाम् भार्याम्
sp003-000154_RV_03	अभ्राणि अस्याः सञ्जातानि अभ्रिता ताम्
sp003-000155_RV_03	तदस्य सञ्जातम् तारकादिभ्यः इतच् इतीतच्प्रत्युयः
sp003-000156_RV_03	दिवम् इव
sp003-000157_RV_03	पतिः भर्ता प्रतीतः हृष्टः सन्
sp003-000158_RV_03	ख्याते हृष्टे प्रतीतः इत्यमरः
sp003-000159_RV_03	ददर्श दृष्टवान्
sp003-000160_RV_03	ग्रहैरिति
sp003-000161_RV_03	ततः शच्या इन्द्राण्या समा
sp003-000162_RV_03	पुलोमजा शचीन्द्राणी इत्यमरः
sp003-000163_RV_03	सा सुदक्षिणा समये प्रसूतिकाले सति
sp003-000164_RV_03	दशमे मासि इत्यर्थः
sp003-000165_RV_03	दशमे मासि जायते इति श्रुतेः
sp003-000166_RV_03	उच्चसंश्रयैः उच्चसंस्थैः तुङ्गस्थानगैः असूर्यगैः अनस्तमितैः कैश्चित् यथासम्भवम्
sp003-000167_RV_03	पञ्चभिर्ग्रहैः सूचिता भाग्यसम्पत् यस्य तम् पुत्रम्
sp003-000168_RV_03	त्रीणि प्रभावमन्त्रोत्साहात्मकानि साधनानि उत्पादकानि यस्याः सा त्रिसाधना शक्तिः
sp003-000169_RV_03	शक्तयस्तिस्रः प्रभावोत्साहमन्त्रजाः इत्यमरः
sp003-000170_RV_03	अक्षयम् अर्थम् इव
sp003-000171_RV_03	असूत
sp003-000172_RV_03	षूङ् प्राणिगर्भविमोचने इत्यात्मनेपदिषु पठ्यते
sp003-000173_RV_03	अस्माद्धातोः कर्तरि लङ्
sp003-000174_RV_03	अत्रेदम् अनुसन्धेयम् अजवृषभमृगाङ्गनाकुलीरा झषवणिजौ च दिवाकरादितुङ्गाः
sp003-000175_RV_03	दशशिखिमनुयुक्तिथीन्द्रियांशैस्त्रिनवकविंशतिभिश्च तेऽस्तनीचाः इति
sp003-000176_RV_03	सूर्यादीनाम् सप्तानाम् ग्रहाणाम् मेषवृषभादयः राशयः श्लोकोक्तक्रमविशिष्टाः उच्चस्थानानि
sp003-000177_RV_03	स्वस्वतुङ्गापेक्षया सप्तमस्थानानि च नीचानि
sp003-000178_RV_03	तत्र उच्चेष्वपि दशमादयः राशिः त्रिंशांशाः यथाक्रमम् उच्चेषु परमोच्चाः नीचेषु परमनीचाः इति जातकश्लोकार्थः
sp003-000179_RV_03	अत्रा अंशः त्रिंशो भागः
sp003-000180_RV_03	यथाह नारदः त्रिंशद्भागात्मकम् लग्नम् इति
sp003-000181_RV_03	सूर्यप्रत्यासत्तिः ग्रहाणाम् अस्तमयो नाम
sp003-000182_RV_03	तदुक्तम् लघुजातके रविणास्तमयो योगो वियोगस्तूदयो भवेत् इति
sp003-000183_RV_03	ते च स्वोच्चस्थाः फलन्ति नास्तगाः नापि नीचगाः
sp003-000184_RV_03	तदुक्तम् राजमृगाङ्के स्वोच्चे पूर्णम् स्वर्क्षकेऽर्धम् सुह्रद्भे पादम् द्विड्भेऽल्पम् शुभम् खेचरेन्द्रः
sp003-000185_RV_03	नीचस्थायी नास्तगो वा न किञ्चित् पादम् नूनम् स्वत्रिकोणे ददाति
sp003-000186_RV_03	इति
sp003-000187_RV_03	तदिदमाह कविः उच्चसंस्थैः असूर्यगैः इति
sp003-000188_RV_03	एवम् सति यस्य जन्मकाले पञ्चप्रभृतयः ग्रहाः स्वोच्चस्थाः स एव तुङ्गो भवति
sp003-000189_RV_03	तदुक्तम् कूटस्थीये सुखिनः प्रकृष्टकार्याः राजप्रतिरूपकाश्च राजानः
sp003-000190_RV_03	एकद्वित्रिचतुर्भिजायन्ते अतः परम् दिव्याः इति
sp003-000191_RV_03	तदिदम् आह पञ्चभिरिति
sp003-000192_RV_03	दिश इति
sp003-000193_RV_03	तत्क्षणम् तस्मिन्क्षणे
sp003-000194_RV_03	कालाध्वनोरत्यन्तसंयोगे इति द्वितीया
sp003-000195_RV_03	दिशः प्रसेदुः प्रसन्ना बभूवुः
sp003-000196_RV_03	मरुतः वाताः सुखाः मनोहराः ववुः
sp003-000197_RV_03	अग्निः प्रदक्षिणार्चिः सन् हविः आददे स्वीचकार
sp003-000198_RV_03	इत्थम् सर्वम् शुभशंसि शुभसूचकम् बभूव
sp003-000199_RV_03	तथाहि
sp003-000200_RV_03	तादृशाम् रघुप्रकाराणाम् भवः जन्म लोकाभ्युदयाय
sp003-000201_RV_03	भवतीति शेषः
sp003-000202_RV_03	ततः देवाः अपि सन्तुष्टाः इत्यर्थः
sp003-000203_RV_03	अरिष्ट शय्यामिति
sp003-000204_RV_03	अरिष्टम् सूतिकागृहम् इत्यमरः
sp003-000205_RV_03	अरिष्टे सूतिकागृहे शय्याम् तल्पम् परितः अभितः
sp003-000206_RV_03	अभितःपरितःसमयानिकषाहाप्रतियोगेऽपि इति द्वितीया
sp003-000207_RV_03	विसारिणा
sp003-000208_RV_03	सुजन्मनः शोभनोत्पत्तेः
sp003-000209_RV_03	जनुर्जननजन्मानि जनिरुत्पत्तिरुद्भवः इत्यमरः
sp003-000210_RV_03	तस्य शिशोः निजेन नैसर्गिकेण तेजसा सहसा हतत्विषः क्षीणकान्तयः निशीथदीपाः अर्धरात्रदीपाः
sp003-000211_RV_03	अर्धरात्रनिशीथौ द्वौ इत्यमरः
sp003-000212_RV_03	आलेख्यसमर्पिताः चित्रार्पिताः इव बभूवुः
sp003-000213_RV_03	निशीथशब्दः दीपानाम् प्रभाधिक्यसम्भावनार्थः
sp003-000214_RV_03	जनायेति
sp003-000215_RV_03	भूपतेः दिलीपस्य अमृतसम्मिताक्षरम् अमृतसमानाक्षरम्
sp003-000216_RV_03	सरूपसमसम्मिताः इत्याह दण्डी
sp003-000217_RV_03	कुमारजन्म पुत्रोत्पत्तिम् शंसते कथयते शुद्धान्तचराय अन्तःपुरचारिणे जनाय त्रयमेव अदेयम् आसीत्
sp003-000218_RV_03	तत् किम्
sp003-000219_RV_03	शशिप्रभम् उज्ज्वलम् छत्रम्
sp003-000220_RV_03	उभे चामरे च
sp003-000221_RV_03	छत्रादीनाम् राज्ञः प्रधानाङ्गत्वात् इति भावः
sp003-000222_RV_03	निवातेति
sp003-000223_RV_03	निवातः निर्वातप्रदेशः
sp003-000224_RV_03	निवातावाश्रयावातौ इत्यमरः
sp003-000225_RV_03	तत्र यत्पद्मम् तद्वत्स्थिमितेन निष्पन्देन चक्षुषा नेत्रेण कान्तम् सुन्दरम्
sp003-000226_RV_03	सुताननम् पुत्रमुखम् पिबतः तृष्णया पश्यतः नृपस्य
sp003-000227_RV_03	गुरुः उत्कटः प्रहर्षः इन्दुदर्शनात् गुरुः महोदधेः पूरः जलौघ इव
sp003-000228_RV_03	आत्मनि शरीरे न प्रबभूव स्थातुम् न शशाक
sp003-000229_RV_03	अन्तर्न माति स्म इति यावत्
sp003-000230_RV_03	नहि अल्पाधारे अधिकम् मीयते इति भावः
sp003-000231_RV_03	यद्वा हर्षः आत्मानि स्वस्मिन्विषये न प्रबभूव
sp003-000232_RV_03	आत्मानम् नियन्तुम् न शशाक
sp003-000233_RV_03	किन्तु बहिः निर्जगाम इत्यर्थः
sp003-000234_RV_03	स इति
sp003-000235_RV_03	सः दिलीपसूनुः
sp003-000236_RV_03	तपस्विना पुरोधसा पुरोहितेन
sp003-000237_RV_03	पुरोधास्तु पुरोहितः इत्यमरः
sp003-000238_RV_03	वसिष्ठेन
sp003-000239_RV_03	तपस्वित्वात् तदनुष्ठितम् कर्म सवीर्यम् स्यादिति भावः
sp003-000240_RV_03	तपोवनात् एत्य आगत्य
sp003-000241_RV_03	अखिले समग्रे जातकर्मणि जातस्य कर्तव्यसंस्कारविशेषे कृते सति
sp003-000242_RV_03	प्रयुक्तः संस्कारः शाणोल्लेखनादिः यस्य सः तथोक्तः
sp003-000243_RV_03	आकरोद्भवः खनिप्रभवः
sp003-000244_RV_03	खनिः स्त्रियाम् आकरः स्यात् इत्यमरः
sp003-000245_RV_03	मणिरिव
sp003-000246_RV_03	अधिकम् बभौ
sp003-000247_RV_03	वसिष्ठमन्त्रप्रभावात् तेजिष्ठः अभूदित्यर्थः
sp003-000248_RV_03	अत्र मनुः प्राङ्नाभिवर्धनात् पुंसो जातकर्म विधीयते इति
sp003-000249_RV_03	सुखेति
sp003-000250_RV_03	सुखः सुखकरः श्रवः श्रवणम् येषाम् ते सुखश्रवाः
sp003-000251_RV_03	श्रुतिसुखाः इत्यर्थः
sp003-000252_RV_03	मङ्गलतूर्यनिस्वनाः मङ्गलवाद्यध्वनयः वारयोषिताम् वेश्यानाम्
sp003-000253_RV_03	वारस्त्री गणिका वेश्या रूपाजीवा इत्यमरः
sp003-000254_RV_03	प्रमोदनृत्यैः हर्षनर्तनैः सह मागधीपतेः दिलीपस्य सद्मनि केवलम् गृहे एव न व्यजृम्भन्त
sp003-000255_RV_03	किन्तु द्यौः ओकः येषाम् ते दिवौकसः देवाः
sp003-000256_RV_03	पृषोदरादित्वात्साधुः
sp003-000257_RV_03	तेषाम् पथि आकाशे अपि व्यजृम्भन्त
sp003-000258_RV_03	अस्य देवांशत्वात् देवोपकारित्वाच्च देवदुन्दुभयोऽपि नेदुरिति भावः
sp003-000259_RV_03	नेति
sp003-000260_RV_03	रक्षितुः सम्यक्पालनशीलस्य तस्य दिलीपस्य
sp003-000261_RV_03	अत एव चौराद्यभावात्
sp003-000262_RV_03	संयतः बद्धः न बभूव नाभूत्
sp003-000263_RV_03	किम् तेन अत आह विसर्जयेदिति
sp003-000264_RV_03	सुतजन्मना हर्षितः तोषितः सन्
sp003-000265_RV_03	यम् बद्धम् विसर्जयेत् विमोचयेत्
sp003-000266_RV_03	किन्तु स राजा तदा पितॄणाम् ऋणाभिधानात् बन्धनात् केवलम् एकम् यथा तथा
sp003-000267_RV_03	स्वयमेव
sp003-000268_RV_03	एक एवेत्यर्थः
sp003-000269_RV_03	केवलः कृत्स्न एकश्च केवलश्चावधीरितः इति शाश्वतः
sp003-000270_RV_03	मुमुचे
sp003-000271_RV_03	कर्मकर्तरि लिट्
sp003-000272_RV_03	स्वयमेव मुक्तः इत्यर्थः
sp003-000273_RV_03	अस्मिन्नर्थे एष वा अनृणो यः पुत्री इति श्रुतिः प्रमाणम्
sp003-000274_RV_03	श्रुतस्येति
sp003-000275_RV_03	अर्थवित् शब्दार्थज्ञः पार्थिवः पृथिवीश्वरः दिलीपः
sp003-000276_RV_03	अयमर्भकः बालकः श्रुतस्य शास्त्रस्य अन्तम् पारम् यायात्
sp003-000277_RV_03	तथा युधि परेषाम् शत्रूणाम् अन्तम् पारम् च यायात्
sp003-000278_RV_03	यातुम् शक्नुयादित्यर्थः
sp003-000279_RV_03	शकि लिङ् च इति शक्यार्थे लिङ्
sp003-000280_RV_03	इति हेतोः धातोः अघिवघिलघि गत्यर्थाः इति लगिधातोः गमनाख्यम् अर्थम् अर्थवित्त्वात् अवेक्ष्य आलोच्य
sp003-000281_RV_03	आत्मसम्भवम् पुत्रम् नाम्ना रघुम् चकार
sp003-000282_RV_03	लङ्घिबंह्योः नलोपश्च इत्युप्रत्यये वालमूललघ्वलमङ्गुलीनाम् वा लो रत्वमापद्यते इति वैकल्पिके रेफादेशे रघुरिति रूपम् सिद्धम्
sp003-000283_RV_03	अत्र शङ्खः आशौचे तु व्यतिक्रान्ते नामकर्म विधीयते इति
sp003-000284_RV_03	पितुरिति
sp003-000285_RV_03	सः रघुः समग्रसम्पदः पूर्णलक्ष्मीकस्य पितुः दिलीपस्य प्रयत्नात् शुभैः मनोहरैः शरीरावयवैः
sp003-000286_RV_03	हरिदश्वदीधितेः सूर्यस्य रश्मेः
sp003-000287_RV_03	भास्वत् विवस्वत्सप्ताश्व हरिदश्वोष्णरश्मयः इत्यमरः
sp003-000288_RV_03	अनुप्रवेशात् बालचन्द्रमाः इव
sp003-000289_RV_03	दिने दिने प्रतिदिनम्
sp003-000290_RV_03	नित्यवीप्सयोः इति द्विर्वचनम्
sp003-000291_RV_03	वृद्धिम् पुपोष
sp003-000292_RV_03	अत्र वराहसंहितावचनम् सलिलमये शशिनि रवेर्दीधितयो मूर्च्छिताः तमो नैशम्
sp003-000293_RV_03	क्षपयन्ति दर्पणोदरनिहिता इव मन्दिरस्यान्तः इति
sp003-000294_RV_03	उमेति
sp003-000295_RV_03	उमावृषाङ्कौ पार्वतीवृषभध्वजौ शरजन्मना कार्तिकेयेन
sp003-000296_RV_03	कार्तिकेयो महासेनः शरजन्मा षडाननः इत्यमरः
sp003-000297_RV_03	यथा ननन्दतुः
sp003-000298_RV_03	शचीपुरन्दरौ जयन्तेन जयन्ताख्येन सुतेन जयन्तः पाकशासनिः इत्यमरः
sp003-000299_RV_03	यथा ननन्दतुः
sp003-000300_RV_03	तथा तत्समौ ताभ्याम् उमावृषाङ्काभ्याम् शचीपुरन्दराभ्याम् च समौ समानौ
sp003-000301_RV_03	सा मागधी नृपश्च तत्सदृशेन ताभ्याम् कुमारजयन्ताभ्याम् सदृशेन सुतेन ननन्दतुः
sp003-000302_RV_03	मागधी प्राक् व्याख्याता
sp003-000303_RV_03	रथाङ्गेति
sp003-000304_RV_03	रथाङ्गनाम्नी च रथाङ्गनामा च रथाङ्गनामानौ चक्रवाकौ
sp003-000305_RV_03	पुमान्स्त्रिया इत्येकशेषः
sp003-000306_RV_03	तयोरिव तयोः दम्पत्योः भावबन्धनम् हृदयाकर्षकम् परस्पराश्रयम् अन्योन्यविषयम्
sp003-000307_RV_03	यत्प्रेम बभूव तदेकेन केवलेन ताभ्याम् अन्येन वा
sp003-000308_RV_03	एके मुख्यान्यकेवलाः इत्यमरः
sp003-000309_RV_03	सुतेन विभक्तमपि कृतविभागमपि परस्परस्य उपरि पर्यचीयत ववृधे
sp003-000310_RV_03	कर्मकर्तरि लिट्
sp003-000311_RV_03	अकृत्रिमत्वात् स्वयमेव उपचितमित्यर्थः
sp003-000312_RV_03	यदेकाधारम् वस्तु तदाधारद्वये विभज्यमानम् हीयते
