sp018-000001_001	अथ अष्टमोऽध्यायः
sp018-000059_001	अचिन्त्यरूपम् न अस्य रूपम् नियतम् विद्यमानम् अपि केनचित् चिन्तयितुम् शक्यते इति अचिन्त्यरूपः तम्
sp018-000060_001	तमसः परस्तात् अज्ञानलक्षणात् मोहान्धकारात् परम् तम् अनुचिन्तयन् याति इति पूर्वेण सम्बन्धः
sp018-000061_001	प्रयाणकाले मरणकाले मनसा अचलेन चलनवर्जितेन
sp018-000062_001	भक्त्या युक्तः भजनम् भक्तिः तया युक्तः
sp018-000063_001	योगबलेन च एव योगस्य बलम् योगबलम् चित्तस्थैर्यलक्षणम् योगबलम् तेन च युक्तः इति अर्थः
sp018-000064_001	पूर्वम् हृदयपुण्डरीके वशीकृत्य चित्तम् ततः ऊर्ध्वगामिन्या नाड्या भूमिजयक्रमेण
sp018-000065_001	भ्रुवोः मध्ये प्राणम् आवेश्य स्थापयित्वा सम्यक् अप्रमत्तः सन्
sp018-000066_001	सः एवम् विद्वान् योगी कविम् पुराणम् इत्यादिलक्षणम्
sp018-000067_001	तम् परम् परतरम् पुरुषम् उपैति प्रतिपद्यते दिव्यम् द्योतनात्मकम्
sp018-000068_001	पुनरपि वक्ष्यमाणेन उपायेन प्रतिपित्सितस्य ब्रह्मणो वेदविद्वद् अनादिविशेषणविशेष्यस्य अभिधानम् करोति भगवान्
sp018-000069_002	यत् अक्षरम् न क्षरति इति अक्षरम् अविनाशि वेदविदः वेदार्थज्ञाः वदन्ति
sp018-000070_002	तद्वा एतद् अक्षरम् गार्गि ब्राह्मणा अभिवदन्ति इति श्रुतेः
sp018-000071_002	सर्वविशेषनिवर्तकत्वेन अभिवदन्ति
sp018-000072_002	किञ्च विशन्ति प्रविशन्ति सम्यग्दर्शनप्राप्तौ सत्याम् यत् यतयः यतनशीलाः सन्न्यासिनः
sp018-000073_002	वीतरागाः वीतः विगतः रागः येभ्यः ते वीतरागाः
sp018-000074_002	यच्च अक्षरमिच्छन्तः ज्ञातुम् इति वाक्यशेषः
sp018-000075_002	ब्रह्मचर्यम् गुरौ चरन्ति आचरन्ति
sp018-000076_002	तत् ते पदम् तत् अक्षराख्यम् पदम् पदनीयम् ते तव सङ्ग्रहेण सङ्ग्रहः सङ्क्षेपः
sp018-000077_002	तेन सङ्क्षेपेण प्रवक्ष्ये कथयिष्यामि
sp018-000078_002	स यो ह वै तद्भगवन् मनुष्येषु प्रायणान्तम् ओङ्कारम् अभिध्यायीत
sp018-000079_002	कतमम् वाव स तेन लोकम् जयति इति
sp018-000080_002	तस्मै स होवाच एतद्वै सत्यकाम परम् च अपरम् च ब्रह्म यद् ओङ्कारः इति उपक्रम्य
sp018-000081_002	यः पुनः एतम् त्रिमात्रेण ओमिति एतेन एव अक्षरेण परम् पुरुषम् अभिध्यायीत
sp018-000082_002	स सामभिः उन्नीयते ब्रह्मलोकम् इत्यादिना वचनेन
sp018-000083_002	अन्यत्र धर्माद् अन्यत्राधर्मात् इति च उपक्रम्य
sp018-000084_002	सर्वे वेदा यत्पदम् आमनन्ति
sp018-000085_002	तपांसि सर्वाणि च यद्वदन्ति
sp018-000086_002	यत् इच्छन्तो ब्रह्मचर्यम् चरन्ति तत्ते पदम् सङ्ग्रहेण ब्रवीमि ओम् इति एतत्
sp018-000087_002	परस्य ब्रह्मणो वाचकरूपेण प्रतिमावत् प्रतीकरूपेण वा
sp018-000088_002	परब्रह्मप्रतिपत्तिसाधनत्वेन मन्दमध्यमबुद्धीनाम् विवक्षितस्य ओङ्कारस्य उपासनम् कालान्तरे मुक्तिफलम् उक्तम् यत्
sp018-000089_002	तदेव इह अपि कविम् पुराणम् अनुशासितारम्
sp018-000090_002	यदक्षरम् वेदविदो वदन्ति इति च उपन्यस्तस्य परस्य ब्रह्मणः
sp018-000091_002	पूर्वउक्तरूपेण प्रतिपत्त्युपायभूतस्य ओङ्कारस्य कालान्तरमुक्तिफलम् उपासनम् योगधारणासहितम् वक्तव्यम्
sp018-000092_002	प्रसक्तानुप्रसक्तम् च यत्किञ्चित् इति एवम् अर्थः उत्तरो ग्रन्थ आरभ्यते
sp018-000093_002	सर्वद्वाराणि सर्वाणि च तानि द्वाराणि च सर्वद्वाराणि उपलब्धौ
sp018-000094_002	तानि सर्वाणि संयम्य संयमनम् कृत्वा
sp018-000095_002	मनः हृदि हृदयपुण्डरीके निरुध्य निरोधम् कृत्वा
sp018-000096_002	तत्र वशीकृतेन मनसा हृदयात् ऊर्ध्वगामिन्या नाड्या ऊर्ध्वम् आरुह्य
sp018-000097_002	मूर्ध्नि आधाय आत्मनः प्राणम् आस्थितः प्रवृत्तः योगधारणाम् धारयितुम्
sp018-000098_002	तत्र एव च धारयन्
sp018-000099_002	ओम् इति एक अक्षरम् ब्रह्म ब्रह्मणः अभिधानभूतम् ओङ्कारम् व्याहरन् उच्चारयन्
sp018-000100_002	तत् अर्थभूतम् माम् ईश्वरम् अनुस्मरन् अनुचिन्तयन् यः प्रयाति म्रियते
sp018-000101_002	सः त्यजन् परित्यजन् देहम् शरीरम्
sp018-000102_002	त्यजन् देहम् इति प्रयाणविशेषणार्थम् देहत्यागेन प्रयाणम् आत्मनः
sp018-000103_002	न स्वरूपनाशेन इति अर्थः
sp018-000104_002	सः एवम् याति गच्छति परमाम् प्रकृष्टाम् गतिम्
sp018-000105_002	अनन्यचेताः न अन्यविषये चेतः यस्य सः अयम् अनन्यचेताः
sp018-000106_002	योगी सततम् सर्वदा यः माम् परमेश्वरम् स्मरति नित्यशः
sp018-000107_002	सततम् इति नैरन्तर्यम् उच्यते
sp018-000108_002	नित्यशः इति दीर्घकालत्वम् उच्यते
sp018-000109_002	न षण्मासम् संवत्सरम् वा
sp018-000110_002	यावज्जीवम् नैरन्तर्येण यः माम् स्मरति इति अर्थः
sp018-000111_002	तस्य योगिनः अहम् सुलभः सुखेन लभ्यः हे पार्थ
sp018-000112_002	नित्ययुक्तस्य सदा समाहितचित्तस्य योगिनः
sp018-000113_002	यतः एवम् अतः अनन्यचेताः सन् मयि सदा समाहितः भवेत्
sp018-000114_002	तव सौलभ्येन किम् स्यात् इति उच्यते
sp018-000115_002	शृणु तत् मम सौलभ्येन यत् भवति
sp018-000116_002	माम् उपेत्य माम् ईश्वरम् उपेत्य मद्भाव् आपद्य
sp018-000117_002	पुनर्जन्म पुनरुत्पत्तिम् न आप्नुवन्ति न प्राप्नुवन्ति
sp018-000118_002	किंविशिष्टम् पुनर्जन्म न प्राप्नुवन्ति इति तद्विशेषणमाह
sp018-000119_002	दुःखालयम् दुःखानाम् आध्यात्मिकादीनाम् आलयम् आश्रयम् आलीयन्ते यस्मिन् दुःखानि इति दुःखालयम् जन्म
sp018-000120_002	न केवलम् दुःखालयम् अशाश्वतम् अनवस्थितस्वरूपम् च
sp018-000121_002	नाप्नुवन्ति ईदृशम् पुनर्जन्म महात्मानः यतयः संसिद्धिम् मोक्षाख्याम् परमाम् प्रकृष्टाम् गताः प्राप्ताः
sp018-000122_002	ये पुनः माम् न प्राप्नुवन्ति ते पुनः आवर्तन्ते
sp018-000123_002	किम् पुनः त्वत्तः अन्यत् प्राप्ताः पुनरावर्तन्ते इति उच्यते
sp018-000124_002	आ ब्रह्मभुवनात् भवन्ति अस्मिन् भूतानि इति भुवनम्
sp018-000125_002	ब्रह्मणो भुवनम् ब्रह्मभुवनम् ब्रह्मलोक इति अर्थः
sp018-000126_002	आ ब्रह्मभुवनात् सह ब्रह्मभुवनेन लोकाः सर्वे पुनरावर्तिनः पुनरावर्तनस्वभावाः हे अर्जुन
sp018-000127_002	माम् एकम् उपेत्य तु कौन्तेय पुनर्जन्म पुनरुत्पत्तिः न विद्यते
sp018-000128_002	ब्रह्मलोकसहिताः लोकाः कस्मात् पुनरावर्तिनः कालपरिच्छिन्नत्वात्
sp018-000129_002	सहस्रयुगपर्यन्तम् सहस्राणि युगानि पर्यन्तः पर्यवसानम् यस्य अह्नः तत् अहः सहस्रयुगपर्यन्तम्
sp018-000130_002	ब्रह्मणः प्रजापतेः विराजः विदुः
sp018-000131_002	रात्रिम् अपि युगसहस्रान्ताम् अहः परिमाणामेव
sp018-000132_002	के विदुरित्याह ते अहोरात्रविदः कालसङ्ख्याविदो जनाः इति अर्थः
sp018-000133_002	यतः एवम् कालपरिच्छिन्नाः ते अतः पुनरावर्तिनो लोकाः
sp018-000134_002	प्रजापतेः अहनि यत् भवति रात्रौ च तत् उच्यते
sp018-000135_002	अव्यक्तात् अव्यक्तम् प्रजापतेः स्वापावस्था तस्मात् अव्यक्तात् व्यक्तयः व्यज्यन्त इति व्यक्तयः
sp018-000136_002	स्थावरजङ्गमलक्षणाः सर्वाः प्रजाः प्रभवन्ति
sp018-000137_002	अह्नः आगमः अहरागमः तस्मिन् अहरागमे काले ब्रह्मणः प्रबोधकाले
sp018-000138_002	तथा रात्र्यागमे ब्रह्मणः स्वापकाले प्रलीयन्ते सर्वाः व्यक्तयः
sp018-000139_002	तत्रैव पूर्वोक्ते अव्यक्तसञ्ज्ञके
sp018-000140_002	अकृताभ्यागमकृतविप्रणाशदोषपरिहारार्थम् बन्धमोक्षशास्त्रप्रवृत्तिसाफल्यप्रदर्शनार्थम् अविद्यादिक्लेशमूलकर्माशयवशाच्च अवशः भूतग्रामः भूत्वा भूत्वा प्रलीयते
sp018-000141_002	इति अतः संसारे वैराग्यप्रदर्शनार्थम् च इदम् आह
sp018-000142_002	भूतग्रामः भूतसमुदायः स्थावरजङ्गमलक्षणः यः पूर्वस्मिन् कल्पे आसीत् स एव अयम् न अन्यः
sp018-000143_002	भूत्वा भूत्वा अहरागमे प्रलीयते पुनः पुनः रात्र्यागमे
sp018-000144_002	अह्नः क्षये अवशः अस्वतन्त्र एव
sp018-000145_002	हे पार्थ प्रभवति जायते अवश एव अहरागमे
sp018-000146_002	यत् उपन्यस्तम् अक्षरम्
sp018-000147_002	तस्य प्राप्त्युपायो निर्दिष्टः ओमित्येकाक्षरम् ब्रह्म इत्यादिना
sp018-000148_002	अथ इदानीम् अक्षरस्य एव स्वरूपनिर्दिदिक्षया इदम् उच्यते
sp018-000149_002	अनेन योगमार्गेण इदम् गन्तव्यम् इति
sp018-000150_002	परः व्यतिरिक्तः भिन्नः
sp018-000151_002	कुतः तस्मात् पूर्वोक्तात्
sp018-000152_002	तुशब्दः अक्षरस्य विवक्षितस्य अव्यक्तात् वैलक्षण्यविशेषणार्थः
sp018-000153_002	भावः अक्षराख्यम् परम् ब्रह्म
sp018-000154_002	व्यतिरिक्तत्वे सत्यपि सालक्षण्यप्रसङ्गो अस्तीति तद्विनिवृत्त्यर्थम् आह
sp018-000155_002	अन्यः इति अन्यः विलक्षणः
sp018-000156_002	स च अव्यक्तः अनिन्द्रियगोचरः
sp018-000157_002	परस्तस्मात् इत्युक्तम् कस्मात् पुनः परः
sp018-000158_002	पूर्वोक्तात् भूतग्रामबीजभूतात् अविद्यालक्षणात् अव्यक्तात्
sp018-000159_002	अन्यः विलक्षणः भावः इति अभिप्रायः
sp018-000160_002	सनातनः चिरन्तनः यः सः भावः सर्वेषु भूतेषु ब्रह्मादिषु नश्यत्सु न विनश्यति
sp018-000161_002	योऽसौ अव्यक्तः अक्षरः इत्युक्तः
sp018-000162_002	तमेव अक्षरसञ्ज्ञकम् अव्यक्तम् भावम् आहुः परमाम् प्रकृष्टाम् गतिम्
sp018-000163_002	यम् परम् भावम् प्राप्य गत्वा न निवर्तन्ते संसाराय
sp018-000164_002	तत् धाम स्थानम् परमम् प्रकृष्टम् मम विष्णोः परमम् पदमित्यर्थः
sp018-000165_002	तल्लब्धेः उपायः उच्यते
sp018-000166_002	पुरुषः पुरि शयनात् पूर्णत्वाद्वा स परः पार्थ
sp018-000167_002	परः निरतिशयः यस्मात् पुरुषात् न परम् किञ्चित्
sp018-000168_002	सः भक्त्या लभ्यस्तु ज्ञानलक्षणया अनन्यया आत्मविषयया
sp018-000169_002	यस्य पुरुषस्य अन्तःस्थानि मध्यस्थानि भूतानि कार्यभूतानि
sp018-000170_002	कार्यम् हि कारणस्य अन्तर्वर्ति भवति
sp018-000171_002	प्रकृतानाम् योगिनाम् प्रणवावेशितब्रह्मबुद्धीनाम्
sp018-000172_002	उत्तरो मार्गो वक्तव्य इति यत्र काले इत्यादि विवक्षितार्थम् समर्पणार्थम् उच्यते
sp018-000173_002	यत्र काले प्रयाताः इति व्यवहितेन सम्बन्धः
sp018-000174_002	यत्र यस्मिन् काले तु अनावृत्तिम् अपुनर्जन्म आवृत्तिम् तद्विपरीताम् च एव
sp018-000175_002	योगिनः इति योगिनः कर्मिणश्च उच्यन्ते
sp018-000176_002	कर्मिणस्तु गुणतः कर्मयोगेन योगिनाम् इति विशेषणात् योगिनः
sp018-000177_002	यत्र काले प्रयाताः मृताः योगिनः अनावृत्तिम् यान्ति
sp018-000178_002	यत्र काले च प्रयाताः आवृत्तिम् यान्ति
sp018-000179_002	तम् कालम् वक्ष्यामि भरतर्षभ
sp018-000180_002	अग्निः कालाभिमानिनी देवता
sp018-000181_002	तथा ज्योतिरपि देवता एव कालाभिमानिनी
sp018-000182_002	अथवा अग्निज्योतिषी यथाश्रुते एव देवते
sp018-000183_002	भूयसा तु निर्देशो यत्र काले तम् कालम् इति आम्रवणवत्
sp018-000184_002	तथा अहः देवता अहरभिमानिनी शुक्लः शुक्लपक्षदेवता षण्मासा उत्तरायणम्
sp018-000185_002	तत्रापि देवता एव मार्गभूता इति स्थितः अन्यत्र अयम् न्यायः
sp018-000186_002	तत्र तस्मिन् मार्गे प्रयाताः मृताः गच्छन्ति ब्रह्म ब्रह्मविदो ब्रह्म उपासकाः ब्रह्म उपासनपरा जनाः
sp018-000187_002	क्रमेण इति वाक्यशेषः
sp018-000188_002	न हि सद्योमुक्तिभाजाम् सम्यग्दर्शननिष्ठानाम् गतिः आगतिः वा क्वचित् अस्ति
sp018-000189_002	न तस्य प्राणा उत्क्रामन्ति इति श्रुतेः
sp018-000190_002	ब्रह्मसंलीनप्राणा एव ते ब्रह्ममया ब्रह्मभूता एव ते
sp018-000191_002	धूमो रात्रिः धूमाभिमानिनी रात्र्यभिमानिनी च देवता
sp018-000192_002	तथा कृष्णः कृष्णपक्षदेवता
sp018-000193_002	षण्मासा दक्षिणायनम् इति च पूर्ववत् देवता एव
sp018-000194_002	तत्र चन्द्रमसि भवम् चान्द्रमसम् ज्योतिः फलम् इष्टादिकारी योगी कर्मी प्राप्य भुक्त्वा
sp018-000195_002	तत्क्षयात् इह पुनः निवर्तते
sp018-000196_002	शुक्लकृष्णे शुक्ला च कृष्णा च शुक्लकृष्णे
sp018-000197_002	ज्ञानप्रकाशकत्वात् शुक्ला तदभावात् कृष्णा
sp018-000198_002	एते शुक्लकृष्णे हि गती जगतः इति अधिकृतानाम् ज्ञानकर्मणोः
sp018-000199_002	न जगतः सर्वस्यैव एते गती सम्भवतः
sp018-000200_002	शाश्वते नित्ये संसारस्य नित्यत्वात् मते अभिप्रेते
sp018-000201_002	तत्र एकया शुक्लया याति अनावृत्तिम्
sp018-000202_002	अन्यया इतरया आवर्तते पुनः भूयः
sp018-000203_002	न एते यथोक्ते सृती मार्गौ पार्थ जानन् संसाराय एका अन्या मोक्षाय इति
sp018-000204_002	योगी न मुह्यति कश्चन कश्चिदपि
sp018-000205_002	तस्मात् सर्वेषु कालेषु योगयुक्तः समाहितो भव अर्जुन
sp018-000206_002	शृणु तस्य योगस्य माहात्म्यम्
sp018-000207_002	इति श्रीमहाभारते शतसाहस्र्याम् संहितायाम् वैयासिक्याम् भीष्मपर्वणि श्रीमद्भगवद्गीतासु उपनिषत्सु
sp018-000208_002	ब्रह्मविद्यायाम् योगशास्त्रे श्रीकृष्णार्जुनसंवादे तारकब्रह्मयोगो नाम अष्टमोऽध्यायः
sp018-000209_002	वेदेषु सम्यक् अधीतेषु यज्ञेषु च साद्गुण्येन अनुष्ठितेषु तपःसु च सुतप्तेषु दानेषु च सम्यग्दत्तेषु
sp018-000210_002	एतेषु यत् पुण्यफलम् प्रदिष्टम् शास्त्रेण
sp018-000211_002	अत्येति अतीत्य गच्छति तत् सर्वम् फलजातम्
sp018-000212_002	इदम् विदित्वा सप्तप्रश्ननिर्णयद्वारेण उक्तम् अर्थम् सम्यक् अवधार्य अनुष्ठाय योगी
sp018-000213_002	परम् उत्कृष्टम् ऐश्वरम् स्थानम् उपैति च प्रतिपद्यते आद्यम् आदौ भवम् कारणम् ब्रह्म इत्यर्थः
sp018-000214_002	इति श्रीमत्परमहंसपरिव्राजकाचार्यस्य श्रीगोविन्दभगवत्पूज्यपादशिष्यस्य श्रीमच्छङ्करभगवतः कृतौ श्रीमत्भगवद्गीताभाष्ये अष्टमोऽध्यायः
sp018-000215_003	अष्टमे नाडीद्वारेण धारणायोगः सगुणः उक्तः
sp018-000216_003	कालान्तरे ब्रह्मप्राप्तिलक्षणमेव अनावृत्तिरूपम् निर्दिष्टम्
sp018-000217_003	तत्र अनेन एव प्रकारेण मोक्षप्राप्तिफलम् अधिगम्यते न अन्यथा इति
sp018-000218_003	तदाशङ्काव्याविवर्तयिषया श्रीभगवान् उवाच
sp018-000219_003	अथ नवमः अध्यायः राजविद्याराजगुह्ययोगः
sp018-000220_003	अन्वयः प्रथमः श्लोकः
sp018-000221_003	यत् ज्ञात्वा तम् अशुभात् मोक्ष्यसे
sp018-000222_003	तत् तु इदम् गुह्यतमम् विज्ञानसहितम् ज्ञानम् अनसूयवे ते प्रवक्ष्यामि
sp018-000223_003	इदम् ब्रह्मज्ञानम् वक्ष्यमाणम् उक्तम् च पूर्वेषु अध्यायेषु
sp018-000224_003	तत् बुद्धौ सन्निधीकृत्य इदम् इत्याह
sp018-000225_003	तुशब्दो विशेषनिर्धारणार्थः
sp018-000226_003	इदम् एव तु सम्यग् ज्ञानम् साक्षात् मोक्षप्राप्तिसाधनम्
sp018-000227_003	वासुदेवः सर्वम् इति आत्मा एव इदम् सर्वम् एकमेव अद्वितीयम् इत्यादिश्रुतिस्मृतिभ्यः नान्यत्
sp018-000228_003	अथ ते ये अन्यथातो विदुः अन्यराजानः ते क्षय्यलोका भवन्ति इत्यादिश्रुतिभ्यश्च
sp018-000229_003	ते तुभ्यम् गुह्यतमम् गोप्यतमम् प्रवक्ष्यामि कथयिष्यामि अनसूयवे असूयारहिताय
sp018-000230_003	किम् तत् ज्ञानम्
sp018-000231_003	किम् विशिष्टम् विज्ञानसहितम् अनुभवयुक्तम्
sp018-000232_003	यत् ज्ञात्वा प्राप्य मोक्ष्यसे अशुभात् संसारबन्धनात्
sp018-000233_003	अन्वयः इदम् राजविद्या राजगुह्यम् उत्तमम् पवित्रम् अव्ययम्
sp018-000234_003	प्रत्यक्ष अवगमम् कर्तुम् सुसुखम् धर्म्यम् च अस्ति
sp018-000235_003	भाष्यम् राजविद्या विद्यानाम् राजा दीप्त्यतिशयवत्त्वात्
sp018-000236_003	दीप्यते हि इयम् अतिशयेन ब्रह्मविद्या सर्वविद्यानाम्
sp018-000237_003	तथा राजगुह्यम् गुह्यानाम् राजा
sp018-000238_003	पवित्रम् पावनम् इदम् उक्तम् सर्वेषाम् पावनानाम् शुद्धिकारणम् ब्रह्मज्ञानम् उत्कृष्टतमम्
sp018-000239_003	समूलम् कर्म क्षणमात्रात् एव भस्मीकरोति
sp018-000240_003	इति अतः किम् तस्य पावनत्वम् वक्तव्यम्
sp018-000241_003	किञ्च प्रत्यक्षावगमम् प्रत्यक्षेण सुखादेरिव अवगमो यस्य तत् प्रत्यक्षावगमम्
sp018-000242_003	न तथा आत्मज्ञानम् धर्मविरोधि किन्तु धर्म्यम् धर्माद् अनपेतम्
sp018-000243_003	एवम् अपि स्यात् दुःखसम्पाद्यम् इति अत आह
sp018-000244_003	सुसुखम् कर्तुम् यथा रत्नविवेकविज्ञानम्
sp018-000245_003	तत्र अल्पायासानाम् अन्येषाम् कर्मणाम् सुखसम्पाद्यानाम् अल्पफलत्वम् दुष्कराणाम् च महाफलत्वम् दृष्टम् इति
sp018-000246_003	इदम् तु सुखसम्पाद्यत्वात् फलक्षयात् व्येति इति प्राप्ते आह अव्ययम् इति
sp018-000247_003	न अस्य फलतः कर्मवत् व्ययः अस्ति इति अव्ययम्
sp018-000248_003	अतः श्रद्धेयम् आत्मज्ञानम्
sp018-000249_003	अन्वयः हे परन्तप अस्य धर्मस्य अश्रद्दधानाः पुरुषाः माम् अप्राप्य मृत्युसंसारवर्त्मनि निवर्तन्ते
sp018-000250_003	भाष्यम्
sp018-000251_003	अश्रद्दधानाः श्रद्धाविरहिताः आत्मज्ञानस्य धर्मस्य अस्य स्वरूपे तत्फले च नास्तिकाः पापकारिणः
sp018-000252_003	असुराणाम् उपनिषदम् देहमात्रात्मदर्शनम् एव प्रतिपन्नाः
sp018-000253_003	असुतृपः पापाः पुरुषाः अश्रद्दधानाः
sp018-000254_003	परन्तप अप्राप्य माम् परमेश्वरम् मत्प्राप्तौ नैव आशङ्का इति
sp018-000255_003	मत्प्राप्तिमार्गभेदभक्तिमात्रम् अपि अप्राप्य इत्यर्थः
sp018-000256_003	निवर्तन्ते निश्चयेन वर्तन्ते
sp018-000257_003	क्व मृत्युसंसारवर्त्मनि मृत्युयुक्तः संसारः मृत्युसंसारः
sp018-000258_003	तस्मिन्नेव वर्तन्ते इत्यर्थः
sp018-000259_003	स्तुत्या अर्जुनम् अभिमुखीकृत्य आह
sp018-000260_003	चतुर्थः श्लोकः
sp018-000261_003	अव्यक्तमूर्तिना मया इदम् सर्वम् जगत् ततम्
sp018-000262_003	सर्वभूतानि मत्स्थानि सन्ति अहम् च तेषु न अवस्थितः अस्मि
sp018-000263_003	भाष्यम्
sp018-000264_003	मया मम यः परो भावः तेन ततम् व्याप्तम् सर्वम् इदम् जगत्
sp018-000265_003	अव्यक्तमूर्तिना न व्यक्ता मूर्तिः स्वरूपम् यस्य मम सः अहम् अव्यक्तमूर्तिः
sp018-000266_003	तेन मया अव्यक्तमूर्तिना करण अगोचरस्वरूपेण इति अर्थः
sp018-000267_003	तस्मिन् मयि अव्यक्तमूर्तौ स्थितानि मत्स्थानि सर्वभूतानि ब्रह्मादीनि स्तम्बपर्यन्तानि
sp018-000268_003	न हि निरात्मकम् किञ्चित् भूतम् व्यवहाराय अवकल्पते
sp018-000269_003	अतः मत्स्थानि मया आत्मना आत्मवत्त्वेन स्थितानि
