sp006-000001_GB_00-00	शाङ्करभाष्यम्
sp006-000017_GB_00-00	इह अपि च अन्ते उक्तम् अर्जुनाय
sp006-000018_GB_00-00	सन् ईश्वरार्पणबुद्ध्या अनुष्ठीयमानः सत्त्वशुद्धये भवति फलाभिसन्धिवर्जितः
sp006-000019_GB_00-00	तथा च इमम् एवार्थम् अभिसन्धाय वक्ष्यति
sp006-000020_GB_00-00	योगिनः कर्म कुर्वन्ति सङ्गम् त्यक्त्वात्मशुद्धये
sp006-000021_GB_00-00	अभिव्यञ्जयत् विशिष्टप्रयोजनसम्बन्धाभिधेयवत् गीताशास्त्रम्
sp006-000022_GB_00-00	यतः तदर्थे विज्ञाते समस्तपुरुषार्थसिद्धिः अतः तद्विवरणे यत्नः क्रियते मया
sp006-000023_GB_02	इति एतदन्तः प्राणिनाम् शोकमोहादिसंसारबीजभूत दोषोद्भवकारणप्रदर्शनार्थत्वेन व्याख्येयो ग्रन्थः
sp006-000024_GB_02	तथाहि अर्जुनेन राज्यगुरुपुत्रमित्रसुहृत्स्वजनसम्बन्धिबान्धवेषु अहम् एषाम् मम एते
sp006-000025_GB_02	इत्येवम् भ्रान्तिप्रत्ययनिमित्तस्नेहविच्छेदादिनिमित्तौ आत्मनः शोकमोहौ प्रदर्शितौ
sp006-000026_GB_02	शोकमोहाभ्याम् हि अभिभूतविवेकविज्ञानः स्वत एव क्षात्रधर्मे युद्धे प्रवृत्तः अपि तस्मात् युद्धात् उपरराम
sp006-000027_GB_02	परधर्मम् च भिक्षाजीवनादिकम् कर्तुम् प्रववृते
sp006-000028_GB_02	तथा च सर्वप्राणिनाम् शोकमोहादिदोषाविष्टचेतसाम् स्वभावत एव स्वधर्मपरित्यागः प्रतिषिद्धसेवा च स्यात्
sp006-000029_GB_02	स्वधर्मे प्रवृत्तानामपि तेषाम् वाङ्मनःकायादीनाम् प्रवृत्तिः फलाभिसन्धिपूर्विका एव साहङ्कारा च भवति
sp006-000030_GB_02	तत्र एवम् सति धर्माधर्मोपचयात् इष्टानिष्टजन्मसुखदुःख सम्प्राप्तिलक्षणः संसारः अनुपरतो भवति
sp006-000031_GB_02	इत्यतः संसारबीजभूतौ शोकमोहौ तयोश्च सर्वकर्मसन्न्यासपूर्वकात् आत्मज्ञानात् नान्यतो निवृत्तिः इति
sp006-000032_GB_02	तदुपदिदिक्षुः सर्वलोकानुग्रहार्थम् अर्जुनम् निमित्तीकृत्य आह भगवान्वासुदेवः
sp006-000033_GB_02	अशोच्यान् इत्यादि
sp006-000034_GB_02	तत्र केचिदाहुः सर्वकर्मसन्न्यासपूर्वकात् आत्मज्ञाननिष्ठामात्रादेव केवलात् कैवल्यम् न प्राप्यते एव
sp006-000035_GB_02	किम् तर्हि अग्निहोत्रादिश्रौतस्मार्तकर्मसहितात् ज्ञानात् कैवल्यप्राप्तिः इति सर्वासु गीतासु निश्चितः अर्थ इति
sp006-000036_GB_02	ज्ञापकम् च आहुः अस्य अर्थस्य
sp006-000037_GB_02	हिंसादियुक्तत्वात् वैदिकम् कर्म अधर्माय इतीयमपि आशङ्का न कार्या
sp006-000038_GB_02	कथम्
sp006-000039_GB_02	क्षात्रम् कर्म युद्धलक्षणम् गुरुभ्रातृपुत्रादिहिंसालक्षणम् अत्यन्तम् क्रूरमपि स्वधर्मः इति कृत्वा न अधर्माय
sp006-000040_GB_02	तदकरणे च
sp006-000041_GB_02	इति ब्रुवता यावज्जीवादिश्रुतिचोदितानाम् पश्वादिहिंसालक्षणानाम् च कर्मणाम् प्रागेव न अधर्मत्वम् इति सुनिश्चितम् उक्तम् भवति इति
sp006-000042_GB_02	तदसत्
sp006-000043_GB_02	ज्ञानकर्मनिष्ठयोः विभागवचनात् बुद्धिद्वयाश्रययोः
sp006-000044_GB_02	अशोच्यान् इत्यादिना भगवता यावत्
sp006-000045_GB_02	स्वधर्ममपि चावेक्ष्य इति एतदन्तेन ग्रन्थेन यत् परमार्थात्मतत्त्वनिरूपणम् कृतम् तत्साङ्ख्यम्
sp006-000046_GB_02	तद्विषया बुद्धिः आत्मनो जन्मादि षड्विक्रियाभावात् अकर्ता आत्मा इति प्रकरणार्थनिरूपणात् या जायते सा साङ्ख्याबुद्धिः
sp006-000047_GB_02	सा येषाम् ज्ञानिनाम् उचिता भवति
sp006-000048_GB_02	ते साङ्ख्याः
sp006-000049_GB_02	एतस्या बुद्धेः जन्मनः प्राक् आत्मनो देहादिव्यतिरिक्तत्वकर्तृत्वभोक्तृत्वाद्यपेक्षो धर्माधर्मविवेकपूर्वको मोक्षसाधनानुष्ठाननिरूपणलक्षणो योगः
sp006-000050_GB_02	तद्विषया बुद्धिः योगबुद्धिः
sp006-000051_GB_02	सा येषाम् कर्मिणाम् उचिता भवति ते योगिनः
sp006-000052_GB_02	तयोश्च साङ् ख्यबुद्ध्याश्रयाम् ज्ञानयोगेन निष्ठाम् साङ् ख्यानाम् विभक्ताम् वक्ष्यति
sp006-000053_GB_02	तथा च योगबुद्ध्याश्रयाम् कर्मयोगेन निष्ठाम् विभक्ताम् वक्ष्यति
sp006-000054_GB_02	कर्मयोगेन योगिनाम् इति
sp006-000055_GB_02	एवम् साङ् ख्यबुद्धिम् योगबुद्धिम् च आश्रित्य द्वे निष्ठे विभक्ते भगवता एव उक्ते ज्ञानकर्मणोः
sp006-000056_GB_02	कर्तृत्वाकर्तृत्वैकत्वानेकत्व बुद्ध्याश्रययोः एकपुरुषाश्रयत्वासम्भवम् पश्यता
sp006-000057_GB_02	यथा एतद्विभागवचनम् तथैव दर्शितम् शातपथीये ब्राह्मणे
sp006-000058_GB_02	एतमेव प्रव्राजिनो लोकमिच्छन्तो ब्राह्मणाः प्रव्रजन्ति
sp006-000059_GB_02	बृहदारण्यके चतुः चतुः द्वाविंशति इति सर्वकर्मसन्न्यासम् विधाय तच्छेषेण
sp006-000060_GB_02	किम् प्रजया करिष्यामो येषाम् नोऽयमात्मायम् लोकः
sp006-000061_GB_02	बृहदारण्यके चतुर् चतुः द्वाविंशति इति
sp006-000062_GB_02	तत्र एव च
sp006-000063_GB_02	बृहदारण्यके एकम् चतुः सप्तदश इति अविद्याकामवत एव सर्वाणि कर्माणि श्रौतादीनि दर्शितानि
sp006-000064_GB_02	तेभ्यो व्युत्थाय प्रव्रजन्ति
sp006-000065_GB_02	इति व्युत्थानमात्मानमेव लोकम् इच्छतः अकामस्य विहितम्
sp006-000066_GB_02	तदेतत् विभागवचनम् अनुपपन्नम् स्यात्
sp006-000067_GB_02	यदि श्रौतकर्मज्ञानयोः समुच्छयोऽभिप्रेतः स्याद्भगवतः
sp006-000068_GB_02	न च अर्जुनस्य प्रश्न उपपन्नो भवति
sp006-000069_GB_02	ज्यायसी चेत्कर्मणस्ते इत्यादिः
sp006-000070_GB_02	एकपुरुषानुष्ठेयत्वासम्भवम् बुद्धिकर्मणोः भगवता पूर्वम् अनुक्तम्
sp006-000071_GB_02	कथम् अर्जुनः अश्रुतम् बुद्धेश्च कर्मणो ज्यायस्त्वम् भगवति अध्यारोपयेत् मृषा एव
sp006-000072_GB_02	किञ्च यदि बुद्धिकर्मणोः सर्वेषाम् समुच्छय उक्तः स्यात् अर्जुनस्य अपि स उक्त एव इति
sp006-000073_GB_02	इति कथम् उभयोः उपदेशे सति अन्यतरविषयः एव प्रश्नः स्यात्
sp006-000074_GB_02	न हि पित्तप्रशमनार्थिनो वैद्येन मधुरम् शीतम् च भोक्तव्यम् इति उपदिष्टे
sp006-000075_GB_02	तयोः अन्यतरत् पित्तप्रशमनकारणम् ब्रूहि इति प्रश्नः सम्भवति
sp006-000076_GB_02	अथ अर्जुनस्य भगवदुक्तवचनार्थविवेकानवधारणनिमित्तः प्रश्नः कल्पयेत्
sp006-000077_GB_02	तथापि भगवता प्रश्नानुरूपम् प्रतिवचनम् देयम्
sp006-000078_GB_02	मया बुद्धिकर्मणोः समुच्छय उक्तः किमर्थम् इत्थम् त्वम् भ्रान्तः असि इति
sp006-000079_GB_02	न तु पुनः प्रतिवचनम् अननुरूपम् पृष्टात् अन्यदेव
sp006-000080_GB_02	द्वे निष्ठे मया पुरा प्रोक्ते इति वक्तुम् युक्तम्
sp006-000081_GB_02	न अपि स्मार्तेनैव कर्मणा बुद्धेः समुच्चये अभिप्रेते विभागवचनादि सर्वम् उपपन्नम्
sp006-000082_GB_02	किञ्च क्षत्रियस्य युद्धम् स्मार्तम् कर्म स्वधर्म इति जानतः
sp006-000083_GB_02	इति उपालम्भः अनुपपन्नः
sp006-000084_GB_02	तस्माद्गीताशास्त्रे ईषन्मात्रेणापि श्रौतेन स्मार्तेन वा कर्मणा आत्मज्ञानस्य समुच्चयो न केनचिद्दर्शयितुम् शक्यः
sp006-000085_GB_02	यस्य तु अज्ञानात् रागादिदोषतो वा कर्मणि प्रवृत्तस्य यज्ञेन दानेन तपसा वा विशुद्धसत्त्वस्य
sp006-000086_GB_02	ज्ञानमुत्पन्नम् परमार्थतत्त्वविषयमेकमेव इदम् सर्वम् ब्रह्म अकर्तृ च इति
sp006-000087_GB_02	तस्य कर्मणि कर्मप्रयोजने च निवृत्ते अपि लोकसङ्ग्रहार्थम् यत्नपूर्वम् यथा प्रवृत्तः
sp006-000088_GB_02	तथा एव कर्मणि प्रवृत्तस्य यत्प्रवृत्तिरूपम् दृश्यते न तत्कर्म येन बुद्धेः समुच्चयः स्यात्
sp006-000089_GB_02	यथा भगवतो वासुदेवस्य क्षात्रकर्मचेष्टितम् न ज्ञानेन समुच्चीयते पुरुषार्थसिद्धये
sp006-000090_GB_02	तद्वत् फलाभिसन्ध्यहङ्काराभावस्य तुल्यत्वात् विदुषः
sp006-000091_GB_02	यथा च स्वर्गादिकामार्थिनः अग्निहोत्रादिकामसाधननुष्ठानाय आहिताग्नेः काम्ये एव अग्निहोत्रादौ प्रवृत्तस्य
sp006-000092_GB_02	सामि कृते विनष्टे अपि कामे तदेव अग्निहोत्राद्यनुतिष्ठतः अपि न तत्काम्यम् अग्निहोत्रादि भवति
sp006-000093_GB_02	तथा च दर्शयति भगवान्
sp006-000094_GB_02	इति तत्र तत्र
sp006-000095_GB_02	इति तत्तु प्रविभज्य विज्ञेयम्
sp006-000096_GB_02	तत्कथम्
sp006-000097_GB_02	यदि तावत् पूर्वे जनकादयः तत्त्वविदः अपि प्रवृत्तकर्माणः स्युः
sp006-000098_GB_02	ते लोकसङ्ग्रहार्थम्
sp006-000099_GB_02	इति ज्ञानेनैव संसिद्धिम् आस्थिताः
sp006-000100_GB_02	कर्मसन्न्यासे प्राप्तेऽपि कर्मणा सह एव संसिद्धिम् आस्थिता
sp006-000101_GB_02	न कर्मसन्न्यासम् कृतवन्त येषः अर्थः
sp006-000102_GB_02	अथ न ते तत्त्वविदः
sp006-000103_GB_02	ईश्वरसमर्पितेन कर्मणा साधनभूतेन संसिद्धिम् सत्त्वशुद्धिम् ज्ञानोत्पत्तिलक्षणाम् वा संसिद्धिम् आस्थिता जनकादय इति व्याख्येयम्
sp006-000104_GB_02	एतमेव अर्थम् वक्ष्यति भगवान्
sp006-000105_GB_02	इति उक्त्वा सिद्धिम् प्राप्तस्य च पुनः ज्ञाननिष्ठाम् वक्ष्यति
sp006-000106_GB_02	तस्माद्गीतासु केवलादेव तत्त्वज्ञानात् मोक्षप्राप्तिः न कर्मसमुच्चितात्
sp006-000107_GB_02	इति निश्चितः अर्थः
sp006-000108_GB_02	यथा चायमर्थः तथा प्रकरणशो विभज्य तत्र तत्र दर्शयिष्यामः
sp006-000109_GB_02	तत्र एवम् धर्मसम्मूढचेतसो महति शोकसागरे निमग्नस्य अर्जुनस्य
sp006-000110_GB_02	अन्यत्र आत्मज्ञानात् उद्धरणम् अपश्यन् भगवान्वासुदेवः ततः अर्जुनम् उद्दिधारयिषुः आत्मज्ञानायावतारयन् आह
sp006-000111_GB_02	न शोच्या अशोच्याः भीष्मद्रोणादयः
sp006-000112_GB_02	सद्वृत्तत्वात् परमार्थरूपेण च नित्यत्वात् तान्
sp006-000113_GB_02	अनुशोचितवानसि ते म्रियन्ते मन्निमित्तम् अहम् तैः विनाभूतः किम् करिष्यामि राज्यसुखादिना इति
sp006-000114_GB_02	त्वम् प्रज्ञावादान् प्रज्ञावताम् बुद्धिमताम् वादांश्च वचनानि च भाषसे
sp006-000115_GB_02	तदेतत् मौढ्यम् पाण्डित्यम् च विरुद्धम् आत्मनि दर्शयसि उन्मत्त इव इति अभिप्रायः
sp006-000116_GB_02	यस्मात् गतासून् गतप्राणान् मृतान् अगतासून् अगतप्राणान् जीवतः च न अनुशोचन्ति पण्डिताः आत्मज्ञाः
sp006-000117_GB_02	पण्डा आत्मविषया बुद्धिः येषाम् ते हि पण्डिताः
sp006-000118_GB_02	पाण्डित्यम् निर्विद्य
sp006-000119_GB_02	बृहदारण्यके त्रि पञ्च एकम् इति श्रुतेः
sp006-000120_GB_02	परमार्थतस्तु नित्यान् अशोच्यान् अनुशोचसि अतो मूढः असि इति अभिप्रायः
sp006-000121_GB_02	कुतस्ते अशोच्याः यतो नित्याः कथम्
sp006-000122_GB_02	न तु एव जातु कदाचित् अहम् नासम् किम् तु आसमेव
sp006-000123_GB_02	अतीतेषु देहोत्पत्तिविनाशेषु नित्यमेव अहम् आसम् इति अभिप्रायः
sp006-000124_GB_02	तथा न त्वम् न आसीः किम् तु आसीः एव
sp006-000125_GB_02	त्रिष्वपि कालेषु नित्या आत्मस्वरूपेण इति अर्थः
sp006-000126_GB_02	देहभेदानुवृत्त्या बहुवचनम् न आत्मभेदाभिप्रायेण
sp006-000127_GB_02	तत्र कथमिव नित्य आत्मा इति दृष्टान्तमाह
sp006-000128_GB_02	देहः अस्य अस्तीति देही तस्य देहिनो देहवदात्मनः अस्मिन् वर्तमाने देहे यथा येन प्रकारेण कौमारम् कुमारभावो बाल्यावस्था
sp006-000129_GB_02	यौवनम् यूनो भावो मध्यमावस्था जरा वयोहानिः जीर्णावस्था इति एताः तिस्रः अवस्थाः अन्योन्यविलक्षणाः
sp006-000130_GB_02	तासाम् प्रथमावस्थानाशे न नाशो
sp006-000131_GB_02	किम् तर्हि
sp006-000132_GB_02	अविक्रियस्य एव द्वितीयतृतीयावस्थाप्राप्तिः आत्मनो दृष्टा
sp006-000133_GB_02	तथा तद्वदेव देहात् अन्यो देहान्तरम् तस्य प्राप्तिः देहान्तरप्राप्तिः अविक्रियस्य एव आत्मन इत्यर्थः
sp006-000134_GB_02	धीरो धीमान् तत्र एवम् सति न मुह्यति न मोहम् आपद्यते
sp006-000135_GB_02	यद्यपि आत्मविनाशनिमित्तो मोहो न सम्भवति नित्य आत्मा इति विज्ञानतः
sp006-000136_GB_02	तथापि शीतोष्णसुखदुःखप्राप्तिनिमित्तो मोहो लौकिको दृश्यते
sp006-000137_GB_02	सुखवियोगनिमित्तो दुःखसंयोगनिमित्तश्च शोक इति एतत् अर्जुनस्य वचनमाशङ्क्य आह
sp006-000138_GB_02	मात्रा आभिः मीयन्ते शब्दादय इति श्रोत्रादीनि इन्द्रियाणि
sp006-000139_GB_02	मात्राणाम् स्पर्शाः शब्दादिभिः संयोगाः ते
sp006-000140_GB_02	शीतोष्णसुखदुःखदाः शीतम् उष्णम् सुखम् दुःखम् च प्रयच्छन्ति इति
sp006-000141_GB_02	अथवा स्पृश्यन्ते इति स्पर्शा विषयाः शब्दादयः
sp006-000142_GB_02	मात्राश्च स्पर्शाश्च शीतोष्णसुखदुःखदाः
sp006-000143_GB_02	शीतम् कदाचित् सुखम् कदाचित् दुःखम् तथा उष्णमपि अनित्यरूपम्
sp006-000144_GB_02	सुखदुःखे पुनः नियतरूपे यतो न व्यभिचरतः
sp006-000145_GB_02	अतः ताभ्याम् पृथक् शीतोष्णयोः ग्रहणम्
sp006-000146_GB_02	यस्मात् ते मात्रास्पर्शादय आगमापायिन आगमापायशीलाः तस्मात् अनित्या
sp006-000147_GB_02	अतः तान् शीतोष्णादीन् तितिक्षस्व प्रसहस्व
sp006-000148_GB_02	तेषु हर्षम् विषादम् च मा कार्षीः इत्यर्थः
sp006-000149_GB_02	शीतोष्णादीन् सहतः किम् स्यादिति शृणु
sp006-000150_GB_02	यम् हि पुरुषम् समदुःखसुखम् समे दुःखसुखे यस्य तम् समदुःखसुखम् सुखदुःखप्राप्तौ हर्षविषादरहितम् धीरम् धीमन्तम्
sp006-000151_GB_02	न व्यथयन्ति न चालयन्ति नित्यात्मदर्शनात् एते यथोक्ताः शीतोष्णादयः
sp006-000152_GB_02	स नित्यात्मदर्शननिष्ठो द्वन्द्वसहिष्णुः अमृतत्वाय अमृतभावाय मोक्षाय कल्पते समर्थो भवति
sp006-000153_GB_02	इतश्च शोकमोहौ अकृत्वा शीतोष्णादिसहनम् युक्तम् यस्मात्
sp006-000154_GB_02	नासतः अविद्यमानस्य शीतोष्णादेः सकारणस्य न विद्यते नास्ति भावो भवनम् अस्तिता
sp006-000155_GB_02	न हि शीतोष्णादि सकारणम् प्रमाणैः निरूप्यमाणम् वस्तुसम्भवति
sp006-000156_GB_02	विकारो हि सः विकारश्च व्यभिचरति
sp006-000157_GB_02	यथा घटादिसंस्थानम् चक्षुषा निरूप्यमाणम् मृद्व्यतिरेकेणानुपलब्धेः असत्
sp006-000158_GB_02	तथा सर्वो विकारः कारणव्यतिरेकेणानुपलब्धेः असन्
sp006-000159_GB_02	जन्मप्रध्वंसाभ्याम् प्राक् ऊर्ध्वम् च अनुपलब्धेः
sp006-000160_GB_02	मृदादिकारणस्य तत्कारणस्य च तत् कारणव्यतिरेकेणानुपलब्धेः असत्त्वम्
sp006-000161_GB_02	तदसत्त्वे च सर्वाभावप्रसङ्ग इति चेत् न सर्वत्र बुद्धिद्वयोपलब्धेः सद्बुद्धिः असद्बुद्धिः इति
sp006-000162_GB_02	यद्विषया बुद्धिः न व्यभिचरति तत् सत्
sp006-000163_GB_02	यद्विषया बुद्धि व्यभिचरति तदसत्
sp006-000164_GB_02	इति सदसद्विभागे बुद्धितन्त्रे स्थिते सर्वत्र द्वे बुद्धी सर्वैः उपलभ्येते समानाधिकरणे
sp006-000165_GB_02	न नीलोत्पलवत् सन् घटः सन् पटः सन् हस्ती इत्येवम् सर्वत्र
sp006-000166_GB_02	तयोः बुद्ध्योः घटादिबुद्धिः व्यभिचरति
sp006-000167_GB_02	तथा च दर्शितम्
sp006-000168_GB_02	न तु सद्बुद्धिः
sp006-000169_GB_02	तस्मात् घटादिबुद्धिविषयः असन् व्यभिचारात्
sp006-000170_GB_02	न तु सद्बुद्धिविषयः अव्यभिचारात्
sp006-000171_GB_02	घटे विनष्टे घटबुद्दौ व्यभिचरन्त्याम् सद्बुद्धिः अपि व्यभिचरति इति चेत् न पटादौ अपि सद्बुद्धिदर्शनात्
sp006-000172_GB_02	विशेषणविषया एव सा सद्बुद्धिः
sp006-000173_GB_02	सद्बुद्धिवत् घटबुद्धिः अपि घटान्तरे दृश्यते इति चेत् न पटादौ अदर्शनात्
sp006-000174_GB_02	सद्बुद्धिरपि नष्टे घटे न दृश्यते इति चेत् न
sp006-000175_GB_02	विशेष्याभावात् सद्बुद्धिः विशेषणविषया सती विशेष्याभावे विशेषण अनुपपत्तौ किंविषया स्यात्
sp006-000176_GB_02	न तु पुनः सद्बुद्धेः विषयाभावात्
sp006-000177_GB_02	एकाधिकरणत्वम् घटादिविशेष्याभावे न युक्तम् इति चेत् न
sp006-000178_GB_02	इदमुदकम् इति मरीच्यादौ अन्यतराभावे अपि सामानाधिकरण्यदर्शनात्
sp006-000179_GB_02	तस्माद्देहादेः द्वन्द्वस्य च सकारणस्य असतो न विद्यते भाव इति
sp006-000180_GB_02	तथा सतः च आत्मनः अभावः अविद्यमानता न विद्यते सर्वत्र अव्यभिचारात् इति अवोचाम
sp006-000181_GB_02	एवम् आत्मानात्मनोः सदसतोः उभयोः अपि दृष्ट उपलब्धः अन्तो निर्णयः सत् सदेव असत् असदेव इति तु अनयोः यथोक्तयोः तत्त्वदर्शिभिः
sp006-000182_GB_02	तदिति सर्वनाम सर्वम् च ब्रह्म
sp006-000183_GB_02	तस्य नाम तदिति तद्भावः तत्त्वम् ब्रह्मणो याथात्म्यम्
sp006-000184_GB_02	तद्द्रष्टुम् शीलम् येषाम् ते तत्त्वदर्शिनः तैः तत्त्वदर्शिभिः
sp006-000185_GB_02	त्वमपि तत्त्वदर्शिनाम् दृष्टिम् आश्रित्य शोकम् मोहम् च हित्वा शीतोष्णादीनि नियतानियतरूपाणि द्वन्द्वानि
sp006-000186_GB_02	विकारः अयम् असन् एव मरीचिजलवत् मिथ्यावभासते इति मनसि निश्चित्य तितिक्षस्व इति अभिप्रायः
sp006-000187_GB_02	किम् पुनस्तद् यत् सदेव सर्वदा एव अस्ति इति उच्यते
sp006-000188_GB_02	अविनाशि न विनष्टुम् शीलम् अस्य इति
sp006-000189_GB_02	तुशब्दः असतो विशेषणार्थः
sp006-000190_GB_02	तद्विद्धि विजानीहि
sp006-000191_GB_02	किम् येन सर्वम् इदम् जगत् ततम् व्याप्तम् सदाख्येन ब्रह्मणा साकाशम् आकाशेन इव घटादयः
sp006-000192_GB_02	विनाशम् अदर्शनम् अभावम्
sp006-000193_GB_02	अव्ययस्य न व्येति उपचयापचयौ न याति इति अव्ययम् तस्य अव्ययस्य
sp006-000194_GB_02	न एतत् सदाख्यम् ब्रह्म स्वेन रूपेण व्येति व्यभिचरति निरवयवत्वात् देहादिवत्
sp006-000195_GB_02	न अपि आत्मीयेन आत्मीयाभावात्
sp006-000196_GB_02	यथा देवदत्तो धनहान्या व्येति न तु एवम् ब्रह्म व्येति
sp006-000197_GB_02	अतः अव्ययस्य अस्य ब्रह्मणो विनाशम् न कश्चित् कर्तुम् अर्हति
sp006-000198_GB_02	न कश्चित् आत्मानम् विनाशयितुम् शक्नोति ईश्वरः अपि
sp006-000199_GB_02	आत्मा हि ब्रह्म स्वात्मनि च क्रियाविरोधात्
sp006-000200_GB_02	किम् पुनस्तदसत् यत्स्वात्मसत्ताम् व्यभिचरति इति उच्यते
sp006-000201_GB_02	अन्तवन्तः अन्तो विनाशो विद्यते येषाम् ते अन्तवन्तो
sp006-000202_GB_02	यथा मृगतृष्णिकादौ सद्बुद्धिः अनुवृत्ता प्रमाणनिरूपणान्ते विच्छिद्यते स तस्या अन्तः
sp006-000203_GB_02	तथा इमे देहाः स्वप्नमायादेहादिवच्च अन्तवन्तः
sp006-000204_GB_02	नित्यस्य शरीरिणः शरीरवतः अनाशिनः अप्रमेयस्य आत्मनः अन्तवन्तः इति उक्ता विवेकिभिः इत्यर्थः
sp006-000205_GB_02	नित्यस्य अनाशिन इति न पुनरुक्तम्
sp006-000206_GB_02	नित्यत्वस्य द्विविधत्वात् लोके नाशस्य च
sp006-000207_GB_02	यथा देहो भस्मीभूतः अदर्शनम् गतो नष्ट उच्यते
sp006-000208_GB_02	विद्यमानः अपि अन्यथा परिणतो व्याध्यादियुक्तो जातो नष्ट उच्यते
sp006-000209_GB_02	तत्र अनाशिनो नित्यस्य इति द्विविधेन अपि नाशेन असम्बन्धः अस्य इत्यर्थः
sp006-000210_GB_02	अन्यथा पृथिव्यादिवत् अपि नित्यत्वम् स्यात् आत्मनः
sp006-000211_GB_02	तत् मा भूदिति नित्यस्य अनाशिन इति आह
sp006-000212_GB_02	अप्रमेयस्य न प्रमेयस्य प्रत्यक्षादिप्रमाणैः अपरिच्छेद्यस्य इत्यर्थः
sp006-000213_GB_02	ननु आगमेन आत्मा परिच्छिद्यते प्रत्यक्षादिना च पूर्वम्
sp006-000214_GB_02	न आत्मनः स्वतःसिद्धत्वात्
sp006-000215_GB_02	सिद्धे हि आत्मनि प्रमातरि प्रमित्सोः प्रमाणान्वेषणा भवति
sp006-000216_GB_02	न हि पूर्वम् इत्थमहम् इति आत्मानम् अप्रमाय पश्चात् प्रमेयपरिच्छेदाय प्रवर्तते
sp006-000217_GB_02	न हि आत्मा नाम कस्यचित् अप्रसिद्धो भवति
sp006-000218_GB_02	शास्त्रम् तु अन्त्यम् प्रमाणम् अतद्धर्माध्यारोपणमात्रनिवर्तकत्वेन प्रमाणत्वम् आत्मनि प्रतिपद्यते
sp006-000219_GB_02	न तु अज्ञात अर्थज्ञापकत्वेन
sp006-000220_GB_02	तथा च श्रुतिः
sp006-000221_GB_02	यस्मादेवम् नित्यः अविक्रियश्च आत्मा तस्मात् युध्यस्व युद्धात् उपरमम् मा कार्षीः इत्यर्थः
sp006-000222_GB_02	न हि अत्र युद्धकर्तव्यता विधीयते युद्धे प्रवृत्त एव हि असौ शोकमोहप्रतिबद्धः तूष्णीमास्ते
sp006-000223_GB_02	तस्य कर्तव्यप्रतिबन्धापनयनमात्रम् भगवता क्रियते
sp006-000224_GB_02	तस्मात् युध्यस्व इति अनुवादमात्रम् न विधिः
sp006-000225_GB_02	शोकमोहादिसंसारकारणनिवृत्त्यर्थम् गीताशास्त्रम् न प्रवर्तकम् इति एतस्य अर्थस्य साक्षिभूते ऋचौ आनीनाय भगवान्
sp006-000226_GB_02	यत्तु मन्यसे
sp006-000227_GB_02	इति एषा बुद्धिः मृषा एव ते
sp006-000228_GB_02	य एनम् प्रकृतम् देहिनम् वेत्ति जानाति हन्तारम् हननक्रियायाः कर्तारम् यश्च एनम् अन्यो मन्यते
sp006-000229_GB_02	तौ उभौ न विजानीतो न ज्ञातवन्तौ अविवेकेन आत्मानम्
sp006-000230_GB_02	अहम् प्रत्यय विषयम्
