sp021-000001_01	भक्तः कुलशेखरः
sp021-000108_04	सङ्कल्पमात्रेण किम्
sp021-000109_04	कार्तिकेय शर्मा
sp021-000110_04	किञ्चन गुरुकुलम्
sp021-000111_04	आचार्यस्य बहवः शिष्याः
sp021-000112_04	सर्वे श्रद्धया विद्याभ्यासम् कुर्वन्ति
sp021-000113_04	किन्तु पञ्चषेषु छात्रेषु प्रगतिः क्षीणा आसीत्
sp021-000114_04	तत्तद्दिनस्य पाठम् तत्तद्दिने एव न पठन्ति स्म ते
sp021-000115_04	बहुधा स्मारितम् चेदपि तेषाम् व्यवहारे परिवर्तनम् न दृष्टम्
sp021-000116_04	तथापि गुरुः तान् न अतर्जयत्
sp021-000117_04	सर्वैः सह इव तैः सह अपि मृदुतया एव व्यवहृतवान् सः
sp021-000118_04	कदाचित् तैः पञ्चषैः सह नदीतीरे सञ्चरन् गुरुः एकम् प्रश्नम् अपृच्छत्
sp021-000119_04	अयि शिष्याः अहम् एकम् प्रश्नम् पृच्छामि
sp021-000120_04	विचिन्त्य उत्तरम् वक्तव्यम् भवद्भिः
sp021-000121_04	कस्यचित् कासारस्य तीरे त्रयः मण्डूकाः उपविष्टाः आसन्
sp021-000122_04	तेषु कश्चन सङ्कल्पम् कृतवान् यत् मया जलम् प्रति कूर्दनम् करणीयम् इति
sp021-000123_04	एवम् तर्हि तीरे कति मण्डूकाः शिष्टाः स्युः
sp021-000124_04	सर्वे शिष्याः क्षणम् यावत् चिन्तने मग्नाः
sp021-000125_04	ततः कश्चन अवदत् तीरे द्वौ मण्डूकौ शिष्येते
sp021-000126_04	गुरुः अवदत् अयुक्तम् उत्तरम् एतत्
sp021-000127_04	मम प्रश्नस्य आशयम् पुनरपि पर्यालोच्य उत्तरम् उच्यताम्
sp021-000128_04	क्षणानन्तरम् अपरः शिष्यः अवदत् अवगतम् मया
sp021-000129_04	एकः यदि सङ्कल्पम् कुर्यात् तर्हि अन्यौ अपि तम् अनुसरतः
sp021-000130_04	अतः तीरे एकः अपि मण्डूकः न शिष्येत
sp021-000131_04	एतत् श्रुत्वा अपि गुरुः निराकरणपूर्वकम् शिरः चालितवान्
sp021-000132_04	एकः मण्डूकः शिष्यते इति वक्तव्यम् भवेत्
sp021-000133_04	एकः सङ्कल्पम् कृतवन्तम् अनुसृतवान् स्यात्
sp021-000134_04	अपरः तत्रैव स्थितः स्यात्
sp021-000135_04	किन्तु एवम् कथनम् युक्तियुक्तम् तु न
sp021-000136_04	वस्तुतः तत्र तिष्ठन्ति त्रयः मण्डूकाः गुरुः हसन् अवदत्
sp021-000137_04	तदा शिष्याः साश्चर्यम् पृष्टवन्तः कथम् तत्
sp021-000138_04	जलम् प्रति कूर्दनम् करणीयम् इति एकेन सङ्कल्पः कृतः ननु
sp021-000139_04	अतः द्वौ शिष्टौ स्याताम्
sp021-000140_04	एकः वा शिष्टः स्यात्
sp021-000141_04	न कोऽपि वा शिष्टः स्यात्
sp021-000142_04	त्रयः तत्र तीरे कथम् भवितुम् अर्हन्ति
sp021-000143_04	तत् श्रुत्वा गुरुः अवदत्
sp021-000144_04	वत्साः एकेन मण्डूकेन सङ्कल्पः कृतः इति मया उक्तम्
sp021-000145_04	न तु जलम् प्रति कूर्दनम् कृतम् इति
sp021-000146_04	यः सङ्कल्पमात्रम् करोति सः कार्ये उद्यतः भवेत् इति तु नास्ति
sp021-000147_04	यस्य सङ्कल्पः दृढः सः एव कार्ये प्रवृत्तः भवेत्
sp021-000148_04	सः एव प्रगतिम् साधयितुम् अर्हेत् च
sp021-000149_04	अध्ययनम् अपि एवमेव
sp021-000150_04	तत्तद्दिनस्य पाठम् तत्तद्दिने एव यः पठित्वा तस्य मननम् कुर्यात्
sp021-000151_04	सः एव प्रगतिम् साधयेत्
sp021-000152_04	अनन्तरदिनतः एते शिष्याः अपि अध्ययने श्रद्धाम् प्रदर्शयन्तः
sp021-000153_04	तत्तद्दिनस्य पाठनम् तत्तद्दिने एव पठन्तः प्रगतिम् साधितवन्तः
sp021-000154_05	सर्वश्रेष्ठा गुरुदक्षिणा
sp021-000155_05	अरुणकुमारः
sp021-000156_05	किञ्चन गुरुकुलम्
sp021-000157_05	तत्र बहवः विद्यार्थिनः पठन्ति
sp021-000158_05	विद्याभ्यासम् समाप्य निर्गमनसमये ते गुरुम् पृच्छन्ति स्म
sp021-000159_05	आचार्य गुरुदक्षिणारूपेण किम् देयम् इति
sp021-000160_05	गुरुः वदति स्म यत् अधीतम् तस्य सम्यक् अनुष्ठानम् क्रियताम्
sp021-000161_05	स्वावलम्बितया जीवनम् कुत्वा
sp021-000162_05	वर्षाभ्यन्तरे यत् सम्पाद्येत तत्र कश्चन भागः दीयताम् इति
sp021-000163_05	विद्यार्थिनः गृहम् प्रतिगत्य वर्षाभ्यन्तरे यथाशक्ति धनम् सम्पाद्य
sp021-000164_05	तत्र कञ्चित् भागम् गुरवे श्रद्धया समर्पयन्ति स्म
sp021-000165_05	कदाचित् कश्चन तेजस्वी बालः गुरुकुलम् आगतवान्
sp021-000166_05	तीक्ष्णमतिः सः अल्पे एव काले गुरोः प्रियः अभवत्
sp021-000167_05	गुरुः अपि तम् वात्सल्येन अपाठयत्
sp021-000168_05	विद्याभ्यासम् परिसमाप्य प्रतिगमनसमये अन्ये शिष्याः इव सः अपि गुरुम् अपृच्छत्
sp021-000169_05	आचार्यवर्य गुरुदक्षिणात्वेन मया किम् देयम्
sp021-000170_05	गुरुः यथापूर्वम् उत्तरम् अयच्छत्
sp021-000171_05	शिष्यः ततः निर्गतः
sp021-000172_05	ततः वर्षाभ्यन्तरे दशभिः सह प्रत्यागत्य सः गुरुम् अवदत्
sp021-000173_05	आचार्यवर्य मया गुरुदक्षिणाम् दातुम् आगतम् इति
sp021-000174_05	महतः सन्तोषस्य विषयः गुरुः अवदत्
sp021-000175_05	एते एव गुरुदक्षिणात्वेन अर्प्यन्ते मया शिष्यः अवदत्
sp021-000176_05	किमर्थम् तथा गुरुः आश्चर्येण अपृच्छत्
sp021-000177_05	गुरुवर्य भवता यत् अध्यापितम् तत् यथाशक्ति अध्यापितम् मया
sp021-000178_05	तस्मात् एते भवच्छिष्यार्हताम् गताः सन्ति
sp021-000179_05	इतःपरम् भवान् एतान् अध्याप्य सन्मार्गगामिनः कुर्यात् इति प्रार्थये
sp021-000180_05	इति विनयेन नमस्कत्य अवदत् शिष्यः
sp021-000181_05	तम् साभिमानम् पश्यन् गुरुः अवदत्
sp021-000182_05	साधु शिष्योत्तम साधु भवता सर्वश्रेष्ठा एव गुरुदक्षिणा अर्पिता
sp021-000183_05	यत् मया अध्यापितम् तत् सम्यक् अवगत्य योग्येन एव क्रमेण तस्य आचरणमपि त्वया कृतम्
sp021-000184_05	तव आचरणम् अपि सर्वश्रेष्ठम्
sp021-000185_05	अतः एव त्वमपि मम शिष्येषु सर्वश्रेष्ठः इति
sp021-000186_06	विचिन्त्य उपदेष्टव्यम्
sp021-000187_06	डाक्टर् के नारायणभट्टः
sp021-000188_06	तत्र महावीरो नाम नरपतिः राज्यम् पालयति स्म
sp021-000189_06	सः प्रजाः पुत्रवत् पालयति स्म
sp021-000190_06	एकदा तत्र अत्यल्पा वृष्टिः अभवत्
sp021-000191_06	तदा जनाः जलक्षामेण दुःखिताः जाताः
sp021-000192_06	दुःखितान् तान् दृष्ट्वा राजा जलक्षामनिवारणार्थम् उपायम् अचिन्तयत्
sp021-000193_06	मन्त्रिपरिषदम् आहूय सः जलक्षामनिवारणोपायम् व्यचारयत्
sp021-000194_06	तदा मन्त्रिणः अवदन् प्रभो तालद्वयदघ्नम् योजन विस्तीर्णम् सरः निर्मातव्यम्
sp021-000195_06	तेन जलक्षामस्य उपशमनम् भवेत् इति
sp021-000196_06	तत् श्रुत्वा राजा तथैव सरः कारितवान्
sp021-000197_06	वर्षाकाले समागते विपुला वृष्टिः अभवत्
sp021-000198_06	तथापि तत् सरः तु शुष्कम् एव अवर्तत
sp021-000199_06	न तत्र किञ्चिदपि जलम् अतिष्ठत्
sp021-000200_06	तत् अवलोक्य राजा किमस्य कारणम्
sp021-000201_06	एतन्निवारणे किम् वा करणीयम् इति अचिन्तयत्
sp021-000202_06	कश्चन ऋषिः तस्य सरसः समीपम् आगतः
sp021-000203_06	राजा तम् प्रणम्य फलादिभिः अपूजयत्
sp021-000204_06	तेन सन्तुष्टः तपस्वी राजानम् अपृच्छत्
sp021-000205_06	राजन् त्वम् दुःखितः इव दृश्यसे किम् अस्य कारणम् इति
sp021-000206_06	तदा राजा अवदत्
sp021-000207_06	भगवन् प्रजानाम् दुःखम् अपाकर्तुम् महान्तम् धनव्ययम् कृत्वा एतत् सरः मया कारितम्
sp021-000208_06	तत्र तु जलम् बिन्दुमात्रेणापि न तिष्ठति
sp021-000209_06	अतः अहम् दुःखितः अस्मि
sp021-000210_06	भवान् एतम् प्रत्यवायम् स्वतपःप्रभावेण यदि निवारयेत्
sp021-000211_06	तर्हि महान् अनुग्रहः कृतः भवेत् इति
sp021-000212_06	तत् श्रुत्वा ऋषिः अवदत्
sp021-000213_06	राजन् अत्र महान् प्रत्यवायः विद्यते
sp021-000214_06	सरोवरस्य समीपे मातुः दुर्गायाः मन्दिरम् विद्यते
sp021-000215_06	तस्यै विशिष्टः उपहारः देयः
sp021-000216_06	विक्रमौदार्यादिविशिष्टगुणोपेतस्य राज्ञः सकलाभिः योगशक्तिभिः सम्पन्नस्य कस्यचित् ऋषेः वा
sp021-000217_06	कण्ठरुधिरेण मिश्रितम् अन्नम् तस्यै अर्पणीयम्
sp021-000218_06	तथा कृतम् चेत् अस्मिन् सरसि जलम् न शुष्येत् इति
sp021-000219_06	ऋषेः वचनम् श्रुत्वा राजा क्षणम् यावत् अचिन्तयत्
sp021-000220_06	विक्रमौदार्यादिगुणैः सम्पन्नः राजा सुदुर्लभः
sp021-000221_06	तादृशैः गुणैः युक्तः ऋषिः अपि क्व प्राप्येत इति
sp021-000222_06	तावता तस्य मनसि नूतनः विचारः अस्फुरत्
sp021-000223_06	ऋषिः अयम् योगशक्तिसम्पन्नः अस्ति एव
sp021-000224_06	तया शक्त्या एव प्रत्यवायम् ज्ञात्वा परिहारम् उक्तवान् अस्ति अयम्
sp021-000225_06	अतः इममेव ऋषिम् बलिम् करोमि इति निश्चित्य
sp021-000226_06	कोशात् खड्गम् आकृष्य सः ऋषेः कण्ठम् छित्त्वा
sp021-000227_06	तद्रक्तेन मिश्रितम् अन्नम् दुर्गायै समार्पयत्
sp021-000228_06	ततः वृष्टेः जलम् सरसि अतिष्ठत्
sp021-000229_06	सरोवरश्च समुद्रवत् अभासत
sp021-000230_06	एवम् यः परिहारस्य उपदेष्टा आसीत् सः एव मरणम् प्राप्नोत्
sp021-000231_06	अतः विवेकिभिः उच्यते
sp021-000232_06	कालम् अवेक्ष्य एव नृपजनान् हितम् अहितम् वा उपदेष्टव्यम्
sp021-000233_06	अन्यथा उपदेष्टॄणाम् एव अपायः सम्भवेत् इति
sp021-000234_07	महामेधावी रामानुजः
sp021-000235_07	जर्मन्देशे ग्रामप्रदेशे कश्चन प्राथमिकः विद्यालयः
sp021-000236_07	अन्तिमावधौ अध्यापकः न आसीत् कस्याञ्चित् कक्ष्यायाम्
sp021-000237_07	अतः सर्वे छात्राः महान्तम् कोलाहलम् कुर्वन्तः आसन्
sp021-000238_07	अतः मुख्याध्यापकः दण्डम् गृहीत्वा कक्ष्याम् प्राविशत्
sp021-000239_07	तस्य दर्शनेन सर्वे छात्राः तूष्णीम् अभवन्
sp021-000240_07	प्रधानाध्यापकः छात्रान् दण्डयितुम् ऐच्छत्
sp021-000241_07	अतः सः छात्रान् आदिष्टवान्
sp021-000242_07	भोः सर्वैः एकतः शतपर्यन्तम् लेखनीयम्
sp021-000243_07	ततः सर्वेषाम् सङ्कलनम् कृत्वा योगः लेखनीयः
sp021-000244_07	तदनन्तरमेव भवन्तः गृहम् गन्तुम् अर्हन्ति
sp021-000245_07	यः शीघ्रम् लिखेत् सः शीघ्रमेव गन्तुम् अर्हति इति
sp021-000246_07	सर्वे छात्राः झटिति लेखने उद्यताः अभवन्
sp021-000247_07	सर्वेषामपि महती चिन्ता
sp021-000248_07	न ज्ञायते एतदर्थम् कियान् समयः अपेक्ष्येत इति इति
sp021-000249_07	किन्तु तेषु एकः छात्रः लेखनारम्भम् अकृत्वा
sp021-000250_07	वातायने दृष्टिम् निधाय चिन्तने मग्नः अभवत्
sp021-000251_07	निमेषद्वयाभ्यन्तरे तत्र नेत्रे सन्तोषेण विशाले जाते
sp021-000252_07	सः दक्षिणहस्तम् उन्नीय अपृच्छत्
sp021-000253_07	आचार्यवर्य उत्तरम् यदि उच्येत तर्हि किमहम् गृहम् गन्तुम् शक्नुयाम्
sp021-000254_07	निश्चयेन किन्तु सङ्कलनम् किम् त्वया कृतम्
sp021-000255_07	आम् उत्तरमपि सिद्धम् अस्ति
sp021-000256_07	दर्श्यताम् उत्तरम्
sp021-000257_07	मया न लिखितम्
sp021-000258_07	मनसि एव सङ्कलनम् कृतम्
sp021-000259_07	अतः अहम् उत्तरम् वदामि छात्रः अवदत्
sp021-000260_07	अस्तु अत्र मत्समीपम् आगत्य वद
sp021-000261_07	छात्रः गुरोः कर्णे उत्तरम् अवदत्
sp021-000262_07	साधु इति गुरुः यावत् अवदत् तावता छात्रः स्यूतम् उन्नीय ततः निर्गतः आसीत्
sp021-000263_07	अन्ये छात्राः दीर्घकालम् यावत् श्रमम् कृतवन्तः
sp021-000264_07	तथापि योग्यम् उत्तरम् लिखितुम् तैः न शक्तम्
sp021-000265_07	अन्ते गुरुः एव करुणया तान् गृहम् प्रति प्रेषितवान्
sp021-000266_07	अनन्तरदिने सः तम् छात्रम् आहूय अपृच्छत्
sp021-000267_07	भोः तावता शैठ्येण त्वया कथम् सङ्कलनम् कृतम्
sp021-000268_07	तदा सः छात्रः समन्दहासम् अवदत्
sp021-000269_07	गुरुवर्य शतपर्यन्तानाम् सङ्ख्यानाम् सङ्कलनम् करणीयम् ननु
sp021-000270_07	आदौ मया प्रथमान्तिमयोः योजनम् कृतम्
sp021-000271_07	ततः द्वितीयोपान्त्ययोः योजनम् कृतम्
sp021-000272_07	अनन्तरम् तृतीयायाः अन्त्यात् पूर्वस्याः पूर्वस्याः च योजनम् कृतम्
sp021-000273_07	एतस्मात् पञ्चाशत् युगलानि प्राप्तानि
sp021-000274_07	सर्वेषाम् युगलानाम् सङ्कलनम् तु एकाधिक एकशतम्
sp021-000275_07	अतः पञ्चाशतः युगलानाम् सङ्कलनम् तु
sp021-000276_07	एतत्सर्वम् मया मनसि एव कृतम्
sp021-000277_07	छात्रस्य बुद्धिमत्ताम् दृष्ट्वा हृष्टः अध्यापकः अवदत्
sp021-000278_07	वत्स महामेधावी असि
sp021-000279_07	त्वम् अग्रे निश्चयेन महतीम् कीर्तिम् प्राप्स्यसि
sp021-000280_07	सः एव बालः भाविनि काले महाभौतविज्ञानित्वेन ख्यातः अभवत्
sp021-000281_07	तस्य नाम कार्ल फेडरिक् गास् इति
sp021-000282_08	दानम्
sp021-000283_08	कश्चन राजा स्वस्य गुरोः माहात्म्यम् श्लाघमानः सहर्ष गुरवे दुकूलवस्त्राणि उपायनत्वेन समर्पितवान्
sp021-000284_08	अनेन प्रमुदितः गुरुः तानि वस्त्राणि परिगृह्य गृहम् प्रति प्रस्थितवान्
sp021-000285_08	मध्ये मार्गम् तेन कश्चन भिक्षुकः दृष्टः
sp021-000286_08	तस्य निर्गतिकावस्थायाः दर्शनात् गुरोः मनसि महती करुणा उत्पन्ना
sp021-000287_08	अतः सः स्वनिकटे स्थितानि राज्ञा दत्तानि वस्त्राणि तस्मै दत्त्वा अग्रे गतवान्
sp021-000288_08	परे द्यवि तेनैव मार्गेण गच्छन् राजा गुरवे उपायनीकृतानि दुकूलवस्त्राणि भिक्षुकेण परिधृतानि दृष्टवान्
sp021-000289_08	मया यत् गुरवे दत्तम् तत् भिक्षुकस्य शरीरे दृश्यते
sp021-000290_08	एतस्य तात्पर्यम् यत् मया दत्तम् गुरुः भिक्षुकाय दत्तवान् इति
sp021-000291_08	एतेन गुरुः मम अपमानम् कृतवान् इव
sp021-000292_08	इति चिन्तयन् सः अतीव क्रुद्धः सञ्जातः
sp021-000293_08	कतिपयदिनानाम् अनन्तरम् राजा गुरवे उपायनत्वेन सुवर्णकङ्कणम् प्रदत्तवान्
sp021-000294_08	गुरुः तत् सुवर्णम् कङ्कणम् स्वीकृत्य आस्थानात् तु निर्गतः
sp021-000295_08	तेन ज्ञातम् यत् राजास्थानस्य उद्योगी कश्चित् पुत्र्याः विवाहम् कर्तुम् क्लेशम् अनुभवति इति
sp021-000296_08	अतः सः तत् सुवर्णकङ्कणम् राजास्थानस्य उद्योगिने अयच्छत्
sp021-000297_08	एतम् विषयम् ज्ञात्वा राजा गुरुम् आहूय अवदत्
sp021-000298_08	भवद्विषयिण्या गौरवभावनया मया भवते उपायनानि दत्तानि
sp021-000299_08	किन्तु भवान् तानि यथेष्टम् अन्येभ्यः वितरन् अस्ति
sp021-000300_08	किम् एतत् उचितम् इति
sp021-000301_08	तदा गुरुः अवदत्
sp021-000302_08	राजन् दानम् नाम प्रदत्तस्य वस्तुनः धनस्य वा सम्पूर्णतया स्वामित्वत्यागस्य अङ्गीकारः
sp021-000303_08	परन्तु आधुनापि कृतस्य दानस्य विषयम् स्मरन् भवान् तद्विषये माम् पृच्छन्नस्ति
sp021-000304_08	इत्यस्य अयमेव अर्थः यत्
sp021-000305_08	इदानीमपि तद्वस्तु आत्मनः एव इति भवान् भावयन् अस्ति इति
sp021-000306_08	एवम् तर्हि भवान् दानफलम् न प्राप्स्यति
sp021-000307_08	अस्तु तावत् भवान् पृच्छन्नस्ति इत्यतः वदामि
sp021-000308_08	वस्तुतः भवता मह्यम् प्रदत्तानाम् वस्तूनाम् आवश्यकता मम यावत् स्यात्
sp021-000309_08	ततोऽपि अधिकम् तेषाम् एव अस्ति
sp021-000310_08	अतः एव अहम् तानि वस्तूनि तेभ्यः दत्तवान् अस्मि
