sp023-000001_001	ब्रह्मसूत्रे प्रथमाध्याये प्रथमः पादः
sp023-000089_001	यथा अक्षार्थसन्निकर्षेण अर्थावबोधे तद्वत्
sp023-000090_001	तस्मात् किमपि वक्तव्यम्
sp023-000091_001	यदनन्तरम् ब्रह्मजिज्ञासा उपदिश्यत इति
sp023-000092_001	उच्यते नित्यानित्यवस्तुविवेकः
sp023-000093_001	इह अमुत्रार्थभोगविरागः
sp023-000094_001	शमदमादिसाधनसम्पत् मुमुक्षुत्वम् च
sp023-000095_001	तेषु हि सत्सु प्रागपि धर्मजिज्ञासाया ऊर्ध्वम् च शक्यते ब्रह्म जिज्ञासितुम् ज्ञातुम् च
sp023-000096_001	न विपर्यये
sp023-000097_001	यस्माद्वेद एव अग्निहोत्रादीनाम् श्रेयःसाधनानाम् अनित्यफलताम् दर्शयति
sp023-000098_001	तथा ब्रह्मज्ञानादपि परम् पुरुषार्थम् दर्शयति
sp023-000099_001	ब्रह्मणो जिज्ञासा ब्रह्मजिज्ञासा
sp023-000100_001	ब्रह्म च वक्ष्यमाणलक्षणम्
sp023-000101_001	अत एव न ब्रह्मशब्दस्य जात्यादि अर्थान्तरमाशङ्कितव्यम्
sp023-000102_001	ब्रह्मण इति कर्मणि षष्ठी न शेषे
sp023-000103_001	जिज्ञास्य अपेक्षत्वाज्जिज्ञासायाः जिज्ञास्यान्तर अनिर्देशाच्च
sp023-000104_001	ननु शेषषष्ठीपरिग्रहेऽपि ब्रह्मणो जिज्ञासाकर्मत्वम् न विरुध्यते
sp023-000105_001	सम्बन्धसामान्यस्य विशेषनिष्ठत्वात्
sp023-000106_001	एवमपि प्रत्यक्षम् ब्रह्मणः कर्मत्वमुत्सृज्य सामान्यद्वारेण परोक्षम् कर्मत्वम् कल्पयतो व्यर्थः प्रयासः स्यात्
sp023-000107_001	न व्यर्थः ब्रह्माश्रित अशेष विचारप्रतिज्ञानार्थत्वादिति चेत् न
sp023-000108_001	प्रधान परिग्रहे तदपेक्षितानामर्थाक्षिप्तत्वात्
sp023-000109_001	ब्रह्म हि ज्ञानेन आप्तुमिष्टतमत्वात् प्रधानम्
sp023-000110_002	तस्मिन्प्रधाने जिज्ञासाकर्मणि परिगृहीते यैर्जिज्ञासितैर्विना ब्रह्म जिज्ञासितम् न भवति
sp023-000111_002	तान्यर्थाक्षिप्तानि एव इति न पृथक्सूत्रयितव्यानि
sp023-000112_002	यथा राजासौ गच्छति इत्युक्ते सपरिवारस्य राज्ञो गमनमुक्तम् भवति तद्वत्
sp023-000113_002	श्रुत्यनुगमाच्च
sp023-000114_002	इति प्रत्यक्षमेव ब्रह्मणो जिज्ञासाकर्मत्वम् दर्शयन्ति
sp023-000115_002	तच्च कर्मणिषष्ठीपरिग्रहे सूत्रेण अनुगतम् भवति
sp023-000116_002	तस्माद्ब्रह्मण इति कर्मणि षष्ठी
sp023-000117_002	ज्ञातुमिच्छा जिज्ञासा
sp023-000118_002	अवगतिपर्यन्तम् ज्ञानम् सन्वाच्याया इच्छायाः कर्म फलविषयत्वादिच्छायाः
sp023-000119_002	ज्ञानेन हि प्रमाणेन अवगन्तुमिष्टम् ब्रह्म
sp023-000120_002	ब्रह्म अवगतिर्हि पुरुषार्थः
sp023-000121_002	तस्मात् ब्रह्म जिज्ञासितव्यम्
sp023-000122_002	तत्पुनर्ब्रह्म प्रसिद्धम् अप्रसिद्धम् वा स्यात्
sp023-000123_002	यदि प्रसिद्धम् न जिज्ञासितव्यम्
sp023-000124_002	अथ अप्रसिद्धम् नैव शक्यम् जिज्ञासितुमिति
sp023-000125_002	उच्यते अस्ति तावद्ब्रह्म नित्यशुद्धबुद्धमुक्तस्वभावम् सर्वज्ञम् सर्वशक्तिसमन्वितम्
sp023-000126_002	ब्रह्मशब्दस्य हि व्युत्पाद्यमानस्य नित्यशुद्धत्वादयो अर्थाः प्रतीयन्ते बृंहतेर्धातोरर्थ अनुगमात्
sp023-000127_002	सर्वस्य आत्मत्वाच्च ब्रह्मास्तित्वप्रसिद्धिः
sp023-000128_002	यदि हि नात्मास्तित्वप्रसिद्धिः स्यात् सर्वो लोकः नाहमस्मि इति प्रतीयात्
sp023-000129_002	आत्मा च ब्रह्म
sp023-000130_002	यदि तर्हि लोके ब्रह्म आत्मत्वेन प्रसिद्धमस्ति ततो ज्ञातमेव इति अजिज्ञास्यत्वम् पुनरापन्नम्
sp023-000131_002	न तद्विशेषम् प्रति विप्रतिपत्तेः
sp023-000132_002	देहमात्रम् चैतन्यविशिष्टम् आत्मेति प्राकृता जना लोकायतिकाश्च प्रतिपन्नाः
sp023-000133_002	इन्द्रियाण्येव चेतनानि आत्म इत्यपरे
sp023-000134_002	मन इति अन्ये
sp023-000135_002	विज्ञानमात्रम् क्षणिकमित्येके
sp023-000136_002	शून्यमित्यपरे
sp023-000137_002	अस्ति देहादिव्यतिरिक्तः संसारी कर्ता भोक्ता इत्यपरे
sp023-000138_002	भोक्तैव केवलम् न कर्ता इत्येके
sp023-000139_002	अस्ति तद्व्यतिरिक्त ईश्वरः सर्वज्ञः सर्वशक्तिरिति केचित्
sp023-000140_002	आत्मा स भोक्तुरित्यपरे
sp023-000141_002	एवम् बहवो विप्रतिपन्ना युक्तिवाक्यतदाभाससमाश्रयाः सन्तः
sp023-000142_002	तत्र अविचार्य यत्किञ्चित्प्रतिपद्यमानो निःश्रेयसात्प्रतिहन्येत अनर्थम् चेयात्
sp023-000143_002	तस्मात् ब्रह्मजिज्ञासोपन्यासमुखेन वेदान्तवाक्यमीमांसा तदविरोधिततर्कोपकरणा निःश्रेयसप्रयोजना प्रस्तूयते
sp023-000144_002	ब्रह्म जिज्ञासितव्यमित्युक्तम्
sp023-000145_002	किंलक्षणम् पुनस्तद्ब्रह्म इत्यत आह भगवान्सूत्रकारः
sp023-000146_002	जन्म उत्पत्तिः आदिः अस्य इति तद्गुणसंविज्ञानो बहुव्रीहिः
sp023-000147_002	जन्मस्थितिभङ्गम् समासार्थः
sp023-000148_002	जन्मनश्च आदित्वम् श्रुतिनिर्देशापेक्षम् वस्तुवृत्तापेक्षम् च
sp023-000149_002	श्रुतिनिर्देशस्तावत्
sp023-000150_002	अस्मिन्वाक्ये जन्मस्थितिप्रलयानाम् क्रमदर्शनात्
sp023-000151_002	वस्तुवृत्तमपि जन्मना लब्धसत्ताकस्य धर्मिणः स्थितिप्रलयसम्भवात्
sp023-000152_002	अस्य इति प्रत्यक्षादिसन्निधापितस्य धर्मिण इदमा निर्देशः
sp023-000153_002	षष्ठी जन्मादिधर्मसम्बन्धार्था
sp023-000154_002	यत इति कारणनिर्देशः
sp023-000155_002	अस्य जगतो नामरूपाभ्याम् व्याकृतस्य अनेककर्तृभोक्तृसंयुक्तस्य प्रतिनियतदेशकाल निमित्तक्रियाफलाश्रयस्य मनसापि अचिन्त्यरचनारूपस्य जन्मस्थितिभङ्गम्
sp023-000156_002	यतः सर्वज्ञात्सर्वशक्तेः कारणाद्भवति तद्ब्रह्मेति वाक्यशेषः
sp023-000157_002	अन्येषामपि भावविकाराणाम् त्रिष्वेव अन्तर्भाव इति जन्मस्थितिनाशानाम् इह ग्रहणम्
sp023-000158_002	यास्कपरिपठितानाम् तु जायते अस्ति इत्यादीनाम् ग्रहणे तेषाम् जगतः स्थितिकाले सम्भाव्यमानत्वात् मूलकारणात् उत्पत्तिस्थितिनाशा जगतो न गृहीताः स्युः इत्याशङ्क्येत
sp023-000159_002	तन्मा शङ्कि इति या उत्पत्तिर्ब्रह्मणः तत्रैव स्थितिः प्रलयश्च ते एव गृह्यन्ते
sp023-000160_002	न च यथोक्तविशेषणस्य जगतो यथोक्तविशेषणम् ईश्वरम् मुक्त्वा अन्यतः प्रधानात् अचेतनात् अणुभ्यः अभावात् संसारिणो वा उत्पत्त्यादि सम्भावयितुम् शक्यम्
sp023-000161_002	न च स्वभावतः विशिष्टदेशकालनिमित्तानाम् इहोपादानात्
sp023-000162_002	एतदेव अनुमानम् संसारिव्यतिरिक्त ईश्वरास्तित्वादिसाधनम् मन्यन्ते ईश्वरकारणवादिनः
sp023-000163_002	ननु इहापि तदेव उपन्यस्तम् जन्मादिसूत्रे
sp023-000164_002	न वेदान्तवाक्यकुसुमग्रथनार्थत्वात् सूत्राणाम्
sp023-000165_002	वेदान्तवाक्यानि हि सूत्रैरुदाहृत्य विचार्यन्ते
sp023-000166_002	वाक्यार्थविचारणा अध्यवसान निर्वृत्ता हि ब्रह्मावगतिः
sp023-000167_002	न अनुमानादिप्रमाणान्तरनिर्वृत्ता
sp023-000168_002	सत्सु तु वेदान्तवाक्येषु जगतो जन्मादिकारणवादिषु तदर्थग्रहणदार्ढ्याय अनुमानमपि वेदान्तवाक्य अविरोधि प्रमाणम् भवत् न निवार्यते
sp023-000169_002	श्रुत्यैव च सहायत्वेन तर्कस्य अभ्युपेतत्वात्
sp023-000170_002	इति च पुरुषबुद्धिसाहाय्यम् आत्मनो दर्शयति
sp023-000171_002	न धर्मजिज्ञासायामिव श्रुत्यादय एव प्रमाणम् ब्रह्मजिज्ञासायाम्
sp023-000172_002	किन्तु श्रुत्यादयो अनुभवादयश्च यथासम्भवमिह प्रमाणम्
sp023-000173_002	अनुभव अवसानत्वात् भूतवस्तुविषयत्वाच्च ब्रह्मज्ञानस्य
sp023-000174_002	कर्तव्ये हि विषये न अनुभव अपेक्षास्तीति श्रुत्यादीनामेव प्रामाण्यम् स्यात्
sp023-000175_002	पुरुष अधीन आत्मलाभत्वाच्च कर्तव्यस्य
sp023-000176_002	कर्तुम् अकर्तुम् अन्यथा वा कर्तुम् शक्यम् लौकिकम् वैदिकम् च कर्म
sp023-000177_002	यथा अश्वेन गच्छति पद्भ्याम् अन्यथा वा न वा गच्छतीति
sp023-000178_002	विधिप्रतिषेधाश्च अत्र अर्थवन्तः स्युः विकल्पोत्सर्गापवादाश्च
sp023-000179_002	न तु वस्तु एवम् नैवम् अस्ति नास्ति इति वा विकल्प्यते
sp023-000180_002	विकल्पनास्तु पुरुषबुद्ध्यपेक्षाः
sp023-000181_002	न वस्तुयाथात्म्यज्ञानम् पुरुषबुद्ध्यपेक्षम्
sp023-000182_002	किम् तर्हि
sp023-000183_002	वस्तुतन्त्रमेव तत्
sp023-000184_002	न हि स्थाणौ एकस्मिन् स्थाणुर्वा पुरुषो अन्यो वा इति तत्त्वज्ञानम् भवति
sp023-000185_002	तत्र पुरुषोअन्यो वा इति मिथ्याज्ञानम्
sp023-000186_002	स्थाणुरेव इति तत्त्वज्ञानम् वस्तुतन्त्रत्वात्
sp023-000187_002	एवम् भूतवस्तुविषयाणाम् प्रामाण्यम् वस्तुतन्त्रम्
sp023-000188_002	तत्रैवम् सति ब्रह्मज्ञानमपि वस्तुतन्त्रमेव भूतवस्तुविषयत्वात्
sp023-000189_002	ननु भूतवस्तुविषयत्वे ब्रह्मणः प्रमाणान्तरविषयत्वमेवेति वेदान्तवाक्यविचारणा अनर्थिकैव प्राप्ता
sp023-000190_002	न इन्द्रिय अविषयत्वेन सम्बन्ध अग्रहणात्
sp023-000191_002	स्वभावतो विषयविषयाणी इन्द्रियाणि न ब्रह्मविषयाणि
sp023-000192_002	सति हि इन्द्रियविषयत्वे ब्रह्मणः इदम् ब्रह्मणा सम्बद्धम् कार्यमिति गृह्येत
sp023-000193_002	कार्यमात्रमेव तु गृह्यमाणम् किम् ब्रह्मणा सम्बद्धम्
sp023-000194_002	किमन्येन केनचिद्वा सम्बद्धम् इति न शक्यम् निश्चेतुम्
sp023-000195_002	तस्मात् जन्मादिसूत्रम् न अनुमानोपन्यासार्थम्
sp023-000196_002	किम् तर्हि वेदान्तवाक्यप्रदर्शनार्थम्
sp023-000197_002	किम् पुनस्तद्वेदान्तवाक्यम् यत् सूत्रेण इह लिलक्षयिषितम्
sp023-000198_002	अन्यान्य अपि एवञ्जातीयकानि वाक्यानि नित्यशुद्धबुद्धमुक्तस्वभाव सर्वज्ञस्वरूपकारणविषयाणि उदाहर्तव्यानि
sp023-000199_002	जगत्कारणत्वप्रदर्शनेन सर्वज्ञम् ब्रह्म इति उपक्षिप्तम्
sp023-000200_002	तदेव द्रढयन्नाह
sp023-000201_002	महत ऋग्वेदादेः शास्त्रस्य अनेकविद्यास्थानोपबृंहितस्य प्रदीपवत्सर्वार्थ अवद्योतिनः सर्वज्ञकल्पस्य योनिः कारणम् ब्रह्म
sp023-000202_002	न हि ईदृशस्य शास्त्रस्य ऋग्वेदादिलक्षणस्य सर्वज्ञगुणान्वितस्य सर्वज्ञादन्यतः सम्भवो अस्ति
sp023-000203_002	यद्यद्विस्तरार्थम् शास्त्रम् यस्मात्पुरुषविशेषात्सम्भवति
sp023-000204_002	यथा व्याकरणादि पाणिन्यादेः ज्ञेयैकदेशार्थमपि स ततोऽप्यधिकतरविज्ञान इति प्रसिद्धम् लोके
sp023-000205_002	किमु वक्तव्यम्
sp023-000206_002	अनेकशाखाभेदभिन्नस्य देवतिर्यङ्मनुष्यवर्णाश्रमादि प्रविभागहेतोः ऋग्वेदाद्याख्यस्य सर्वज्ञानाकारस्य
sp023-000207_002	अप्रयत्नेनैव लीलान्यायेन पुरुषनिःश्वासवत् यस्मान्महतो भूतात् योनेः सम्भवः
sp023-000208_002	तस्य महतो भूतस्य निरतिशयम् सर्वज्ञत्वम् सर्वशक्तिमत्त्वम् च इति
sp023-000209_002	यथोक्तम् ऋग्वेदादिशास्त्रम् योनिः कारणम् प्रमाणमस्य ब्रह्मणो यथावत्स्वरूप अधिगमे
sp023-000210_002	शास्त्रादेव प्रमाणात् जगतो जन्मादिकारणम् ब्रह्म अधिगम्यत इत्यभिप्रायः
sp023-000211_002	शास्त्रम् उदाहृतम् पूर्वसूत्रे
sp023-000212_002	किमर्थम् तर्हि इदम् सूत्रम्
sp023-000213_002	यावता पूर्वसूत्रेणैव एवञ्जातीयकम् शास्त्रम् उदाहरता शास्त्रयोनित्वम् ब्रह्मणो दर्शितम्
sp023-000214_002	उच्यते तत्र सूत्राक्षरेण स्पष्टम् शास्त्रस्य अनुपादानात् जन्मादिसूत्रेण केवलम् अनुमानम् उपन्यस्तम् इत्याशङ्क्येत
sp023-000215_002	ताम् आशङ्काम् निवर्तयितुमिदम् सूत्रम् प्रववृते शास्त्रयोनित्वात् इति
sp023-000216_003	कथम् पुनर्ब्रह्मणः शास्त्रप्रमाणकत्वमुच्यते
sp023-000217_003	इति क्रियापरत्वम् शास्त्रस्य प्रदर्शितम्
sp023-000218_003	अतो वेदान्तानाम् आनर्थक्यम् अक्रियार्थत्वात्
sp023-000219_003	कर्तृदेवतादिप्रकाशनार्थत्वेन वा क्रियाविधिशेषत्वम् उपासनादिक्रियान्तरविधानार्थत्वम् वा
sp023-000220_003	न हि परिनिष्ठितवस्तुप्रतिपादनपरम् सम्भवति
sp023-000221_003	प्रत्यक्षादिविषयत्वात्परिनिष्ठितवस्तुनः तत्प्रतिपादने च हेयोपादेयरहिते पुरुषार्थाभावात्
sp023-000222_003	अत एव सोऽरोदीत् इत्येवमादीनाम् आनर्थक्यम् मा भूदिति
sp023-000223_003	अतो न क्वचिदपि वेदवाक्यानाम् विधिसंस्पर्शमन्तरेण अर्थवत्ता दृष्टा उपपन्ना वा
sp023-000224_003	न च परिनिष्ठिते वस्तुस्वरूपे विधिः सम्भवति क्रियाविषयत्वाद्विधेः
sp023-000225_003	तस्मात् कर्मापेक्षितकर्तृदेवतादिस्वरूपप्रकाशनेन क्रियाविधिशेषत्वम् वेदान्तानाम्
sp023-000226_003	अथ प्रकरणान्तरभयात् नेतत् अभ्युपगम्यते तथापि स्ववाक्यगत उपासनादिकर्मपरत्वम्
sp023-000227_003	तस्मात् न ब्रह्मणः शास्त्रयोनित्वमिति प्राप्ते उच्यते
sp023-000228_003	तुशब्दः पूर्वपक्षव्यावृत्त्यर्थः
sp023-000229_003	तद्ब्रह्म सर्वज्ञम् सर्वशक्ति जगदुत्पत्तिस्थितिलयकारणम् वेदान्तशास्त्रादेव अवगम्यते
sp023-000230_003	कथम् समन्वयात्
sp023-000231_003	सर्वेषु हि वेदान्तेषु वाक्यानि तात्पर्येणेव एतस्य अर्थस्य प्रतिपादकत्वेन समनुगतानि
sp023-000232_003	न च तद्गतानाम् पदानाम् ब्रह्मस्वरूपविषये निश्चिते समन्वये अवगम्यमाने अर्थान्तरकल्पना युक्ता श्रुतहान्यश्रुतकल्पनाप्रसङ्गात्
sp023-000233_003	न च तेषाम् कर्तृदेवतादिस्वरूपप्रतिपादनपरता अवसीयते
sp023-000234_003	न च परिनिष्ठितवस्तुस्वरूपत्वेऽपि प्रत्यक्षादिविषयत्वम् ब्रह्मणः
sp023-000235_003	हेयोपादेयशून्यब्रह्मात्मता अवगमादेव सर्वक्लेशप्रहाणात् पुरुषार्थसिद्धेः
sp023-000236_003	देवतादिप्रतिपादनस्य तु स्ववाक्यगत उपासनार्थत्वेऽपि न कश्चिद्विरोधः
sp023-000237_003	न तु तथा ब्रह्मण उपासनाविधिशेषत्वम् सम्भवति
sp023-000238_003	एकत्वे हेयोपादेयशून्यतया क्रियाकारकादिद्वैतविज्ञानोपमर्दोपपत्तेः
sp023-000239_003	न हि एकत्वविज्ञानेन उन्मथितस्य द्वैतविज्ञानस्य पुनः सम्भवो अस्ति येन उपासनाविधिशेषत्वम् ब्रह्मणः प्रतिपाद्येत
sp023-000240_003	यद्यपि अन्यत्र वेदवाक्यानाम् विधिसंस्पर्शमन्तरेण प्रमाणत्वम् न दृष्टम्
sp023-000241_003	तथापि आत्मविज्ञानस्य फलपर्यन्तत्वात् न तद्विषयस्य शास्त्रस्य प्रामाण्यम् शक्यम् प्रत्याख्यातुम्
sp023-000242_003	न च अनुमानगम्यम् शास्त्रप्रामाण्यम्
sp023-000243_003	येन अन्यत्र दृष्टम् निदर्शनम् अपेक्ष्येत
