sp014-000001_001	वयम् इदानीम् पश्चात्तापपीडिताः स्मः
sp014-000061_003	शिवराजः मम प्रेमपात्रमस्ति इति आश्वासनमपि दत्तवान् सः
sp014-000062_003	अमूल्याम् काञ्चित् वार्ताम् ज्ञातवान्
sp014-000063_003	सा वार्ता आसीत् औरङ्गजेबस्य अधीनस्य जुन्नरप्रदेशस्य सम्पत्तेः विषये
sp014-000064_003	षोडशशत षट्पञ्चाशत्तमे वर्षे बिजापुरस्य महम्मद् आदिल्शाहस्य मृत्युः अभवत्
sp014-000065_003	मोगलप्रदेशस्य दिशि धावितवान्
sp014-000066_003	तस्य देहलीनिष्ठायाः सम्मोहनास्त्रम् सम्यक् प्रभावम् अजनयत्
sp014-000067_003	जुन्नरनगरस्य मोगलरक्षकभटाः शिवराजस्य देहलीनिष्ठा कारणतः निश्चिन्ताः सन्तः मद्यपानादिकम् कुर्वन्तः मत्ताः आसन्
sp014-000068_003	तस्य सैनिकाः सर्वे नगरस्थम् ऐश्वर्यम् सङ्ग्रहीतवन्तः
sp014-000069_003	तत्रत्यान् एव सप्तशताधिकान् अश्वान् स्वीकृत्य तेषाम् उपरि सर्वाम् सम्पदम् आरोप्य पुरन्दरदुर्गम् प्रति धावितवन्तः
sp014-000070_003	अनन्तरम् कदाचित् शिवराजः अहमद्नगराय अपि दर्शनभाग्यम् दत्त्वा आगतवान्
sp014-000071_003	औरङ्गजेबस्तु कुटिलतायाः मूर्तस्वरूपम्
sp014-000072_003	पाताळयन्त्री सः
sp014-000073_003	तादृशम् शिवराजः वञ्चयितुम् शक्तः खलु इति सर्वे अपि आश्चर्यान्विताः अभवन्
sp014-000074_003	औरङ्गजेबस्तु क्रोधेन नखशिखान्तम् ज्वलन्नासीत्
sp014-000075_003	मम अपेक्षाम् विना भक्तिम् निष्ठाम् च प्रदर्श्य धूपदीपादिकम् समर्प्य अन्ते श्मश्रुणः कृते एव अग्निस्पर्शम् कारितवान् खलु अयम् इति तस्य कोपः
sp014-000076_003	शिवराजस्य सैन्यम् धूलिसात् कुर्वन्तु इति सैनिकान् आदिष्टवान् सः
sp014-000077_003	आज्ञापत्रस्य सज्जीकरणात् पूर्वमेव शिवराजस्य धूर्तः दूतः रघुनाथपन्त कोरडे औरङ्गजेबस्य पुरतः उपस्थितः
sp014-000078_003	औरङ्गजेबस्तु स्वस्य स्तुतिम् श्रुत्वा कल्पनालोके विहरन्नासीत्
sp014-000079_003	सः पश्चात्तापदग्धस्य शिवराजस्य पत्रम् औरङ्गजेबाय समर्पितवान्
sp014-000080_003	पत्रे शिवराजः स्वेन कृतस्य अपराधस्य विषये बहुधा दुःखम् प्रकटितवान् आसीत्
sp014-000081_003	किन्तु पत्रे अपहृतस्य धनस्य प्रत्यर्पणविषयः कुत्रापि न आसीत्
sp014-000082_003	आश्चर्यम् नाम औरङ्गजेबः अपि उदारान्तःकरणेन शिवराजस्य अपराधम् क्षान्तवान्
sp014-000083_003	भवतः पश्चात्तापम् दृष्ट्वा अहम् भवन्तम् क्षान्तवानस्मि
sp014-000084_003	इतःपरमपि भवान् अस्माकम् विश्वासपात्रम् भविष्यति इति भावयामः वयम् इति प्रत्युत्तरम् प्रेषितवान् सः
sp014-000085_003	आश्चर्यम् खलु
sp014-000086_003	नागसर्पसदृशस्य औरङ्गजेबस्य स्वभावे औदार्यस्य तरङ्गः कुतः उद्गतः
sp014-000087_003	औरङ्गजेबस्य पिता शहाजहानः देहल्याम् अस्वस्थः अस्ति इति वार्ता आगता आसीत्
sp014-000088_003	औरङ्गजेबस्तु पितृभक्तेः अपरावतारः
sp014-000089_003	औरङ्गजेबेन तु पित्रा सह सहोदराः अपि अल्लाहस्य दर्शनार्थम् प्रेषणीयाः आसन्
sp014-000090_003	औरङ्गजेबः क्षमादानम् तु कृतवान्
sp014-000091_003	शिवराजः अपि क्षमायाः अवसरम् जन्मनि कदापि न दत्तवान् तस्मै
sp014-000092_003	इतःपरन्तु तस्य पराक्रमस्य क्षेत्रन्दक्षिणतः उत्तरम् यावत् समग्रे हिन्दुस्थाने व्याप्तम् अभवत्
sp014-000093_003	तदा शिवराजः अष्टाविंशतिमात्र वर्षीयः आसीत्
sp014-000094_004	सागरपराक्रमस्य शुभारम्भः
sp014-000095_004	औरङ्गजेबः देहलीम् प्रति प्रस्थितवान्
sp014-000096_004	किन्तु गमनात् पूर्वम् शिवराजस्य विषये बिजापुरशासकम् उद्दिश्य जागरूको भव इति संसूच्य एकम् पत्रम् प्रेषितवान् सः
sp014-000097_004	बिजापुरशासकस्य मरणानन्तरम् सुल्तानीयसम्प्रदायानुसारम् कलहाः रक्तपाताः मारणानि च आरब्धानि
sp014-000098_004	एतादृशीम् सुवर्णसन्धिम् शिवराजः किम् व्यर्थम् गमयेत्
sp014-000099_004	पितुः विमोचनार्थम् प्रतिदत्तस्य कोण्डाणादुर्गस्य उपरि तस्य दृष्टिः पतिता
sp014-000100_004	तस्य एकेनैव साहसप्रहारेण कोण्डाणादुर्गम् अधीनताम् गतम्
sp014-000101_004	पूर्ववत् कोण्डाणादुर्गस्य उपरि भगवद्ध्वजेन डयनम् आरब्धम्
sp014-000102_004	अनन्तरम् कदाचित् सः जञ्जीरस्य सिद्दिकृते खड्गस्य रुचिम् दर्शितवान्
sp014-000103_004	महाराजस्य मुखात् नामश्रवणसमनन्तरम् ते सर्वे स्वीयेन स्वीयेन सैनिकगणेन सह प्रस्थिताः
sp014-000104_004	तेषाम् प्रहारैः विधर्मीयाणाम्
sp014-000105_004	पुरन्दरदुर्गम् कळ्याणदुर्गम् च अस्मिन्नेव अवसरे हस्तगते जाते
sp014-000106_004	तत् विना स्वराज्यम् आपद्रहितम् न तिष्ठति इति तस्य मतम् आसीत्
sp014-000107_004	यतः तस्मिन् समये पश्चिमसागरतीरे सर्वत्र श्वेताः आगत्य पादप्रसारणम् आरब्धवन्तः आसन्
sp014-000108_004	सागरस्य वैरिणाम् निर्मूलनम् कृत्वा पश्चिमतीरम् सुरक्षितम् स्थापनीयम् इति चिन्तितवान् सः
sp014-000109_004	स्वतन्त्रस्य प्रबलस्य नौकाबलस्य आवश्यकताम् मनसि निधाय सः अचिरेण एव तस्य निर्माणम् आरब्धवान्
sp014-000110_004	यथा इस्लामसाम्राज्यम् सम्मुखीकृतम् तथैव क्रैस्तसाम्राज्यमपि सम्मुखी करणीयम् इति सः निश्चितवान्
sp014-000111_004	विजयदुर्ग सुवर्णदुर्ग कळ्याणदुर्गादीनि जलदुर्गाणि तदा एव निर्मितानि
sp014-000112_004	तदा एव जावळीप्रदेशस्य महत्त्वयुते स्थाने प्रतापदुर्गस्य निर्माणम् पूर्णम् अभवत्
sp014-000113_004	तस्य दुर्गस्य तुलना अन्येन दुर्गेण सह कर्तुम् न शक्या
sp014-000114_004	तत्र स्वयम्भूशिवलिङ्गमेकम् प्राप्तम्
sp014-000115_004	नूतनदुर्गस्य अधिदेवतारूपेण स्वयम् शङ्करः एव उपस्थितः आसीत्
sp014-000116_004	केदारेश्वरनाम्ना विधिपूर्वकम् तस्य प्रतिष्ठापना कृता
sp014-000117_004	तेषु एव दिनेषु शिवराजस्य जीवनसखः इति प्रख्यातः तस्य अमरकीर्तेः भाजनम् भवानीखड्गः शिवराजेन प्राप्तः
sp014-000118_004	स्वराज्यस्य युवराजस्य सम्भाजेः जन्म अभवत्
sp014-000119_004	अपरः शिवराजः इति प्रख्यातः नेताजिपालकरः स्वराज्यस्य महासेनापतिः अभवत्
sp014-000120_004	एवम् अनेकाः घटनाः युगपत् घटिताः
sp014-000121_004	कस्यचित् महाकार्यस्य पूर्व सूचनारूपेण एतासाम् घटनानाम् संयोगः जातः आसीत् इति भाति
sp014-000122_004	महासाधनायै पृष्ठभूमिका सज्जा भवन्ती आसीत्
sp014-000123_004	शिवराजस्य उपद्रवेण बिजापुरस्य आस्थाने कोपज्वाला उद्गता आसीत्
sp014-000124_004	प्रतिदिनम् दुर्गाणाम् हस्तच्युतेः वार्ताः आगच्छन्ति स्म
sp014-000125_004	सर्वे भीताः अभवन्
sp014-000126_004	उद्धतस्य शिवराजस्य यावत् सामर्थ्यम् ततोऽपि अधिकम् सामर्थ्यम् आसीत् बिजापुरस्य
sp014-000127_004	बिजापुरस्य आस्थाने अस्मिन् विषये अत्यन्तम् सन्तप्ता काचित् व्यक्तिः आसीत्
sp014-000128_004	स्वभावविषये तु सा क्रूरसर्पा एव
sp014-000129_004	तस्याः स्वभावम् ज्ञातुम् अल्लाहः एव शक्नुयात् न अन्यः
sp014-000130_004	इतः परम् वा शिवराजस्य औद्धत्यम् दमनीयम् इति सा शपथम् कृतवती
sp014-000131_004	पितुः द्वारा पुत्रस्य निग्रहः कर्तुम् शक्यः इति कश्चन भ्रमः आसीत् तस्याः
sp014-000132_004	बादशाहस्य नाम्ना शहाजिराजाय पत्रम् गतम् भवतः पुत्रस्य औद्धत्यम् अधिकम् अभवत्
sp014-000133_004	शीघ्रमेव तत् स्थगितम् भवेत्
sp014-000134_004	सः अपि निर्भयतया पुत्रः मम वचनम् न शृणोति
sp014-000135_004	भवन्तः यथोचितम् कुर्वन्तु इति प्रत्युत्तरम् प्रेषितवान्
sp014-000136_004	एवम् बडियाबेगम् प्रथमतन्त्रे एव विफला अभवत्
sp014-000137_004	शहाजेः उत्तरेण तस्याः गौरवम् कळङ्कितम् अभवत्
sp014-000138_004	पितापुत्रौ उभौ अपि विश्वासघातकौ हरामखोर् इति सा निश्चितवती
sp014-000139_004	उभयोः अपि निवारणम् पृथग्रूपेण एव भवतु इति सा चिन्तितवती
sp014-000140_004	प्रथमः पर्यायः शिवराजस्य
sp014-000141_004	सभाम् प्रति द्वाविंशतिः प्रमुखाः नायकाः इतरे मराठवीराः
sp014-000142_004	पठाणहबशीवीराः च समागताः
sp014-000143_004	बादशाहस्य सिंहासनस्य पुरतः स्थालिकायाम् ताम्बूलम् स्थापितम् आसीत्
sp014-000144_004	आस्थानस्य वातावरणे गाम्भीर्यम् प्रसृतम् आसीत्
sp014-000145_004	कोऽपि शिरोन्नयनम् न कृतवान्
sp014-000146_004	शिवराजस्य नाम्नः प्रभावः एव तथा आसीत्
sp014-000147_004	भवत्सु शिवराजम् गृहीत्वा आनेतुम् कोऽपि सिद्धः नास्ति किम् इति सर्पा इव फूत्कृतवती सा
sp014-000148_005	आस्थानस्य भूमिम् कम्पयत् तत् पदानि स्थापयत् अग्रे आगतम्
sp014-000149_005	स्थालिकायाम् विद्यमानम् ताम्बूलम् स्व्यकरोत् च
sp014-000150_005	अनुक्षणम् आस्थाने विद्युत्सञ्चारः जातः
sp014-000151_005	वातावरणे परिवर्तनम् दृष्टम्
sp014-000152_005	सर्वेषाम् मनसि उत्साहावेशौ उद्गतौ
sp014-000153_005	अफजल्खानेन प्रतिज्ञा कृता चेत् कार्यम् सम्पन्नम् इत्येव अर्थः
sp014-000154_005	तत्समनन्तरमेव खानेन महती सज्जता आरब्धा
sp014-000155_005	तेन सह अपारम् द्रव्यमपि
sp014-000156_005	न केवलम् तावत् तस्य पर्वतमूषिकस्य ग्रहणार्थम् बडियाबेगम् बादशाहः च अफजल्खानम् एकान्ते आहूय अमूल्याः सूचनाः दत्तवन्तौ
sp014-000157_005	कपटस्नेहम् प्रदर्श्य शिवराजम् मारयतु इति
sp014-000158_005	एतम् अमूल्यम् मन्त्रम् उपदिश्य मुक्तकण्ठेन तस्य प्रशंसाम् कृत्वा तम् प्रेषितवन्तौ तौ
sp014-000159_005	बादशाहः वज्रखचितम् खङ्गम् उपायनरूपेण दत्तवान् तस्मै
sp014-000160_005	अफजल्खानेन सह विख्याताः पठाण हबशी अरबवीराः आसन्
sp014-000161_005	अनेके मराठवीराः अपि आसन्
sp014-000162_005	राजदूतरूपेण अफजल्खाने अनन्यनिष्ठाम् वहन् कृष्णाजीभास्कर कुल्कर्णिनामकः ब्राह्मणः आसीत्
sp014-000163_005	इतोऽपि विपत्करः विषयः नाम अफजल्खानस्य व्यक्तित्वम्
sp014-000164_005	तत् कालान्तकम्
sp014-000165_005	महिषासुरस्य अपरावतारः सः
sp014-000166_005	न केवलम् शरीरेण अपि तु मनसा अपि भयङ्करः राक्षसः सः
sp014-000167_005	भोसलेवंशेन सह बद्धवैरम् तस्य
sp014-000168_005	कर्णाटकस्य कनकगिरिम् आक्रम्य कापट्येन शिवराजस्य अग्रजस्य सम्भाजेः मारणे कारणीभूतः आसीत् सः एव
sp014-000169_005	इदानीम् शिवराजः तस्य लाङ्गूलमेव कर्तितवानासीत्
sp014-000170_005	यतः समग्रम् जावळी अरण्यम् तस्य अधिकारे आसीत्
sp014-000171_005	किन्तु शिवराजः तत्र आगत्य प्रतापदुर्गम् निर्मितवानासीत्
sp014-000172_005	एवम् स्थिते खानस्य रोषः अधिकः स्यात् एव खलु
sp014-000173_005	यथा क्रौर्यादिभिः तथा अहङ्कारेण अपि सः सुप्रसिद्धः आसीत्
sp014-000174_005	तस्य राजमुद्रिकायाम् वाक्यमासीत्
sp014-000175_005	जगति सर्वोत्तमः पुरुषः कः अस्ति इति प्रश्ने कृते
sp014-000176_005	जपमालातः अल्लाह स्थाने अफजल् इति शब्दः एव श्रूयेत इति
sp014-000177_005	एतस्य तात्पर्यम् यत्
sp014-000178_006	खानः आक्रमणम् कर्तुम् आगच्छन् अस्ति इति वार्ताम् श्रुत्वा एव वीराः शरणम् गताः भवन्ति स्म
sp014-000179_006	तद्विषयकम् भयम् सिंहलद्वीपपर्यन्तम् व्याप्तमासीत्
sp014-000180_006	कदाचित् औरङ्गजेबः अपि अफजल्खानस्य भयङ्करव्यक्तित्वस्य परिचयम् प्राप्तवान् आसीत्
sp014-000181_006	दैवानुकूल्यम् आसीत् इत्यतः तदा सः कथञ्चित् रक्षितः जातः
sp014-000182_006	सा घटना एवम्
sp014-000183_006	तदा बिजापुरस्य महा सेनापतेः आधीन्ये अफजल्खानः नायकः आसीत्
sp014-000184_006	अफजल्खानस्य शौर्यस्य सम्मुखे औरङ्गजेबः हतप्रभः जातः आसीत्
sp014-000185_006	औरङ्गजेबस्य शरणागतेः कालः अपि सन्निहितः
sp014-000186_006	किन्तु
sp014-000187_006	रहस्यरूपेण सः महासेनापतये खानमहम्मदाय पत्रम् लिखितवान्
sp014-000188_006	पत्रे मम किमपि भवति चेत् मम पिता देहलीबादशाहः तूष्णीम् न तिष्ठेत् इति सूचितम् आसीत्
sp014-000189_006	तदा खानमहम्मदः भीतः अभवत्
sp014-000190_006	विमोचितवान् सः
sp014-000191_006	एतेन अफजल्खानः क्रोधेन उन्मत्तः अभवत्
sp014-000192_006	सः साक्षात् बिजापुरम् गतवान्
sp014-000193_006	बडियायाः पुरतः प्रवृत्तम् सर्वम् सः विवृतवान्
sp014-000194_006	अनुक्षणम् बादशाहः खानमहम्मदम् सूचितवान् यत् अनुक्षणम् बिजापुरम् आगन्तव्यम् इति
sp014-000195_006	अग्रे किम् भवेत् इति अजानन् एव महासेनापतिः निश्चिन्ततया शिबिकाम् आरुह्य प्रस्थितवान्
sp014-000196_006	एवम् अफजल्खानस्य रोषकारणतः औरङ्गजेबस्य स्थाने बिजापुरमहासेनापतिः बलिः अभवत्
sp014-000197_006	भारतस्य भाग्यदेवता अपि क्षणकालम् कम्पमाना अभवत्
sp014-000198_006	शिवराजस्य स्वराज्यस्य च का गतिः स्यात् इति चिन्तयन्ती
sp014-000199_006	बिजापुरात् प्रस्थितम् तत् प्रचण्डम् सैन्यम्
sp014-000200_006	चतुर्मैलमिते दूरे विश्रान्त्यर्थम् अतिष्ठत्
sp014-000201_006	तावता अफजल्खानस्य अत्यन्तम् प्रियः पर्वताकारकः फत्तेलष्कर् नामकः गजः मृतः इति दारुणा वार्ता आगता
sp014-000202_006	प्रस्थानकाले एव अपशकुनम्
sp014-000203_006	किन्तु अफजल्खानः अपशकुनात् भीतिम् अनुभवताम् गणेषु न अन्तर्भवति स्म
sp014-000204_006	तथापि शिवराजेन सह युद्धम् इति कल्पना एव तस्य अन्तरङ्गे अपि कम्पनम् जनयन्ती आसीत्
sp014-000205_006	तदा एव बादशाहेन प्रेषितः गजः अपि मृतः इति वार्ता आगता
sp014-000206_006	बिजापुरत्यागात् पूर्वमेव तस्य मनसि आशङ्का उत्पन्ना आसीत्
sp014-000207_006	किम् अहम् सजीवम् प्रतिगन्तुम् शक्नुयाम् इति
sp014-000208_006	का सा व्यवस्था
sp014-000209_006	तस्य चतुष्षष्टिसङ्ख्याकाः पत्न्यः
sp014-000210_006	एवम् तस्य त्रिषष्टि पत्न्यः पूर्वमेव खानस्य विरहात् मुक्ताः जाताः आसन्
sp014-000211_006	खानः अपि अनुधाव्य ताम् मारितवानेव
sp014-000212_006	अद्यापि एतस्याः घटनायाः साक्ष्यरूपेण बिजापुरे एकत्र त्रिषष्टि स्मारकाणि पृथग्रूपेण एकम् स्मारकम् च द्रष्टुम् शक्यते
sp014-000213_006	तस्य संस्कारः एव तादृशः
sp014-000214_006	तादृश्याम् संस्कृत्याम् एव तस्य वर्धनम् जातम्
sp014-000215_006	यदि हिन्दुवीरः कश्चित् युद्धरङ्गम् प्रति प्रस्थितः चेत् किम् प्रवर्तते तत्र
sp014-000216_006	मात्रे नमस्कारः ततः आशीर्वादप्राप्तिः पत्न्याः द्वारा ललाटे तिलकधारणम् नीराजनम् आप्रच्छनम् इत्यादयः
sp014-000217_007	समग्रस्य महाराष्ट्रस्य माता सा शिवराजस्य कुलदैवतमपि
sp014-000218_007	सा एव एतस्य महिषासुरस्य प्रथमः बलिः
sp014-000219_007	खानः तुल्जापुरम् प्राप्तवान्
sp014-000220_007	मार्गे सर्वत्र प्रळयताण्डवम् कुर्वन्नेव आगतवान् सः
sp014-000221_007	साक्षात् भवान्याः मन्दिरम् प्रविष्टम् तेन
sp014-000222_007	पश्यामि तावत् इति उक्त्वा विग्रहस्य उपरि प्रहारम् कृतवान्
sp014-000223_007	भवानी भग्ना अभवत्
sp014-000224_007	अफ्जलेन विग्रहः चूर्णीकृतः
sp014-000225_007	अनुक्षणम् खानः काञ्चित् धेनुम् आनाय्य गर्भगृहे एव कर्तितवान्
sp014-000226_007	तस्याः रक्तेन भग्नस्य विग्रहस्य अभिषेकम् कृतवान्
sp014-000227_007	तस्य मुखे कराळहासः दृश्यते स्म
sp014-000228_007	तेषु शिवराजस्य निकटबान्धवाः अपि केचन आसन्
sp014-000229_007	हिन्दूनाम् दुर्दैवस्य कथा एव एतादृशी
sp014-000230_007	हिन्दुसमाजस्य घोरः शापः सः
sp014-000231_007	धेनोः रक्तेन अभिषेकानन्तरम् खानः तस्मिन् स्थाने मस्जिद् निर्माणम् कारितवान्
sp014-000232_007	अनन्तरम् तस्य दृष्टिः पण्ढरापुरस्य दिशि गता
sp014-000233_007	तत्रापि तादृशी एव भीषणकथा
sp014-000234_007	किन्तु विठलस्य विग्रहः कथञ्चित् तस्य हस्तगतः न अभवत्
sp014-000235_007	अनन्तरम् कोल्हापुरम् प्रति गमनम्
sp014-000236_007	तत्रापि एतादृशी एव कथा
sp014-000237_007	ध्वंसः हननम् मारणम् लुण्ठनम् अत्याचारः गोहत्या मन्दिराणाम् स्थाने मस्जिद्निर्माणम् च निरन्तरम् प्रचलति स्म
sp014-000238_007	एकैकशः एतादृश्यः घोराः वार्ताः शिवमहाराजस्य कर्णपथम् आगच्छन्त्यः आसन्
sp014-000239_007	एकैका अपि भीकरा
sp014-000240_007	न केवलम् तावत् रहस्यरूपेण बडिया बेगम् अफ्जल्खानस्य कर्णे यत् उक्तवती आसीत् तदपि शिवराजेन ज्ञातम् आसीत्
sp014-000241_007	सर्वम् श्रुत्वा जीजाबाय्याः हृदये ज्वाला उद्गता आसीत्
sp014-000242_007	स्वराज्यस्य उपरि आक्रमणम् कर्तुम् आगच्छतः राक्षसस्य पुरतः पुत्रस्य का गतिः स्यात् इति मातृहृदयस्य चिन्ता
sp014-000243_007	शिवमहाराजः तेषु दिनेषु राजदुर्गस्य समीपस्थे शिवपत्तने आसीत्
sp014-000244_007	ते सर्वेऽपि चिन्तामग्नाः
sp014-000245_007	तुळ्जापुरस्य पण्ढरापुरस्य च अवमाननस्य प्रतीकारम् साधयितुम् शिवमहाराजस्य आगमनम् भवेत् इति अनेके भावितवन्तः आसन्
sp014-000246_007	यतः महाराजः धर्मरक्षकः ईश्वरावतारः खलु
sp014-000247_007	सर्वम् सोढ्वा कथम् वा तिष्ठेत् सः
sp014-000248_007	अफजल्खानस्य अपि तदेव चिन्तनम् आसीत्
sp014-000249_007	एतादृशम् दुरन्तम् दृष्ट्वा शिवराजः रोषेण समतलप्रदेशम् स्वयम् आगच्छेत् इति चिन्तनम् अफजल्खानस्य
sp014-000250_007	पर्वते स्थितस्य पर्वतमूषकस्य ग्रहणम् कष्टकरम् स्यात् इति तस्य मतम् आसीत्
sp014-000251_007	किन्तु शिवराजः तु चतुरतरः
