sp022-000001_001	श्री परमात्मने नमः
sp022-000039_002	किन्तु ईश्वरीयसाधना ईश्वरम् यावत् गन्तुम् लक्ष्यनिर्धारणमेतत् सर्वम् केवलम् गीतायाम् एव साङ्गोपाङ्ग क्रमबद्धम् सुरक्षितम् वर्तते
sp022-000040_002	गीतातः सुखशान्तिस्तु मिलत्येव किन्तु इयम् अक्षयम् अनामयम् पदमपि ददाति
sp022-000041_002	यद्यपि संसारे सर्वत्र गीतायाः समादरो वर्तते पुनरपीयम् कस्यचिद्धर्मस्य सम्प्रदायस्य वा साहित्यपदम् न प्राप्तवती
sp022-000042_002	भारते प्रादुर्भूता गीता विश्वमनीषायाः न्यासभूता विराजते
sp022-000043_002	अतो हि अस्यै राष्ट्रीयशास्त्रस्य सम्मानम् समर्प्य उत्तमाधमयोः भेदभावस्य तथा कलहपरम्परातः पीडितविश्वस्य सम्पूर्णजनताभ्यः शान्तिप्रदानाय प्रयासः करणीयः
sp022-000044_003	प्राक्कथनम्
sp022-000045_003	वस्तुतः साम्प्रतम् श्रीमद्भगवद्गीतायाः टीकाकरणस्य न कापि अवश्यकता प्रतीयते
sp022-000046_003	कुतो हि गीतोपरि शताधिकाष्टीकाः सन्ति विलिखिताः
sp022-000047_003	यासु टीकासु पञ्चाशदधिकाः सुरभारत्याम् एव विलसन्ति
sp022-000048_003	गीताम् आधारीकृत्य बहूनि मतानि अपि साम्प्रतम् प्रचलन्ति
sp022-000049_003	यद्यपि सर्वेषाम् मतानाम् मूलाधाररूपेण गीतैव विराजते
sp022-000050_003	विचारणीयोऽयम् प्रश्नः यद् भगवता योगेश्वरेण किमप्येकमेव सार्वभौमम् तत्त्वम् प्रतिपादितम्
sp022-000051_003	पुनरपि कालान्तरे मतभेदाः कुतः प्रादुरभवन्
sp022-000052_003	यथार्थतस्तु वक्ता किमप्येकमेव परिनिष्ठितम् तत्त्वम् अभिव्यञ्जयति
sp022-000053_003	किन्तु दशाधिकसङ्ख्याकाः श्रोतारः तु दशाधिकप्रकारेण वक्तुः आशयम् विभाजयन्ति
sp022-000054_003	जनानाम् बुद्धिपटले सत्त्वगुणस्य रजोगुणस्य तमोगुणस्य च यादृशः प्रभावः प्रभवति
sp022-000055_003	ते तेनैव स्तरेण तत्तथ्यम् स्वीकुर्वन्ति प्रचारयन्ति च
sp022-000056_003	ततः अधिकम् ते ज्ञातुम् न प्रभवन्ति
sp022-000057_003	अतो हि मतभेदाः सहजरूपेण भवितुमर्हाः
sp022-000058_003	विभिन्न मतवादकारणात् कदाचिच्च एकस्यैव सिद्धान्तस्य विभिन्नसमये विभिन्नभाषासु च व्याख्यानात् सामान्यजनाः संशयापन्ना भवन्ति
sp022-000059_003	नाना टीकायाम् मध्ये तस्य सत्यस्य धारा अपि प्रवहति
sp022-000060_003	किन्तु वास्तविकार्थप्रकाशकः कः अपि एकः अपि ग्रन्थः सहस्राधिकटीकानाम् मध्ये चेत् संस्थापितः भवेत्
sp022-000061_003	तदा तेषु टीकाग्रन्थेषु यथार्थप्रकाशकः ग्रन्थः कः अस्ति
sp022-000062_003	निर्णयः अयम् कठिनतरः भवति
sp022-000063_003	वर्तमानकाले गीतायाः समुपलभ्यन्ते बहुसङ्ख्याकाष्टीकाः
sp022-000064_003	सर्वाश्च ताष्टीकाः स्वकीयम् स्वकीयम् एव सत्यम् उद्घोषयन्ति
sp022-000065_003	किन्तु ताः सर्वाः टीकाः गीतायाः शुद्धार्थतः बहुदूरम् दृष्टिपथायन्ते
sp022-000066_003	निःसन्देहम् कतिपयमहापुरुषाः सत्यस्य स्पर्शम् कृतवन्तः
sp022-000067_003	किन्तु कारणबाहुल्यात् ते सत्याम् अमृतकल्पम् गीतायाः यथार्थम् अर्थम् समाजस्य पुरतः प्रस्तोतुम् न अशक्नुवन्
sp022-000068_003	गीतायाम् श्रीकृष्णस्य मूलाशयस्य हृदयङ्गमकरणे विफलतायाः प्रमुखम् कारणम् एतदस्ति
sp022-000069_003	यत् श्रीकृष्णः परमयोगीश्वरः आसीत्
sp022-000070_003	श्रीकृष्णः यस्य स्तरस्य वार्ताम् आरभते
sp022-000071_003	तस्याम् वार्तायाम् अनुस्यूतम् तथ्यम् प्रकाशयितुम् यदा कश्चन महापुरुषः सोपानबद्धक्रमेण श्रीकृष्णस्य स्तरम् आरुह्य एव
sp022-000072_003	गीतायाः प्रतिपाद्यम् अक्षरशः प्रकाशयितुम् कामयिष्यते
sp022-000073_003	तदा स एव महापुरुषः सफलो भविष्यति गीतायाः यथार्थ रहस्योद्घाटने
sp022-000074_003	सेनयोरुभयोर्मध्ये पार्थमुपदिशतः कृष्णस्य मनोभावाः कीदृशाः आसन्
sp022-000075_003	ते सर्वे मनोभावाः सामान्यैः जनैः वक्तुम् न शक्यन्ते
sp022-000076_003	अस्तु तदानीन्तनाः केचन भावा प्रकाशनार्हाः
sp022-000077_003	केचन भावाः भावभङ्गिमया प्रकाश्यन्ते शेषाश्च भावाः क्रियाम् आश्रयन्ते
sp022-000078_003	तद्भावम् कश्चिद्गीताभावजिज्ञासुः गीतागीतपथपथिक एव ज्ञातुम् शक्नोति
sp022-000079_004	श्रीकृष्णः यस्याम् स्थितौ विद्यमानः आसीत्
sp022-000080_004	तामेव स्थितिम् सम्प्राप्य कश्चिन्महापुरुषः एव जानाति यत् गीता किम् कथयति
sp022-000081_004	स गीतायाः श्लोकानेव न अभ्यसति प्रत्युत तेषाम् भावम् आत्मसात्कृत्य लोकहिताय प्रकाशयति
sp022-000082_004	कुतो हि यदृश्यम् कृष्णस्य समक्षम् आसीत् तदेव दृश्यम् गीतात्तथ्यज्ञमहापुरुषस्य अपि समक्षम् नरीनृत्यते
sp022-000083_004	अतः असौ पश्यति द्रक्ष्यति दर्शयिष्यति भवत्सु जागरयिष्यति च तस्मिन् पथि चलितुम् प्रेरयिष्यति च
sp022-000084_004	पूज्याः श्रीमन्तः स्वनामधन्याः प्रातःस्मरणीयाः श्रीपरमहंस महाराजाः अपि श्रीकृष्णस्तरीयाः महापुरुषाः आसन्
sp022-000085_004	तेषाम् प्रवचनोपदेशात् तथा अन्तःकरणप्रेरणातः यो ह्यर्थो मयाज्ञातः तस्यैव सङ्कलनम् यथार्थ गीता अस्ति
sp022-000086_004	अत्र मदीयम् किमपि नाऽस्ति
sp022-000087_004	इदम् क्रियात्मकम् अस्ति
sp022-000088_004	साधनस्वीकुर्वताम् सर्वेषाम् पुरुषाणाम् गमनम् अस्याम् परिधावेव अनिवार्यम्
sp022-000089_004	यावद् असौ साधनपथपथिकः न अस्ति तावत् सुस्पष्टम् अस्ति यद् असौ किमपि साधनम् न साधयति
sp022-000090_004	प्रत्युत वावावचनप्रमाणपुष्टाम् निरर्थकाम् कामपि रेखाम् पीडयति अतः कस्यचिन्महापुरुषस्य शरणम् अवश्यमेव ग्रहणीयम्
sp022-000091_004	श्रीकृष्णः किमपि अपरम् सत्यम् नोक्तवान्
sp022-000092_004	ऋषिभिर्बहुधा गीतम् ऋषिगणाः यस्य गानम् बहुवारम् कृतवन्तः तस्यैव गानम् कर्तुम् अहम् आरभे
sp022-000093_004	कृष्णः कदाऽपि न इत्थम् उक्तवान् यत् तज्ज्ञानम् अहम् एव केवलम् जानामि तथा अहम् एव उपदेक्ष्यामि
sp022-000094_004	प्रत्युत स उक्तवान् यत् कस्यचित्तत्त्वदर्शिनः सन्निधौ याहि निष्कपटभावेन तस्य सेवाम् कृत्वा तज्ज्ञानम् लभस्व
sp022-000095_004	श्रीकृष्णो महापुरुषशोधितम् सत्यमेव समुद्घाटितवान्
sp022-000096_004	गीता सुबोध संस्कृतभाषायाम् समुल्लिखिता विद्यते
sp022-000097_004	यदि अन्वयार्थमेव स्वीकुर्याम् तदा गीतायाः अधिकांशः स्वयमेव बोद्धुम् शक्यः किन्तु जनाः समीचीनमर्थम् न गृह्णन्ति
sp022-000098_004	उदाहरणार्थम् पश्यन्तु श्रीकृष्णेन सुस्पष्टम् कथितम् यत् यज्ञस्य प्रक्रिया एव कर्म समुच्यते पुनरपि भवन्तः भणन्ति यत् कृषिकरणमेवास्ति कर्म
sp022-000099_004	यज्ञ विवेचनम् स उक्तवान् यत् यज्ञे बहवः योगिजनाः प्राणानाम् अपाने हवनम् कुर्वन्ति
sp022-000100_004	बहवः अपानस्य प्राणेषु हवनम् कुर्वन्ति बहवः योगिनः प्राणापानौ द्वौ निरुध्य प्राणायामपरायणा भवन्ति
sp022-000101_004	बहवः योगिनः इन्द्रियाणाम् सकलाम् प्रवृत्तिम् संयमाग्नौ जुह्वति
sp022-000102_004	अनेन प्रकारेण श्वासप्रश्वासयोश्चिन्तनम् यज्ञः प्रोच्यते
sp022-000103_004	मनसा सहितेन्द्रियाणाम् संयमः यज्ञः अस्ति
sp022-000104_004	शास्त्रकारः स्वयम् यज्ञरहस्यम् विवेचितवान् पुनर्भवन्तः साह्लादम् सोत्साहञ्च घोषयन्ति यत् विष्णुहेतवे स्वाहोच्चारणम् एव तथाग्नौ यवतिलादीनाम् हवनम् यज्ञ इति
sp022-000105_004	योगेश्वरः श्रीकृष्णः नैतादृशम् किमपि शब्दम् क्वाऽपि च नोक्तवान्
sp022-000106_004	किमस्ति कारणम् यद्भवन्तः न अवबुध्यन्ते
sp022-000107_004	लोमत्वक्कर्तनवत् वाक्यानाम् रटनम् कृते सति किमस्ति कारणम् यद् भवताम् हस्ते केवलम् वाक् विन्यास एव लगति
sp022-000108_004	भवन्तः स्वकम् कस्मात् कारणात् यथार्थज्ञानवञ्चितम् अनुभवन्ति
sp022-000109_004	वस्तुतः मानवः जन्म लब्ध्वा क्रमशः तरुणो भवति
sp022-000110_005	तदा पैतृकसम्पत्तिः नाम गृहम् आपणम् भूमिः उद्यानम् पदम् प्रतिष्ठाः गावः महिष्यः यन्त्रोपकरणानि इत्यादि
sp022-000111_005	तेन उत्तराधिकारित्वेन अनायासम् एव सङ्गृह्यते
sp022-000112_005	इत्थमेव सहजरूपेण असौ मानवसमाजे नैकाः रुढिपरम्पराः पूजापद्धतीः च उत्तराधिकाररूपेण लभते
sp022-000113_005	भारतवर्षे त्रयस्त्रिंशत्कोटिपरिमिताः सुराः सुराङ्गनाः च प्राप्तमान्यताकाः च मिलन्ति
sp022-000114_005	विश्वस्मिन् तेषाम् देवसमूहानाम् बहूनि रूपाणि वर्णितानि सन्ति
sp022-000115_005	शिशुः शनैःशनैः स्ववृद्धिविकासावसरे मातृ पितृ भातृ स्वप्रतिवेश्मिसन्निधौ तैः आचरिताम् पूजापद्धतिम् पश्यति
sp022-000116_005	परिवारे समाजे च प्रचलितानाम् पूजापद्धतीनाम् अटलः संस्कारः तस्य मस्तिष्के भवति अङ्कितः
sp022-000117_005	उत्तराधिकारे यदि भूतपूजा प्राप्यते तदासौ भूत भूत इति रटति
sp022-000118_005	इत्थमेव कश्चित् शिवम् कश्चित् कृष्णम् कश्चिदन्यम् कमपि देवादिकम् सङ्गृह्य तिष्ठति
sp022-000119_005	तत्पूर्वदुराग्रहम् स न उज्झितुम् शक्नोति
sp022-000120_005	उक्त प्रकारेण भ्रान्तिग्रस्ताः पुरुषाः कल्याणकरम् श्रीगीतास्वरूपम् शास्त्रम् चेत्प्राप्नुयुः
sp022-000121_005	तदा ते भ्रान्त मानसाः सुधोपमम् गीतारसम् न आस्वादयन्ति
sp022-000122_005	पैतृकसम्पदम् कश्चित् सम्भ्रान्तः पुरुषः कदाचित् शक्नोति त्यक्तुम्
sp022-000123_005	किन्तु पूर्वोक्तोत्तराधिकाररूपेण प्राप्तम् रूढिसमूहम् साम्प्रदायिकप्रपञ्चसमूहञ्च छेत्तुम् न प्रभवति
sp022-000124_005	पैतृकसम्पत्तिम् परित्यज्य कश्चित् जनः सहस्राधिकक्रोशमितम् दूरस्थानम् प्रव्रजितुम् शक्नोति इति सुगमः पन्थाः
sp022-000125_005	किन्तु मनसि मस्तिष्के च अङ्कितास्ते रूढिगता भावाः त्यक्तगृहस्य तस्य जनस्य पिण्डम् न जहाति
sp022-000126_005	यस्मिन् शिरसि ते रूढिगता विचाराः सन्ति लुक्कायिताः तच्छिरसः उत्कर्त्तनम् सर्वथा असम्भवम्
sp022-000127_005	अतः मानवः यथार्थ शास्त्र सम्मतज्ञानम् अपि तासु पूर्वोक्तरूढिषु रीतिषु पूजापद्धतिषु मान्यतासु च सम्मिश्र्य विलीय वा लब्धुम् वाञ्छन्ति
sp022-000128_005	यदि रूढ्यनुरूपमर्थः क्वचित् सङ्गच्छते वार्ताक्रमः समन्वितः भवति
sp022-000129_005	तदा जनः तत् स्वीकरोति यत् सत्यमेतत् नो चेत् सङ्गच्छते तर्हि तत् सर्वम् अलीकम्
sp022-000130_005	एतस्मात् रूढिभ्रान्तदृष्टिवैषम्यात् जनः गीतारहस्यम् नावबोद्धुम् शक्नोति
sp022-000131_005	गीतायाः रहस्यम् रहस्यम् भूत्वा दुर्लभायते
sp022-000132_005	अतः गीतारहस्यस्य वास्तविकपारदृश्वानः सन्तजनाः सद्गुरवः एव सन्ति
sp022-000133_005	त एव वक्तुम् समर्थाः सन्ति यत् गीता किम् कथयति
sp022-000134_005	सर्वे गीतारहस्यम् नावबोद्धुम् शक्नुवन्ति
sp022-000135_005	सर्वेषाम् कृते गीताज्ञानस्य सुलभोपायः अयम् एव अस्ति
sp022-000136_005	यत् कस्यचिन्महापुरुषस्य सान्निध्यम् सम्प्राप्य सश्रद्धम् अध्येयम्
sp022-000137_005	श्रीकृष्णः अपि महापुरुषस्य सान्निध्यप्राप्तये बलम् अददात्
sp022-000138_005	गीताग्रन्थः कस्यचित् व्यक्तिविशेषस्य वर्गविशेषस्य जातिविशेषस्य पथविशेषस्य
sp022-000139_006	गीताग्रन्थः कस्यचिद् व्यक्तिविशेषस्य वर्गविशेषस्य जातिविशेषस्य पथविशेषस्य देशकालविशेषस्य च
sp022-000140_006	रूढिग्रस्त कस्यापि सम्प्रदायविशेषस्य अपि न अस्ति
sp022-000141_006	प्रत्युत गीता सार्वलौकिकः सार्वकालिकः सार्वजनीनश्च धर्मग्रन्थः अस्ति
sp022-000142_006	इयम् गीता सर्वेषाम् भूमण्डलस्य देशानाम् मानवजातीनाम् प्रत्येकम् नराणाम् नारीणाम् च कल्याणाय वरीवर्ति
sp022-000143_006	केवलम् अपरोपदेशम् श्रावम् श्रावम् तथान्यप्रकारेण प्रभावितः भूत्वा
sp022-000144_006	नैतादृशः कोऽपि निर्णयः स्वीकर्त्तव्यः यस्य प्रभावः स्वकीयम् अस्तित्वम् अपि विचालयेत्
sp022-000145_006	पूर्वाग्रहस्य भावनातो मुक्तो भूत्वा सत्यान्वेषिणाम् कृते गीताग्रन्थः
sp022-000146_006	आर्षग्रन्थत्वात् प्रकाशस्तम्भरूपेण वा भाति
sp022-000147_006	हिन्दूनामाग्रहः अस्ति यद्वेदाः एव प्रमाणम्
sp022-000148_006	वेदस्यार्थः अस्ति ज्ञानम् परमात्मनः बोधः
sp022-000149_006	पुस्तकानि तु तस्य सङ्केतमात्राणि सन्ति
sp022-000150_006	स परमात्मा तु हृदयदेशे जागर्ति
sp022-000151_006	विश्वामित्रश्चिन्तयन् आसीत्
sp022-000152_006	तस्य भक्तिम् दृष्ट्वा ब्रह्मा समाययौ
sp022-000153_006	उवाच च अद्यतस्त्वम् ऋषिः असि
sp022-000154_006	किन्तु विश्वामित्रः सन्तुष्टः न बभूव पुनश्चिन्तने लग्नः
sp022-000155_006	किञ्चित् कालान्तरम् देवगणैः साकम् ब्रह्मा पुनरागतवान् अब्रवीच्च अद्यतस्त्वम् राजर्षिः असि
sp022-000156_006	किन्तु विश्वामित्रस्य समाधानम् न अभवत्
sp022-000157_006	विश्वामित्रः पूर्ववच्चिन्तने संलग्नः
sp022-000158_006	ब्रह्मा दैवीसम्पद्भिः साकम् पुनराजगाम कथितवान् च
sp022-000159_006	अद्यतः भवान् महर्षिः अस्ति
sp022-000160_006	विश्वामित्रः स्वाभिप्रायम् प्रकटयन् उक्तवान्
sp022-000161_006	नहि माम् जितेन्द्रियब्रह्मर्षिः इति कथनीयः भवता
sp022-000162_006	ब्रह्मणा उक्तम् अधुना त्वम् नासि ब्रह्मर्षिः
sp022-000163_006	विश्वामित्रः पुनः तप्तुम् आरेभे
sp022-000164_006	तस्य शिरः प्रदेशात्तपोधूमो निःसरितुम् ललाग
sp022-000165_006	तदा देवाः ब्रह्माणम् निवेदयामासुः
sp022-000166_006	तदा ब्रह्मा समुवाच विश्वामित्रम् यत् साम्प्रतम् त्वम् ब्रह्मर्षिः असि
sp022-000167_006	विश्वामित्रेणः उक्तम् यदि अहम् ब्रह्मर्षिः अस्मि तदा वेदा माम् वृण्वन्तु
sp022-000168_006	इति कथनसमकालमेव सर्वे वेदाः विश्वामित्रस्य हृदयदेशम् आविविशुः
sp022-000169_006	यत् तत्त्वम् अविदितम् आसीत् सर्वम् तत्तत्त्वम् ज्ञातमभूत्
sp022-000170_006	एष एव वेदः न तु वेद पुस्तकम्
sp022-000171_006	यत्र विश्वामित्रः स्थितिः तत्रवेदनिवासः
sp022-000172_006	श्रीकृष्णः अपि इदम् एव तथ्यम् प्रकाशयति
sp022-000173_006	यत् संसारः अयम् अनश्वरः पिप्पलपादपः अस्ति
sp022-000174_006	यस्य मूलम् उपरि परमात्मप्रतीकम् अधोभागे प्रकृतिप्रतीकाः शाखाः प्रसृताः सन्ति
sp022-000175_006	यो ह्यस्याः प्रकृतेः पारम् गत्वा परमात्मानम् वेत्ति
sp022-000176_006	स वेदविद् समुच्यते
sp022-000177_006	अर्जुन अहमपि वेदविदस्मि
sp022-000178_006	अतः प्रकृतेः प्रसारावसानाभ्याम् सह परमात्मनः समनुभूतेः नाम वेदः अस्ति
sp022-000179_006	इयम् अनुभूतिः परमात्मप्रदत्ता अस्ति
sp022-000180_006	अत एव वेदाः सन्ति अपौरुषेयाः इति कथयन्ति मनीषिणः
sp022-000181_006	महापुरुषाः भवन्ति अपौरुषेयाः तेषाम् माध्यमेन परमात्मनः सन्देशाः उपदेशा च सर्वसुलभाः भवन्ति
sp022-000182_006	ते मनीषिणः परमात्मसन्देशप्रसारकाः भवन्ति
sp022-000183_006	केवलम् शब्दज्ञानस्य आधारेण ज्ञानेन वा तेषाम् प्रवचनस्वरूपायाम् वाण्याम् निहितम् यथार्थम् परीक्षितुम् न शक्यते
sp022-000184_006	तान् महापुरुषान् स एव ज्ञातुम् समर्थः भवति
sp022-000185_006	यः क्रियात्मकपथाचलित्वा पूर्वोक्ताम् इमाम् अपौरुषेयाम् स्थितिम् लब्धवान् अस्ति
sp022-000186_006	यस्य पुरुषः नाम अहम् परमात्मनि विलीनताम् गतो भवेत्
sp022-000187_006	वस्तुतः वेदः अपौरुषेयः अस्ति
sp022-000188_006	किन्तु वेदम् आधारीकृत्य वक्तारः शतसार्द्धशतसङ्ख्याकामहापुरुषाः आसन्
sp022-000189_006	तेषाम् वचसाम् सङ्कलनम् एव वेदः समुच्यते
sp022-000190_006	किन्तु यदा शास्त्रम् लिपिबद्धम् भवति
sp022-000191_006	तदा सामाजिकव्यवस्थायाः नियमाः अपि तेनैव सह लिपिबद्धाः भवन्ति
sp022-000192_006	महापुरुषाणाम् नामाधारीकृत्य जनाः तेषाम् परिपालनम् कर्तुम् आरभन्ते
sp022-000193_006	यद्यपि धर्मेण साकम् तेषाम् दूरस्थः अपि सम्बन्धः न भवति
sp022-000194_006	आधुनिकयुगे मन्त्रीणाम् अग्रतः पृष्ठतः पर्यटन्तः चाटुकारितया च सामान्यनेतारः अपि
sp022-000195_006	सक्षमाधिकारीद्वारेण स्वकीयम् स्वकीयम् कार्यम् कारयन्ति
sp022-000196_006	यद्यपि मन्त्रिगणाः पूर्वोक्तान् सामान्यनेतृगणान् जानन्ति अपि नहि
sp022-000197_006	इत्थमेव सामाजिकव्यवस्थानिर्मातारः महापुरुषाणाम् व्याजेन जीविकानिर्वाहस्य व्यवस्थाम् अपि ग्रन्थेषु लिपिबद्धम् कुर्वन्तः दृश्यन्ते
sp022-000198_006	तेषाम् सामाजिकोपयोगः तत्तत् समयानुकूलो भवति
sp022-000199_006	वेदानाम् सम्बन्धे अपि व्याजपूर्णा स्थितिः परिलक्ष्यते
sp022-000200_006	वेदानाम् चिरन्तनम् सत्यम् उपनिषत्सु सङ्ग्रहीतम् अस्ति
sp022-000201_006	तासाम् उपनिषदाम् सारांशः योगेश्वरश्रीकृष्णस्य वाणी गीता अस्ति
sp022-000202_006	सारांशतः गीता अपौरुषेय वेद रसार्णवतः समुद्भूतोपनिषत्सुधासारसर्वस्वमस्ति
sp022-000203_006	अनया रीत्या प्रत्येकम् महापुरुषाः ये परमतत्त्वम् प्राप्नुवन्ति ते स्वयमेव धर्मग्रन्थाः सन्ति
sp022-000204_006	तेषाम् महापुरुषाणाम् वचसाम् सङ्कलनम् संसारे कुत्रापि भवेत् तदेव सङ्कलनम् शास्त्रम् समुच्यते
sp022-000205_006	किन्तु कतिपयधर्मावलम्बिनाम् कथनम् इदम् अस्ति
sp022-000206_006	यत् कुराननामकपुस्तके यल्लिखितमस्ति तदैव सत्यमस्ति
sp022-000207_006	इदानीम् कुरानस्यावतरणम् न भविष्यति
sp022-000208_006	ईसामसीहोपरि विश्वासम् विना न स्वर्गसम्प्राप्तिः
sp022-000209_006	स ईसामसीह ईश्वरस्यैकमात्रमासीत् पुत्रः
sp022-000210_006	साम्प्रतम् एतादृशः पुरुषः असम्भवः
sp022-000211_006	इति तेषाम् प्रौढा जटिला च रूढिवादिता
sp022-000212_006	यदि परमात्मतत्त्वस्य साक्षात्कारः भवेत् तदा सैवस्थितिः पुनरागमिष्यति
sp022-000213_006	गीता सार्वभौमग्रन्थः अस्ति
sp022-000214_006	धर्माणाम् नामभिः प्रचलितेषु संसारस्य सर्वेषु धर्मग्रन्थेषु गीतायाः स्थानम् अद्वितीयमस्ति
sp022-000215_006	इयम् गीता केवलम् धर्मशास्त्रमेवेति न ज्ञेयम्
sp022-000216_006	अन्येषु धर्मग्रन्थेषु निहितसत्यस्य मानदण्डम् अपि अस्ति
sp022-000217_006	गीता तन्निकषोपलमस्ति यस्मिन् प्रत्येकम् धर्मग्रन्थेषु अनुस्यूतम् सत्यम् अनावृतम् भवति
sp022-000218_006	परस्परविरोधिकथनानाम् समाधानम् भवति
sp022-000219_006	प्रत्येकम् धर्मग्रन्थेषु संसारे जीवननिर्वाहस्य कलायाः कर्मकाण्डस्य च बाहुल्यम् विद्यते
sp022-000220_006	जीविकानिर्वाहम् आकर्षकम् विधातुम् तथा तत्र किम् करणीयम् किन्न करणीयम् एतद्विषयकम् रोचकम् भयानकम् वर्णनकौतूहलयुतम् चित्रणम् धर्मग्रन्थानाम् उदरम् परिपूरयति
sp022-000221_006	कर्मकाण्डानाम् इमाम् परम्पराम् जनता धर्मरूपेण मानयति
sp022-000222_006	जीवननिर्वाहस्य कलार्थम् निर्मितपूजापद्धतिषु देशकालपरिस्थित्यनुसारेण परिवर्तनम् स्वाभाविकमस्ति
