sp015-000001_001	उपायेन शक्यम् सर्वम्
sp015-000088_002	एकस्मिन् दिने कर्कटकः उक्तवान्
sp015-000089_002	माम अद्य माम् नयतु इति
sp015-000090_002	अस्तु अद्य कर्कटकस्य मांसम् खादामि इति चिन्तयित्वा बकः तम् पृष्ठे आरोपितवान्
sp015-000091_002	वध्य शिलाम् प्रति गतवान् च
sp015-000092_002	कर्कटकः दूरात् एव शिलायाम् पतितानि अस्थीनि दृष्ट्वा
sp015-000093_002	बकस्य दुरालोचनाम् ज्ञातवान्
sp015-000094_002	अतः स स्वदन्त द्वयेन बकस्य कण्ठम् दृढम् गृहीतवान्
sp015-000095_002	वेदनया रोदनम् कुर्वन् सः वञ्चकः बकः मृतः
sp015-000096_003	नष्टः पिष्टघटः
sp015-000097_003	कस्मिंश्चित् नगरे कश्चन दरिद्रः ब्राह्मणः वसति स्म
sp015-000098_003	सः भिक्षाटनेन जीवनम् करोति स्म
sp015-000099_003	कदाचित् सः पिष्टेन पूर्णम् एकम् घटम् प्राप्तवान्
sp015-000100_003	तम् घटम् नागदन्ते अवलम्ब्य तस्य अधः उपविश्य
sp015-000101_003	सः एकदृष्ट्या घटमेव पश्यति स्म
sp015-000102_003	एकदा रात्रौ सः चिन्तितवान्
sp015-000103_003	यदि देशे दुर्भिक्षः भवेत्
sp015-000104_003	तर्हि एतस्य शतरूप्यकाणाम् मूल्यम् भवेत्
sp015-000105_003	तदा अहम् एतत् विक्रीय तेन धनेन अजद्वयम् क्रेष्यामि
sp015-000106_003	कालान्तरे तेन अजसमहः भविष्यति
sp015-000107_003	अनन्तरम् अजसमूहम् विक्रीय धेनूः क्रेष्यामि
sp015-000108_003	अनन्तरम् ताः विक्रीय महिषीः ताः विक्रीय अश्वान् च ऋष्यामि
sp015-000109_003	तान् अपि विक्रीय यथेष्टम् धनम् सम्पादयिष्यामि
sp015-000110_003	बृहत् गृहम् निर्मापयिष्यामि
sp015-000111_003	तदा कश्चित् ब्राह्मणः आगत्य रूपवतीम् स्वकन्याम् मह्यम् दास्यति
sp015-000112_003	अनन्तरम् मम पुत्रः जनिष्यति
sp015-000113_003	देवशर्मा इति तस्य नामकरणम् करिष्यामि
sp015-000114_003	यदा सः जानुभ्याम् चलितुम् समर्थः भविष्यति
sp015-000115_003	तदा अहम् अश्वशालायाम् पुस्तकम् पठिष्यामि
sp015-000116_003	तदा देवशर्मा जानुभ्याम् चलन् मम समीपम् आगन्तुम् उद्युक्तः भविष्यति
sp015-000117_003	तदा तम् बालम् ग्रहीतुम् तस्य मातरम् आज्ञापयिष्यामि
sp015-000118_003	यदा सा मम वचनम् न श्रोष्यति
sp015-000119_003	तदा अहम् कोपेन पादप्रहारेण ताम् दण्डयिष्यामि
sp015-000120_003	इति एवम् चिन्तयन् सः पादप्रहारम् कृतवान् एव
sp015-000121_003	पिष्टेन पूर्णः घट पतितः भग्नः च
sp015-000122_004	काकस्य उपायः
sp015-000123_004	कश्चन महावृक्षः आसीत्
sp015-000124_004	तत्र एकः काकः पत्न्या सह वसति स्म
sp015-000125_004	तस्य एव वृक्षस्य कोटरे एकः कृष्णसर्पः अपि वसति स्म
sp015-000126_004	यदा काकी प्रसूता भवति तदा कृष्णसर्पः तस्याः शावकान् खादति स्म
sp015-000127_004	एतेन काकः काकी च महत् दुःखम् अनुभवतः स्म
sp015-000128_004	अतः एकदा काकः स्वमित्रस्य शृगालस्य समीपम् गत्वा उक्तवान्
sp015-000129_004	भोः मित्र सः कृष्णसर्पः कथञ्चित् मारणीयः
sp015-000130_004	उपायम् सूचयतु इति
sp015-000131_004	शृगालः एकम् उपायम् सूचितवान्
sp015-000132_004	तत् श्रुत्वा काकः बहु सन्तुष्टः
sp015-000133_004	तदनन्तरम् काकः उड्डयनम् कुर्वन् नगरम् आगतवान्
sp015-000134_004	तत्र महाराजस्य प्रासादस्य सरोवरे अन्तःपुरस्त्रियः जलक्रीडायाम् मग्नाः आसन्
sp015-000135_004	तासाम् वस्त्राणि आभरणानि च सरोवरस्य सोपानेषु स्थापितानि आसन्
sp015-000136_004	काकः तत्र गतवान्
sp015-000137_004	एकम् सुवर्णहारम् स्वीकृत्य अरण्याभिमुखम् प्रस्थितवान्
sp015-000138_004	तत् दृष्ट्वा राजभटाः काकम् अनुसृतवन्तः
sp015-000139_004	काकः अरण्यम् आगत्य महावृक्षस्य कोटरे तम् हारम् पातितवान्
sp015-000140_004	स्वयम् दूरम् गतवान् च
sp015-000141_004	राजभटाः तत्र आगतवन्तः
sp015-000142_004	कोटरे हारम् दृष्टवन्तः
sp015-000143_004	तदा तत्र स्थितः कृष्णसर्पः कोपेन बहिः आगतवान्
sp015-000144_004	राजभटाः दण्डप्रहारेण तम् मारितवन्तः
sp015-000145_004	हारम् च नीतवन्तः
sp015-000146_004	तदनन्तरम् काकः स्वपत्न्या सह सुखेन जीवितवान्
sp015-000147_005	भारथगौरवगाथा
sp015-000148_005	प्रेम्णः विजयः मृत्योश्च पराजयः
sp015-000149_005	तच्च सन्दीपस्य जन्मदिनम्
sp015-000150_005	अतः सायम् तस्य गृहम् प्रति दशद्वादशसुहृदः आगताः आसन्
sp015-000151_005	उत्सवाचरणसमाप्तेः अनन्तरम् ते गृहस्य पुरतः स्थितस्य कस्यचित् वृक्षस्य अधः सम्मिलिताः
sp015-000152_005	तात गीतश्रवणम् भवतः प्रियम् कार्यम् खलु
sp015-000153_005	मम सखीषु उभे सम्यक् गायतः
sp015-000154_005	तयोः गानम् श्रुतम् चेत् भवान् निश्चयेन सन्तुष्टः भवेत् इति देवनाथवर्यम् उक्तवती श्यामला
sp015-000155_005	एवम् तर्हि अवश्यम् शृणुमः वयम् इति वदन् देवनाथवर्यः श्यामलाम् अनुसृतवान्
sp015-000156_005	तस्य प्राप्तितः पूर्वम् एव बालाः वृक्षस्य अधः तस्य उपवेषणार्थम् आसन्दादिव्यवस्थाम् कृतवन्तः आसन्
sp015-000157_005	उपस्थितम् तम् सर्वे बालाः नमस्कृतवन्तः
sp015-000158_005	तस्य उपवेशनानन्तरम् सर्वे ते तृणानाम् उपरि उपविष्टवन्तः
sp015-000159_005	श्यामलायाः उभे सख्यौ जय जय जनयित्री इत्येतद्गीतम् सुमधुरकण्ठेन श्रावितवत्यौ
sp015-000160_005	गीतम् श्रुत्वा देवनाथवर्यः सन्तोषम् प्रकटयन् उक्तवान्
sp015-000161_005	गानम् उत्तममासीत्
sp015-000162_005	तत् एतावत् सुमधुरम् भवेत् इति मया न चिन्तितम् आसीत् इति
sp015-000163_005	आवाम् गीतम् श्रावितवत्यौ
sp015-000164_005	एतदर्थम् किमुपायनम् दीयते आवयोः कृते
sp015-000165_005	इति पृष्टवत्यौ ते बालिके
sp015-000166_005	तस्य प्रश्नस्य समर्थनार्थम् अन्ये सर्वे करताडनम् कृततन्तः
sp015-000167_005	किमिच्छतः भवत्यौ
sp015-000168_005	किम् चाकलेहम् उत पयोहिमम्
sp015-000169_005	उताहो अन्यत् किमपि वदताम्
sp015-000170_005	आनाय्य दास्यामि
sp015-000171_005	इति उक्तवान् देवनाथः वात्सल्यरूपेण
sp015-000172_005	ते सर्वे सद्यः एव खादिताः अस्माभिः
sp015-000173_005	अतः ते न आवश्यकाः अस्माकम् कृते इति उक्तवत्यौ बालिके
sp015-000174_005	किम् अन्यत् आवश्यकम् पृष्टवान् देवनाथवर्यः
sp015-000175_005	यत् ऋते भवत्तः अन्यः कोऽपि दातुम् न शक्नोति तत् आवश्यकम् इति उक्तवन्तः सर्वे बालाः
sp015-000176_005	तादृशम् तत् किम् इति आश्चर्येण अपृच्छन् देवनाथर्यः
sp015-000177_005	वयम् कथाः श्रोतुम् इच्छामः
sp015-000178_005	भारतसंस्कृतिसम्बन्धाः कथाः श्रावणीयाः भवता इति सर्वे एकस्वरेण उक्तवन्तः
sp015-000179_005	देवनाथः मन्दहासम् प्रकटयन् सर्वान् सकृत् दृष्टवान्
sp015-000180_005	तात परह्यः भवान् मार्कण्डेयस्य कथाम् श्रावितवान्
sp015-000181_005	भवता उक्तम् आसीत् यत् मृत्युम् जितवत्सु मार्कण्डेयः अपि अन्यतमः इति
sp015-000182_005	मृत्युम् जितवन्तः अन्ये के सन्ति इत्यपि भवता उक्तम् आसीत्
sp015-000183_005	अतः तादृशस्य कस्यचित् कथाश्रावणीया भवता इति प्रार्थितवन्तः बालाः
sp015-000184_005	अस्तु तावत् इति उक्त्वा देवनाथवर्यः कथाम् आरब्धवान्
sp015-000185_005	अरण्यसमीपे स्थिते कस्मिंश्चित् आश्रमे कश्चन तरुणः निवसति स्म
sp015-000186_005	तस्य नाम आसीत् रुरुः इति
sp015-000187_005	मुनीनाम् सेवाम् कुर्वन् सः तेभ्यः सर्वाः विद्याः अधीतवान्
sp015-000188_005	सर्वाणि शास्त्राण्यपि तेन अधीतानि
sp015-000189_005	सुन्दरः तरुणः सः सर्वेषाम् प्रशंसापात्रम् आसीत्
sp015-000190_005	तस्मिन् एव आश्रमपरिसरे प्रमद्वरा नाम कन्यका अपि निवसति स्म
sp015-000191_005	सा अपि सुशीला सुन्दरी च
sp015-000192_005	रुरुप्रमद्वरयोः परस्परानुरागः उत्पन्नः
sp015-000193_005	तौ सङ्कल्पितवन्तौ यत् ज्येष्ठानाम् अनुज्ञाम् प्राप्य आवाम् विवाहितौ भवाव इति
sp015-000194_005	भाविन्याः पत्न्याः कृते समर्पयितुम् पुष्पमालाम् अपेक्षमाणः रुरुः कदाचित् प्रातःकाले पुष्पाणि आहर्तुम् अरण्यम् गतवान्
sp015-000195_005	प्रकृत्या विकसितानि पुष्पाणि तेषु दिनेषु आभूषणेभ्यः अपि श्रेष्ठानि इति परिगण्यन्ते स्म
sp015-000196_005	स्नानार्थम् नदीम् प्रति प्रस्थिता प्रमद्वरा रुरोः कुटीरे दृष्टिम् पातितवती
sp015-000197_005	रुरुः तत्र न आसीत्
sp015-000198_005	सह अरण्यम् गतवान् स्यात् इति तया चिन्तितम्
sp015-000199_005	अतः तम् अन्विष्यन्ती सा अरण्यम् प्रति प्रस्थितवती
sp015-000200_005	सूर्योदयात् पूर्वम् अरण्यम् प्रतिगमनम् न उचितम्
sp015-000201_005	यतः तत्काले क्रूरजन्तवः सञ्चरन्तः भवन्ति इति सा रुरुम् सूचितवती आसीत्
sp015-000202_005	तथापि उषसि एव अरण्यम् गतवतः रुरोः विषये असन्तोषम् प्रकटयन्ती सा अरण्यम् प्रविष्टवती
sp015-000203_005	दूरे पुष्पाणि अवचिन्वन् रुरुः तया दृष्टः
sp015-000204_005	वटवृक्षस्य जटाम् अवलम्ब्य स्थिता प्रमद्वरा दूरतः रुरुणा अपि दृष्टा
sp015-000205_005	तथापि सः तस्याः समीपम् न आगतः
sp015-000206_005	एतस्मात् प्रमद्वरा कुपिता
sp015-000207_005	रुरुः जानाति स्म यत्
sp015-000208_005	कण्ठे पुष्पमालायाः अर्पणेन प्रमद्वरायाः कोपः पूर्णतः उपशान्तः भविष्यति इति
sp015-000209_005	अतः सः मालारचनम् अनुवर्तितवान्
sp015-000210_005	किन्तु अत्रान्तरे एका दुर्घटना घटिता
sp015-000211_005	कश्चन जन्तुः प्रमद्वरायाः समीपम् आगतः
sp015-000212_005	भीता प्रमद्वरा आक्रोशनम् कृतवती
sp015-000213_005	अनन्तरक्षणे एव भूमौ पतिता च
sp015-000214_005	एतद् दृष्ट्वा रुरुः धावन् तत्र गतः
sp015-000215_005	किन्तु तावता प्रमद्वरा गतप्राणा जाता आसीत्
sp015-000216_005	कश्चन घोरः विषसर्पः ताम् दष्ट्वा गतवान् आसीत्
sp015-000217_005	तत् समनन्तरम् एव प्रहद्वरायाः प्राणाः शरीरात् निर्गताः
sp015-000218_005	रुरुः तस्याः शिरः उन्नीय अङ्के स्थापयित्वा सम्भाषणम् कर्तुम् प्रयत्नम् कृतवान्
sp015-000219_005	किन्तु प्राणहीनम् शरीरम् कथम् वा सम्भाषेत
sp015-000220_005	प्रमद्वराम् प्राणैः विविक्ताम् दृष्ट्वा रुरुः क्षणकालम् दिग्भ्रान्तः
sp015-000221_005	किञ्चित्कालानन्तरम् तेन वस्तुस्थितिः अवगता
sp015-000222_005	सः सङ्कल्पितवान् यत्कथमपि प्रियायाः रक्षणम् करणीयम् इति
sp015-000223_005	समग्रम् दिनम् तत्रैव उपविश्य सः देवदेवताः प्रियायाः प्राणदानम् बहुधा प्रार्थितवान्
sp015-000224_005	मध्यरात्रसमये दिव्यतेजसा युक्तः कामदेवः तस्य पुरतः प्रत्यक्षः जातः
sp015-000225_005	अकस्मात् जातात् प्रियामरणात् रुरुः कियतीम् वेदनाम् प्राप्नुवन् अस्ति इत्येतत् कामदेवेन अविदितम् न आसीत्
sp015-000226_005	अतः रुरुविषये तस्मिन् सहानुभूतिः उत्पन्ना
sp015-000227_005	मृत्युलोकम् गत्त्वा प्रमद्वरायाः आत्मा रुरुणा द्रष्टुम् यथा शक्येत तथा वरम् दत्तवान् सः
sp015-000228_005	रुरुः मृत्युलोकम् गत्वा प्रमद्वरायाः आत्मानम् अभिज्ञातवान्
sp015-000229_005	किन्तु यमभटाः तेन आत्मना सह सम्भाषणार्थम् अनुमतिः अस्ति इति उक्तवन्तः
sp015-000230_005	रुरुः एतद्विषये यमभटैः सह बहुधा चर्चाम् कृतवान्
sp015-000231_005	अन्ते सन्तुष्टः यमः प्रमद्वरायाः उज्जीवनम् अनुमतवान्
sp015-000232_005	किन्तु तेन एकः नियमः विहितः
sp015-000233_005	प्रमद्वरायाः आयुः समाप्तम् अस्ति
sp015-000234_005	अतः यदि भवान् स्वस्य आयुषः अर्धभागम् दद्यात् तर्हि प्रमद्वरा उज्जीविता भवेत्
sp015-000235_005	इति यमः उक्तवान्
sp015-000236_005	यमस्य एतम् प्रस्तावम् सहर्षम् अङ्गीकुर्वन् रुरुः स्वस्य आयुषः अर्धम् प्रमद्वरायै दत्तवान्
sp015-000237_005	अनन्तरक्षणे एव प्रमद्वरा उत्थितवती
sp015-000238_005	ततः तौ आश्रमम् प्रत्यागतवन्तौ
sp015-000239_005	सर्वेषाम् सम्मुखे तयोः विवाहः यथाविधि सम्पन्नः
sp015-000240_005	ततः तौ सुखेन दाम्पत्यजीवनम् कृतवन्तौ
sp015-000241_005	अमरप्रेमित्वेन तौ विख्यातौ जातौ
sp015-000242_005	एवम् कथाम् श्रावयित्वा देवनाथवर्यः पृष्टवान् एतस्याः कथायाः आन्तर्यम् किम्
sp015-000243_005	एतस्याः कथायाः सन्देशः कः
sp015-000244_005	इति किम् भवन्तः वक्तुम् शक्नुवन्ति इति
sp015-000245_005	कथा तु अस्माभिः अवगता किन्तु इति वदन्तः बालः मौनम् आश्रितवन्तः
sp015-000246_005	वयम् प्रायः भावयामः
sp015-000247_005	यद् जन्ममरणयोः परस्परविरोधः इति
sp015-000248_005	वस्तुतः तु मरणमपि जीवनस्य एकम् अङ्गम्
sp015-000249_005	अस्मासु पश्यत्सु एव जीवनम् कदाचित् अदृश्यताम् गच्छति
sp015-000250_005	मरणम् जीवनम् समापयितुम् शक्नुयात् न तु प्रेमभावम्
sp015-000251_005	यदा कश्चित् मरणम् प्राप्नोति तदा तद्विषये अस्माकम् यावत् प्रेम तावत् विषादम् अनुभवामः वयम्
sp015-000252_005	प्रेम्णः स्वरूपुम् एव विलक्षणम्
sp015-000253_005	तत् न म्रियते अमरम् तत्
sp015-000254_005	त्यागः एव तस्य प्राणाः
sp015-000255_005	पुराणस्था अपरा अपि कथा एतदेव तत्त्वम् स्मारयति
sp015-000256_005	सा कथा का इति किम् भवत्सु कोऽपि जानाति इति पृष्टवान् देवनाथवर्यः
sp015-000257_005	सावित्रीसत्यवतोः कथा एतत् एव तत्त्वम् प्रतिपादयति ननु
sp015-000258_005	इति उक्तवान् कश्चन बालकः
sp015-000259_005	आम् किम् एषा कथा महाभारते पठिता भवता
sp015-000260_005	इति पृष्टवान् देवनाथः
sp015-000261_005	न तात योगिना अरविण्दवर्येण रचितम् सावित्रीनामकम् महाकाव्यम् मम माता प्रतिदिनम् पठति
sp015-000262_005	ततः श्रुतम् मया इति उक्तवान् सः बालकः
sp015-000263_005	योगिवर्येण महाकविना अरविन्दवर्येण रमणीयतया रचिते एतस्मिन् महाकाव्ये बहूनि तत्त्वानि कथामाध्यमेन प्रतिपादितानि सन्ति
sp015-000264_005	भवन्तः सर्वे सावित्रीकथाम् श्रुतवन्तः स्युः
sp015-000265_005	अतः तस्याः श्रावणम् न आवश्यकम् इति अहम् भावयामि
sp015-000266_005	देवनाथवर्यः अवदत्
sp015-000267_005	न तात अस्मासु बहवः सावित्र्याः कथाम् न श्रुतवन्तः एव
sp015-000268_005	अरविन्दवर्यस्य काव्यम् तु सर्वथा अश्रुतपूर्वम्
sp015-000269_005	बालाः अवदन्
sp015-000270_005	एवम् तर्हि ताम् कथाम् अहम् अवश्यम् श्रावयामि
sp015-000271_005	किन्तु तत् न अद्य
sp015-000272_005	अपि तु पुनः कदाचित्
sp015-000273_005	इदानीम् भवन्तः पठनलेखनादिकम् कुर्वन्तु
sp015-000274_005	इति उक्त्वा आसनात् उत्थितवान् देवनाथवर्यः
sp015-000275_006	नासिका नासाभरणम् च
sp015-000276_006	सन्ध्यासमयः
sp015-000277_006	ग्रामस्य मध्ये रचितायाम् वेदिकायाम् उपविश्य
sp015-000278_006	सुप्रसिद्धः कविः भक्तः तुलसीदासः आत्मना रचितम् रामचरितमानसम् मधुरेण स्वरेण पठन्
sp015-000279_006	अर्थम् विवृण्वन् आसीत्
sp015-000280_006	श्रोतारः श्रद्धया तच्छृण्वन्तः आसन्
sp015-000281_006	तुलसीदासः सीतापरित्यागभागम् मनोमोहकशैल्या वर्णयन् आसीत्
sp015-000282_006	द्वित्रा घण्टाः यावत् काव्यपठनम् प्रवृत्तम्
sp015-000283_006	कार्यक्रमसमाप्तेः अनन्तरम् केचन निर्गताः
sp015-000284_006	पुनः केचन तुलसीदासेन वार्तालापम् कुर्वन्तः स्थितवन्तः
sp015-000285_006	अन्ये केचन तुलसीदासम् नमस्कुर्वन्ति स्म
sp015-000286_006	तुलसीदासः रामनाम उच्चारयन् आशीर्वादम् कुर्वन् आसीत्
sp015-000287_006	तस्मिन् दिने तुलसीदासस्य वासः कस्यचित् सज्जनस्य गृहे निश्चितः आसीत्
sp015-000288_006	सः गृहस्वामी आगत्य स्मारितवान्
sp015-000289_006	श्रीमन् स्नात्वा पूजाम् कृत्वा खलु भवानाहारम् सेवते
sp015-000290_006	अतः इतः शीघ्रम् प्रस्थानम् वरम् इति
sp015-000291_006	तुलसीदासः अङ्गीकारपूर्वकम् शिरः चालितवान्
sp015-000292_006	अत्रान्तरे वेदिकातः अनतिदूरे स्थिता गृहिणी काचित्तेन दृष्टा
sp015-000293_006	दर्शनात् एव अभासत यत्
sp015-000294_006	एषा मया मेलितुम् इच्छति
sp015-000295_006	किन्तु सङ्कोचवशात् दूरे तिष्ठति इति
sp015-000296_006	अतः सः स्नेहपूर्णस्वरेण ताम् अपृच्छत्
sp015-000297_006	किम् भवती मया मेलितुमिच्छति इति
sp015-000298_006	सा महता सन्तोषेण अग्रे आगत्य तुलसीदासस्य पादौ स्पृष्ट्वा नमस्कृतवती
sp015-000299_006	तुलसीदासः आशीर्वादेन ताम् अनुगृहीतवान्
sp015-000300_006	सा उत्थाय मन्दहासम् प्रकटयन्ती मौनेन स्थितवती
sp015-000301_006	पुत्रि किम् किमपि वक्तुमिच्छति भवती
sp015-000302_006	इति अपृच्छत् तुलसीदासः मृदुस्वरेण
sp015-000303_006	सा इतस्ततः पश्यन्ती पृष्टवती
sp015-000304_006	महात्मन् किम् मम मुखमण्डले कापि अपूर्वता दृश्यते इति
sp015-000305_006	मुग्धस्य शिशोः इव भवत्याः मुखमण्डलम् अपि निर्मलम् निष्कल्मषम् च इति अवदत् तुलसीदासः
sp015-000306_006	किम् मम मखे शोभमानम् नासाभरणम् लक्षितम् भवता इति सा पुनः अपृच्छत्
sp015-000307_006	आम् नितराम् शोभते तत् इति अवदत् तुलसीदासः
sp015-000308_006	अन्यस्य मनसः अवगमने तुलसीदासस्य विशेषसामर्थ्यम् आसीत्
sp015-000309_006	सर्वे मम नासाभरणस्य प्रशंशाम् कुर्युः
sp015-000310_006	अन्ये इव अयम् महात्मा अपि तस्य प्रशंसाम् कुर्यात् इति एषा इच्छति इति अवगतम् तेन
sp015-000311_006	सा गृहिणी उक्तवती
sp015-000312_006	सर्वे मम नासाभरणस्य प्रशंसाम् कुर्वन्ति
sp015-000313_006	महता मूल्येन मम आर्यपुत्रेण मन्निमित्तम् एतत् क्रीतम्
