sp010-000001_SR_01	समर्थः स्वामी रामदासः
sp010-000101_SR_04	ते हि रामस्य अभिनन्दनमवश्यमेव कुर्युः
sp010-000102_SR_04	भक्तवरेण तुलसीदासेन यदुक्तम् तज्जानीयुरेव भवन्तः
sp010-000103_SR_04	अस्मिन् प्रबन्धेऽस्ति रघुप्रवीरनामात्युदारम् परिपावनम् च
sp010-000104_SR_04	यस्मिन्नुमेशो निवसत्युमाख्यान् दारान् दधानः शिव एव साक्षात् इति
sp010-000105_SR_04	वसन्ति सर्वाणि च मङ्गलानि नाम्नीह नामङ्गलमत्र किञ्चित्
sp010-000106_SR_04	जपन्नजस्रम् भगवानिदम् हि राराज्यते कामरिपुः स शम्भुः
sp010-000107_SR_04	रामप्रभावाद् विषमत्ति देवः सदाशिवः किञ्च फलम् सुधायाः
sp010-000108_SR_04	नामप्रभावाद् शिव एष साक्षान्मृत्युञ्जयश्चास्म्यविनश्वरश्च
sp010-000109_SR_04	अमङ्गलम् यस्य परीकरोऽस्ति परन्तु यो हन्ति विमङ्गलानि
sp010-000110_SR_04	एवमेव राममन्दिरेण श्मशानभूमिरप्यत्यन्तमङ्गलम् नन्दनवनम् भवित्री
sp010-000111_SR_04	अस्याम् रामे समायाते अस्माकम् सूत्रपातो भविष्यति क्रान्तेः
sp010-000112_SR_04	एहि सर्वे मिलित्वा प्रभुभजनम् गायेम
sp010-000113_SR_04	कुरु कल्याणम् हे राम राजन्
sp010-000114_SR_04	जनहितमिह कथमिवाऽन्यथा स्यात्
sp010-000115_SR_04	मत्स्यो जलम् विना विह्वलो यथा
sp010-000116_SR_04	तथैव समेऽपि विह्वला अमी वयम् कृपणाः
sp010-000117_SR_05	शरणमुपेता वयम् समेऽपि भवन्तमेकमुदारम्
sp010-000118_SR_05	त्वमसि पिताऽसि जनन्यपि किम् नो
sp010-000119_SR_05	कृच्छ्रम् कृच्छ्रतरम् वा
sp010-000120_SR_05	भगवन् त्वमसि केवलः शाम्यन् कुत्र याम करवाम किम् प्रभो
sp010-000121_SR_05	मतौ न याति समेषाम् वक्ति दास इह दयामेधताम् त्वयि प्रयाते भगवन् मनोरथा नः सिद्धाः
sp010-000122_SR_05	कुरु कल्याणम्
sp010-000123_SR_05	निर्मितम् मन्दिरम्
sp010-000124_SR_05	अन्यस्मिन्नेव दिने सन्न्यासी द्रुघ्णा कुल्हाडी हस्तः श्मशानभूमौ ददृशे
sp010-000125_SR_05	स द्रुमाँश्चकर्त्त
sp010-000126_SR_05	प्रत्यभाद् यत् भगवान् परशुराम एव साक्षादुपस्थितः
sp010-000127_SR_05	गाश्चारयन्तो यदा तम् ददृशुः तेऽत्यन्तम् आकृष्यन्त
sp010-000128_SR_05	तेऽपृच्छन् स्वामिनः किमत्र कुर्वन्त्यार्याः इति
sp010-000129_SR_05	यदा स्वामिना प्रावोचि अत्र निर्मास्यते मन्दिरम् भगवतो रामस्येति
sp010-000130_SR_05	तदा सर्वेऽपि गोपाः प्रसन्नान्तरङ्गा उदच्छलन् उक्तवन्तस्ते जयोऽस्तु स्वामिनाम्
sp010-000131_SR_05	वदन्त्वत्र भवन्तः किमत्र करणीयमस्त्यस्माकम् बहुकर बुहारी झाडू कार्यम् अस्मभ्यम् त्यज्यताम्
sp010-000132_SR_05	ते सर्वे स्वस्वानि द्रुघ्णान्यानयन्
sp010-000133_SR_05	तथैव कुद्दालादिकान्युपकरणानि
sp010-000134_SR_05	अतीवोत्साहिनश्च परिश्रममकुर्वन्
sp010-000135_SR_05	प्रथमे दिने विंशतिर्जना पर्यश्राम्यन् द्वितीये दिवसे ग्रामस्यान्येऽपि युवान आगताः
sp010-000136_SR_05	तदा षष्टिर्जना कार्यमकुर्वन् तृतीये दिवसे जनानाम् शतद्वयी उपस्थिता स्वीयैरुपकरणैः सह
sp010-000137_SR_05	अथ जनपदस्य पार्श्ववर्त्तिनोऽपि जना समवायन्
sp010-000138_SR_05	अथ प्रत्यहम् चतुष्पञ्चशतप्राया जनाः सेवामकुर्वन्
sp010-000139_SR_05	गुल्माः कण्टकिनः क्षुपा उत्पाटिताः
sp010-000140_SR_05	इदानीम् अवाशिष्यन्त बंहीयस्यः शिलाः
sp010-000141_SR_05	ताः स्प्रष्टुमपि बिभ्यति लोका एताः प्रेताधिवासा इति बद्धसंस्काराः
sp010-000142_SR_06	भक्षिष्यन्ति प्रेता अस्मानिति भयम् तेषाम् मनसि
sp010-000143_SR_06	स्वामिना ते सञ्ज्ञापिता अत्रापि समाधानमस्ति वज्राङ्गवीरो जयतीति घोषः
sp010-000144_SR_06	स्मरन्तु भवन्तस्तुलसीदासवचनम् आयान्ति भूता न हि तस्य पार्श्वे
sp010-000145_SR_06	प्रेताश्च वो यस्य मुखे हनूमान् इति
sp010-000146_SR_06	अथ स्वामिपादेन सिन्दूरवतीस्ताः शिलाः साष्टाङ्गम् प्रणताः
sp010-000147_SR_06	प्रोक्तम् च हे भूतप्रेतपिशाचाः अहम् भवद्भ्यो दध्योदन नैवेद्यम् निवेदयामि
sp010-000148_SR_06	प्रार्थयामि च त्यजन्तु स्थानमिदमत्रभगवन्तः पूज्याः उज्झितप्रैतयोनिशल्या भवेयुरत्रभगवन्तः सर्वेऽपि
sp010-000149_SR_06	वक्ष्यामो वयमेकैकशोऽत्रभगवतामपसरणे जयतु श्रीराम इति
sp010-000150_SR_06	इदम् श्रुत्वा सर्वेऽपि भविष्यन्ति भगवन्तो मुक्ता इति
sp010-000151_SR_06	स्वामिना स्वयम् जयतु श्रीराम इत्युक्त्वा बृहदाकार एकः प्रस्तर उदस्थापि पर्यत्याजि च नद्याम्
sp010-000152_SR_06	एतद् दृष्ट्वा सर्वेऽपि निर्भया जाताः
sp010-000153_SR_06	सर्वमपि क्षेत्रम् अनुद्घातदोषम् संवृत्तम्
sp010-000154_SR_06	शिल्पिनः समागताः
sp010-000155_SR_06	स्वयम् भगवान् विश्वकर्मा प्रकटितः
sp010-000156_SR_06	शुक्लसूत्रम् प्रायोजि मन्दिरस्य मानचित्रम् निरमायि
sp010-000157_SR_06	भूमिरखन्यत
sp010-000158_SR_06	भित्तिका उदतिष्ठन्
sp010-000159_SR_06	एकम् सुन्दरम् सभागारमपि निर्मितम्
sp010-000160_SR_06	वितर्दिका छत् कार्यमपि प्रापूरि
sp010-000161_SR_06	शिखरमपि निरमीयत
sp010-000162_SR_06	तत्र कलशोऽप्यस्थापि
sp010-000163_SR_06	इदानीमवाशिष्यत भगवानर्चावतारः भगवन्मूर्त्तिः
sp010-000164_SR_06	कदा भवित्री प्रतिष्ठा कुत आनेष्यते मूर्त्तिः इत्येतज्जिज्ञासवः प्रष्टुमुपप्रययुः स्वामिनम्
sp010-000165_SR_06	किन्तु तदानीम् स्वामिपादास्तत्र नासन्नुपस्थिताः गता आसन्नन्यत्र क्वापि
sp010-000166_SR_06	मूर्तिरायाता
sp010-000167_SR_06	कतिचिद् दिनानि गतानि येषु स्वामिनो कस्यचिद् वृक्षस्य तले
sp010-000168_SR_06	निषण्णाः सन्तो भगवन्तम् आह्वयन्त आसन्
sp010-000169_SR_06	तस्य भजनमभूत्
sp010-000170_SR_06	भगवन्नेहि त्वरया चरणदर्शनम् दद्याः
sp010-000171_SR_06	रघुकुलमुकुटमणिर्भवसि त्वम् त्वमसि पतिर्जानक्याः
sp010-000172_SR_06	पतितपावनः पतितोद्धर्ता पीडाग्निम् नः प्रशमय
sp010-000173_SR_07	दुःखमग्नमिदमस्ति जगत्या मण्डलमेव समस्तम्
sp010-000174_SR_07	अन्तर्यामी भवति भवाँस्तत् किमिति न तदिदम् वेत्ता
sp010-000175_SR_07	त्वदृते त्राता नास्ति कश्चनाप्यन्यस्त्वम् परमेशः
sp010-000176_SR_07	दयस्व वर्षय करुणाधाराम् चरणयुगम् परिदर्शय
sp010-000177_SR_07	एवम् गायन् स्वामी ध्याने मज्जति
sp010-000178_SR_07	एकस्मिन् दिने दृष्टवन्तः प्रभुम् अशृण्वँश्चेमान् शब्दान् बहोः कालादस्मीह प्रतीक्षमाणः पतितः
sp010-000179_SR_07	त्वामेवास्मि प्रतीक्षमाणः मामुद्धर नय च मन्दिरम्
sp010-000180_SR_07	अस्म्यहम् अङ्गापुरस्य पार्श्वे कृष्णायाः पातितोऽस्मि गभीरे नीरे
sp010-000181_SR_07	तत्र यः सर्वोच्चः पिप्पलो वर्त्तते तस्यैव समक्षम् गवेषय माम् इति
sp010-000182_SR_07	किमवाशिष्यतेदानीम्
sp010-000183_SR_07	स्वामी झटित्येवोत्थितः द्वित्रैः शिष्यैः सह प्रचलितोऽङ्गापुरम्
sp010-000184_SR_07	प्राप्य तत् पुरम् नद्यामियाय
sp010-000185_SR_07	प्लवनदक्षः स्वामी जलस्तम्भिनीम् विद्याम् अप्यजानात्
sp010-000186_SR_07	त्रिचतुरैरेव ब्रूडितैः गोता स मूर्त्तिमवापत्
sp010-000187_SR_07	मूर्तिम् रज्ज्वा बद्ध्वा बहिरानिनाय
sp010-000188_SR_07	मूर्तिरभिरूपाऽभूत्
sp010-000189_SR_07	ताम् दृष्ट्वा सर्वे मुदमावहन्
sp010-000190_SR_07	इदानीम् यावत् अङ्गापुरग्रामे वृत्तमिदम् प्रासरत्
sp010-000191_SR_07	कश्चन सन्न्यासी समागतोऽस्ति स हि नदीजले मग्नाम् मूर्तिम् बहिरानयति
sp010-000192_SR_07	ग्रामस्य भूयांसो बाला वृद्धाश्च तमुद्देशमीयुः
sp010-000193_SR_07	यदा मूर्त्तिर्बहिरायाता स्वामी च ताम् नेतुमियेष तदा एको ग्रामीणः प्रावोचत् मूर्त्तिरियमस्मद्ग्रामीया
sp010-000194_SR_07	ग्रामान्तरम् किमितीमाम् निनीषति भवान्
sp010-000195_SR_07	नेदम् क्षमम् इति
sp010-000196_SR_07	स्वामी तम् भर्त्सयन्नाचुक्रोश एवम् गते इतः पूर्वम् क्व गता आसन्नत्रभवन्तः
sp010-000197_SR_07	केन वाऽऽक्षेपि प्रभोरियम् मूर्त्तिनदीवारिणि
sp010-000198_SR_07	केन कारणेन क्षिप्ता
sp010-000199_SR_07	किम् भगवदाराधनमेवमेव क्रियते
sp010-000200_SR_07	आगतेषु दशसु विंशतौ वा यवनेषु राजपुरुषेषु भवन्तो भीतपलायिता अभूवन्
sp010-000201_SR_07	नाचिन्तयन् मन्दिरस्य रक्षाम् अत्रोट्यन्त यवनैस्तानि स्वैरम्
sp010-000202_SR_07	अददुर्भवन्तोऽवसरम् यवनेभ्यो मन्दिरगता मूर्तीः खण्डयितुम्
sp010-000203_SR_07	यवना आक्रामका यौष्माकीणाः पुत्रीर्वधूश्चापि हरन्ति भवन्तश्च हस्तौ मृद्नन्तः सर्वमिदम् सहन्ते
sp010-000204_SR_07	कातराः भीरवः भवन्ति भवन्तः
sp010-000205_SR_07	आगता इमे मूर्तावधिकारघोषणाः
sp010-000206_SR_07	चाफलग्रामे मन्दिरम् निर्मीयते
sp010-000207_SR_07	मूर्त्तिमिमाम् तत्रैव स्थापयिष्याम्यहम्
sp010-000208_SR_07	विरोद्धुम् शक्ता अग्रे आयान्तु
sp010-000209_SR_07	एवम् निर्भत्सितास्ते स्वामिनम् विरोद्धम् नाशक्नुवन्
sp010-000210_SR_07	स्वामिन उग्राम् मुखमुद्राम् दण्डदृढम् शरीरम् च दृष्ट्वाऽपि नोदसहत कश्चनापि विरोद्धुम्
sp010-000211_SR_08	अथ तेष्वेवैकः स्वामिनमुपेत्योवाच नयन्तु स्वामिनो मूर्त्तिमिमाम्
sp010-000212_SR_08	उत्तमे कार्ये बाधाकलङ्को मा पप्तदस्माकम् ग्रामे
sp010-000213_SR_08	सन्न्यासिना मूर्त्तिः स्कन्ध आरोप्य चाफलम् नीता
sp010-000214_SR_08	कतिपये कवयो वृत्तमिदम् कवितयोपनिबबन्धुः
sp010-000215_SR_08	चमत्कारमत्र ते दर्शयामासुः यदाऽङ्गापुरवासिनो मूर्तिम् नेतुम् नाददन्
sp010-000216_SR_08	तदा स्वामिना प्रोक्तम् यादृशीच्छा प्रभोः तथैव भविष्यति सिद्धिः
sp010-000217_SR_08	यदि तेऽत्रैवाङ्गपुरे निवसितुम् इच्छवस्तर्हि तेऽङ्गापुरम् प्रत्येव प्रवर्त्तिष्यन्ते
sp010-000218_SR_08	अथ यदि चाफले तदा तथा मह्यम् तु सर्वे ग्रामाः समानाः
sp010-000219_SR_08	तर्हि उत्थाप्यतामियम् मूर्तिः
sp010-000220_SR_08	एवमुक्त्वा स्कन्धधृताम् मूर्तिम् स्वामिनो भूमौ स्थापयामासुः
sp010-000221_SR_08	अङ्गापुर वासिषु कतिपयैर्मूर्तिः स्पृष्टा किन्तु सर्वेऽप्यभज्यन्त ताम् उत्थापयितुम्
sp010-000222_SR_08	लज्जयाऽवनतान्यभूवन् तेषाम् मुखानि
sp010-000223_SR_08	ते स्वामिनः पादान् स्पृष्ट्वा प्रोचुः अपराद्धाः स्मो वयम् क्षन्तव्याः
sp010-000224_SR_08	यत्रापि निनीषन्ति तत्र नयन्तु मूर्त्तिमिमाम् इति
sp010-000225_SR_08	यादृशी प्रभोरिच्छेत्युक्त्वा स्वामिना अनायासमेव मूर्तिरुत्थापिता
sp010-000226_SR_08	स्कन्धे चारोपिता प्राचलच्च स चाफलम् ग्रामम् प्रति
sp010-000227_SR_08	नवयुगारम्भः
sp010-000228_SR_08	आगताः आगताः स्वामिनः तेषाम् स्कन्धे मूर्त्तिरपि दृश्यत इति ब्रुवाणाः चाफलवासिनः प्राहृष्यन् समेऽपि
sp010-000229_SR_08	मन्दिरस्य सम्मुखे बृहदाकारो दीपस्तम्भ उदस्थापि परितः पुष्पक्षुपा रोपिताः रोपिताश्च फलिनो द्रुमाः
sp010-000230_SR_08	अग्रे पृष्ठे च स्थापितो वीरो हनूमान्
sp010-000231_SR_08	शुभे मुहूर्ते भगवान् रामचन्द्रोऽपि प्रत्यस्थापि
sp010-000232_SR_08	रात्रिन्दिवम् प्रवर्त्तितानि भजनकीर्तनानि
sp010-000233_SR_08	पारेसहस्रम् जनाः प्रसादमगृह्णन्
sp010-000234_SR_08	सर्वत्रादृश्यतानन्दोत्साहयोः परीवाहः
sp010-000235_SR_08	जनेषूत्पन्न आत्मविश्वासः
sp010-000236_SR_08	सर्वे कथयन्ति रामः प्रभुरायातः नवम् युगमानीतम्
sp010-000237_SR_08	वस्तुतः कार्यमिदम् नवयुगारम्भकमासीत्
sp010-000238_SR_08	यदा सर्वत्रैव मूर्त्तयो भज्यन्ते स्म तदा स्वामिभिर्भगवतो रामस्य मन्दिरम् निरमायि
sp010-000239_SR_08	यदा विवाहा अपि प्रच्छाद्याक्रियन्त तदाऽनेक उत्सवा गीतध्वाननिनादनाभिः समपाद्यन्त
sp010-000240_SR_08	यदा चत्वारः षडपि वा जनाः समवेतुम् बिभ्यति स्म तदा पारेसहस्रम् जनाः समवयन्ति गायन्ति
sp010-000241_SR_08	यथेच्छमात्मनो ज्योतिः प्रोज्ज्वालयितुम् प्रयत्नेषु सफला भूत्वा गृहम् प्रत्यावर्त्तन्त
sp010-000242_SR_09	इदमासीत् क्रान्तेर्बीजस्य रोपणम्
sp010-000243_SR_09	नासीदियम् केवला रामस्य मूर्तिः
sp010-000244_SR_09	तत्रासीन्निहितो भारतानामितिहासः आयतिश्च प्रोज्ज्वला
sp010-000245_SR_09	चाफलग्रामगता राममूर्त्तिरियमासीत् भारतवासिनाम् धर्मसंस्कृतिनीतिश्रद्धाऽस्मिताशाकाङ्क्षाणाम् निर्देशिका
sp010-000246_SR_09	तया राममूर्त्या तदर्थमनुष्ठितेन महतोत्सवेन च भीरुता जडता अकर्मण्यताऽगत्वरता
sp010-000247_SR_09	इत्येवम्प्रभृतीनाम् च दुष्प्रवृत्तीनामन्वस्थीयत पलायनम् प्रतिष्ठामवापिता च जनहृदये भगवतो रामस्य मूर्तिः
sp010-000248_SR_09	फलतः समाजः शौर्येण धैर्येण पराक्रमेण अन्यायप्रतीकारेण च पर्यपूरि
sp010-000249_SR_09	येन सन्न्यासिना नितान्तम् महत्त्वपूर्णम् कार्यमिदमनुष्ठितम् स एवाभिधीयते रामदास इति
sp010-000250_SR_09	समर्थो रामदास इति राष्ट्रगुरू रामदास इति छत्रपतिशिवाजीमार्गदर्शको रामदास इति
sp010-000251_SR_09	आसीदसौ ठोसर कुलीयस्य सूर्याजिपन्तस्य कनिष्ठः पुत्रो नारायणनाम
sp010-000252_SR_09	हनूमदवतारः
sp010-000253_SR_09	आसीन्महाराष्ट्रस्य बीडनाम्नि मण्डले जिला जाबनाम्ना ग्रामः
sp010-000254_SR_09	तत्र निवसति परमेश्वरभक्तो ठोसरा पदोपाधिकः परिवारः
sp010-000255_SR_09	तत्र सूर्याजीपन्तः समधिकम् प्रसिद्धः
sp010-000256_SR_09	तस्य धर्मपत्न्या नाम राणूबाईति
sp010-000257_SR_09	उभावपि प्रत्यहम् भगवन्तम् सूर्यम् श्रीरामम् चार्चतः
sp010-000258_SR_09	तौ यीशुसंवत्सरस्य पञ्चाधिकषोडशशततमे वर्षे पुत्रमापतुः
sp010-000259_SR_09	तम् तौ गङ्गाधर इति नामधेयेनाह्वयतः
sp010-000260_SR_09	स एव पश्चात् श्रेष्ठ इति नाम्ना प्रसिद्धः
