sp025-000001_001	ऋतुः परिवर्तते
sp025-000039_001	सप्ताहे अस्मिन् उत्तराखण्ड हरियाणा इति राज्य द्वयमपि ओ डि एफ् इति अनावृत शौचाचरणात् मुक्तम् घोषितम्
sp025-000040_001	एतत् कार्य पूर्त्यर्थम् अहम् एतेषाम् पञ्चानाम् राज्यानाम् प्रशासनाय शासनाय विशेषेण च जनता जनार्दनाय साधुवादान् व्याहरामि
sp025-000041_001	वयम् संयुक्तया जानीमः व्यक्तेः जीवने समाजस्य जीवने च यत् किमपि समुचितम् करणीयम् अस्ति चेत् अतितराम् कठोरः परिश्रमः करणीयो भवति
sp025-000042_001	यदि अस्माकम् हस्त लेखः सम्यक् नास्ति स च सम्यक् करणीयः चेत् तदा सुदीर्घ कालम् यावत् अतितराम् अवधानतया प्रयतनीयम् भवति
sp025-000043_001	तदनु एव शरीरस्य मनसः च अभ्यासः परिवर्तते
sp025-000044_001	स्वच्छतायाः विषयोऽपि एतादृशः एव अस्ति
sp025-000045_001	कानिचित् व्यसनानि अस्मदीय स्वभावस्य अङ्गरूपाणि भवन्ति
sp025-000046_001	एतानि अस्मदीयाचरणस्य अङ्गत्वेन वर्तन्ते
sp025-000047_001	एतानि अपसारयितुम् अविरतम् अस्माभिः नूनम् प्रयतनीयम्
sp025-000048_001	वारम् वारम् एतद्विषयकम् स्मरणमपि करणीयम्
sp025-000049_001	प्रत्येकमपि जनस्य ध्यानाकर्षणमपि विधेयम्
sp025-000050_001	समीचीनानाम् प्रेरिकाणाम् च घटनानाम् पौनःपुनिकम् स्मरणमपि करणीयम्
sp025-000051_001	तथा च प्रसीदामितराम् यत् अद्यत्वे स्वच्छता विषयः सर्वकारीय कार्यक्रमत्वेन एव नैव प्रवर्तते
sp025-000052_001	अयम् तु जन सामान्यस्य जन समाजस्य च आन्दोलनत्वेन सततम् परिणमते
sp025-000053_001	शासनारूढाः जनाः अपि यदा जन सह भागितया कार्यमेनत् अग्रेसारयन्ति तदा अतुलनीया शक्तिः विवर्धते
sp025-000054_001	विगतेषु दिनेषु एका उत्तमा घटना मम ध्याने उपस्थिता याम् अहम् भवताम् समक्षम् नूनम् कथयिष्यामि
sp025-000055_001	एषास्ति घटना आन्ध्रप्रदेशस्य विजयनगरम् जनपदस्य
sp025-000056_001	तत्रत्य प्रशासनेन जन सह भागितायाः बृहदेकम् कार्यम् आरब्धम्
sp025-000057_001	मार्च मासे दश दिनाङ्कात् प्रातः षड् वादनात् आरभ्य चतुर्दश दिने प्रातः दशवादनम् यावत् अर्थात् शत होरावधिम् यावत् अनारतम् अभियानम्
sp025-000058_001	लक्ष्यम् किमासीत् शत होरावधौ एक सप्ततौ ग्राम पञ्चायतेषु दश सहस्रम् गृहाभ्यन्तरीणानाम् शौचालयानाम् निर्माणम्
sp025-000059_001	अयि भोः मम प्रियाः देशवासिनः
sp025-000060_001	वृत्तमेनत् ज्ञात्वा भवन्तः प्रसन्नाः भविष्यन्ति यत् जनता जनार्दनेन शासनेन च सम्भूय शतम् होरासु दश सहस्रम् शौचालयानाम् निर्माणम् सफलतया पूर्णताम् नीतम्
sp025-000061_001	एक सप्ततिः ग्रामाः ओ डि एफ् इति अनावृत शौचाचरणात् मुक्ताः जाताः
sp025-000062_001	अहम् शासनाधिरूढान् शासनिकाधिकारिणः विजयानगरम् जनपदस्य एतान् ग्राम नागरिकान् च भूरिशः वर्धापयामि
sp025-000063_001	यत् ते परिश्रम पराकाष्ठाम् स्वीकृत्य उत्तमम् प्रेरकोदाहरणम् उपस्थापितवन्तः
sp025-000064_001	एतेषु दिनेषु मन् की बात् इति कार्यक्रमे सततम् अहम् जनता जनार्दनस्य पक्षतः परामर्शान् अवाप्नोमि
sp025-000065_001	श्रीमान् प्रकाश त्रिपाठी आपातकालम् स्मारयन् अलिखत् यत् जून मासीयम् पञ्च विन्शतितमम् दिनम् लोकतन्त्रस्य इतिहासे कालुष्य पूर्ण काल खण्ड रूपेण वर्तते
sp025-000066_001	श्रीप्रकाश त्रिपाठिनः लोकतन्त्रम् प्रति एषा जागृतिः प्रशंसनीया वर्तते
sp025-000067_001	लोकतन्त्रम् न केवलम् एका व्यवस्था एतच्च संस्कारत्वेन अपि विराजते
sp025-000068_001	विगते शताब्दे पञ्चसप्तति तमे वर्षे जूनमासे पञ्च विन्शतितमा रात्रिः तादृशी कालुष्यपूर्णा आसीत् याम् न कश्चन अपि लोकतन्त्र प्रेमी विस्मर्तुम् शक्नोति
sp025-000069_001	न कश्चन भारतवासी एनाम् विस्मर्तुम् पारयति
sp025-000070_001	एकप्रकारेण अशेष देशः कारागृहत्वेन परिवर्तितः आसीत्
sp025-000071_001	विरोधि स्वरः दमितः
sp025-000072_001	जय प्रकाश नारायणेन सह राष्ट्रस्य गण मान्याः नेतारः कारासु बन्दिनो अभूवन्
sp025-000073_001	न्याय व्यवस्था अपि आपातकालस्य भीकर रूपस्य छायया आच्छादिता आसीत्
sp025-000074_001	वार्तापत्राणि तु पूर्णरूपेण प्रतिबद्धानि आसन्
sp025-000075_001	पत्रकारिता जगतः विद्यार्थिनः लोकतन्त्रस्य कर्मकराः च लोकतन्त्रस्य तम् कालुष्यपूर्णम् कालखण्डम् स्मरन्तः लोकतन्त्रम् प्रति अवधान संवर्धनाय सततम् प्रयासान् अनुतिष्ठन्तः आसन्
sp025-000076_001	अपि चैतद् नूनम् करणीयम्
sp025-000077_001	तदा अटल बिहारि वाजपेयि वर्यः अपि कारायाम् पिहितः आसीत्
sp025-000078_001	यदा वर्षावधिकः कालः यापितः तेन तदा कारायामेव एका कविता विरचिता
sp025-000079_001	अस्याम् कवितायाम् तेन तत्कालीना मनःस्थितिः वर्णीता अस्ति
sp025-000080_001	लोकतन्त्रस्य प्रेमिणः कठिन तरम् युद्धम् सम्मुखीकृतवन्तः
sp025-000081_001	भारतम् नाम विशालम् राष्ट्रम् प्राप्ते सति काले भारतस्य प्रत्येकमपि जनस्य चेतसि लोकतन्त्रम् कियत् व्यापकम् विराजते इति
sp025-000082_001	निर्वाचन माध्यमेन सा लोक शक्तिः प्रदर्शितास्ति
sp025-000083_001	प्रत्येकमपि जनस्य चेतसि परिव्याप्तस्य अस्य लोकतन्त्रस्य भावः अस्मदीयः अमृतः रिक्थः वर्तते
sp025-000084_001	अस्माभिः रिक्थोऽयम् इतः परमपि दृढतरः करणीयः
sp025-000085_001	मम प्रियाः देशवासिनः प्रत्येकमपि भारतीयः अद्यत्वे शिरान्सि उन्नमय्य गौरवम् अनुभवति
sp025-000086_001	वर्षेऽस्मिन् जून मासे एकविन्शतितमे दिने सम्पूर्णमपि विश्वम् योगमयम् अजायत
sp025-000087_001	जलतः पर्वत पर्यन्तम् जनाः प्रभाते एव योगाभ्यास माध्यमेन भगवतः सूर्यस्य किरणानाम् स्वागतम् अकुर्वन्
sp025-000088_001	कश्चन नाम वा भारतीयः भवेत् यो एतद्विषये नूनम् गौरवम् नानुभवेत्
sp025-000089_001	एवम् नास्ति यत् योगाचरणम् पूर्वमपि न क्रियते स्म
sp025-000090_001	परन्तु अद्यत्वे यदा योगसूत्रेण बद्धाः स्मः योगः विश्वम् संयोजयितुम् कारणत्वेन विराजते
sp025-000091_001	विश्वस्य प्रायेण सर्वेऽपि देशाः योगस्य अवसरमेनम् स्वीयावसर रूपेण स्वीकृतवन्तः
sp025-000092_001	सिङ्गापुर सदृशे लघुनि स्थाने सप्तत्यधिकेषु स्थलेषु कार्यक्रमाः अभूवन् अपि च ते सप्ताहावधिकम् अभियानमेकम् प्रवर्तितवन्तः
sp025-000093_001	संयुक्त राष्ट्र सङ्घेन अन्ताराष्ट्रिय योग दिवसम् आलक्ष्य दश प्रैष मुद्राङ्काः प्रसारिताः
sp025-000094_001	संयुक्त राष्ट्र सङ्घस्य अधिकारिणः कार्मिकाः अशेष जगतः कूटनीतिज्ञाः चेति सर्वेऽपि अत्र सहभागित्वम् निरवहन्
sp025-000095_001	साम्प्रतम् पुनरेकवारम् योगेन विश्वस्य आभिलेख्यमपि अर्जितम्
sp025-000096_001	अहमपि लखनऊ नगरे योग कार्यक्रमे सहभागित्वस्य अवसरम् प्राप्तवान् परञ्च प्रथमवारम् वर्षायाम् योगाभ्यासस्य सद्भाग्यम् मया प्राप्तम्
sp025-000097_001	अस्माकम् सैनिकाः सियाचिन् पर्वत शिखरे यत्र विंशति पञ्चविंशति चत्वारिंशत् डीग्रीमितम् न्यूनम् तापमानम् भवति तत्र योगाभ्यासम् कृतवन्तः
sp025-000098_001	एतद् योग दिवसावसरे अहम् उक्तवान् यत् सन्तति त्रयम् यतो हि तृतीयोऽयम् अन्ताराष्ट्रिय योग वर्षीय दिवसः अतः कुटुम्बस्य सन्तति त्रयम् युगपदेव योगाभ्यासम् कुर्वदेव तच्चित्रम् प्रेषयेत्
sp025-000099_001	काश्चन दृश्य वाहिकाः अपि तथ्यमेनत् प्रचारितवत्यः
sp025-000100_001	येन प्रकारेण अशेष जगति योगः परिचर्च्यते तस्मात् एकम् लाभकरम् तथ्यमिदम् समुद्भवति यत् अद्यतनः स्वास्थ्य जागरूक समाजः समीचीनतातः अनारोग्यताम् प्रति अग्रेसरति
sp025-000101_001	ते इदम् अनुभवन्ति यत् समीचीनतायाः महत्त्वम् तु अस्त्येव परञ्च अनारोग्यतायाः कृते योगः उत्तमोत्तमः मार्गः अस्ति
sp025-000102_001	महोदय मम जिज्ञासा वर्तते
sp025-000103_001	नातिचिरम् केरळे वयम् भवन्तम् श्रुतवन्तः
sp025-000104_001	विभिन्नेषु स्थलेषु उपहारत्वेन पुष्प गुच्छाः प्रदीयन्ते
sp025-000105_001	एतत् स्थाने अस्माभिः स्मृत्युपहारत्वेन पुस्तकानि प्रदेयानि
sp025-000106_001	एतद्विषयकः शुभारम्भः भवान् गुजराते निज कार्यकाले विहितवान्
sp025-000107_001	साम्प्रतम् नैतत् अस्माभिः दृश्यते
sp025-000108_001	किम् वयम् सन्दर्भेऽस्मिन् किमपि कर्तुम् पारयेम्
sp025-000109_001	येन देश व्यापिना स्तरेण अस्य कार्यान्वयनम् स्यात्
sp025-000110_001	विगतेषु दिनेषु अहम् मम प्रियतमेषु अन्यतमे कार्यक्रमे सहभागित्वस्य अवसरम् लब्धवान्
sp025-000111_001	केरळे सुष्ठु कार्यक्रमः एकः प्रचलति
sp025-000112_001	अस्य कार्यक्रमस्य शुभारम्भार्थम् अहम् तत्र आमन्त्रितः आसीत्
sp025-000113_001	तत्र मह्यम् एतत् सूचितम् यत् ते पुष्प गुच्छम् नैव परञ्च पुस्तकम् ददति
sp025-000114_001	मह्यम् इदम् रोचते स्म
sp025-000115_001	मया यत् विस्मारितमासीत् झटिति तत् पुनः स्मरणाधीनम् जातम्
sp025-000116_001	यतो हि यदाहम् गुजराते आसम् तदा मया प्रशासने एका परम्परा प्रवर्तिता यद्वयम् पुष्प गुच्छम् नैव पुस्तकानि दास्यामः
sp025-000117_001	आहोस्वित् करवस्त्रेण स्वागतम् करिष्यामः
sp025-000118_001	अपि च खादी करवस्त्रेण एव येन खादी वस्त्राणाम् संवर्धनम् स्यात्
sp025-000119_001	यावत्पर्यन्तम् गुजराते आसम् अस्माकम् सर्वेषाम् अभ्यासः जातः परम् अत्रागमनस्य अनन्तरम् सः अभ्यासः व्यपगतः
sp025-000120_001	किन्तु केरळ गमनेन सः अभ्यासः पुनः जागृतः तथा च अहम् तु प्रशासने पुनः एतत् सूचयितुम् आरभम्
sp025-000121_001	वयमपि शनैः शनैः तादृशम् स्वभावम् विकासयितुम् शक्नुमः
sp025-000122_001	एकवारम् स्वीकृत्य परित्यजामः
sp025-000123_001	परन्तु पुस्तकम् दीयते चेत् तत्तु गृहस्य कुटुम्बस्य च अङ्गत्वेन परिभाव्यते
sp025-000124_001	खादी कर वस्त्र प्रदानेन अपि अनेकेषाम् निर्धनानाम् साहाय्यम् भवति
sp025-000125_001	व्ययः अपि न्यूनः भवति समुचित रूपेण तस्य उपयोगो जायते
sp025-000126_001	यदा एतदहम् वर्णयामि तदा संस्मरामि यत् एतादृश व्यवहारस्य बहुमात्रिकम् ऐतिहासिकम् च महत्वम् भवति
sp025-000127_001	गते वर्षे यदा अहम् यू के देशम् गतवान् तदा लन्डन् नगरे ब्रिटेन् साम्राज्ञी क्वीन् एलिजाबेत् माम् निमन्त्रितवती
sp025-000128_001	तत्र मातृ सहजः परिवेशः आसीत्
sp025-000129_001	तदा तस्याः नयनयोः अलौकिकः ज्योतिः व्यराजत
sp025-000130_001	सा उक्तवती यत् यदा मम विवाहः सञ्जातः तदा एतत् कर वस्त्रम् महात्म गान्धी मङ्गल कामना उपहारत्वेन मह्यम् प्रेषितवान्
sp025-000131_001	कति वर्षाणि व्यतीतानि
sp025-000132_001	तथा च सा माम् दर्शयन्ती अस्ति इति कृत्वा सा आनन्द सन्दोहम् अनुभवति स्म
sp025-000133_001	अपि च यदा अहम् तत् पश्यन् आसम् तदा सा साग्रहम् माम् उक्तवती यत् स्पृष्ट्वा एतत् अनुभवेयम्
sp025-000134_001	महात्म गान्धिना प्रदत्तः अल्पीयान् अपि उपहारः तस्याः जीवनस्य अङ्गत्वेन अजायत तस्याः इतिवृत्तस्य अविभाज्यः भागः अभवत्
sp025-000135_001	तथा च यदा हि वयम् एतादृशम् किमपि आलपामः जनाः आलोचनामपि कुर्वन्ति
sp025-000136_001	कुत्रचित् गच्छामि तत्र कश्चन पुष्पगुच्छम् उपाहरति चेत् तस्य प्रतिषेधम् नैव करिष्यामि परञ्च परिष्कारार्थम् तु सततम् प्रयतिष्यामहे
sp025-000137_001	मम प्रियाः देशवासिनः प्रधानमन्त्रिणः दायित्व कारणात् अनेक प्रकारकाणि कार्याणि मया करणीयानि भवन्ति
sp025-000138_001	पञ्जिकासु मग्नाः भवामः परञ्च अहम् स्वस्मै अभ्यासमेकम् विकासितवान् यत् मम कृते यानि पत्राणि लभ्यन्ते तेषु कानिचित् अहम् प्रतिदिनम् पठामि
sp025-000139_001	एवम् हि अहम् सामान्य जनैः सह सम्पृक्तो भवामि
sp025-000140_001	अनेक प्रकारकाणि भवन्ति एतानि पत्राणि
sp025-000141_001	पृथक् पृथक् जनाः एतानि पत्राणि लिखन्ति
sp025-000142_001	एतेषु दिनेषु एकम् तादृशम् पत्रम् पठितुम् अवसरम् लब्धवान् यत् अवश्यम् मया तद्विषये भवताम् समक्षम् विवर्णनीयम्
sp025-000143_001	दूरे सुदूरे दक्षिण प्रदेशे तमिल्नाडु राज्ये स्थितस्य मदुराई नगरस्य एका गृहिणी अरुल मोझी सर्वनन् मह्यम् पत्रमेकम् प्राहिणोत्
sp025-000144_001	सा अलिखत् यत् कुटुम्बस्य बालानाम् शिक्षणार्थम् मया किञ्चित् आर्थिक कार्य जातम् विधातुम् विचारितम्
sp025-000145_001	अतः मया मुद्रा योजना माध्यमेन बैङ्कात् किञ्चित् धनम् आदत्तम् विपणीतः च सामग्रीम् आनीय आपूर्ति कार्यम् आरब्धम्
sp025-000146_001	मया अन्विष्टम् यत् किमेतत्
sp025-000147_001	केचन जनाः मया पृष्टाः
sp025-000148_001	तदनु अहम् आत्मानम् तत्र पञ्जीकारितवती
sp025-000149_001	अहम् देशवासिनः सूचयितुम् इच्छामि यत् भवन्तः अपि लब्धे सति अवसरे इन्टरनेट् इति अन्तर्जाले ई जी ई एम् इत्यत्र अवलोकयन्तु
sp025-000150_001	एषा नूतना लाभप्रदायिनी व्यवस्था वर्तते
sp025-000151_001	यः कश्चन प्रशासनाय किमपि वस्तु जातम् आपूरयितुम् वाञ्छति लघु लघूनि वस्तूनि प्रेषयितुम् इच्छति
sp025-000152_001	यथा विद्युद्दीपान् अवकर कण्डोलिकाः मार्जनीः आसन्दिकाः आधार पटलानि प्रेषयितुम् वा विक्रेतुम् वा वाञ्छति ते अत्र स्वीय पञ्जीकरणम् कर्तुम् शक्नुवन्ति
sp025-000153_001	वस्तूनाम् गुणत्वम् विलिख्य मूल्यादिकम् निर्दिश्य च सूचयितुम् अर्हति
sp025-000154_001	सर्वकारीय विभागानाम् कृते एतत् अनिवार्यम् वर्तते यत् ते नूनम् एतत् प्रेषितम् सर्वम् विवरणम् अवलोकयेयुः
sp025-000155_001	अनन्तरम् सर्वम् सम्यक् अस्ति चेत् तद्वस्तु प्रेषणाय आदेष्टव्यम्
sp025-000156_001	एवंरीत्या ये मध्यस्थाः भवन्ति तेषामत्र हस्त क्षेपो नैव भविता
sp025-000157_001	सर्व विधम् पारदर्शित्वम् समापन्नम्
sp025-000158_001	प्रविधि माध्यमेन एव सर्वम् सञ्जायते
sp025-000159_001	अतः ई जी ई एम् इति व्यवस्थायाः अन्तर्गतम् ये जनाः पञ्जीकरणम् कुर्वन्ति तान् सर्वकारस्य सर्वेऽपि विभागाः अवलोकयन्ति
sp025-000160_001	मध्यस्थाः जनाः नैव भवन्ति इति कृत्वा वस्तूनि महार्घाणि नैव भवन्ति
sp025-000161_001	अधुना अरुल् मोझी महाभागा सर्वकारस्य अन्तर्जाल वाहिकाम् प्रति याम् याम् सामग्रीम् प्रेषयितुम् शक्नोति तासाम् सर्वासाम् पञ्जीकरणम् विहितम् वर्तते
sp025-000162_001	तस्याः पत्रमिदम् अतितराम् रुचिकरम् वर्तते
sp025-000163_001	सा अलिखत् यत् एकतः मया मुद्रा तः धनम् लब्धम् मम व्यापारः आरभतः
sp025-000164_001	तद्विषयिणी सूची स्थापिता तथा च पी एम् ओ इति प्रधानमन्त्रिणः कार्यालयात् आदेशः अवाप्तः
sp025-000165_001	एतदस्ति शक्ती करणम्
sp025-000166_001	एतत् च अस्ति उद्यमिनाम् प्रोत्साहनावसरः
sp025-000167_001	यदि अरुल मोझी माम् पत्रम् नैव अलिखिष्यत् तदा अहमपि एतदर्थम् निध्यातुम् नैव अपारयिष्यम्
sp025-000168_001	एषा अस्ति देशस्य शक्तिः
sp025-000169_001	अत्र पार दर्शित्वमपि वर्तते शक्तीकरणमपि अस्ति उद्यमित्वमपि वर्तते
sp025-000170_001	मम प्रियाः देशवासिनः एकतः वयम् योग विषयकम् गौरवम् अनुभवामः
sp025-000171_001	अपरतः वयम् अन्तरिक्ष विज्ञाने अस्मदीयाः अधिगतोपलब्धीः अभिलक्ष्यापि गर्वम् अनुभवितुम् शक्नुमः
sp025-000172_001	इयमेवास्ति भारतस्य विशेषता
sp025-000173_001	यदि अस्माकम् पादौ योगाधृतौ भूमौ स्तः अपरतः अस्मदीयाः स्वप्नाः सुदूरे गगनस्य सीमानम् अतिक्रान्तुम् वर्तन्ते
sp025-000174_001	विगतेषु दिनेषु भारतेन क्रीडासु विज्ञाने चापि सुबहु अनुष्ठीय प्रदर्शितम्
sp025-000175_001	अद्यत्वे भारतम् न केवलम् भूमौ अन्तरिक्षे अपि स्वीयम् ध्वजम् उत्तोलयति
sp025-000176_001	एतेषु उपग्रहेषु भारतमतिरिच्य फ्राँस् जर्मनी इटली जापान् ब्रिटेन् अमेरिका प्रभृतयः प्रायः चतुर्दश देशाः समाविष्टाः सन्ति
sp025-000177_001	भारस्य नेनो उपग्रहाभियानेन कृषि क्षेत्रे कृषकाणाम् कार्येषु प्राकृतिकापत्सु चापि महत् साहाय्यम् अवाप्स्यते
sp025-000178_001	प्रत्येकमपि भारतीयः एतद् गौरवमपि अनुभवितुम् शक्नोति यत् कतिपय दिवसेभ्यः प्राक् इस्रो इत्यनेन जी सेट् ऊनविंशतिः इत्यस्य सफलम् प्रक्षेपणम् व्यदधात्
sp025-000179_001	अपि च भारतेन अधुनावधि प्रक्षिप्तोपग्रहेषु सर्वाधिकम् भारयुतम् अवर्तत
sp025-000180_001	अस्माकम् देशस्य वार्तापत्रै तु अस्य भार तुलना गज भारेण सार्धम् विहितासीत्
sp025-000181_001	भवन्तः कल्पयितुम् शक्नुवन्ति यदस्मदीयाः वैज्ञानिकाः अन्तरिक्षे कियत् बृहत् कार्यम् कृतवन्तः
sp025-000182_001	सहस्र दिनानन्तरमपि अस्मदीयम् मङ्गल यानम् कार्यम् करोति चित्राणि प्रेषयति सूचनाः प्रेषयति
sp025-000183_001	इयम् हि अन्तरिक्ष क्षेत्रे अस्मदीया महत्वाधायिनी सिद्धिः वर्तते
sp025-000184_001	एतेषु दिनेषु क्रीडासु अपि अस्मदीयानाम् यूनाम् प्रवृत्तिः रुचिश्च समेधेते इति वयम् पश्यामः
sp025-000185_001	साम्प्रतम् एतद् अवलोक्यते यत् अध्ययनेन सहैव क्रीडास्वपि अस्माकीनाः युवानः स्वीयम् प्रशस्तम् भविष्यत् परिभावयन्ति
sp025-000186_001	तथा च अस्माकम् क्रीडकानाम् कारणात् तेषाम् पुरुषार्थेण तेषाञ्च सिद्धि कारणात् राष्ट्रस्य नामापि कीर्ति युतम् भवति
sp025-000187_001	अस्यै उपलब्ध्यै तम् तस्य प्रशिक्षकम् च हृदयेन अभिनन्दामि
sp025-000188_001	वयम् क्रीडाः यावतीः विवर्धयिष्यामः तावत्यः एव क्रीडा भावाः स्पर्धा भावनाश्च विवर्धिष्यन्ते
sp025-000189_001	क्रीडाः व्यक्तित्वस्य विकासार्थमपि अतितराम् महत्वाधायिनीम् भूमिकाम् निर्वहन्ति
sp025-000190_001	सर्व विध व्यक्तित्व विकासाय खेलानाम् अतिमाहात्म्यम् वर्तते
sp025-000191_001	देशे प्रतिभानाम् किञ्चिदपि नैयून्यम् नैव वर्तते
sp025-000192_001	यदि अस्माकम् कुटुम्बेपि बालानाम् अभिरुचिः खेला विषयिणी अस्ति चेत् तेभ्यः ताभ्यश्च नूनम् अवसराः प्रदेयाः
sp025-000193_001	तान् ताश्च क्रीडा क्षेत्रेभ्यः समाकृष्य कक्षेषु पिहित्वा पुस्तक पठनाय विवशीकरणम् नैवास्ति समीचीनम्
sp025-000194_001	ते ताश्च पठन्तु नाम तस्मिन् क्षेत्रेपि अग्रेसरन्ति चेत् नूनम् अग्रेसरन्तु
sp025-000195_001	परञ्च क्रीडासु तेषाम् सामर्थ्यम् अस्ति अभिरुचिः प्रवर्तते चेत् तदा विद्यालयस्य महाविद्यालयस्य कुटुम्बस्य परिपार्श्व वर्तिनः सर्वेपि जनाः तान् समर्थ्य प्रोत्साहयेयुः
sp025-000196_001	भाविनीनाम् ओलम्पिक् स्पर्धानाम् कृते प्रत्येकमपि जनेन स्वप्नायितुम् शक्यते
