sp008-000001_SR_01	स मातुः पार्श्वम् प्राप्तः
sp008-000034_SR_01	साक्षान्मारुतिरेव येन ते सर्वे विघ्ना ध्वस्ताः
sp008-000035_SR_01	रामकृपेयम् साक्षात् नान्यत् किमप्यत्र बत मूलम् इत्यादिभिः
sp008-000036_SR_01	सदाशिवशास्त्रिगर्वापहारः
sp008-000037_SR_01	सदाशिवशास्त्री येवलेकर इति कश्चिन्महान् षट्शास्त्रज्ञः काशीस्थो विद्वान् स शास्त्रार्थे नितान्तम् पटुः
sp008-000038_SR_01	एकदा रामदासस्वामिनः आश्रमम् उपेयाय अवोचच्च रामदासोऽत्र कः
sp008-000039_SR_01	शिष्यैरवोचि उपरि शिलायाम् ध्यानस्थः स महानात्माऽस्ति रामदास इति बोध्यः
sp008-000040_SR_01	स स्वामिनाऽभ्यनन्दि
sp008-000041_SR_01	प्रयोजनम् पृष्टश्च शास्त्रार्थमयाचत
sp008-000042_SR_01	तदानीमेव एकः काष्ठभारवहः शिष्यः प्राप्तः
sp008-000043_SR_01	रामदासस्वामिभिः पृष्टम् कोऽसि त्वमिति
sp008-000044_SR_01	सोऽब्रूत शूद्रोऽहमिति
sp008-000045_SR_01	स्वामी तस्य पुरो रेखामेकाम् चकर्ष
sp008-000046_SR_01	तम् शूद्रमादिदेश एतामुल्लङ्घ्येति
sp008-000047_SR_01	उल्लङ्घितवान् पृष्टः कोऽसि त्वमिति
sp008-000048_SR_01	वैश्योऽस्मीति दत्तोत्तरस्य प्रमुखे द्वितीयाम् रेखाम् कृतवन्तो रामदासाः तामुल्लङ्घयितुम् आदिदिशुः
sp008-000049_SR_01	उल्लङ्घितः स पृष्टः कोऽसि त्वमिति स स्वम् क्षत्रियमूचिवान्
sp008-000050_SR_01	अथ तस्य प्रमुखे रेखान्तरम् कृतवान् तदुल्लङ्घितम् तम् पृष्टवान् कोऽसि त्वमिति
sp008-000051_SR_01	स उदतरत् अस्म्यहम् षट्शास्त्रवित् विद्वान् श्रोत्रियो ब्राह्मण इति
sp008-000052_SR_01	स्वामी तमपृच्छत् अपि भवान् कर्ता शास्त्रार्थम् इति
sp008-000053_SR_01	ओमित्यूचिवांसम् तमयोजयत् सदाशिवशास्त्रिणा शास्त्रार्थाय
sp008-000054_SR_01	दश प्रश्नान् स उपास्थापयत्
sp008-000055_SR_01	सदाशिवशास्त्री तेषाम् पञ्च सम्यक् समादधे अग्रे च तूष्णीम् तस्थौ
sp008-000056_SR_01	हर्षोत्फुल्ल श्रोतृसमुदायो रामदासस्वामिनो जयमुज्जुघोष
sp008-000057_SR_01	शास्त्री स नम्रो भूत्वा सिद्धस्यास्य महात्मनश्चरणौ जग्राह शिष्यश्च जातः
sp008-000058_SR_01	महाप्रयाणम्
sp008-000059_SR_01	यीशुसम्वत्सरस्थ ऊनाशीत्युत्तर षोडशतमे वर्षे पौषमासे शिवाजिः सज्जनगढम् प्राप्तः
sp008-000060_SR_01	पञ्चचत्वारिंशद्दिनानि स तत्र न्युवास
sp008-000061_SR_01	अस्मिन्नवधौ शिवाजिः निर्विकल्पम् समाधिमन्वभूत्
sp008-000062_SR_01	माघपूर्णिमायाम् गुरुचरणरजांसि तिलकीकृत्य शिवाजिः प्रति प्रस्थितः
sp008-000063_SR_01	अथ चैत्रपूर्णिमायाः अशीत्युत्तर षोडशतमे यीशुवत्सरे स परम् लोकम् ययौ
sp008-000064_SR_02	वृत्तमिमम् श्रुत्वा रामदासः स्वामी भवन्नपि नितान्तम् चेतसि पीडामनुबभौ
sp008-000065_SR_02	तन्मुखाच्छब्दाः निस्सस्रुः श्रीजीच्छा रामेच्छा ईश्वरेच्छा बलीयसी इति
sp008-000066_SR_02	स भोजनम् तत्याज
sp008-000067_SR_02	दुग्धमेव पीत्वा कालमयापयत्
sp008-000068_SR_02	शिष्येषु वृत्तान्त एष प्रसृतः
sp008-000069_SR_02	सर्वेऽपि दर्शनार्थमागच्छन् रामदासः तानुद्बोधयति लोक एष मर्त्यो लोकः
sp008-000070_SR_02	एकस्मिन् दिवसे सर्वेणैव गन्तव्यमेव इतः
sp008-000071_SR_02	यावज्जीवमात्मनः कार्यक्षेत्रे स्थिरत्वम् लभध्वम्
sp008-000072_SR_02	रामस्य विजयपताकाम् सर्वत्र प्रसारयत
sp008-000073_SR_02	रामकथया ब्रह्माण्डम् छिन्दत रामराज्यम् भुवि स्थापयत इति
sp008-000074_SR_02	शिवाजीपुत्रः शम्भाजी तस्य सिंहासनेऽभ्यषेचि
sp008-000075_SR_02	उग्रक्रोध एषः
sp008-000076_SR_02	शिवाजिना सङ्गृहीतेषु नवसु रत्नेषु बहून् सः अवाहेलयत्
sp008-000077_SR_02	कांश्चित् परलोकमपि प्रापयत्
sp008-000078_SR_02	एभिः वृत्तान्तैः स्वामी हृदि क्षतः
sp008-000079_SR_02	स शम्भाजिम् प्रति पत्रमलिखत्
sp008-000080_SR_02	सदैव जाग्रत् सतर्कस्तिष्ठतु
sp008-000081_SR_02	प्रमादी कदापि मा भूः
sp008-000082_SR_02	एकान्ते स्थित्वा विचारचिन्तनानि कुर्वीथाः
sp008-000083_SR_02	त्यज क्रोधम् ससंशयम्
sp008-000084_SR_02	शान्तिसौम्यतासुखम् अनुभव
sp008-000085_SR_02	स्वार्थे निजे न ब्रूड
sp008-000086_SR_02	अन्येषामपि चिन्ताम् कुरुष्व
sp008-000087_SR_02	क्षमाशीलताम् उपार्जय
sp008-000088_SR_02	गुणवन्त आदर्तव्याः उपास्याः
sp008-000089_SR_02	भृत्याः कर्मकराः प्रसाद्याः
sp008-000090_SR_02	कार्यम् कुरुष्व निरीक्षस्व चावधानेन
sp008-000091_SR_02	परस्परम् चेत् कलहायेरन् स्वतः शत्रुकम् प्राह्वयसे त्वम्
sp008-000092_SR_02	एकमेकम् उपनिषत्स्व मारय शत्रुमात्रमिह न तु स्वजनम्
sp008-000093_SR_02	पराक्रमैश्चेद् भवताम् भूमिर्भवति यवनकण्टकैर्विहीना
sp008-000094_SR_02	तदा कीर्तिम् उपचेष्यति
sp008-000095_SR_02	योगक्षेमवहा भूयासुः
sp008-000096_SR_02	क्षेमे अधिकतामपि सञ्चिनुयुः
sp008-000097_SR_02	राष्ट्रम् भवतु वैभवैः पूर्णम् सुखम् समृद्धम् अथो परिपूर्णम्
sp008-000098_SR_02	ततो महाराष्ट्रताम् इदमेताम् ननु
sp008-000099_SR_02	नित्यम् शिवाजिम् धारय बुद्ध्या
sp008-000100_SR_02	तथाविधान् यत्नानपि कुर्याः
sp008-000101_SR_02	दिव्यभव्यमभवन् ननु शौर्यम्
sp008-000102_SR_02	तस्य चिन्तनम् मननम् कुर्याः
sp008-000103_SR_02	कियती मृदुता बभूव वाण्याम्
sp008-000104_SR_02	कुशलकौटले निपुणोऽप्यासीत्
sp008-000105_SR_02	कथम् मित्रबन्धून् स समेतुम् प्रभवति
sp008-000106_SR_02	मार्दवयुक्तो वचसि हृदि हृदि कथम् रोपयति लक्ष्यम्
sp008-000107_SR_02	ततोऽधिकम् यदि जगति प्रभवसि
sp008-000108_SR_02	कर्तुम् कुरुध्वमेते सर्वे
sp008-000109_SR_02	तदैव जगतीतले भविष्यसि
sp008-000110_SR_02	पितुरधिगुणस्तनूजः शिष्टः
sp008-000111_SR_02	शम्भाजी पत्रमिदम् पठित्वा रामदासस्वामिनम् उपेयितान् प्रणनाम
sp008-000112_SR_02	आशीर्भिः योजयमास तम् स्वामी
sp008-000113_SR_02	सोऽपि स्वम् स्वभावम् परिवर्त्य प्रजारञ्जने दक्षतामानर्ज
sp008-000114_SR_02	एतेषु दिवसेषु रामदासस्वामी प्रतिप्रयाणभाषाम् व्याहरति स्म
sp008-000115_SR_02	शिष्याः समवेताः अश्रुचक्षुषः तान् दृष्ट्वा स्वामी सान्त्वयितुम् अचेष्टतैभिः शब्दैः
sp008-000116_SR_02	या मम वाणी सा मम कायः
sp008-000117_SR_02	आभासिकमिह विद्यत एतत्
sp008-000118_SR_02	निखिलम् व्यश्नुवान एषोऽहम्
sp008-000119_SR_03	अत्र तत्र सर्वत्र दृश्यताम् स्वात्मा व्याप्तः
sp008-000120_SR_03	मनोयोगतः पठतु मदीयाम् वाणीम् सन्निहितोऽस्मि सदाहमिति
sp008-000121_SR_03	एतेन उपदेशेन शिष्याः किञ्चिच्छान्ताः
sp008-000122_SR_03	तथापि गुरो रामदासस्वामिनः विरहस्य कल्पनापि तेषाम् कृते वज्रशल्यायते स्म
sp008-000123_SR_03	सज्जनगढमन्दिरे स्थापनीया मूर्तयः तञ्जावुर पुरादानीताः
sp008-000124_SR_03	ता एव प्रतीक्षमाणोऽभूत् रामदासः स्वामी
sp008-000125_SR_03	माघकृष्णपञ्चम्याम् मूर्तयस्ता प्राणप्रतिष्ठाम् लम्भिताः
sp008-000126_SR_03	भगवतो रामस्य मूर्तेः सम्मुखीनो रामदासो ध्याने न्यमज्जत्
sp008-000127_SR_03	मध्याह्ने सः श्रीराम श्रीराम श्रीराम इति प्रोच्चैः उदगिरत्
sp008-000128_SR_03	प्राणांश्च स्वीयान् भगवतो रामस्य चरणयोरर्पिपतम्
sp008-000129_SR_03	द्वाविंशति दिनाङ्के जनवरी मासे द्व्यशीत्युत्तर षोडशतमे वर्षे तिथौ माघकृष्णनवम्याम् रामदासः स्वामी
sp008-000130_SR_03	स्वामी रामो जातः सहस्रशः समवेतैः भक्तैरुदीर्णम् जय जय रघुवीर समर्थ इति हन्त हन्त
sp008-000131_SR_03	ये हि महात्मानो भवन्ति तेषाम् देहः स्थलविशेषेण न प्रतिबध्यते
sp008-000132_SR_03	सज्जनगढे राममूर्तिम् प्रतिष्ठाप्य रामदासः समर्थो जहौ
sp008-000133_SR_03	स्वीयम् वपुस्तत्रैवेति प्रसिद्धिः ऐतिह्यविदाम्
sp008-000134_SR_03	अस्माकम् साम्प्रतिकेषु मध्यप्रदेशेषु विद्यतेतराम् इटारसीति रेलस्थानम्
sp008-000135_SR_03	ततो दिल्ली प्रतिष्ठासूनि यानानि याम् भोजताल नगर दिशम् आश्रयन्ति
sp008-000136_SR_03	तस्यामेव चतुर्दश किलो मीटर् परिमिते दूरवर्त्तिनि मातुः श्रीनर्मदाया पश्चिमे तटे विलसतितरामेकम् नर्मदापुरमिति
sp008-000137_SR_03	परिवर्त्तितेन नाम्ना अभिधीयमानम् हुशङ्गाबादनामकम् नातिविशालम् नगरम्
sp008-000138_SR_03	तत्रापि रेलस्थानस्थेनापि यात्रिणा द्रष्टुम् शक्यते एकम् स्थानम् यद्धि रामजिबाबा की समाध् इत्यभिज्ञायते
sp008-000139_SR_03	सुबृहद्धि तत् क्षेत्रम्
sp008-000140_SR_03	तत्रापि विलसतितरामेकम् सिद्धसिद्धम् स्थानम्
sp008-000141_SR_03	यत्र विद्यते वृक्षपरिवेष्टितमेकम् पादोनपुरुषप्रमाणमुन्नतम् चतुरस्रम् चत्वरम्
sp008-000142_SR_03	पञ्चभिः सोपानैः यस्य परिक्रमकुट्टिमम् लभ्यते
sp008-000143_SR_03	मध्ये च विद्यते भित्तिचतुष्टयेन परिवेष्टितम् एकम् विभूतिपात्रम्
sp008-000144_SR_03	यत्र दृश्यते स्थितम् भस्म
sp008-000145_SR_03	तच्च वितीर्यते प्रसादरूपेण दिदृक्षुभ्यः
sp008-000146_SR_03	भवति यस्य जिह्वास्पर्शः पिशाचादिबाधापरिमोक्षणाय समर्थः
sp008-000147_SR_03	तत्र वार्षिकी मेला जनानाम् आयोज्यते यत्र दिगन्तरालेभ्यो जनाः पशून् आनयन्ति विक्रयाय
sp008-000148_SR_03	कदाचिद् विविधानि लौहनिर्मितानि कृषेरुपकरणानि साधयन्तो यायावरा राजस्थानीया शाकटिकाः समवयन्ति
sp008-000149_SR_03	यत्र मूल्यवन्त्यपि वस्तूनि अल्पेनैव मूल्येन लभ्यन्ते
sp008-000150_SR_03	तद्यथा कटाहः द्रुघ्नम् दात्रम् एवमादिकानि
sp008-000151_SR_03	गृहस्थास्तत एव आपणिकाभ्य वस्तून्येतानि क्रीणन्ति प्रहृष्यन्ति च
sp008-000152_SR_03	आसीत् तस्मिन्नेव समाधिस्थले काचित् रामदाससंस्कृतपाठशाला
sp008-000153_SR_03	तस्यामेव अधीतविद्या विद्यामहे पङ्क्तीनाममूषाम् लेखका वयम्
sp008-000154_SR_03	तस्मिन्नेव क्षेत्रे विद्यते एकम् प्रविशालम् पक्वेष्टि विचितभित्तिकम् कूपरत्नम्
sp008-000155_SR_03	तस्यास्य जलम् तथा विशुद्धम् यन्मुम्बईप्रभृतिस्था अपि रुग्णा वणिजः तत् तत आनाययन्ति सेवन्ते च भवन्ति निरामयाः
sp008-000156_SR_03	सन्त्येतस्य समाधिस्थलस्य पार्श्वे नैके समाधयः
sp008-000157_SR_03	तेषु सन्ति निखाताः त्यक्तशरीराः तस्यैव स्थानस्य मठाधीशाः
sp008-000158_SR_03	ते हि पार्श्ववर्त्तिनो भूक्षेत्रस्य प्रविशालस्य स्वामिनो गृहस्थाश्च
sp008-000159_SR_03	तेषाम् तनूजो भवति स्म दरबार नामा लघुः ज्यायांश्च सरकार नामा
sp008-000160_SR_03	ददृशिवांसो भवामस्तान् खेलितवन्तश्च तैः
sp008-000161_YS_01a	अथ योगसूत्रम् व्यासभाष्यसहितम्
sp008-000162_YS_01a	प्रथमः समाधिपादः
sp008-000163_YS_01a	योगेन चित्तस्य पदेन वाचाम् मलम् शरीरस्य च वैद्यकेन
sp008-000164_YS_01a	योऽपाकरोत्तम् प्रवरम् मुनीनाम् पतञ्जलिम् प्राञ्जलिरानतोऽस्मि
sp008-000165_YS_01a	अथ योगानुशासनम्
sp008-000166_YS_01a	अथेत्ययम् अधिकारार्थः
sp008-000167_YS_01a	योगानुशासनम् शास्त्रमधिकृतम् वेदितव्यम्
sp008-000168_YS_01a	योगः समाधिः
sp008-000169_YS_01a	स च सार्वभौमः चित्तस्य धर्मः
sp008-000170_YS_01a	क्षिप्तम् मूढम् विक्षिप्तम् एकाग्रम् निरुद्धमिति चित्तभूमयः
sp008-000171_YS_01a	तत्र विक्षिप्ते चेतसि विक्षेपोपसर्जनीभूतः समाधिः न योगपक्षे वर्तते
sp008-000172_YS_01a	यस्तु एकाग्रे चेतसि सद्भूतमर्थम् प्रद्योतयति क्षिणोति च क्लेशान् कर्मबन्धनानि श्लथयति निरोधमभिमुखम् करोति स सम्प्रज्ञातो योग इति आख्यायते
sp008-000173_YS_01a	स च वितर्कानुगतः विचारानुगतः आनन्दानुगतः अस्मितानुगतः इति उपरिष्ठात् प्रवेदयिष्यामः
sp008-000174_YS_01a	सर्ववृत्तिनिरोधे तु असम्प्रज्ञातः समाधिः
sp008-000175_YS_01a	तस्य लक्षणाभिधित्सया इदम् सूत्रम् प्रववृते
sp008-000176_YS_01b	योगश्चित्तवृत्तिनिरोधः
sp008-000177_YS_01b	सर्वशब्दाग्रहणात् सम्प्रज्ञातोऽपि योग इत्याख्यायते
sp008-000178_YS_01b	चित्तम् हि प्रख्याप्रवृत्तिस्थितिशीलत्वात् त्रिगुणम्
sp008-000179_YS_01b	प्रख्यारूपम् हि चित्तसत्त्वम् रजस्तमोभ्याम् संसृष्टम् ऐश्वर्यविषयप्रियम् भवति
sp008-000180_YS_01b	तदेव तमसानुविद्धम् अधर्माज्ञानावैराग्यानैश्वर्योपगम् भवति
sp008-000181_YS_01b	तदेव प्रक्षीणमोहावरणम् सर्वतः प्रद्योतमानम् अनुविद्धम् रजोमात्रया धर्मज्ञानवैराग्यैश्वर्योपगम् भवति
sp008-000182_YS_01b	तदेव रजोलेशमालेपनम् स्वरूपप्रतिष्ठम् सत्त्वपुरुषान्यताख्यातिमात्रम् धर्ममेघध्यानोपगम् भवति
sp008-000183_YS_01b	तत्परम् प्रसङ्ख्यानम् इत्याचक्षते ध्यायिनः
sp008-000184_YS_01b	चितिशक्तिः अपरिणामिनी अप्रतिसङ्क्रमा दर्शितविषया शुद्धा चानन्ता च
sp008-000185_YS_01b	सत्त्वगुणात्मिका चेयम् अतो विपरीता विवेकख्यातिरिति
sp008-000186_YS_01b	अतस्तस्याम् विरक्तम् चित्तम् तामपि ख्यातिम् निरुणद्धि
sp008-000187_YS_01b	तदवस्थम् चित्तम् संस्कारोपगम् भवति
sp008-000188_YS_01b	स निर्बीजः समाधिः
sp008-000189_YS_01b	न तत्र किञ्चित्सम्प्रज्ञायते इति असम्प्रज्ञातः
sp008-000190_YS_01b	द्विविधः स योगश्चित्तवृत्तिनिरोधः इति
sp008-000191_YS_01b	तदवस्थे चेतसि विषयाभावात् बुद्धिबोधात्मा पुरुषः किंस्वभावः इति
sp008-000192_YS_01b	तदा द्रष्टुः स्वरूपेऽवस्थानम्
sp008-000193_YS_01b	स्वरूपप्रतिष्ठा तदानीम् चितिशक्तिः यथा कैवल्ये
sp008-000194_YS_01b	व्युत्थानचित्ते तु सति तथापि भवन्ती न तथा
sp008-000195_YS_01b	कथम् तर्हि दर्शितविषयत्वात्
sp008-000196_YS_01b	वृत्तिसारूप्यमितरत्र
sp008-000197_YS_01b	व्युत्थाने याः चित्तवृत्तयः तदवशिष्टवृत्तिः पुरुषः
sp008-000198_YS_01b	तथा च सूत्रम् एकमेव दर्शनम् ख्यातिरेव दर्शनमिति
sp008-000199_YS_01b	चित्तम् अयस्कान्तमणिकल्पम् सन्निधिमात्रोपकारि दृश्यत्वेन स्वम् भवति पुरुषस्य स्वामिनः
sp008-000200_YS_01b	तस्माच्चित्तवृत्तिबोधे पुरुषस्य अनादिः सम्बन्धो हेतुः
sp008-000201_YS_01b	ताः पुनः निरोद्धव्या बहुत्वे सति चित्तस्य
sp008-000202_YS_01b	वृत्तयः पञ्चतय्यः क्लिष्टा अक्लिष्टाः
sp008-000203_YS_01b	क्लेशहेतुकाः कर्माशयप्रचयक्षेत्रीभूताः क्लिष्टाः
sp008-000204_YS_01b	ख्यातिविषया गुणाधिकार विरोधिन्यः अक्लिष्टाः
sp008-000205_YS_01b	क्लिष्टप्रवाहपतिता अपि अक्लिष्टाः
sp008-000206_YS_01b	क्लिष्टच्छिद्रेष्वपि अक्लिष्टा भवन्ति
sp008-000207_YS_01b	अक्लिष्टच्छिद्रेषु क्लिष्टा इति
sp008-000208_YS_01b	तथाजातीयकाः संस्कारा वृत्तिभिरेव क्रियते संस्कारैश्चैव वृत्तय इति
sp008-000209_YS_01b	एवम् वृत्तिसंस्कारचक्रम् अनिशम् आवर्तते
sp008-000210_YS_01b	तदेवम्भूतम् चित्तम् अवसिताधिकारम् आत्मकल्पेन व्यवतिष्ठते प्रलयम् वा गच्छतीति
sp008-000211_YS_01b	ताः क्लिष्टाश्च अक्लिष्टाश्च पञ्चधा वृत्तयः
sp008-000212_YS_01b	प्रमाणविपर्ययविकल्पनिद्रास्मृतयः
sp008-000213_YS_01b	प्रत्यक्षानुमानागमाः प्रमाणानि
sp008-000214_YS_01b	इन्द्रियप्रणालिकया चित्तस्य बाह्यवस्तूपरागात् तद्विषया सामान्यविशेषात्मनः अर्थस्य विशेषावधारणप्रधाना वृत्तिः प्रत्यक्षम् प्रमाणम्
sp008-000215_YS_01b	फलम् अविशिष्टः पौरुषेयः चित्तवृत्तिबोधः
sp008-000216_YS_01b	बुद्धेः प्रतिसंवेदी पुरुष इत्युपरिष्टात् उपपादयिष्यामः
sp008-000217_YS_01b	अनुमेयस्य तुल्यजातीयेषु अनुवृत्तः भिन्नजातीयेभ्यः व्यावृत्तः सम्बन्धो यः तद्विषया सामान्यावधारणप्रधाना वृत्तिः अनुमानम्
sp008-000218_YS_01b	यथा देशान्तरप्राप्तेः गतिमत् चन्द्रतारकम् चैत्रवत् विन्ध्यश्च अप्राप्तिः अगतिः
sp008-000219_YS_01b	आप्तेन दृष्टः अनुमितो वार्थः परत्र स्वबोधसङ्क्रान्तये शब्देनोपदिश्यते
sp008-000220_YS_01b	शब्दात् तदर्थविषया वृत्तिः श्रोतुः आगमः
sp008-000221_YS_01b	यस्य अश्रद्धेयार्थो वक्ता न दृष्टानुमितार्थः स आगमः प्लवते
sp008-000222_YS_01b	मूलवक्तरि तु दृष्टानुमितार्थे निर्विप्लवः स्यात्
sp008-000223_YS_01b	विपर्ययो मिथ्याज्ञानमतद्रूप प्रतिष्ठम्
sp008-000224_YS_01b	स कस्मान्न प्रमाणम् यतः प्रमाणेन बोध्यते भूतार्थविषयत्वात् प्रमाणस्य
sp008-000225_YS_01b	तत्र प्रमाणेन बाधनम् अप्रमाणस्य दृष्टम्
sp008-000226_YS_01b	तद्यथा द्विचन्द्रदर्शनम् सद्विषयेण एकचन्द्रदर्शनेन बाध्यते इति
sp008-000227_YS_01b	सेयम् पञ्चपर्वा भवति अविद्या अविद्यास्मिताराग द्वेषाभिनिवेशाः क्लेशाः इति
sp008-000228_YS_01b	एत एव स्वसञ्ज्ञाभिः तमः मोहः महामोहः तामिस्रः अन्धतामिस्रः इति
sp008-000229_YS_01b	एते चित्तमलप्रसङ्गेन अभिधास्यन्ते
sp008-000230_YS_01b	शब्दज्ञानानुपाती वस्तुशून्यो विकल्पः
sp008-000231_YS_01b	स न प्रमाणोपारोही न विपर्ययोपारोही च
sp008-000232_YS_01b	वस्तुशून्यत्वेऽपि शब्दज्ञान माहात्म्यनिबन्धनो व्यवहारो दृश्यते
sp008-000233_YS_01b	तद्यथा चैतन्यम् पुरुषस्य स्वरूपमिति
sp008-000234_YS_01b	यदा चितिरेव पुरुषः तदा किमत्र केन व्यपदिश्यते
sp008-000235_YS_01b	भवति च व्यपदेशे वृत्तिः यथा चैत्रस्य गौरिति
sp008-000236_YS_01b	तथा प्रतिषिद्धवस्तुधर्मा निष्क्रियः पुरुषः तिष्ठति बाणः स्थास्यति स्थित इति गतिनिवृत्तौ धात्वर्थमात्रम् गम्यते
sp008-000237_YS_01b	तथानुत्पत्तिधर्मा पुरुष इति उत्पत्तिधर्मस्य अभावमात्रम् अवगम्यते न पुरुषान्वयी धर्मः
sp008-000238_YS_01b	तस्माद्विकल्पितः स धर्मः तेन च अस्ति व्यवहार इति
sp008-000239_YS_01c	अभावप्रत्ययालम्बना वृत्तिर्निद्रा
sp008-000240_YS_01c	सा च सम्प्रबोधे प्रत्यवमर्शात् प्रत्ययविशेषः
sp008-000241_YS_01c	कथम् सुखमहमस्वाप्सम् प्रसन्नम् मे मनः प्रज्ञाम् मे विशारदीकरोति
sp008-000242_YS_01c	दुःखमहमस्वाप्सम् स्त्यानम् मे मनो भ्रमति अनवस्थितम्
sp008-000243_YS_01c	गाढम् मूढोऽहमस्वाप्सम्
sp008-000244_YS_01c	गुरूणि मे गात्राणि क्लान्तम् मे चित्तम्
sp008-000245_YS_01c	अलसम् मुषितमिव तिष्ठतीति
sp008-000246_YS_01c	स खल्वयम् प्रबुद्धस्य प्रत्यवमर्शो न स्यात् असति प्रत्ययानुभवे
sp008-000247_YS_01c	तदाश्रिताः स्मृतयश्च तद्विषया न स्युः
sp008-000248_YS_01c	तस्मात् प्रत्ययविशेषो निद्रा
sp008-000249_YS_01c	सा च समाधौ इतरप्रत्ययवत् निरोद्धव्या इति
sp008-000250_YS_01c	अनुभूतविषयासम्प्रमोषः स्मृतिः
sp008-000251_YS_01c	किम् प्रत्ययस्य चित्तम् स्मरति आहोस्वित् विषयस्य इति
sp008-000252_YS_01c	ग्राह्योपरक्तः प्रत्ययो ग्राह्यग्रहणोभयाकार निर्भासः तथाजातीयकम् संस्कारम् आरभते
sp008-000253_YS_01c	स संस्कारः स्वव्यञ्जकाञ्जनः तदाकारामेव ग्राह्यग्रहणोभयात्मिकाम् स्मृतिम् जनयति
sp008-000254_YS_01c	तत्र ग्रहणाकारपूर्वा बुद्धिः ग्राह्याकारपूर्वा स्मृतिः
sp008-000255_YS_01c	सा च द्वयी भावितस्मर्तव्या च अभावितस्मर्तव्या च
sp008-000256_YS_01c	स्वप्ने भावितस्मर्तव्या जाग्रत्समये तु अभावितस्मर्तव्या इति
sp008-000257_YS_01c	सर्वाश्च एताः स्मृतयः प्रमाणविपर्यय विकल्प निद्रा स्मृतीनाम् अनुभवात् प्रभवन्ति
