sp006-000001_GB_00-00	SANkaraBAzyam
sp006-000041_GB_02	iti bruvatA yAvajjIvAdiSruticoditAnAm paSvAdihiMsAlakzaRAnAm ca karmaRAm prAgeva na aDarmatvam iti suniScitam uktam Bavati iti
sp006-000042_GB_02	tadasat
sp006-000043_GB_02	jYAnakarmanizWayoH viBAgavacanAt budDidvayASrayayoH
sp006-000044_GB_02	aSocyAn ityAdinA BagavatA yAvat
sp006-000045_GB_02	svaDarmamapi cAvekzya iti etadantena granTena yat paramArTAtmatattvanirUpaRam kftam tatsANKyam
sp006-000046_GB_02	tadvizayA budDiH Atmano janmAdi zaqvikriyABAvAt akartA AtmA iti prakaraRArTanirUpaRAt yA jAyate sA sANKyAbudDiH
sp006-000047_GB_02	sA yezAm jYAninAm ucitA Bavati
sp006-000048_GB_02	te sANKyAH
sp006-000049_GB_02	etasyA budDeH janmanaH prAk Atmano dehAdivyatiriktatvakartftvaBoktftvAdyapekzo DarmADarmavivekapUrvako mokzasADanAnuzWAnanirUpaRalakzaRo yogaH
sp006-000050_GB_02	tadvizayA budDiH yogabudDiH
sp006-000051_GB_02	sA yezAm karmiRAm ucitA Bavati te yoginaH
sp006-000052_GB_02	tayoSca sAN KyabudDyASrayAm jYAnayogena nizWAm sAN KyAnAm viBaktAm vakzyati
sp006-000053_GB_02	taTA ca yogabudDyASrayAm karmayogena nizWAm viBaktAm vakzyati
sp006-000054_GB_02	karmayogena yoginAm iti
sp006-000055_GB_02	evam sAN KyabudDim yogabudDim ca ASritya dve nizWe viBakte BagavatA eva ukte jYAnakarmaRoH
sp006-000056_GB_02	kartftvAkartftvEkatvAnekatva budDyASrayayoH ekapuruzASrayatvAsamBavam paSyatA
sp006-000057_GB_02	yaTA etadviBAgavacanam taTEva darSitam SAtapaTIye brAhmaRe
sp006-000058_GB_02	etameva pravrAjino lokamicCanto brAhmaRAH pravrajanti
sp006-000059_GB_02	bfhadAraRyake catuH catuH dvAviMSati iti sarvakarmasannyAsam viDAya tacCezeRa
sp006-000060_GB_02	kim prajayA karizyAmo yezAm noऽyamAtmAyam lokaH
sp006-000061_GB_02	bfhadAraRyake catur catuH dvAviMSati iti
sp006-000062_GB_02	tatra eva ca
sp006-000063_GB_02	bfhadAraRyake ekam catuH saptadaSa iti avidyAkAmavata eva sarvARi karmARi SrOtAdIni darSitAni
sp006-000064_GB_02	teByo vyutTAya pravrajanti
sp006-000065_GB_02	iti vyutTAnamAtmAnameva lokam icCataH akAmasya vihitam
sp006-000066_GB_02	tadetat viBAgavacanam anupapannam syAt
sp006-000067_GB_02	yadi SrOtakarmajYAnayoH samucCayoऽBipretaH syAdBagavataH
sp006-000068_GB_02	na ca arjunasya praSna upapanno Bavati
sp006-000069_GB_02	jyAyasI cetkarmaRaste ityAdiH
sp006-000070_GB_02	ekapuruzAnuzWeyatvAsamBavam budDikarmaRoH BagavatA pUrvam anuktam
sp006-000071_GB_02	kaTam arjunaH aSrutam budDeSca karmaRo jyAyastvam Bagavati aDyAropayet mfzA eva
sp006-000072_GB_02	kiYca yadi budDikarmaRoH sarvezAm samucCaya uktaH syAt arjunasya api sa ukta eva iti
sp006-000073_GB_02	iti kaTam uBayoH upadeSe sati anyataravizayaH eva praSnaH syAt
sp006-000074_GB_02	na hi pittapraSamanArTino vEdyena maDuram SItam ca Boktavyam iti upadizwe
sp006-000075_GB_02	tayoH anyatarat pittapraSamanakAraRam brUhi iti praSnaH samBavati
sp006-000076_GB_02	aTa arjunasya BagavaduktavacanArTavivekAnavaDAraRanimittaH praSnaH kalpayet
sp006-000077_GB_02	taTApi BagavatA praSnAnurUpam prativacanam deyam
sp006-000078_GB_02	mayA budDikarmaRoH samucCaya uktaH kimarTam itTam tvam BrAntaH asi iti
sp006-000079_GB_02	na tu punaH prativacanam ananurUpam pfzwAt anyadeva
sp006-000080_GB_02	dve nizWe mayA purA prokte iti vaktum yuktam
sp006-000081_GB_02	na api smArtenEva karmaRA budDeH samuccaye aBiprete viBAgavacanAdi sarvam upapannam
sp006-000082_GB_02	kiYca kzatriyasya yudDam smArtam karma svaDarma iti jAnataH
sp006-000083_GB_02	iti upAlamBaH anupapannaH
sp006-000084_GB_02	tasmAdgItASAstre IzanmAtreRApi SrOtena smArtena vA karmaRA AtmajYAnasya samuccayo na kenaciddarSayitum SakyaH
sp006-000085_GB_02	yasya tu ajYAnAt rAgAdidozato vA karmaRi pravfttasya yajYena dAnena tapasA vA viSudDasattvasya
sp006-000086_GB_02	jYAnamutpannam paramArTatattvavizayamekameva idam sarvam brahma akartf ca iti
sp006-000087_GB_02	tasya karmaRi karmaprayojane ca nivftte api lokasaNgrahArTam yatnapUrvam yaTA pravfttaH
sp006-000088_GB_02	taTA eva karmaRi pravfttasya yatpravfttirUpam dfSyate na tatkarma yena budDeH samuccayaH syAt
sp006-000089_GB_02	yaTA Bagavato vAsudevasya kzAtrakarmacezwitam na jYAnena samuccIyate puruzArTasidDaye
sp006-000090_GB_02	tadvat PalABisanDyahaNkArABAvasya tulyatvAt viduzaH
sp006-000091_GB_02	yaTA ca svargAdikAmArTinaH agnihotrAdikAmasADananuzWAnAya AhitAgneH kAmye eva agnihotrAdO pravfttasya
sp006-000092_GB_02	sAmi kfte vinazwe api kAme tadeva agnihotrAdyanutizWataH api na tatkAmyam agnihotrAdi Bavati
sp006-000093_GB_02	taTA ca darSayati BagavAn
sp006-000094_GB_02	iti tatra tatra
sp006-000095_GB_02	iti tattu praviBajya vijYeyam
sp006-000096_GB_02	tatkaTam
sp006-000097_GB_02	yadi tAvat pUrve janakAdayaH tattvavidaH api pravfttakarmARaH syuH
sp006-000098_GB_02	te lokasaNgrahArTam
sp006-000099_GB_02	iti jYAnenEva saMsidDim AsTitAH
sp006-000100_GB_02	karmasannyAse prApteऽpi karmaRA saha eva saMsidDim AsTitA
sp006-000101_GB_02	na karmasannyAsam kftavanta yezaH arTaH
sp006-000102_GB_02	aTa na te tattvavidaH
sp006-000103_GB_02	ISvarasamarpitena karmaRA sADanaBUtena saMsidDim sattvaSudDim jYAnotpattilakzaRAm vA saMsidDim AsTitA janakAdaya iti vyAKyeyam
sp006-000104_GB_02	etameva arTam vakzyati BagavAn
sp006-000105_GB_02	iti uktvA sidDim prAptasya ca punaH jYAnanizWAm vakzyati
sp006-000106_GB_02	tasmAdgItAsu kevalAdeva tattvajYAnAt mokzaprAptiH na karmasamuccitAt
sp006-000107_GB_02	iti niScitaH arTaH
sp006-000108_GB_02	yaTA cAyamarTaH taTA prakaraRaSo viBajya tatra tatra darSayizyAmaH
sp006-000109_GB_02	tatra evam DarmasammUQacetaso mahati SokasAgare nimagnasya arjunasya
sp006-000110_GB_02	anyatra AtmajYAnAt udDaraRam apaSyan BagavAnvAsudevaH tataH arjunam uddiDArayizuH AtmajYAnAyAvatArayan Aha
sp006-000111_GB_02	na SocyA aSocyAH BIzmadroRAdayaH
sp006-000112_GB_02	sadvfttatvAt paramArTarUpeRa ca nityatvAt tAn
sp006-000113_GB_02	anuSocitavAnasi te mriyante mannimittam aham tEH vinABUtaH kim karizyAmi rAjyasuKAdinA iti
sp006-000114_GB_02	tvam prajYAvAdAn prajYAvatAm budDimatAm vAdAMSca vacanAni ca BAzase
sp006-000115_GB_02	tadetat mOQyam pARqityam ca virudDam Atmani darSayasi unmatta iva iti aBiprAyaH
sp006-000116_GB_02	yasmAt gatAsUn gataprARAn mftAn agatAsUn agataprARAn jIvataH ca na anuSocanti paRqitAH AtmajYAH
sp006-000117_GB_02	paRqA AtmavizayA budDiH yezAm te hi paRqitAH
sp006-000118_GB_02	pARqityam nirvidya
sp006-000119_GB_02	bfhadAraRyake tri paYca ekam iti SruteH
sp006-000120_GB_02	paramArTatastu nityAn aSocyAn anuSocasi ato mUQaH asi iti aBiprAyaH
sp006-000121_GB_02	kutaste aSocyAH yato nityAH kaTam
sp006-000122_GB_02	na tu eva jAtu kadAcit aham nAsam kim tu Asameva
sp006-000123_GB_02	atItezu dehotpattivinASezu nityameva aham Asam iti aBiprAyaH
sp006-000124_GB_02	taTA na tvam na AsIH kim tu AsIH eva
sp006-000125_GB_02	trizvapi kAlezu nityA AtmasvarUpeRa iti arTaH
sp006-000126_GB_02	dehaBedAnuvfttyA bahuvacanam na AtmaBedABiprAyeRa
sp006-000127_GB_02	tatra kaTamiva nitya AtmA iti dfzwAntamAha
sp006-000128_GB_02	dehaH asya astIti dehI tasya dehino dehavadAtmanaH asmin vartamAne dehe yaTA yena prakAreRa kOmAram kumAraBAvo bAlyAvasTA
sp006-000129_GB_02	yOvanam yUno BAvo maDyamAvasTA jarA vayohAniH jIrRAvasTA iti etAH tisraH avasTAH anyonyavilakzaRAH
sp006-000130_GB_02	tAsAm praTamAvasTAnASe na nASo
sp006-000131_GB_02	kim tarhi
sp006-000132_GB_02	avikriyasya eva dvitIyatftIyAvasTAprAptiH Atmano dfzwA
sp006-000133_GB_02	taTA tadvadeva dehAt anyo dehAntaram tasya prAptiH dehAntaraprAptiH avikriyasya eva Atmana ityarTaH
sp006-000134_GB_02	DIro DImAn tatra evam sati na muhyati na moham Apadyate
sp006-000135_GB_02	yadyapi AtmavinASanimitto moho na samBavati nitya AtmA iti vijYAnataH
sp006-000136_GB_02	taTApi SItozRasuKaduHKaprAptinimitto moho lOkiko dfSyate
sp006-000137_GB_02	suKaviyoganimitto duHKasaMyoganimittaSca Soka iti etat arjunasya vacanamASaNkya Aha
sp006-000138_GB_02	mAtrA ABiH mIyante SabdAdaya iti SrotrAdIni indriyARi
sp006-000139_GB_02	mAtrARAm sparSAH SabdAdiBiH saMyogAH te
sp006-000140_GB_02	SItozRasuKaduHKadAH SItam uzRam suKam duHKam ca prayacCanti iti
sp006-000141_GB_02	aTavA spfSyante iti sparSA vizayAH SabdAdayaH
sp006-000142_GB_02	mAtrASca sparSASca SItozRasuKaduHKadAH
sp006-000143_GB_02	SItam kadAcit suKam kadAcit duHKam taTA uzRamapi anityarUpam
sp006-000144_GB_02	suKaduHKe punaH niyatarUpe yato na vyaBicarataH
sp006-000145_GB_02	ataH tAByAm pfTak SItozRayoH grahaRam
sp006-000146_GB_02	yasmAt te mAtrAsparSAdaya AgamApAyina AgamApAyaSIlAH tasmAt anityA
sp006-000147_GB_02	ataH tAn SItozRAdIn titikzasva prasahasva
sp006-000148_GB_02	tezu harzam vizAdam ca mA kArzIH ityarTaH
sp006-000149_GB_02	SItozRAdIn sahataH kim syAditi SfRu
sp006-000150_GB_02	yam hi puruzam samaduHKasuKam same duHKasuKe yasya tam samaduHKasuKam suKaduHKaprAptO harzavizAdarahitam DIram DImantam
sp006-000151_GB_02	na vyaTayanti na cAlayanti nityAtmadarSanAt ete yaToktAH SItozRAdayaH
sp006-000152_GB_02	sa nityAtmadarSananizWo dvandvasahizRuH amftatvAya amftaBAvAya mokzAya kalpate samarTo Bavati
sp006-000153_GB_02	itaSca SokamohO akftvA SItozRAdisahanam yuktam yasmAt
sp006-000154_GB_02	nAsataH avidyamAnasya SItozRAdeH sakAraRasya na vidyate nAsti BAvo Bavanam astitA
sp006-000155_GB_02	na hi SItozRAdi sakAraRam pramAREH nirUpyamARam vastusamBavati
sp006-000156_GB_02	vikAro hi saH vikAraSca vyaBicarati
sp006-000157_GB_02	yaTA GawAdisaMsTAnam cakzuzA nirUpyamARam mfdvyatirekeRAnupalabDeH asat
sp006-000158_GB_02	taTA sarvo vikAraH kAraRavyatirekeRAnupalabDeH asan
sp006-000159_GB_02	janmapraDvaMsAByAm prAk UrDvam ca anupalabDeH
sp006-000160_GB_02	mfdAdikAraRasya tatkAraRasya ca tat kAraRavyatirekeRAnupalabDeH asattvam
sp006-000161_GB_02	tadasattve ca sarvABAvaprasaNga iti cet na sarvatra budDidvayopalabDeH sadbudDiH asadbudDiH iti
sp006-000162_GB_02	yadvizayA budDiH na vyaBicarati tat sat
sp006-000163_GB_02	yadvizayA budDi vyaBicarati tadasat
sp006-000164_GB_02	iti sadasadviBAge budDitantre sTite sarvatra dve budDI sarvEH upalaByete samAnADikaraRe
sp006-000165_GB_02	na nIlotpalavat san GawaH san pawaH san hastI ityevam sarvatra
sp006-000166_GB_02	tayoH budDyoH GawAdibudDiH vyaBicarati
sp006-000167_GB_02	taTA ca darSitam
sp006-000168_GB_02	na tu sadbudDiH
sp006-000169_GB_02	tasmAt GawAdibudDivizayaH asan vyaBicArAt
sp006-000170_GB_02	na tu sadbudDivizayaH avyaBicArAt
sp006-000171_GB_02	Gawe vinazwe GawabuddO vyaBicarantyAm sadbudDiH api vyaBicarati iti cet na pawAdO api sadbudDidarSanAt
sp006-000172_GB_02	viSezaRavizayA eva sA sadbudDiH
sp006-000173_GB_02	sadbudDivat GawabudDiH api GawAntare dfSyate iti cet na pawAdO adarSanAt
sp006-000174_GB_02	sadbudDirapi nazwe Gawe na dfSyate iti cet na
sp006-000175_GB_02	viSezyABAvAt sadbudDiH viSezaRavizayA satI viSezyABAve viSezaRa anupapattO kiMvizayA syAt
sp006-000176_GB_02	na tu punaH sadbudDeH vizayABAvAt
sp006-000177_GB_02	ekADikaraRatvam GawAdiviSezyABAve na yuktam iti cet na
sp006-000178_GB_02	idamudakam iti marIcyAdO anyatarABAve api sAmAnADikaraRyadarSanAt
sp006-000179_GB_02	tasmAddehAdeH dvandvasya ca sakAraRasya asato na vidyate BAva iti
sp006-000180_GB_02	taTA sataH ca AtmanaH aBAvaH avidyamAnatA na vidyate sarvatra avyaBicArAt iti avocAma
sp006-000181_GB_02	evam AtmAnAtmanoH sadasatoH uBayoH api dfzwa upalabDaH anto nirRayaH sat sadeva asat asadeva iti tu anayoH yaToktayoH tattvadarSiBiH
sp006-000182_GB_02	taditi sarvanAma sarvam ca brahma
sp006-000183_GB_02	tasya nAma taditi tadBAvaH tattvam brahmaRo yATAtmyam
sp006-000184_GB_02	taddrazwum SIlam yezAm te tattvadarSinaH tEH tattvadarSiBiH
sp006-000185_GB_02	tvamapi tattvadarSinAm dfzwim ASritya Sokam moham ca hitvA SItozRAdIni niyatAniyatarUpARi dvandvAni
sp006-000186_GB_02	vikAraH ayam asan eva marIcijalavat miTyAvaBAsate iti manasi niScitya titikzasva iti aBiprAyaH
sp006-000187_GB_02	kim punastad yat sadeva sarvadA eva asti iti ucyate
sp006-000188_GB_02	avinASi na vinazwum SIlam asya iti
sp006-000189_GB_02	tuSabdaH asato viSezaRArTaH
sp006-000190_GB_02	tadvidDi vijAnIhi
sp006-000191_GB_02	kim yena sarvam idam jagat tatam vyAptam sadAKyena brahmaRA sAkASam AkASena iva GawAdayaH
sp006-000192_GB_02	vinASam adarSanam aBAvam
sp006-000193_GB_02	avyayasya na vyeti upacayApacayO na yAti iti avyayam tasya avyayasya
sp006-000194_GB_02	na etat sadAKyam brahma svena rUpeRa vyeti vyaBicarati niravayavatvAt dehAdivat
sp006-000195_GB_02	na api AtmIyena AtmIyABAvAt
sp006-000196_GB_02	yaTA devadatto DanahAnyA vyeti na tu evam brahma vyeti
sp006-000197_GB_02	ataH avyayasya asya brahmaRo vinASam na kaScit kartum arhati
sp006-000198_GB_02	na kaScit AtmAnam vinASayitum Saknoti ISvaraH api
sp006-000199_GB_02	AtmA hi brahma svAtmani ca kriyAviroDAt
sp006-000200_GB_02	kim punastadasat yatsvAtmasattAm vyaBicarati iti ucyate
sp006-000201_GB_02	antavantaH anto vinASo vidyate yezAm te antavanto
sp006-000202_GB_02	yaTA mfgatfzRikAdO sadbudDiH anuvfttA pramARanirUpaRAnte vicCidyate sa tasyA antaH
sp006-000203_GB_02	taTA ime dehAH svapnamAyAdehAdivacca antavantaH
sp006-000204_GB_02	nityasya SarIriRaH SarIravataH anASinaH aprameyasya AtmanaH antavantaH iti uktA vivekiBiH ityarTaH
sp006-000205_GB_02	nityasya anASina iti na punaruktam
sp006-000206_GB_02	nityatvasya dviviDatvAt loke nASasya ca
sp006-000207_GB_02	yaTA deho BasmIBUtaH adarSanam gato nazwa ucyate
sp006-000208_GB_02	vidyamAnaH api anyaTA pariRato vyADyAdiyukto jAto nazwa ucyate
sp006-000209_GB_02	tatra anASino nityasya iti dviviDena api nASena asambanDaH asya ityarTaH
sp006-000210_GB_02	anyaTA pfTivyAdivat api nityatvam syAt AtmanaH
sp006-000211_GB_02	tat mA BUditi nityasya anASina iti Aha
sp006-000212_GB_02	aprameyasya na prameyasya pratyakzAdipramAREH aparicCedyasya ityarTaH
sp006-000213_GB_02	nanu Agamena AtmA paricCidyate pratyakzAdinA ca pUrvam
sp006-000214_GB_02	na AtmanaH svataHsidDatvAt
sp006-000215_GB_02	sidDe hi Atmani pramAtari pramitsoH pramARAnvezaRA Bavati
sp006-000216_GB_02	na hi pUrvam itTamaham iti AtmAnam apramAya paScAt prameyaparicCedAya pravartate
sp006-000217_GB_02	na hi AtmA nAma kasyacit aprasidDo Bavati
sp006-000218_GB_02	SAstram tu antyam pramARam atadDarmADyAropaRamAtranivartakatvena pramARatvam Atmani pratipadyate
sp006-000219_GB_02	na tu ajYAta arTajYApakatvena
sp006-000220_GB_02	taTA ca SrutiH
sp006-000221_GB_02	yasmAdevam nityaH avikriyaSca AtmA tasmAt yuDyasva yudDAt uparamam mA kArzIH ityarTaH
sp006-000222_GB_02	na hi atra yudDakartavyatA viDIyate yudDe pravftta eva hi asO SokamohapratibadDaH tUzRImAste
sp006-000223_GB_02	tasya kartavyapratibanDApanayanamAtram BagavatA kriyate
sp006-000224_GB_02	tasmAt yuDyasva iti anuvAdamAtram na viDiH
sp006-000225_GB_02	SokamohAdisaMsArakAraRanivfttyarTam gItASAstram na pravartakam iti etasya arTasya sAkziBUte fcO AnInAya BagavAn
sp006-000226_GB_02	yattu manyase
sp006-000227_GB_02	iti ezA budDiH mfzA eva te
sp006-000228_GB_02	ya enam prakftam dehinam vetti jAnAti hantAram hananakriyAyAH kartAram yaSca enam anyo manyate
sp006-000229_GB_02	tO uBO na vijAnIto na jYAtavantO avivekena AtmAnam
sp006-000230_GB_02	aham pratyaya vizayam
sp006-000231_GB_02	hantA aham hataH asmi aham iti dehahananena AtmAnam yO vijAnItaH tO AtmasvarUpAnaBijYO ityarTaH
sp006-000232_GB_02	yasmAt na ayam AtmA hanti na hananakriyAyAH kartA Bavati
sp006-000233_GB_02	na hanyate na ca karma Bavati ityarTaH avikriyatvAt
sp006-000234_GB_02	kaTam avikraya AtmA iti dvitIyo mantraH
sp006-000235_GB_02	na jAyate na utpadyate janilakzaRA vastuvikriyA na Atmano vidyate ityarTaH
sp006-000236_GB_02	vASabdaH cArTe
sp006-000237_GB_02	na mriyate ca iti antyA vinASalakzaRA vikriyA pratiziDyate
sp006-000238_GB_02	kadAcit SabdaH sarvavikriyApratizeDEH sambaDyate
sp006-000239_GB_02	na kadAcit jAyate na kadAcit mriyate iti evam
sp006-000240_GB_02	yasmAt ayam AtmA BUtvA BavanakriyAm anuBUya paScAt aBavitA aBAvam gantA na BUyaH punaH tasmAt na mriyate
sp006-000241_GB_02	yohi BUtvA na BavitA sa mriyate iti ucyate loke
sp006-000242_GB_02	vASabdAt naSabdAcca ayam AtmA aBUtvA BavitA vA dehavat na BUyaH
sp006-000243_GB_02	punaH tasmAt na jAyate
sp006-000244_GB_02	yo hi aBUtvA BavitA sa jAyate iti ucyate
sp006-000245_GB_02	nEvamAtmA ato na jAyate
sp006-000246_GB_02	yasmAt evam tasmAt ajaH yasmAt na mriyate tasmAt nityaSca
sp006-000247_GB_02	yadyapi AdyantayoH vikriyayoH pratizeDe sarvA vikriyAH pratizidDA Bavanti
sp006-000248_GB_02	taTApi maDyaBAvinInAm vikriyARAm svaSabdEH eva tadarTEH pratizeDaH kartavya iti anuktAnAmapi yOvanAdisamastavikriyARAm pratizeDo yaTA syAt iti Aha
sp006-000249_GB_02	SASvata ityAdinA
sp006-000250_GB_02	SASvata iti apakzayalakzaRA vikriyA pratiziDyate
sp006-000251_GB_02	SaSvadBavaH SASvataH
sp006-000252_GB_02	na apakzIyate svarUpeRa niravayavatvAt nirguRatvAt ca
sp006-000253_GB_02	na api guRakzayeRa apakzayaH
sp006-000254_GB_02	apakzayaviparItApi vfdDilakzaRA vikriyA pratiziDyate purARa iti
sp006-000255_GB_02	yo hi avayavAgamena upacIyate sa varDate aBinava iti ca ucyate
sp006-000256_GB_02	ayam tu AtmA niravayavatvAt purApi nava eva iti purARo na varDate ityarTaH
sp006-000257_GB_02	taTA na hanyate
sp006-000258_GB_02	hantiH atra vipariRAmArTo drazwavyaH apunaruktatAyE
sp006-000259_GB_02	na vipariRamyate ityarTaH
sp006-000260_GB_02	asmin mantre zaq BAvavikArA lOkikavastuvikriyA Atmani pratiziDyante
sp006-000261_GB_02	sarvaprakAravikriyArahitAtmA iti vAkyArTaH
sp006-000262_GB_02	yasmAdevam tasmAt uBO tO na vijAnIta iti pUrveRa mantreRa asya sambanDaH
sp006-000263_GB_02	iti anena mantreRa hananakriyAyAH kartA karma ca na Bavati iti pratijYAya
sp006-000264_GB_02	veda vijAnAti avinASinam antyaBAvavikArarahitam nityam vipariRAmarahitam yo veda iti sambanDaH
sp006-000265_GB_02	enam pUrveRa mantreRa uktalakzaRam ajam janmarahitam avyayam apakzayarahitam kaTam kena prakAreRa
sp006-000266_GB_02	saH vidvAn puruzaH aDikfto hanti hananakriyAm karoti kaTam vA GAtayati hantAram prayojayati
sp006-000267_GB_02	na kaTaYcit kaYcit hanti na kaTaYcit kaYcit GAtayati iti uBayatra Akzepa eva arTaH praSnArTAsamBavAt
sp006-000268_GB_02	hetvarTasya avikriyatvasya tulyatvAt viduzaH sarvakarmapratizeDa eva prakAraRArTaH aBipreto BagavataH
sp006-000269_GB_02	hantestu Akzepa udAharaRArTatvena
sp006-000270_GB_02	viduzaH kam karmAsamBave hetuviSezam paSyan karmARi Akzipati BagavAn
sp006-000271_GB_02	kaTam sa puruzaH
sp006-000272_GB_02	nanu ukta eva AtmanaH avikriyatvam sarvakarmAsamBavakAraRaviSezaH
sp006-000273_GB_02	satyamukto na tu sa kAraRaviSezaH anyatvAt viduzaH avikriyAt Atmana iti
sp006-000274_GB_02	na hi avikriyam sTARum viditavataH karma na samBavati iti cet na viduza AtmatvAt
sp006-000275_GB_02	na dehAdisaNGAtasya vidvattA
sp006-000276_GB_02	ataH pAriSezyAt asaMhatAtmA vidvAn avikriya iti tasya viduzaH karmAsamBavAt Akzepo yuktaH
sp006-000277_GB_02	yaTA budDyAdyAhftasya SabdAdyarTasya avikriya eva san budDivfttyavivekavijYAnena avidyayA upalabDA AtmA kalpyate
sp006-000278_GB_02	evameva AtmAnAtmavivekajYAnena budDivfttyA vidyayA asatyarUpayA eva paramArTataH avikriya eva AtmA vidvAn ucyate
sp006-000279_GB_02	viduzaH karmAsamBavavacanAt yAni karmARi SAstreRa viDIyante tAni aviduzo vihitAni iti Bagavato niScayaH avagamyate
sp006-000280_GB_02	nanu vidyApi aviduza eva viDIyate viditavidyasya pizwapezaRavat vidyAviDAnAnarTakyAt
sp006-000281_GB_02	tatra aviduzaH karmARi viDIyante na viduza iti viSezo na upapadyate na anuzWeyasya BAvABAvaviSezopapatteH
