sp004-000001_KS_11	aByarTyeti
sp004-000037_KS_11	yA BAgyavatIzu DuryA agragaRyA
sp004-000038_KS_11	Duro yaQQakO iti yat
sp004-000039_KS_11	etanmAtftvAditi BAvaH
sp004-000040_KS_11	ityevam praSnaBUtam vacaH SaSiKaRqamOlim haram Aha uktavatI
sp004-000041_KS_11	Aheti viBaktipratirUpakam avyayam
sp004-000042_KS_11	taTA coktam avyayAnAmanantatvAt gaRanAya na Sakyate
sp004-000043_KS_11	mahAkaviprayogezu yadi sidDAtparam ca tat iti
sp004-000044_KS_11	svargApageti
sp004-000045_KS_11	kiYca
sp004-000046_KS_11	asO svargApagA gaNgA
sp004-000047_KS_11	ayam analaH agniH
sp004-000048_KS_11	etAH zaw kfttikAH kalahAyamAnAH kalaham kurvARAH satyaH
sp004-000049_KS_11	SabdavErakalaha ityAdinA karotyarTe kyaN
sp004-000050_KS_11	ayam putro mama sambanDI iti gaNgAvAkyam
sp004-000051_KS_11	ayam tava na kintu mama ityagnivAkyam
sp004-000052_KS_11	itTam miTyA uBayoH yuvayoH maDye na kasyApi kintu asmAkamiti satyam iti kfttikAvAkyam
sp004-000053_KS_11	iti parasparam vElakzyam vElakzaRyam yaTA taTA kim kimarTam udAharanti vivadante
sp004-000054_KS_11	etezviti
sp004-000055_KS_11	he ISa etezu svargApagAdizu maDye kasya idam apatyam putraH
sp004-000056_KS_11	kimBUtam
sp004-000057_KS_11	aKilA yA trilokI tatra tilakAyamAnam tilakEva Acarat
sp004-000058_KS_11	kartuH kyaN salopaSca ityAcArArTe kyaN
sp004-000059_KS_11	tataH AtmanepaditvAt SAnac
sp004-000060_KS_11	aTa aTavA
sp004-000061_KS_11	sidDAH devaviSezAH
sp004-000062_KS_11	uragAH sarpAH
sp004-000063_KS_11	rAkzasAH niSAcarAH
sp004-000064_KS_11	devadEtyaganDarvasahitAH ye sidDa uragarAkzasAH tezu maDye anyatamasya kasyApIti vada ityarTaH
sp004-000065_KS_11	SrutvetIti
sp004-000066_KS_11	candracUqo haraH kOtUhalinyAH SravaRe kOtukavatyAH hfdayapriyAyAH pArvatyAH iti pUrvoktam vAkyam vacaH
sp004-000067_KS_11	vaca pariBAzaRe fhalorRyat iti Ryat
sp004-000068_KS_11	SrutvA vimalA smitaSrIH yasya
sp004-000069_KS_11	kiYcidvihasyetyarTaH
sp004-000070_KS_11	sAndraH saGanaH bahuH iti yAvat
sp004-000071_KS_11	yaH pramodo harzaH
sp004-000072_KS_11	pramodAmodasammudAH ityamaraH
sp004-000073_KS_11	tasya udayaH utpattiH tena yatsOKyam tasya hetuBUtam
sp004-000074_KS_11	tajjanakam ityarTaH
sp004-000075_KS_11	vacaH vacanam avocata uktavAn
sp004-000076_KS_11	jagattrayIti
sp004-000077_KS_11	he priye jagattrayyAH nandanaH AnandakArakaH
sp004-000078_KS_11	nandyAditvAt nandigrahi iti lyuH
sp004-000079_KS_11	vIraH parAkramI eza purovartI SiSuH pravIramAtuH prakfzwavIrajananyAH tava nandanaH putraH asti
sp004-000080_KS_11	mamEvAyam nandanaH ityatra kim mAnam ityASaNkya Aha
sp004-000081_KS_11	he kalyARi surARAm indrAdInAm kalyARakaraH
sp004-000082_KS_11	SarmakArI eza purovartI sargaH sfzwiH
sp004-000083_KS_11	putra iti yAvat
sp004-000084_KS_11	tvattaH aparasyAH tvadanyasyAH striyAH kaTam kena prakAreRa syAt
sp004-000085_KS_11	tArakavinASajanitakalyARakaratve tvajjanitasyEva SaktiH
sp004-000086_KS_11	ataH tavEvAyam putra iti BAvaH
sp004-000087_KS_11	devI iti
sp004-000088_KS_11	he devi priye jagatAm maNgalAni maNgalakarmARi gAnAni gItAni
sp004-000089_KS_11	maNgalaprabanDarUpARIti yAvat
sp004-000090_KS_11	tezAm hetoH kAraRasya asya SiSoH sarge sfzwO
sp004-000091_KS_11	utpattAviti yAvat
sp004-000092_KS_11	tvameva nidAnam AdikAraRam Asse upaviSasi
sp004-000093_KS_11	asItyarTaH
sp004-000094_KS_11	nidAnam tvAdikAraRam ityamaraH
sp004-000095_KS_11	Asa upaveSane lawaH maDyamapuruzEkavacanam
sp004-000096_KS_11	nanu ahameva kAraRam ityatra kim mAnam iti dfzwAntena darSayati
sp004-000097_KS_11	tvameveti satyam
sp004-000098_KS_11	vicArayasva
sp004-000099_KS_11	kimiti tat
sp004-000100_KS_11	ratnam ratnAkare samudra eva
sp004-000101_KS_11	aTa ca ratnaKanAveva yujyate yuktam Bavati
sp004-000102_KS_11	KaniH striyAm AkaraH syAt iti
sp004-000103_KS_11	ratnAkaro jalaniDiH iti ca amaraH
sp004-000104_KS_11	ata iti
sp004-000105_KS_11	garBatvamiti
sp004-000106_KS_11	he priye ataH kAraRAt
sp004-000107_KS_11	avahitena avaDAnena
sp004-000108_KS_11	sAvaDAnatayeti yAvat
sp004-000109_KS_11	BAve nizWA
sp004-000110_KS_11	vfttam vfttAntam SfRuzva SfRu
sp004-000111_KS_11	taTAhi
sp004-000112_KS_11	mayA yadbIjam vIryam agnO nihitam sTApitam tadbIjam tridaSApagAyAm gaNgAyAm antaH maDye saNkrAntam lagnam
sp004-000113_KS_11	avagAhe snAne sati tato gaNgAtaH kfttikAsu ca saNkrAntam sat garBatvam Aptam garBIBUtam
sp004-000114_KS_11	aTa ca tABiH kfttikABiH amoGam tadetacCarastambamaDi aDiSarastambam
sp004-000115_KS_11	aDeH vyatyayaH prAmAdika eva
sp004-000116_KS_11	nyaDAyi nihitam
sp004-000117_KS_11	DAYaH karmaRi luN
sp004-000118_KS_11	tatra Sarastambe aSezacarAcarasya samastasTAvarajaNgamasya jagataH aBUtapUrvaH pUrvam BUto BUtapUrvaH
sp004-000119_KS_11	tAdfN na BavatIti aBUtapUrvaH mahotsavaH mahAn utsavaH ayam SiSuH baBUva
sp004-000120_KS_11	janyajanakayoH aBedavivakzayA AyurGftam itivat mahotsavoऽyam iti prayogaH
sp004-000121_KS_11	aSezeti
sp004-000122_KS_11	he priye aSezaviSvasya samastajagataH priyam prItikArakam
sp004-000123_KS_11	igupaDajYa ityAdinA kaH
sp004-000124_KS_11	taTABUtam darSanam yasya taToktena etena
sp004-000125_KS_11	atra anvAdeSe etacCabdasya nityam enAdeSaniyamAt kaTam enABAvaH sADuH
sp004-000126_KS_11	satyam
sp004-000127_KS_11	atra anvAdeSa eva nAsti
sp004-000128_KS_11	tatra kiYYcidviDAnodyuktyA ASrayIBUtasya punarupAdAnASrayIBUtasya ca BedABAvavattvena vivakzitatvAt
sp004-000129_KS_11	prakfte tu tadanyaTAtvAt anvAdeSABAvena enAdeSABAvasidDiH ityalam
sp004-000130_KS_11	tvam suputriRInAm SoBanaputravatInAm DuryA agragaRyA
sp004-000131_KS_11	SrezWatamA iti yAvat
sp004-000132_KS_11	asIti SezaH
sp004-000133_KS_11	he acalarAjaputri vilambya vilambam kftvA alam
sp004-000134_KS_11	vilambo na kartavya ityarTaH
sp004-000135_KS_11	kintu svaputram AtmatanUjam utsaNgatale aNkatale niDehi sTApaya
sp004-000136_KS_11	aTeti
sp004-000137_KS_11	kirIweti
sp004-000138_KS_11	aTa amftAMSuH candraH mOlO yasya taTABUte hare iti pUrvoktaprakAreRa
sp004-000139_KS_11	vAdini BAzamARe sati
sp004-000140_KS_11	samastasya sakalasya carAcarasya jagataH DAtrI paripozikA
sp004-000141_KS_11	fnneByaH iti NIp
sp004-000142_KS_11	taTA sAndraH saGano yaH pramodaH AnandaH tena sutarAm pInam praPullatvAt
sp004-000143_KS_11	puzwam gAtram yasyAH taTABUtA SElendrasya himAlayasya putrI kanyA pArvatI naBaHsTEH
sp004-000144_KS_11	tatkAle AkASam ASrayadBiH ityarTaH
sp004-000145_KS_11	taTA satvarESca nAkilokEH indrAdilokEH kirIwezu badDAH aYjalayaH
sp004-000146_KS_11	yEstaTABUtEH sadBiH namaskftA vanditA satI sadyaH raBasena vegena vimAnataH vimAnAt
sp004-000147_KS_11	paYcamyAstasil
sp004-000148_KS_11	avAtarat uttatAra
sp004-000149_KS_11	aTa ca tam Atmajam kumAram grahItum utkaRWitamAnasA ca aBUt
sp004-000150_KS_11	ahamenam gfhRAmIti manasi EcCat ityarTaH
sp004-000151_KS_11	svargeti
sp004-000152_KS_11	putrotsave utsukA utkaRWitA pArvatI
sp004-000153_KS_11	svargApagA gaNgA tayA sahitA yAH pAvakakfttikAH tAH AdayaH yezAm tAn
sp004-000154_KS_11	atra AdiSabdena indrAdayo grAhyAH
sp004-000155_KS_11	svargApagA ca pAvakaSca kfttikASceti dvandvasamAse
sp004-000156_KS_11	alpActaratvAt pAvakaSabdasya pUrvanipAtaH prasajyeta iti pUrvarItiH AdftA
sp004-000157_KS_11	tAn kftAYjalIn ata eva BUyaH atiSayam AnamataH namaskurvataH
sp004-000158_KS_11	api hitvA parityajya tam sutam AsasAda prApa
sp004-000159_KS_11	taTAhi
sp004-000160_KS_11	harzAt AnandavaSAt kA na mAdyati unmattA na Bavati
sp004-000161_KS_11	putrotsavena sarvAsAm unmattatvam BavatIti BAvaH
sp004-000162_KS_11	pramodeti
sp004-000163_KS_11	sA pArvatI
sp004-000164_KS_11	agrataH sTitamapi tam putram kzaRam na dadarSa
sp004-000165_KS_11	yataH pramodabAzpEH AnandASruBiH Akule vyAptatvAt darSanASakte locane yasyAH
sp004-000166_KS_11	AnandASruBiH anDIBUtetyarTaH
sp004-000167_KS_11	aTa ca kara eva kuqmalam kalikA tena parispfSantI satI kimapi lokottaram apUrvam
sp004-000168_KS_11	aBUtapUrvamityarTaH
sp004-000169_KS_11	SAkapArTivAdInAm uttarapadalopaH
sp004-000170_KS_11	suKAntaram
sp004-000171_KS_11	anyat suKam ityarTaH
sp004-000172_KS_11	antaraSabdaH atra upamAnABAvadyotakaH
sp004-000173_KS_11	prApa prAptavatI
sp004-000174_KS_11	suvismayeti
sp004-000175_KS_11	SiSuH kartA
sp004-000176_KS_11	sutarAm yO vismayAnandO AScaryaharzO tAByAm vikasvarAyAH
sp004-000177_KS_11	praPullIBUtAyAH taTA galadbAzpEH taraNgitAyAH saYjAtataraNgAyAH
sp004-000178_KS_11	tArakAditvAt itac
sp004-000179_KS_11	vapuzi galadBiH bAzpajalEH udBUtapravAhakallolakalitAyAH ityarTaH
sp004-000180_KS_11	taTA vivfdDam yadvAtsalyam dayAvattvam
sp004-000181_KS_11	putratvAt iti BAvaH
sp004-000182_KS_11	tatra yo rasaH prItiH sa uttaraH praDAnam yasyAH
sp004-000183_KS_11	taTABUtAyAH devyAH pArvatyAH sambanDinoH dfSoH vilocanayoH gocaratAm vizayatAm jagAma prApa
sp004-000184_KS_11	bAzpanirmuktAByAm locanAByAm devI tam apaSyat ityarTaH
sp004-000185_KS_11	tamiti
sp004-000186_KS_11	tam bAlam kzaRam IkzamARA avalokamAnA sA devI vinimezam nirgatanimezam
sp004-000187_KS_11	IkzaRAnAm netrARAm sahasram Aptum mama sahasram netrARi Bavantu ityEcCat iyeza
sp004-000188_KS_11	dvAByAm vilocanAByAm AkaRWadarSanajananABAvAt iti BAvaH
sp004-000189_KS_11	taTAhi
sp004-000190_KS_11	nandanasya AlokanAnyeva maNgalAni tezu vizaye kzaRam kzaRam pratikzaRam ityarTaH
sp004-000191_KS_11	nityavIpsayoH iti vIpsAyAm dvirBAvaH
sp004-000192_KS_11	kasya cetaH tfpyati tfptim prApnoti
sp004-000193_KS_11	api tu na kasyApItyarTaH
sp004-000194_KS_11	vinamreti
sp004-000195_KS_11	gOrI pArvatI
sp004-000196_KS_11	zidgOrAdiByaSca iti NIz
sp004-000197_KS_11	navodayam nUtanodBavam
sp004-000198_KS_11	tatkAlajAtam ityarTaH
sp004-000199_KS_11	ata eva pArvaRaH parvaRi BavaH
sp004-000200_KS_11	tatra BavaH ityaR
sp004-000201_KS_11	sa cAsO candraSca tadvat cAru manoharam
sp004-000202_KS_11	candroऽpi navodaya iti jYeyam
sp004-000203_KS_11	taTABUtam tam tanUjam putram karmaBUtam ityarTaH
sp004-000204_KS_11	AdAnanayane uBe api prati asyakarmatvam vivecanIyam
sp004-000205_KS_11	vinamrAH pAdapraRatAH ye devAsurAH tezAm pfzWezu gacCataH saYcarataH tAByAm
sp004-000206_KS_11	anena teByaH aBayadAnamudrA kftA iti vyajyate
sp004-000207_KS_11	pARisaruhAByAm karakamalAByAm AdAya gfhItvA
sp004-000208_KS_11	svam AtmIyam utsaNgatalam ninAya prApayAmAsa
sp004-000209_KS_11	hastAByAm utTApya svANke AropitavatI ityarTaH
sp004-000210_KS_11	svamiti
sp004-000211_KS_11	induvaktrA candramuKI yezA pArvatI
sp004-000212_KS_11	ekam advitIyam jagadekavIram jagatsu ekavIram tam AtmanaH nandanam
sp004-000213_KS_11	putram suDAniDAnam amftapAtramiva svam AtmIyam aNkam Aropya saMsTApya
sp004-000214_KS_11	putriRInAm putravatInAm Duri agraBAge pUjyA pUjayitum yogyA baBUva
sp004-000215_KS_11	etatputrasya sarvAsAmapi putreByaH aDikatvAt agrapUjyatvam ucitameveti BAvaH
sp004-000216_KS_11	nisargeti
sp004-000217_KS_11	nisargeRa svaBAvena
sp004-000218_KS_11	na tu upADinA ityarTaH
sp004-000219_KS_11	yo vAtsalyaraso dayAvattvarasaH tasya oGena siktA plAvitA
sp004-000220_KS_11	tatra ativAtsalyavatItyarTaH
sp004-000221_KS_11	taTA sAndrapramodaH atiSayaharzaH
sp004-000222_KS_11	sa eva amftam pIyUzam tasya pUreRa pravAheRa pUrRA BftA jagatAm ekA advitIyA
sp004-000223_KS_11	mAtA paripozikA devI utsaNginam aDiSritotsaNgam tam ekaputram aBisammuKam prasraviRI dugDasrAvavatI baBUva
sp004-000224_KS_11	putram dfzwvA mAtuH stanAByAm payaH patatIti yuktam iti BAvaH
sp004-000225_KS_11	aSezeti
sp004-000226_KS_11	zARmAturaH zaRRAm mAtFRAm apatyam zARmAturaH kArttikeyaH
sp004-000227_KS_11	atra zaRmAtfSabdAt mAturutsaNKyAsamBadrapUrvAyAH ityAdinA aR mAtfSbdasya udAdeSaSca
sp004-000228_KS_11	zARmAturaH SaktiDaraH kumAraH krOYcadAraRaH ityamaraH
sp004-000229_KS_11	surasravantyAH devanadyAH
sp004-000230_KS_11	gaNgAyAH ityarTaH
sp004-000231_KS_11	sravantI nimnagApagA ityamaraH
sp004-000232_KS_11	taTA kfttikABiSca saspfham secCam yaTA taTA
sp004-000233_KS_11	icCA kANkzA spfhehA tfw ityamaraH
sp004-000234_KS_11	asmadIyapayoDarasravat amftapAtA ayam idAnIm etadIyastanapayaH piban punarapi asmadIyapayoDarapayoऽpi smaret evamBUta icCAsahitam ityarTaH
sp004-000235_KS_11	muhurmuhuH anuvelam IkzyamARaH avalokyamAnaH san aSezam sakalam yallokatrayam
sp004-000236_KS_11	tasya mAtuH poziRyAH asyAH devyAH stanyA stane BavA SarIrAvayavAt yat iti yat
sp004-000237_KS_11	sA cAsO suDA ca tAm aDAsItpapO
sp004-000238_KS_11	Dew pAne kartari luN
sp004-000239_KS_11	viBAzA GrADeq iti sijlugna
sp004-000240_KS_11	suKeti
sp004-000241_KS_11	mfgANkamOleH harasya kalatram BAryA
sp004-000242_KS_11	kalatram SroRiBAryayoH ityamaraH
sp004-000243_KS_11	ekanAle ekakARqe udgatAni uditAni yAni paYcapadmAni tezAm lakzmIriva SoBeva lakzmIH SoBA
sp004-000244_KS_11	yasyAH taTABUtAm tasya kumArasya zaRRAm vadanAnAm samAhAram zaqvadanIm
sp004-000245_KS_11	dvigoH iti NIp
sp004-000246_KS_11	iha saNKyAsAdfSyamantarA na viroDaH
sp004-000247_KS_11	suKASrupUrRena AnandASrujalaparipUritena ekena muKAmbujena vadanakamalena kramAt yaTAkramam cucumba spfzwavatI
sp004-000248_KS_11	atiSayapremavaSAt iti BAvaH
sp004-000249_KS_11	hEmIti
sp004-000250_KS_11	tam nandanam tanayam AdaDAnA sA pArvatI
sp004-000251_KS_11	Palam daDAnA hemagireH sumeroH sambanDinI
sp004-000252_KS_11	tadutpannetyarTaH
sp004-000253_KS_11	hEmI hemavikArA
sp004-000254_KS_11	vikArArTake aRi wiQQARaY iti NIp
sp004-000255_KS_11	lateva
sp004-000256_KS_11	vikasvaram praPullam padmam kamalam daDAnA nAkanadIva gaNgeva
sp004-000257_KS_11	nUtanam navodayam indum daDAnA pUrvA pUrvasaYjYikA digiva
sp004-000258_KS_11	ABAt SuSuBe
sp004-000259_KS_11	atra mAlopamAlaNkAraH
sp004-000260_KS_11	prIteti
sp004-000261_KS_11	kumAram putram utsaNgatale daDAnA biBratI sA devI
sp004-000262_KS_11	prItAtmanA prasannIBUtamanasA prayatena sAvaDAnena
sp004-000263_KS_11	na tu samBramitena
sp004-000264_KS_11	nayavartmagAH praBavatAm hi DiyaH iti nyAyAt iti BAvaH
sp004-000265_KS_11	taTABUtena SaSiSeKareRa Sivena dattahastAvalambA satI
sp004-000266_KS_11	atyatipremaBarAt iti BAvaH
sp004-000267_KS_11	aBraMliham AkASaspfk
sp004-000268_KS_11	vahABre lihaH iti KaS
sp004-000269_KS_11	vimAnam Aruroha AruQA
sp004-000270_KS_11	maheSvara iti
sp004-000271_KS_11	pramadena Anandena praruQA romodgamA yasya taTABUtaH maheSvaroऽpi
sp004-000272_KS_11	Atmaje putre vatsalatvAt dayAvattvAdDetoH BUDaranandanAyAH
sp004-000273_KS_11	pArvatyAH aNkAt utsaNgataH tam putram upAdatta agrahIt
sp004-000274_KS_11	aTa ca tadaNkataH harotsaNgAt sA devI upAdatta
sp004-000275_KS_11	aTa ca soऽpi haroऽpi tasyAH devyAH aNkAt upAdatta
sp004-000276_KS_11	ityanuvelam anyonyagrahaRam cakratuH ityarTaH
sp004-000277_KS_11	daDAnayA iti
sp004-000278_KS_11	SaSiKaRqaDArI maheSvaraH
sp004-000279_KS_11	suDAyAH amftasya ekam kevalam satram sadAdAnam
sp004-000280_KS_11	satramAcCAdane yajYe sadAdAne Daneऽpi ca ityamaraH
sp004-000281_KS_11	netrayoH sambanDi suDEkasatram yena netrayoH amftavat suKadAtAram ityarTaH
sp004-000282_KS_11	taTA pavitram pUtam
sp004-000283_KS_11	puvaH saYjYAyAm iti itrapratyayaH
sp004-000284_KS_11	taTABUtam putram sutam daDAnayA biBratyA tayA adreH himAlayasya sutayA kanyayA pArvatyA kartryA
sp004-000285_KS_11	saMSlizyamARaH snehavaSAt AliNgyamAnaH san vimAnasya vegena gfhAn jagAma prayayO
sp004-000286_KS_11	gfhAH puMsi ca BUmnyeva ityamaraH
sp004-000287_KS_11	aDizWita iti
sp004-000288_KS_11	aTa anantaram SamBuH maheSvaraH tuNge unnate sPawikamayaH sPAwikaH yaH SElaH kElAsaH tasya SrfNge SiKare
sp004-000289_KS_11	SrfNgam prADAnyasAnvoSca ityamaraH
sp004-000290_KS_11	nikAmaramy atimanoharam nijam svIyam
sp004-000291_KS_11	svake nitye nijam trizu ityamaraH
sp004-000292_KS_11	aDizWitaH san
sp004-000293_KS_11	aDiSIN sTAsAm karma ityAdinA ADArasya karmasaYjYA
sp004-000294_KS_11	mahotsavAya mahotsavam kartum tumarTAcca BAva vacanAt iti caturTI
sp004-000295_KS_11	pfTUn mahataH pramaTapramuKyAn pramaTAdIn gaRAn AdideSa AjYApayAmAsa
sp004-000296_KS_11	pfTviti
sp004-000297_KS_11	aTa anantaram pfTuH mahAn pramodaH harzo yasya
sp004-000298_KS_11	taTA prakfzwAH guRAH yasya evaMviDaH samagraH sampUrRaH
sp004-000299_KS_11	gaRAnAm gaRaH pramaTAdInAm samUhaH vfzavAhanasya maheSvarasya girIndraputryAH pArvatyASca
sp004-000300_KS_11	tanayasya janmani utsavam viDAtum kartum saMvavfte saMvfttaH
sp004-000301_KS_11	udyukta iti yAvat
sp004-000302_KS_11	sPuraditi
sp004-000303_KS_11	gaRAH pramaTAH sPawikAlayezu sPawikagfhezu sPurantyaH BAsamAnAH yAH marIcayaH
sp004-000304_KS_11	kiraRAH tABiH Curitam miSrIkftam ambaram yEH tAni
sp004-000305_KS_11	santAnaSAKinAm devavfkzARAm prasavAni pattrARi tEH aYcitAni nirmitAni varARi SrezWAni
sp004-000306_KS_11	kAYcanam kAYcanasya vikAraH kAYcanam
sp004-000307_KS_11	svarRasUtram tadADeyIBUtAni toraRAni mAlAviSezan uccikzipuH uccEH cikzipuH
sp004-000308_KS_11	babanDurityarTaH
sp004-000309_KS_11	dikzviti
sp004-000310_KS_11	aTa toraRotkzepAnantaram
sp004-000311_KS_11	dikzu daSasu diSAsu prasarpan prasidDo Bavan
sp004-000312_KS_11	AtmaninAdeneti SezaH
sp004-000313_KS_11	gamyamAnArTatvAt aprayogaH
sp004-000314_KS_11	tAsAm diSAm aDISvarARAm dikpAlAnAm amarARAm devAnAm indrAdInAm sambanDI pawIyAn samarTaH
sp004-000315_KS_11	GoraninAda iti SezaH
sp004-000316_KS_11	DIraH gamBIraH pawahaH anyEH BftyaBUtEH amarEH AhataH
sp004-000317_KS_11	tAqitaH san maDyaScAsO lokaSca maDyalokaH
sp004-000318_KS_11	BUloka ityarTaH
sp004-000319_KS_11	tasmin mahotsavam
sp004-000320_KS_11	atrApi BavatputrajanmanA asmAkam mahAn utsavo jAta iti SaMsitumiva kaTayitumiva
sp004-000321_KS_11	daDvAna Dvanim cakAra
sp004-000322_KS_11	DvanikaraRe mahotsavajYApanasya PalatvABAveऽpi PalatvakalpanAt PalotprekzA
sp004-000323_KS_11	maheti
sp004-000324_KS_11	tatra mahotsave samAgatAnAm prAptAnAm ata eva gfhe girirAjaputryA BavAnyA samBAvitAnAm pUjitAnAm
sp004-000325_KS_11	satkftAnAm ityarTaH
sp004-000326_KS_11	ganDarvAH vidyADarASca devaviSezAH tezAm sundarIRAm strIRAm strIkartfkARi
sp004-000327_KS_11	maNgalagItakAni maNgalaprayojanagItAni aBavan jAtAni ityarTaH
sp004-000328_KS_11	sumaNgaleti
sp004-000329_KS_11	sumaNgalAni yAni upAyanAni upadAsAmagryaH tezAm pAtram tatsahitAH hastAH
sp004-000330_KS_11	yAsAm evamBUtAH satyaH aByupetAH prAptAH mAtaraH brAhmyAdyAH
sp004-000331_KS_11	sapteti SezaH
sp004-000332_KS_11	brAhmI mAheSvarI cEva kOmArI vEzRavI taTA
sp004-000333_KS_11	vArAhI ca taTendrARI cAmuRqA sapta mAtaraH ityamaraH
sp004-000334_KS_11	mUrDni Sirasi dUrvAkzatakAni niDAya saMsTApya tam girijAtanUjam kumAram
sp004-000335_KS_11	mAtfvat pArvatIvat tattulyam yaTA taTA svam svIyam aNkam ninyuH
sp004-000336_KS_11	svANke sTApayAmAsuH ityartaH
sp004-000337_KS_11	mAtfvat ityanena tAsAmapi atra mahatprema asti iti darSitam
sp004-000338_KS_11	Dvanatsviti
sp004-000339_KS_11	aNkyAliNgyorDvakezu etatsaYjYakezu tUryezu vAdyezu sutarAm mandram gamBIram yaTA taTA
sp004-000340_KS_11	kalo mandrastu gamBIre ityamaraH
sp004-000341_KS_11	Dvanatsu SabdAyamAnezu satsu
sp004-000342_KS_11	apsarasaH ramBAdikAH rasena snehena SoBanAH maDurAH sanDayaH svarasanDyAdayaH
sp004-000343_KS_11	yezu taTABUtAH banDAH gItaprabanDAH yatra yasminkarmaRi
sp004-000344_KS_11	suvfttAni SoBanacCandAMsi gItAnugAni yatra yasminkarmaRi
sp004-000345_KS_11	BAvAH ratyAdayaH rasAH SrfNgArAdayaH tEH anuvidDam vyAptam yatra
sp004-000346_KS_11	yasmin karmaRi yaTA taTA nanftuH gAtrARi vicikzipuH
sp004-000347_KS_11	vAtA iti
sp004-000348_KS_11	tatra utsave
sp004-000349_KS_11	vAtAH pavanAH sOKyakarAH vavuH celuH
sp004-000350_KS_11	ASAH diSaH praseduH nirmalA baBUvuH
sp004-000351_KS_11	hutaBuk agniH viDUmaH nirDUmaH san didIpe jvalati sma
sp004-000352_KS_11	dIpI dIptO iti liw
sp004-000353_KS_11	jalAni vimalAnyaBUvan
sp004-000354_KS_11	antarikzam vyoma sajjaH prasasAda svacCam aBUt
sp004-000355_KS_11	Bavo hi lokAByudayAya tAdfSAm
sp004-000356_KS_11	iti nyAyAt iti BAvaH
sp004-000357_KS_11	gamBIreti
sp004-000358_KS_11	gfhodBavAH maheSvaraniketanIyAH dunduBayaH gamBIraH mandraH yaH SaNKaDvaniH pAYcajanyaSabdaH
sp004-000359_KS_11	tena miSram yaTA syAt taTA uccEH praReduH upasargAdasamAseऽpi iti Ratvam
sp004-000360_KS_11	aTa ca divOkasAm devAnAm vimAnasaNGAH vyomni puzpapracayAn vimucya vikIrya prasasruH
sp004-000361_KS_11	pratasTire ityarTaH
sp004-000362_KS_11	itTamiti
sp004-000363_KS_11	maheSaH haraH
