sp014-000001_001	vayam idAnIm paScAttApapIqitAH smaH
sp014-000043_002	tadA eva SahAjeH patram gfhItvA timmAjiH AgatavAn
sp014-000044_002	tenApi nyAyaH prAptaH AsIt
sp014-000045_002	SahAjeH samIpam gatvA mohite SivarAjasya vizaye dozam AropitavAn
sp014-000046_002	SahAjiH SAntatayA sarvam SrutavAn
sp014-000047_002	mama putreRa dozaH kftaH iti ekavAram api na tena uktam
sp014-000048_002	tadanantarakAle SahAjinA karRAwakam prati gantavyam AsIt
sp014-000049_002	tAvatparyantam SivarAjaH badDaH AsIt
sp014-000050_002	tenAऽpi paryAptamAtreRa viSrAntiH prAptA AsIt
sp014-000051_002	navasAhasavicArAH tasya mastake saYcarantaH Asan
sp014-000052_003	mama icCA pUrRA na aBavat
sp014-000053_003	BavantaH vA etat kAryam sADayantu iti uktvA ihalokavyApAram samApitavAn
sp014-000054_003	mahammadasya anantaram tasya putraH aliH bijApurasya cakravartI aBavat
sp014-000055_003	tadA mogalacakravartinaH SahAjahAnasya putraH SahajAdA rAjakumAraH OraNgajebaH dakziRarAjyAnAm pratiniDiH AsIt
sp014-000056_003	atra SivarAjaH api nUtanAni durgARi jetum svasya nAyakAn dUre dUre prezitavAn
sp014-000057_003	bijApurAt yAni yAni durgARi pradeSAH nOkAsTAnAni ca jitAni Asan tezAm mAnyatAm prAptum
sp014-000058_003	tAni vaSIkftAni Asan bijApurAt mAnyatA dehalyAH
sp014-000059_003	SivarAjasya KaqgaH yaTA tIkzRaH taTA budDiH api tIkzRA
sp014-000060_003	saH Anandena eva mAnyatApatram dattavAn
sp014-000061_003	SivarAjaH mama premapAtramasti iti ASvAsanamapi dattavAn saH
sp014-000062_003	amUlyAm kAYcit vArtAm jYAtavAn
sp014-000063_003	sA vArtA AsIt OraNgajebasya aDInasya junnarapradeSasya sampatteH vizaye
sp014-000064_003	zoqaSaSata zawpaYcASattame varze bijApurasya mahammad AdilSAhasya mftyuH aBavat
sp014-000065_003	mogalapradeSasya diSi DAvitavAn
sp014-000066_003	tasya dehalInizWAyAH sammohanAstram samyak praBAvam ajanayat
sp014-000067_003	junnaranagarasya mogalarakzakaBawAH SivarAjasya dehalInizWA kAraRataH niScintAH santaH madyapAnAdikam kurvantaH mattAH Asan
sp014-000068_003	tasya sEnikAH sarve nagarasTam ESvaryam saNgrahItavantaH
sp014-000069_003	tatratyAn eva saptaSatADikAn aSvAn svIkftya tezAm upari sarvAm sampadam Aropya purandaradurgam prati DAvitavantaH
sp014-000070_003	anantaram kadAcit SivarAjaH ahamadnagarAya api darSanaBAgyam dattvA AgatavAn
sp014-000071_003	OraNgajebastu kuwilatAyAH mUrtasvarUpam
sp014-000072_003	pAtALayantrI saH
sp014-000073_003	tAdfSam SivarAjaH vaYcayitum SaktaH Kalu iti sarve api AScaryAnvitAH aBavan
sp014-000074_003	OraNgajebastu kroDena naKaSiKAntam jvalannAsIt
sp014-000075_003	mama apekzAm vinA Baktim nizWAm ca pradarSya DUpadIpAdikam samarpya ante SmaSruRaH kfte eva agnisparSam kAritavAn Kalu ayam iti tasya kopaH
sp014-000076_003	SivarAjasya sEnyam DUlisAt kurvantu iti sEnikAn AdizwavAn saH
sp014-000077_003	AjYApatrasya sajjIkaraRAt pUrvameva SivarAjasya DUrtaH dUtaH raGunATapanta koraqe OraNgajebasya purataH upasTitaH
sp014-000078_003	OraNgajebastu svasya stutim SrutvA kalpanAloke viharannAsIt
sp014-000079_003	saH paScAttApadagDasya SivarAjasya patram OraNgajebAya samarpitavAn
sp014-000080_003	patre SivarAjaH svena kftasya aparADasya vizaye bahuDA duHKam prakawitavAn AsIt
sp014-000081_003	kintu patre apahftasya Danasya pratyarpaRavizayaH kutrApi na AsIt
sp014-000082_003	AScaryam nAma OraNgajebaH api udArAntaHkaraRena SivarAjasya aparADam kzAntavAn
sp014-000083_003	BavataH paScAttApam dfzwvA aham Bavantam kzAntavAnasmi
sp014-000084_003	itaHparamapi BavAn asmAkam viSvAsapAtram Bavizyati iti BAvayAmaH vayam iti pratyuttaram prezitavAn saH
sp014-000085_003	AScaryam Kalu
sp014-000086_003	nAgasarpasadfSasya OraNgajebasya svaBAve OdAryasya taraNgaH kutaH udgataH
sp014-000087_003	OraNgajebasya pitA SahAjahAnaH dehalyAm asvasTaH asti iti vArtA AgatA AsIt
sp014-000088_003	OraNgajebastu pitfBakteH aparAvatAraH
sp014-000089_003	OraNgajebena tu pitrA saha sahodarAH api allAhasya darSanArTam prezaRIyAH Asan
sp014-000090_003	OraNgajebaH kzamAdAnam tu kftavAn
sp014-000091_003	SivarAjaH api kzamAyAH avasaram janmani kadApi na dattavAn tasmE
sp014-000092_003	itaHparantu tasya parAkramasya kzetrandakziRataH uttaram yAvat samagre hindusTAne vyAptam aBavat
sp014-000093_003	tadA SivarAjaH azwAviMSatimAtra varzIyaH AsIt
sp014-000094_004	sAgaraparAkramasya SuBAramBaH
sp014-000095_004	OraNgajebaH dehalIm prati prasTitavAn
sp014-000096_004	kintu gamanAt pUrvam SivarAjasya vizaye bijApuraSAsakam uddiSya jAgarUko Bava iti saMsUcya ekam patram prezitavAn saH
sp014-000097_004	bijApuraSAsakasya maraRAnantaram sultAnIyasampradAyAnusAram kalahAH raktapAtAH mAraRAni ca ArabDAni
sp014-000098_004	etAdfSIm suvarRasanDim SivarAjaH kim vyarTam gamayet
sp014-000099_004	pituH vimocanArTam pratidattasya koRqARAdurgasya upari tasya dfzwiH patitA
sp014-000100_004	tasya ekenEva sAhasaprahAreRa koRqARAdurgam aDInatAm gatam
sp014-000101_004	pUrvavat koRqARAdurgasya upari BagavadDvajena qayanam ArabDam
sp014-000102_004	anantaram kadAcit saH jaYjIrasya siddikfte Kaqgasya rucim darSitavAn
sp014-000103_004	mahArAjasya muKAt nAmaSravaRasamanantaram te sarve svIyena svIyena sEnikagaRena saha prasTitAH
sp014-000104_004	tezAm prahArEH viDarmIyARAm
sp014-000105_004	purandaradurgam kaLyARadurgam ca asminneva avasare hastagate jAte
sp014-000106_004	tat vinA svarAjyam Apadrahitam na tizWati iti tasya matam AsIt
sp014-000107_004	yataH tasmin samaye paScimasAgaratIre sarvatra SvetAH Agatya pAdaprasAraRam ArabDavantaH Asan
sp014-000108_004	sAgarasya vEriRAm nirmUlanam kftvA paScimatIram surakzitam sTApanIyam iti cintitavAn saH
sp014-000109_004	svatantrasya prabalasya nOkAbalasya AvaSyakatAm manasi niDAya saH acireRa eva tasya nirmARam ArabDavAn
sp014-000110_004	yaTA islAmasAmrAjyam sammuKIkftam taTEva krEstasAmrAjyamapi sammuKI karaRIyam iti saH niScitavAn
sp014-000111_004	vijayadurga suvarRadurga kaLyARadurgAdIni jaladurgARi tadA eva nirmitAni
sp014-000112_004	tadA eva jAvaLIpradeSasya mahattvayute sTAne pratApadurgasya nirmARam pUrRam aBavat
sp014-000113_004	tasya durgasya tulanA anyena durgeRa saha kartum na SakyA
sp014-000114_004	tatra svayamBUSivaliNgamekam prAptam
sp014-000115_004	nUtanadurgasya aDidevatArUpeRa svayam SaNkaraH eva upasTitaH AsIt
sp014-000116_004	kedAreSvaranAmnA viDipUrvakam tasya pratizWApanA kftA
sp014-000117_004	tezu eva dinezu SivarAjasya jIvanasaKaH iti praKyAtaH tasya amarakIrteH BAjanam BavAnIKaqgaH SivarAjena prAptaH
sp014-000118_004	svarAjyasya yuvarAjasya samBAjeH janma aBavat
sp014-000119_004	aparaH SivarAjaH iti praKyAtaH netAjipAlakaraH svarAjyasya mahAsenApatiH aBavat
sp014-000120_004	evam anekAH GawanAH yugapat GawitAH
sp014-000121_004	kasyacit mahAkAryasya pUrva sUcanArUpeRa etAsAm GawanAnAm saMyogaH jAtaH AsIt iti BAti
sp014-000122_004	mahAsADanAyE pfzWaBUmikA sajjA BavantI AsIt
sp014-000123_004	SivarAjasya upadraveRa bijApurasya AsTAne kopajvAlA udgatA AsIt
sp014-000124_004	pratidinam durgARAm hastacyuteH vArtAH AgacCanti sma
sp014-000125_004	sarve BItAH aBavan
sp014-000126_004	udDatasya SivarAjasya yAvat sAmarTyam tatoऽpi aDikam sAmarTyam AsIt bijApurasya
sp014-000127_004	bijApurasya AsTAne asmin vizaye atyantam santaptA kAcit vyaktiH AsIt
sp014-000128_004	svaBAvavizaye tu sA krUrasarpA eva
sp014-000129_004	tasyAH svaBAvam jYAtum allAhaH eva SaknuyAt na anyaH
sp014-000130_004	itaH param vA SivarAjasya OdDatyam damanIyam iti sA SapaTam kftavatI
sp014-000131_004	pituH dvArA putrasya nigrahaH kartum SakyaH iti kaScana BramaH AsIt tasyAH
sp014-000132_004	bAdaSAhasya nAmnA SahAjirAjAya patram gatam BavataH putrasya OdDatyam aDikam aBavat
sp014-000133_004	SIGrameva tat sTagitam Bavet
sp014-000134_004	saH api nirBayatayA putraH mama vacanam na SfRoti
sp014-000135_004	BavantaH yaTocitam kurvantu iti pratyuttaram prezitavAn
sp014-000136_004	evam baqiyAbegam praTamatantre eva viPalA aBavat
sp014-000137_004	SahAjeH uttareRa tasyAH gOravam kaLaNkitam aBavat
sp014-000138_004	pitAputrO uBO api viSvAsaGAtakO harAmaKor iti sA niScitavatI
sp014-000139_004	uBayoH api nivAraRam pfTagrUpeRa eva Bavatu iti sA cintitavatI
sp014-000140_004	praTamaH paryAyaH SivarAjasya
sp014-000141_004	saBAm prati dvAviMSatiH pramuKAH nAyakAH itare marAWavIrAH
sp014-000142_004	paWARahabaSIvIrAH ca samAgatAH
sp014-000143_004	bAdaSAhasya siMhAsanasya purataH sTAlikAyAm tAmbUlam sTApitam AsIt
sp014-000144_004	AsTAnasya vAtAvaraRe gAmBIryam prasftam AsIt
sp014-000145_004	koऽpi Sironnayanam na kftavAn
sp014-000146_004	SivarAjasya nAmnaH praBAvaH eva taTA AsIt
sp014-000147_004	Bavatsu SivarAjam gfhItvA Anetum koऽpi sidDaH nAsti kim iti sarpA iva PUtkftavatI sA
sp014-000148_005	AsTAnasya BUmim kampayat tat padAni sTApayat agre Agatam
sp014-000149_005	sTAlikAyAm vidyamAnam tAmbUlam svyakarot ca
sp014-000150_005	anukzaRam AsTAne vidyutsaYcAraH jAtaH
sp014-000151_005	vAtAvaraRe parivartanam dfzwam
sp014-000152_005	sarvezAm manasi utsAhAveSO udgatO
sp014-000153_005	aPajalKAnena pratijYA kftA cet kAryam sampannam ityeva arTaH
sp014-000154_005	tatsamanantarameva KAnena mahatI sajjatA ArabDA
sp014-000155_005	tena saha apAram dravyamapi
sp014-000156_005	na kevalam tAvat tasya parvatamUzikasya grahaRArTam baqiyAbegam bAdaSAhaH ca aPajalKAnam ekAnte AhUya amUlyAH sUcanAH dattavantO
sp014-000157_005	kapawasneham pradarSya SivarAjam mArayatu iti
sp014-000158_005	etam amUlyam mantram upadiSya muktakaRWena tasya praSaMsAm kftvA tam prezitavantO tO
sp014-000159_005	bAdaSAhaH vajraKacitam KaNgam upAyanarUpeRa dattavAn tasmE
sp014-000160_005	aPajalKAnena saha viKyAtAH paWARa habaSI arabavIrAH Asan
sp014-000161_005	aneke marAWavIrAH api Asan
sp014-000162_005	rAjadUtarUpeRa aPajalKAne ananyanizWAm vahan kfzRAjIBAskara kulkarRinAmakaH brAhmaRaH AsIt
sp014-000163_005	itoऽpi vipatkaraH vizayaH nAma aPajalKAnasya vyaktitvam
sp014-000164_005	tat kAlAntakam
sp014-000165_005	mahizAsurasya aparAvatAraH saH
sp014-000166_005	na kevalam SarIreRa api tu manasA api BayaNkaraH rAkzasaH saH
sp014-000167_005	BosalevaMSena saha badDavEram tasya
sp014-000168_005	karRAwakasya kanakagirim Akramya kApawyena SivarAjasya agrajasya samBAjeH mAraRe kAraRIBUtaH AsIt saH eva
sp014-000169_005	idAnIm SivarAjaH tasya lANgUlameva kartitavAnAsIt
sp014-000170_005	yataH samagram jAvaLI araRyam tasya aDikAre AsIt
sp014-000171_005	kintu SivarAjaH tatra Agatya pratApadurgam nirmitavAnAsIt
sp014-000172_005	evam sTite KAnasya rozaH aDikaH syAt eva Kalu
sp014-000173_005	yaTA krOryAdiBiH taTA ahaNkAreRa api saH suprasidDaH AsIt
sp014-000174_005	tasya rAjamudrikAyAm vAkyamAsIt
sp014-000175_005	jagati sarvottamaH puruzaH kaH asti iti praSne kfte
sp014-000176_005	japamAlAtaH allAha sTAne aPajal iti SabdaH eva SrUyeta iti
sp014-000177_005	etasya tAtparyam yat
sp014-000178_006	KAnaH AkramaRam kartum AgacCan asti iti vArtAm SrutvA eva vIrAH SaraRam gatAH Bavanti sma
sp014-000179_006	tadvizayakam Bayam siMhaladvIpaparyantam vyAptamAsIt
sp014-000180_006	kadAcit OraNgajebaH api aPajalKAnasya BayaNkaravyaktitvasya paricayam prAptavAn AsIt
sp014-000181_006	dEvAnukUlyam AsIt ityataH tadA saH kaTaYcit rakzitaH jAtaH
sp014-000182_006	sA GawanA evam
sp014-000183_006	tadA bijApurasya mahA senApateH ADInye aPajalKAnaH nAyakaH AsIt
sp014-000184_006	aPajalKAnasya SOryasya sammuKe OraNgajebaH hatapraBaH jAtaH AsIt
sp014-000185_006	OraNgajebasya SaraRAgateH kAlaH api sannihitaH
sp014-000186_006	kintu
sp014-000187_006	rahasyarUpeRa saH mahAsenApataye KAnamahammadAya patram liKitavAn
sp014-000188_006	patre mama kimapi Bavati cet mama pitA dehalIbAdaSAhaH tUzRIm na tizWet iti sUcitam AsIt
sp014-000189_006	tadA KAnamahammadaH BItaH aBavat
sp014-000190_006	vimocitavAn saH
sp014-000191_006	etena aPajalKAnaH kroDena unmattaH aBavat
sp014-000192_006	saH sAkzAt bijApuram gatavAn
sp014-000193_006	baqiyAyAH purataH pravfttam sarvam saH vivftavAn
sp014-000194_006	anukzaRam bAdaSAhaH KAnamahammadam sUcitavAn yat anukzaRam bijApuram Agantavyam iti
sp014-000195_006	agre kim Bavet iti ajAnan eva mahAsenApatiH niScintatayA SibikAm Aruhya prasTitavAn
sp014-000196_006	evam aPajalKAnasya rozakAraRataH OraNgajebasya sTAne bijApuramahAsenApatiH baliH aBavat
sp014-000197_006	BAratasya BAgyadevatA api kzaRakAlam kampamAnA aBavat
sp014-000198_006	SivarAjasya svarAjyasya ca kA gatiH syAt iti cintayantI
sp014-000199_006	bijApurAt prasTitam tat pracaRqam sEnyam
sp014-000200_006	caturmElamite dUre viSrAntyarTam atizWat
sp014-000201_006	tAvatA aPajalKAnasya atyantam priyaH parvatAkArakaH Pattelazkar nAmakaH gajaH mftaH iti dAruRA vArtA AgatA
sp014-000202_006	prasTAnakAle eva apaSakunam
sp014-000203_006	kintu aPajalKAnaH apaSakunAt BItim anuBavatAm gaRezu na antarBavati sma
sp014-000204_006	taTApi SivarAjena saha yudDam iti kalpanA eva tasya antaraNge api kampanam janayantI AsIt
sp014-000205_006	tadA eva bAdaSAhena prezitaH gajaH api mftaH iti vArtA AgatA
sp014-000206_006	bijApuratyAgAt pUrvameva tasya manasi ASaNkA utpannA AsIt
sp014-000207_006	kim aham sajIvam pratigantum SaknuyAm iti
sp014-000208_006	kA sA vyavasTA
sp014-000209_006	tasya catuzzazwisaNKyAkAH patnyaH
sp014-000210_006	evam tasya trizazwi patnyaH pUrvameva KAnasya virahAt muktAH jAtAH Asan
sp014-000211_006	KAnaH api anuDAvya tAm mAritavAneva
sp014-000212_006	adyApi etasyAH GawanAyAH sAkzyarUpeRa bijApure ekatra trizazwi smArakARi pfTagrUpeRa ekam smArakam ca drazwum Sakyate
sp014-000213_006	tasya saMskAraH eva tAdfSaH
sp014-000214_006	tAdfSyAm saMskftyAm eva tasya varDanam jAtam
sp014-000215_006	yadi hinduvIraH kaScit yudDaraNgam prati prasTitaH cet kim pravartate tatra
sp014-000216_006	mAtre namaskAraH tataH ASIrvAdaprAptiH patnyAH dvArA lalAwe tilakaDAraRam nIrAjanam ApracCanam ityAdayaH
sp014-000217_007	samagrasya mahArAzwrasya mAtA sA SivarAjasya kuladEvatamapi
sp014-000218_007	sA eva etasya mahizAsurasya praTamaH baliH
sp014-000219_007	KAnaH tuljApuram prAptavAn
sp014-000220_007	mArge sarvatra praLayatARqavam kurvanneva AgatavAn saH
sp014-000221_007	sAkzAt BavAnyAH mandiram pravizwam tena
sp014-000222_007	paSyAmi tAvat iti uktvA vigrahasya upari prahAram kftavAn
sp014-000223_007	BavAnI BagnA aBavat
sp014-000224_007	aPjalena vigrahaH cUrRIkftaH
sp014-000225_007	anukzaRam KAnaH kAYcit Denum AnAyya garBagfhe eva kartitavAn
sp014-000226_007	tasyAH raktena Bagnasya vigrahasya aBizekam kftavAn
sp014-000227_007	tasya muKe karALahAsaH dfSyate sma
sp014-000228_007	tezu SivarAjasya nikawabAnDavAH api kecana Asan
sp014-000229_007	hindUnAm durdEvasya kaTA eva etAdfSI
sp014-000230_007	hindusamAjasya GoraH SApaH saH
sp014-000231_007	DenoH raktena aBizekAnantaram KAnaH tasmin sTAne masjid nirmARam kAritavAn
sp014-000232_007	anantaram tasya dfzwiH paRQarApurasya diSi gatA
sp014-000233_007	tatrApi tAdfSI eva BIzaRakaTA
sp014-000234_007	kintu viWalasya vigrahaH kaTaYcit tasya hastagataH na aBavat
sp014-000235_007	anantaram kolhApuram prati gamanam
sp014-000236_007	tatrApi etAdfSI eva kaTA
sp014-000237_007	DvaMsaH hananam mAraRam luRWanam atyAcAraH gohatyA mandirARAm sTAne masjidnirmARam ca nirantaram pracalati sma
sp014-000238_007	ekEkaSaH etAdfSyaH GorAH vArtAH SivamahArAjasya karRapaTam AgacCantyaH Asan
sp014-000239_007	ekEkA api BIkarA
sp014-000240_007	na kevalam tAvat rahasyarUpeRa baqiyA begam aPjalKAnasya karRe yat uktavatI AsIt tadapi SivarAjena jYAtam AsIt
sp014-000241_007	sarvam SrutvA jIjAbAyyAH hfdaye jvAlA udgatA AsIt
sp014-000242_007	svarAjyasya upari AkramaRam kartum AgacCataH rAkzasasya purataH putrasya kA gatiH syAt iti mAtfhfdayasya cintA
sp014-000243_007	SivamahArAjaH tezu dinezu rAjadurgasya samIpasTe Sivapattane AsIt
sp014-000244_007	te sarveऽpi cintAmagnAH
sp014-000245_007	tuLjApurasya paRQarApurasya ca avamAnanasya pratIkAram sADayitum SivamahArAjasya Agamanam Bavet iti aneke BAvitavantaH Asan
sp014-000246_007	yataH mahArAjaH DarmarakzakaH ISvarAvatAraH Kalu
sp014-000247_007	sarvam soQvA kaTam vA tizWet saH
sp014-000248_007	aPajalKAnasya api tadeva cintanam AsIt
sp014-000249_007	etAdfSam durantam dfzwvA SivarAjaH rozeRa samatalapradeSam svayam AgacCet iti cintanam aPajalKAnasya
sp014-000250_007	parvate sTitasya parvatamUzakasya grahaRam kazwakaram syAt iti tasya matam AsIt
sp014-000251_007	kintu SivarAjaH tu caturataraH
sp014-000252_007	svasya kroDajvAlAm kaTaYcit nigfhItavAn AsIt saH
sp014-000253_007	idAnIm aham parvatapradeSAt aDaH avatIrya gacCAmi cet BavAnyA saha svarAjyasya vigrahaH api cUrRIkftaH syAt iti saH samyak avagatavAn AsIt
sp014-000254_007	tasya dfzwiH sarvadA antimavijayasya vizaye eva
sp014-000255_007	tat manasi niDAya eva saH avikampitayA budDyA cintayan AsIt
sp014-000256_007	etasya dEtyasya sammuKIkaraRam kaTam
sp014-000257_007	etasya apArAyAH sEnyaSakteH purataH mama mAvaLIbAlAnAm SaktiH aparyAptA eva
sp014-000258_007	samatalapradeSe tasya sammuKIkaraRam aSakyameva
sp014-000259_007	evam tarhi kutra kaTam tasya asurasya saMhAraH iti saH cintayan AsIt
sp014-000260_007	etena eva saha kAryam sADayitum saH BavAnyAH DyAnamapi satatam kurvannAsIt
sp014-000261_008	ante saH sahakAriRaH AhUya svasya nirRayam SrAvitavAn
sp014-000262_008	saH nirRayaH asmAkam samastam sEnyam yudDArTam sajjam tizWatu
sp014-000263_008	jAvaLIpradeSe KAnam sammuKI karavAma
sp014-000264_008	vayam idAnIm pratApadurgam gacCAma iti
sp014-000265_008	nirRayam SrutvA SivarAjasya sahakAriRAm AtaNkaH aDikaH aBavat
sp014-000266_008	tAdfSam duHsAhasam mAstu
sp014-000267_008	sanDiH kftaH cet agre kA gatiH syAt iti SivarAjaH jAnAti sma
sp014-000268_008	KAnam saH samyak avagatavAn AsIt
sp014-000269_008	KAnena saha sanDiH nAma svarAjyasya nimajjanam mama antyam ca iti saH jYAtavAn AsIt
sp014-000270_008	ataH nirDArapUrvakam saH svasya jIvanaDyeyam vivftavAn
sp014-000271_008	tadarTameva mama janma jAtamasti iti
sp014-000272_008	tAdfSe mftyumuKe sTitvA api SivamahArAjasya hfdaye durdamyaH AtmaviSvAsaH
sp014-000273_008	svasya jIvanakAryasya vizaye acalA SradDA
sp014-000274_008	tadAraBya tantrayudDam ArabDam
sp014-000275_008	makarasya sikatAnAmupari AkarzaRam iva aPajalaKAnam jAvaLI araRyam prati Akrazwum icCati SivarAjaH
sp014-000276_008	praTamaraRanItO tu KAnaH parAjitaH AsIt
sp014-000277_008	idAnIm dvitIyam prayatnam ArabDavAn AsIt saH
sp014-000278_008	svasya senASibire vidyamAnam SivarAjasya SyAlam patnyAH sahodaram
sp014-000279_008	bajAjinimbALakaram badDvA AnAyitavAn saH
sp014-000280_008	bajAjiH bijApurasya nizWAvAn sevakaH
sp014-000281_008	tasya muRqanam sunnata kArayitvA gajasya pAdasya aDaH pAtayitvA mAraRIyam iti saNkalpaH AsIt aPajalasya
sp014-000282_008	idAnIm vA SyAlasya prARAn rakzayitum SivarAjaH DAvan AgacCet iti aPajalasya tantram AsIt
sp014-000283_008	kintu tadarTam SivamahArAjena pratitantram cintitam
sp014-000284_008	KAnasya sEnye nimbALakarasya AptaH nAyakajirAjepARQarenAmakaH AsIt
sp014-000285_008	Siva mahArAjaH tasmE rahasi patramekam prezitavAn
sp014-000286_008	pARQarevarye nimbALakaravizayakam prema jAgaritam aBavat
sp014-000287_008	saH sAkzAt aPajalKAnasya Sibiram gatavAn
sp014-000288_008	nimbALakarasya mocanArTam aBiyAcanA kftA tena
sp014-000289_008	etasmAt KAnaH sandigDasTitO apatat
sp014-000290_008	ete marAWanAyakAH svaDarmanizWAH svarAjyanizWAH vA na syuH kadAcit kintu ahaNkAranizWAH niScayena Bavanti
sp014-000291_008	ataH etEH saha jAgarUkatayA vyavaharaRIyam iti saH jAnAti sma
sp014-000292_008	ataH yudDarUpAyAm sUkzmaparisTitO
sp014-000293_008	nAyakajisadfSaH vIraH avamAnitaH cet apAyaH syAteva iti vicintya saH zazwi sahasra nARakAni daRqaSulkarUpeRa dattAni cedeva bajAjeH mocanam iti sUcitavAn
sp014-000294_008	nAyakajiH daRqaSulkam dattvA bajAjim mocitavAn
sp014-000295_008	KAnasya dvitIyam tantramapi SUnye eva vilInam aBavat
sp014-000296_008	antimavijayasya sannAhe saH lInaH AsIt
sp014-000297_008	tasminneva samaye SivarAjasya vizaye pratIkAram sADayitum avasaram pratIkzamARA kAcit vyaktiH AsIt
sp014-000298_008	sA vyaktiH jAvaLyAH pratAparAvamore
sp014-000299_008	saH idAnIm KAnasya AptaH jAtaH AsIt
sp014-000300_008	KAnasya sAhAyyena jAvaLIpradeSaH SivarAjahastataH muktaH cet punaH saH mama hastagataH Bavet iti tasya AntarikI icCA
sp014-000301_008	KAnena saha sanDiprastAvaH Bavatu iti sarve api ekakaRWena sUcitavantaH
sp014-000302_008	pUrvam yaTA SrIrAmaH rAvaRasya mardanam kftavAn SrIkfzRaH kaMsam mAritavAn taTA etam dEtyam saMhftya aham DarmasTApanam karizyAmi
sp014-000303_008	etena tasya yojanAyE AnukUlyam eva aBavat
sp014-000304_008	anukzaRam saH mahAsenApatim AhUya AjYApitavAn
