sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-000066_SR_02	sa Bojanam tatyAja
sp008-000067_SR_02	dugDameva pItvA kAlamayApayat
sp008-000068_SR_02	Sizyezu vfttAnta eza prasftaH
sp008-000069_SR_02	sarveऽpi darSanArTamAgacCan rAmadAsaH tAnudboDayati loka eza martyo lokaH
sp008-000070_SR_02	ekasmin divase sarveREva gantavyameva itaH
sp008-000071_SR_02	yAvajjIvamAtmanaH kAryakzetre sTiratvam laBaDvam
sp008-000072_SR_02	rAmasya vijayapatAkAm sarvatra prasArayata
sp008-000073_SR_02	rAmakaTayA brahmARqam Cindata rAmarAjyam Buvi sTApayata iti
sp008-000074_SR_02	SivAjIputraH SamBAjI tasya siMhAsaneऽByazeci
sp008-000075_SR_02	ugrakroDa ezaH
sp008-000076_SR_02	SivAjinA saNgfhItezu navasu ratnezu bahUn saH avAhelayat
sp008-000077_SR_02	kAMScit paralokamapi prApayat
sp008-000078_SR_02	eBiH vfttAntEH svAmI hfdi kzataH
sp008-000079_SR_02	sa SamBAjim prati patramaliKat
sp008-000080_SR_02	sadEva jAgrat satarkastizWatu
sp008-000081_SR_02	pramAdI kadApi mA BUH
sp008-000082_SR_02	ekAnte sTitvA vicAracintanAni kurvITAH
sp008-000083_SR_02	tyaja kroDam sasaMSayam
sp008-000084_SR_02	SAntisOmyatAsuKam anuBava
sp008-000085_SR_02	svArTe nije na brUqa
sp008-000086_SR_02	anyezAmapi cintAm kuruzva
sp008-000087_SR_02	kzamASIlatAm upArjaya
sp008-000088_SR_02	guRavanta AdartavyAH upAsyAH
sp008-000089_SR_02	BftyAH karmakarAH prasAdyAH
sp008-000090_SR_02	kAryam kuruzva nirIkzasva cAvaDAnena
sp008-000091_SR_02	parasparam cet kalahAyeran svataH Satrukam prAhvayase tvam
sp008-000092_SR_02	ekamekam upanizatsva mAraya SatrumAtramiha na tu svajanam
sp008-000093_SR_02	parAkramESced BavatAm BUmirBavati yavanakaRwakErvihInA
sp008-000094_SR_02	tadA kIrtim upacezyati
sp008-000095_SR_02	yogakzemavahA BUyAsuH
sp008-000096_SR_02	kzeme aDikatAmapi saYcinuyuH
sp008-000097_SR_02	rAzwram Bavatu vEBavEH pUrRam suKam samfdDam aTo paripUrRam
sp008-000098_SR_02	tato mahArAzwratAm idametAm nanu
sp008-000099_SR_02	nityam SivAjim DAraya budDyA
sp008-000100_SR_02	taTAviDAn yatnAnapi kuryAH
sp008-000101_SR_02	divyaBavyamaBavan nanu SOryam
sp008-000102_SR_02	tasya cintanam mananam kuryAH
sp008-000103_SR_02	kiyatI mfdutA baBUva vARyAm
sp008-000104_SR_02	kuSalakOwale nipuRoऽpyAsIt
sp008-000105_SR_02	kaTam mitrabanDUn sa sametum praBavati
sp008-000106_SR_02	mArdavayukto vacasi hfdi hfdi kaTam ropayati lakzyam
sp008-000107_SR_02	tatoऽDikam yadi jagati praBavasi
sp008-000108_SR_02	kartum kuruDvamete sarve
sp008-000109_SR_02	tadEva jagatItale Bavizyasi
sp008-000110_SR_02	pituraDiguRastanUjaH SizwaH
sp008-000111_SR_02	SamBAjI patramidam paWitvA rAmadAsasvAminam upeyitAn praRanAma
sp008-000112_SR_02	ASIrBiH yojayamAsa tam svAmI
sp008-000113_SR_02	soऽpi svam svaBAvam parivartya prajAraYjane dakzatAmAnarja
sp008-000114_SR_02	etezu divasezu rAmadAsasvAmI pratiprayARaBAzAm vyAharati sma
sp008-000115_SR_02	SizyAH samavetAH aSrucakzuzaH tAn dfzwvA svAmI sAntvayitum acezwatEBiH SabdEH
sp008-000116_SR_02	yA mama vARI sA mama kAyaH
sp008-000117_SR_02	ABAsikamiha vidyata etat
sp008-000118_SR_02	niKilam vyaSnuvAna ezoऽham
sp008-000119_SR_03	atra tatra sarvatra dfSyatAm svAtmA vyAptaH
sp008-000120_SR_03	manoyogataH paWatu madIyAm vARIm sannihitoऽsmi sadAhamiti
sp008-000121_SR_03	etena upadeSena SizyAH kiYcicCAntAH
sp008-000122_SR_03	taTApi guro rAmadAsasvAminaH virahasya kalpanApi tezAm kfte vajraSalyAyate sma
sp008-000123_SR_03	sajjanagaQamandire sTApanIyA mUrtayaH taYjAvura purAdAnItAH
sp008-000124_SR_03	tA eva pratIkzamARoऽBUt rAmadAsaH svAmI
sp008-000125_SR_03	mAGakfzRapaYcamyAm mUrtayastA prARapratizWAm lamBitAH
sp008-000126_SR_03	Bagavato rAmasya mUrteH sammuKIno rAmadAso DyAne nyamajjat
sp008-000127_SR_03	maDyAhne saH SrIrAma SrIrAma SrIrAma iti proccEH udagirat
sp008-000128_SR_03	prARAMSca svIyAn Bagavato rAmasya caraRayorarpipatam
sp008-000129_SR_03	dvAviMSati dinANke janavarI mAse dvyaSItyuttara zoqaSatame varze tiTO mAGakfzRanavamyAm rAmadAsaH svAmI
sp008-000130_SR_03	svAmI rAmo jAtaH sahasraSaH samavetEH BaktErudIrRam jaya jaya raGuvIra samarTa iti hanta hanta
sp008-000131_SR_03	ye hi mahAtmAno Bavanti tezAm dehaH sTalaviSezeRa na pratibaDyate
sp008-000132_SR_03	sajjanagaQe rAmamUrtim pratizWApya rAmadAsaH samarTo jahO
sp008-000133_SR_03	svIyam vapustatrEveti prasidDiH EtihyavidAm
sp008-000134_SR_03	asmAkam sAmpratikezu maDyapradeSezu vidyatetarAm iwArasIti relasTAnam
sp008-000135_SR_03	tato dillI pratizWAsUni yAnAni yAm BojatAla nagara diSam ASrayanti
sp008-000136_SR_03	tasyAmeva caturdaSa kilo mIwar parimite dUravarttini mAtuH SrInarmadAyA paScime tawe vilasatitarAmekam narmadApuramiti
sp008-000137_SR_03	parivarttitena nAmnA aBiDIyamAnam huSaNgAbAdanAmakam nAtiviSAlam nagaram
sp008-000138_SR_03	tatrApi relasTAnasTenApi yAtriRA drazwum Sakyate ekam sTAnam yadDi rAmajibAbA kI samAD ityaBijYAyate
sp008-000139_SR_03	subfhadDi tat kzetram
sp008-000140_SR_03	tatrApi vilasatitarAmekam sidDasidDam sTAnam
sp008-000141_SR_03	yatra vidyate vfkzaparivezwitamekam pAdonapuruzapramARamunnatam caturasram catvaram
sp008-000142_SR_03	paYcaBiH sopAnEH yasya parikramakuwwimam laByate
sp008-000143_SR_03	maDye ca vidyate Bitticatuzwayena parivezwitam ekam viBUtipAtram
sp008-000144_SR_03	yatra dfSyate sTitam Basma
sp008-000145_SR_03	tacca vitIryate prasAdarUpeRa didfkzuByaH
sp008-000146_SR_03	Bavati yasya jihvAsparSaH piSAcAdibADAparimokzaRAya samarTaH
sp008-000147_SR_03	tatra vArzikI melA janAnAm Ayojyate yatra digantarAleByo janAH paSUn Anayanti vikrayAya
sp008-000148_SR_03	kadAcid viviDAni lOhanirmitAni kfzerupakaraRAni sADayanto yAyAvarA rAjasTAnIyA SAkawikAH samavayanti
sp008-000149_SR_03	yatra mUlyavantyapi vastUni alpenEva mUlyena laByante
sp008-000150_SR_03	tadyaTA kawAhaH druGnam dAtram evamAdikAni
sp008-000151_SR_03	gfhasTAstata eva ApaRikABya vastUnyetAni krIRanti prahfzyanti ca
sp008-000152_SR_03	AsIt tasminneva samADisTale kAcit rAmadAsasaMskftapAWaSAlA
sp008-000153_SR_03	tasyAmeva aDItavidyA vidyAmahe paNktInAmamUzAm leKakA vayam
sp008-000154_SR_03	tasminneva kzetre vidyate ekam praviSAlam pakvezwi vicitaBittikam kUparatnam
sp008-000155_SR_03	tasyAsya jalam taTA viSudDam yanmumbaIpraBftisTA api rugRA vaRijaH tat tata AnAyayanti sevante ca Bavanti nirAmayAH
sp008-000156_SR_03	santyetasya samADisTalasya pArSve nEke samADayaH
sp008-000157_SR_03	tezu santi niKAtAH tyaktaSarIrAH tasyEva sTAnasya maWADISAH
sp008-000158_SR_03	te hi pArSvavarttino BUkzetrasya praviSAlasya svAmino gfhasTASca
sp008-000159_SR_03	tezAm tanUjo Bavati sma darabAra nAmA laGuH jyAyAMSca sarakAra nAmA
sp008-000160_SR_03	dadfSivAMso BavAmastAn KelitavantaSca tEH
sp008-000161_YS_01a	aTa yogasUtram vyAsaBAzyasahitam
sp008-000162_YS_01a	praTamaH samADipAdaH
sp008-000163_YS_01a	yogena cittasya padena vAcAm malam SarIrasya ca vEdyakena
sp008-000164_YS_01a	yoऽpAkarottam pravaram munInAm pataYjalim prAYjalirAnatoऽsmi
sp008-000165_YS_01a	aTa yogAnuSAsanam
sp008-000166_YS_01a	aTetyayam aDikArArTaH
sp008-000167_YS_01a	yogAnuSAsanam SAstramaDikftam veditavyam
sp008-000168_YS_01a	yogaH samADiH
sp008-000169_YS_01a	sa ca sArvaBOmaH cittasya DarmaH
sp008-000170_YS_01a	kziptam mUQam vikziptam ekAgram nirudDamiti cittaBUmayaH
sp008-000171_YS_01a	tatra vikzipte cetasi vikzepopasarjanIBUtaH samADiH na yogapakze vartate
sp008-000172_YS_01a	yastu ekAgre cetasi sadBUtamarTam pradyotayati kziRoti ca kleSAn karmabanDanAni SlaTayati niroDamaBimuKam karoti sa samprajYAto yoga iti AKyAyate
sp008-000173_YS_01a	sa ca vitarkAnugataH vicArAnugataH AnandAnugataH asmitAnugataH iti uparizWAt pravedayizyAmaH
sp008-000174_YS_01a	sarvavfttiniroDe tu asamprajYAtaH samADiH
sp008-000175_YS_01a	tasya lakzaRABiDitsayA idam sUtram pravavfte
sp008-000176_YS_01b	yogaScittavfttiniroDaH
sp008-000177_YS_01b	sarvaSabdAgrahaRAt samprajYAtoऽpi yoga ityAKyAyate
sp008-000178_YS_01b	cittam hi praKyApravfttisTitiSIlatvAt triguRam
sp008-000179_YS_01b	praKyArUpam hi cittasattvam rajastamoByAm saMsfzwam ESvaryavizayapriyam Bavati
sp008-000180_YS_01b	tadeva tamasAnuvidDam aDarmAjYAnAvErAgyAnESvaryopagam Bavati
sp008-000181_YS_01b	tadeva prakzIRamohAvaraRam sarvataH pradyotamAnam anuvidDam rajomAtrayA DarmajYAnavErAgyESvaryopagam Bavati
sp008-000182_YS_01b	tadeva rajoleSamAlepanam svarUpapratizWam sattvapuruzAnyatAKyAtimAtram DarmameGaDyAnopagam Bavati
sp008-000183_YS_01b	tatparam prasaNKyAnam ityAcakzate DyAyinaH
sp008-000184_YS_01b	citiSaktiH apariRAminI apratisaNkramA darSitavizayA SudDA cAnantA ca
sp008-000185_YS_01b	sattvaguRAtmikA ceyam ato viparItA vivekaKyAtiriti
sp008-000186_YS_01b	atastasyAm viraktam cittam tAmapi KyAtim niruRadDi
sp008-000187_YS_01b	tadavasTam cittam saMskAropagam Bavati
sp008-000188_YS_01b	sa nirbIjaH samADiH
sp008-000189_YS_01b	na tatra kiYcitsamprajYAyate iti asamprajYAtaH
sp008-000190_YS_01b	dviviDaH sa yogaScittavfttiniroDaH iti
sp008-000191_YS_01b	tadavasTe cetasi vizayABAvAt budDiboDAtmA puruzaH kiMsvaBAvaH iti
sp008-000192_YS_01b	tadA drazwuH svarUpeऽvasTAnam
sp008-000193_YS_01b	svarUpapratizWA tadAnIm citiSaktiH yaTA kEvalye
sp008-000194_YS_01b	vyutTAnacitte tu sati taTApi BavantI na taTA
sp008-000195_YS_01b	kaTam tarhi darSitavizayatvAt
sp008-000196_YS_01b	vfttisArUpyamitaratra
sp008-000197_YS_01b	vyutTAne yAH cittavfttayaH tadavaSizwavfttiH puruzaH
sp008-000198_YS_01b	taTA ca sUtram ekameva darSanam KyAtireva darSanamiti
sp008-000199_YS_01b	cittam ayaskAntamaRikalpam sanniDimAtropakAri dfSyatvena svam Bavati puruzasya svAminaH
sp008-000200_YS_01b	tasmAccittavfttiboDe puruzasya anAdiH sambanDo hetuH
sp008-000201_YS_01b	tAH punaH nirodDavyA bahutve sati cittasya
sp008-000202_YS_01b	vfttayaH paYcatayyaH klizwA aklizwAH
sp008-000203_YS_01b	kleSahetukAH karmASayapracayakzetrIBUtAH klizwAH
sp008-000204_YS_01b	KyAtivizayA guRADikAra viroDinyaH aklizwAH
sp008-000205_YS_01b	klizwapravAhapatitA api aklizwAH
sp008-000206_YS_01b	klizwacCidrezvapi aklizwA Bavanti
sp008-000207_YS_01b	aklizwacCidrezu klizwA iti
sp008-000208_YS_01b	taTAjAtIyakAH saMskArA vfttiBireva kriyate saMskArEScEva vfttaya iti
sp008-000209_YS_01b	evam vfttisaMskAracakram aniSam Avartate
sp008-000210_YS_01b	tadevamBUtam cittam avasitADikAram Atmakalpena vyavatizWate pralayam vA gacCatIti
sp008-000211_YS_01b	tAH klizwASca aklizwASca paYcaDA vfttayaH
sp008-000212_YS_01b	pramARaviparyayavikalpanidrAsmftayaH
sp008-000213_YS_01b	pratyakzAnumAnAgamAH pramARAni
sp008-000214_YS_01b	indriyapraRAlikayA cittasya bAhyavastUparAgAt tadvizayA sAmAnyaviSezAtmanaH arTasya viSezAvaDAraRapraDAnA vfttiH pratyakzam pramARam
sp008-000215_YS_01b	Palam aviSizwaH pOruzeyaH cittavfttiboDaH
sp008-000216_YS_01b	budDeH pratisaMvedI puruza ityuparizwAt upapAdayizyAmaH
sp008-000217_YS_01b	anumeyasya tulyajAtIyezu anuvfttaH BinnajAtIyeByaH vyAvfttaH sambanDo yaH tadvizayA sAmAnyAvaDAraRapraDAnA vfttiH anumAnam
sp008-000218_YS_01b	yaTA deSAntaraprApteH gatimat candratArakam cEtravat vinDyaSca aprAptiH agatiH
sp008-000219_YS_01b	Aptena dfzwaH anumito vArTaH paratra svaboDasaNkrAntaye SabdenopadiSyate
sp008-000220_YS_01b	SabdAt tadarTavizayA vfttiH SrotuH AgamaH
sp008-000221_YS_01b	yasya aSradDeyArTo vaktA na dfzwAnumitArTaH sa AgamaH plavate
sp008-000222_YS_01b	mUlavaktari tu dfzwAnumitArTe nirviplavaH syAt
sp008-000223_YS_01b	viparyayo miTyAjYAnamatadrUpa pratizWam
sp008-000224_YS_01b	sa kasmAnna pramARam yataH pramARena boDyate BUtArTavizayatvAt pramARasya
sp008-000225_YS_01b	tatra pramARena bADanam apramARasya dfzwam
sp008-000226_YS_01b	tadyaTA dvicandradarSanam sadvizayeRa ekacandradarSanena bADyate iti
sp008-000227_YS_01b	seyam paYcaparvA Bavati avidyA avidyAsmitArAga dvezABiniveSAH kleSAH iti
sp008-000228_YS_01b	eta eva svasaYjYABiH tamaH mohaH mahAmohaH tAmisraH anDatAmisraH iti
sp008-000229_YS_01b	ete cittamalaprasaNgena aBiDAsyante
sp008-000230_YS_01b	SabdajYAnAnupAtI vastuSUnyo vikalpaH
sp008-000231_YS_01b	sa na pramARopArohI na viparyayopArohI ca
sp008-000232_YS_01b	vastuSUnyatveऽpi SabdajYAna mAhAtmyanibanDano vyavahAro dfSyate
sp008-000233_YS_01b	tadyaTA cEtanyam puruzasya svarUpamiti
sp008-000234_YS_01b	yadA citireva puruzaH tadA kimatra kena vyapadiSyate
sp008-000235_YS_01b	Bavati ca vyapadeSe vfttiH yaTA cEtrasya gOriti
sp008-000236_YS_01b	taTA pratizidDavastuDarmA nizkriyaH puruzaH tizWati bARaH sTAsyati sTita iti gatinivfttO DAtvarTamAtram gamyate
sp008-000237_YS_01b	taTAnutpattiDarmA puruza iti utpattiDarmasya aBAvamAtram avagamyate na puruzAnvayI DarmaH
sp008-000238_YS_01b	tasmAdvikalpitaH sa DarmaH tena ca asti vyavahAra iti
sp008-000239_YS_01c	aBAvapratyayAlambanA vfttirnidrA
sp008-000240_YS_01c	sA ca sampraboDe pratyavamarSAt pratyayaviSezaH
sp008-000241_YS_01c	kaTam suKamahamasvApsam prasannam me manaH prajYAm me viSAradIkaroti
sp008-000242_YS_01c	duHKamahamasvApsam styAnam me mano Bramati anavasTitam
sp008-000243_YS_01c	gAQam mUQoऽhamasvApsam
sp008-000244_YS_01c	gurURi me gAtrARi klAntam me cittam
sp008-000245_YS_01c	alasam muzitamiva tizWatIti
sp008-000246_YS_01c	sa Kalvayam prabudDasya pratyavamarSo na syAt asati pratyayAnuBave
sp008-000247_YS_01c	tadASritAH smftayaSca tadvizayA na syuH
sp008-000248_YS_01c	tasmAt pratyayaviSezo nidrA
sp008-000249_YS_01c	sA ca samADO itarapratyayavat nirodDavyA iti
sp008-000250_YS_01c	anuBUtavizayAsampramozaH smftiH
sp008-000251_YS_01c	kim pratyayasya cittam smarati Ahosvit vizayasya iti
sp008-000252_YS_01c	grAhyoparaktaH pratyayo grAhyagrahaRoBayAkAra nirBAsaH taTAjAtIyakam saMskAram AraBate
sp008-000253_YS_01c	sa saMskAraH svavyaYjakAYjanaH tadAkArAmeva grAhyagrahaRoBayAtmikAm smftim janayati
sp008-000254_YS_01c	tatra grahaRAkArapUrvA budDiH grAhyAkArapUrvA smftiH
sp008-000255_YS_01c	sA ca dvayI BAvitasmartavyA ca aBAvitasmartavyA ca
sp008-000256_YS_01c	svapne BAvitasmartavyA jAgratsamaye tu aBAvitasmartavyA iti
sp008-000257_YS_01c	sarvASca etAH smftayaH pramARaviparyaya vikalpa nidrA smftInAm anuBavAt praBavanti
sp008-000258_YS_01c	sarvASca etAH vfttayaH suKaduHKamohAtmikAH
sp008-000259_YS_01c	suKaduHKamohASca kleSezu vyAKyeyAH
sp008-000260_YS_01c	suKAnuSayI rAgaH duHKAnuSayI dvezaH mohaH punaravidyA iti
sp008-000261_YS_01c	etAH sarvAH vfttayo nirodDavyAH
sp008-000262_YS_01c	AsAm niroDe samprajYAto vA samADiH Bavati asamprajYAto vA
sp008-000263_YS_01c	aByAsavErAgyAByAm tanniroDaH
sp008-000264_YS_01c	cittanadI nAma uBayato vAhinI
sp008-000265_YS_01c	vahati kalyARAya vahati pApAya ca
sp008-000266_YS_01c	yA tu kEvalyaprAgBArA vivekavizayanimnA sA kalyARavahA
sp008-000267_YS_01c	saMsAraprAgBArAvivekavizayanimnA pApavahA
sp008-000268_YS_01c	tatra vErAgyeRa vizayasrotaH KilIkriyate
sp008-000269_YS_01c	vivekadarSanAByAsena vivekasrota udGAwyate iti uBayADInaH cittavfttiniroDaH
sp008-000270_YS_01c	tatra sTitO yatnoऽByAsaH
sp008-000271_YS_01c	cittasya avfttikasya praSAntavAhitA sTitiH tadarTaH prayanto vIryam utsAhaH
sp008-000272_YS_01c	tatsampipAdayizayA tatsADanAnuzWAnam aByAsaH
sp008-000273_YS_01c	sa tu dIrGakAla nErantarya satkArAsevito dfQaBUmiH
sp008-000274_YS_01c	dIrGakAlasevito nirantarasevitaH satkArAsevitaH
sp008-000275_YS_01c	tapasA brahmacaryeRa vidyayA SradDayA ca sampAditaH satkAravAn dfQaBUmiH Bavati
sp008-000276_YS_01c	vyutTAnasaMskAreRa drAgityeva anaBiBUtavizaya ityarTaH
sp008-000277_YS_01c	dfzwAnuSravika vizaya vitfzRasya vaSIkArasaYjYA vErAgyam
sp008-000278_YS_01c	striyaH annam pAnam ESvaryam iti dfzwavizaye vitfzRasya svargavEdehyaprakftilayatvaprAptO AnuSravikavizaye vitfzRasya
sp008-000279_YS_01c	divyAdivyavizayasamprayogeऽpi cittasya vizayadozadarSinaH prasaNKyAnabalAt anABogAtmikA heyA upAdeyaSUnyA vaSIkArasaYjYA vErAgyam
sp008-000280_YS_01c	tatparam puruzaKyAterguRavEtfzRyam
sp008-000281_YS_01c	dfzwAnuSravikavizayadozadarSI viraktaH puruzadarSanAByAsAt tacCudDi pravivekApyAyita budDiH guReByaH vyaktAvyaktaDarmakeByaH viraktaH iti
sp008-000282_YS_01c	taddvayam vErAgyam
sp008-000283_YS_01c	tatra yaduttaram tajjYAnaprasAdamAtram yasyodaye pratyuditaKyAtiH evam manyate prAptam prApaRIyam kzIRAH kzetavyAH kleSAH
sp008-000284_YS_01c	CinnaH SlizwaparvA BavasaNkramaH yasya avicCedAt janitvA mriyate
sp008-000285_YS_01c	mftvA ca jAyate iti
sp008-000286_YS_01c	jYAnasyEva parAkAzWA vErAgyam
sp008-000287_YS_01c	etasyEva hi nAntarIyakam kEvalyam iti
sp008-000288_YS_01c	aTopAyadvayena nirudDacittavftteH kaTamucyate samprajYAtaH samADiriti
sp008-000289_YS_01c	vitarka vicArAnandAsmitArUpAnugamAt samprajYAtaH
sp008-000290_YS_01c	vitarkaH cittasya Alambane sTUlaH ABogaH sUkzmo vicAraH Anando hlAdaH ekAtmikA saMvidasmitA
sp008-000291_YS_01c	tatra praTamaH catuzwayAnugataH samADiH savitarkaH
sp008-000292_YS_01c	dvitIyo vitarkavikalaH savicAraH
sp008-000293_YS_01c	tftIyo vicAravikalaH sAnandaH
sp008-000294_YS_01c	caturTaH tadvikalaH asmitAmAtra iti
sp008-000295_YS_01c	sarva ete sAlambanAH samADayaH
sp008-000296_YS_01c	asamprajYAtaH samADiH kimupAyaH kiMsvaBAvo vA iti
sp008-000297_YS_01c	virAmapratyayAByAsapUrvaH saMskAraSezoऽnyaH
sp008-000298_YS_01c	sarvavfttipratyastamaye saMskAraSezo niroDaH cittasya samADiH asamprajYAtaH
sp008-000299_YS_01c	tasya param vErAgyam upAyaH
sp008-000300_YS_01c	sAlambano hyaByAsaH tatsADanAya na kalpate iti virAmapratyayo nirvastukaH AlambanIkriyate
sp008-000301_YS_01c	sa ca arTaSUnyaH
sp008-000302_YS_01c	tadaByAsapUrvacittam nirAlambanam aBAvaprAptamiva BavatIti ezaH nirbIjaH samADiH asamprajYAtaH
sp008-000303_YS_01c	sa Kalvayam dviviDaH upAyapratyayaH BavapratyayaSca
sp008-000304_YS_01c	tatra upAyapratyayo yoginAm Bavati
sp008-000305_YS_01c	Bavapratyayo videhaprakftilayAnAm
sp008-000306_YS_01c	videhAnAm devAnAm BavapratyayaH
